Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	0.0	0.0	0.0	1000.0	-0.01372345	0.49254128	0.9832327	-1.0969155	4000	-1.0967255e-08	0.209307	-0.011800551	-0.19642717	1.857413	0.0052408655	0.06525	79.0	16.2466459274292
1	250.0	433.0127	1000.0	0.0	1000.0	0.010661019	0.04842484	0.16563323	-0.19375597	8000	-1.4781952e-08	2129.8794	-0.008282139	-517.6327	1.8205143	0.0074679386	0.0535	79.0	31.840550661087036
2	0.0	0.0	0.0	0.0	1000.0	3.4688282	13.9445305	16.745378	-15.251701	12000	-1.66893e-08	172.8755	-0.009862548	-159.2822	1.7886767	0.006645542	0.0605	79.0	43.57133936882019
3	0.0	0.0	0.0	0.0	1000.0	1.9290562	1.3143115	4.388436	-0.42437118	16000	-3.8146972e-08	4.655303	-0.012039668	-4.121307	1.8204147	0.005344175	0.1065	79.0	51.69937562942505
4	500.0	500.0	1000.0	0.0	1000.0	0.7632692	0.5578275	2.2111218	-1.7554802	20000	2.1457673e-08	4197.0986	-0.010593277	-1581.2847	1.7844312	0.0063851164	0.06525	79.0	59.849761724472046
5	250.0	433.0127	1000.0	0.0	1000.0	24.227282	0.8997538	24.345686	-18.42845	24000	1.3351441e-08	1601.5306	-0.007816628	-5.0354004	1.7667117	0.005990223	0.06	79.0	68.29021263122559
6	250.0	433.0127	1000.0	0.0	1000.0	-7.170844	19.934519	25.323778	-22.34622	28000	-2.026558e-08	3236.0613	-0.010877434	-1725.0973	1.808897	0.010299279	0.06875	79.0	76.8150622844696
7	248.75	430.84763	995.0	0.0	1000.0	14.844938	8.046284	23.683847	0.9627971	32000	1.8954276e-08	1424.809	-0.0090792	-137.01355	1.775253	0.010424905	0.071	79.0	84.75012564659119
8	250.0	433.0127	1000.0	0.0	1000.0	8.358829	12.195512	28.471035	-6.6211104	36000	7.629395e-09	2115.091	-0.008153568	-602.62634	1.7749631	0.009881659	0.0695	79.0	92.69018077850342
9	1.0	1.7320508	4.0	0.0	1000.0	26.395187	3.2041738	28.690765	-12.40617	40000	-8.6545946e-08	604.4697	-0.014154791	-570.50275	1.6996768	0.008957017	0.09875	79.0	101.27104258537292
10	0.0	0.0	0.0	0.0	1000.0	7.6968956	7.8252835	20.52347	-11.313802	44000	-3.8146974e-09	102.42535	-0.011278654	-96.21479	1.6522198	0.0033776395	0.07	79.0	109.86437177658081
11	250.0	433.0127	1000.0	0.0	1000.0	2.0683134	2.244911	15.41012	-2.2279744	48000	-1.6689301e-09	1911.8733	-0.009615329	-656.31384	1.6100227	0.010791807	0.0775	79.0	117.98759365081787
12	250.0	433.0127	1000.0	0.0	1000.0	7.6578603	10.756308	27.061064	-3.0846128	52000	3.838539e-08	2108.3462	-0.008241715	-792.50854	1.5327485	0.012924895	0.07425	79.0	125.9579713344574
13	250.0	433.0127	1000.0	0.0	1000.0	13.548107	8.843385	27.709448	-3.3782315	56000	-1.0490417e-08	1759.0094	-0.010449629	-489.99536	1.5736972	0.010334826	0.076	79.0	133.6612823009491
14	0.0	0.0	0.0	0.0	1000.0	13.812446	7.767378	23.99251	-5.789527	60000	-1.6212464e-08	208.89009	-0.012777925	-194.26564	1.5726868	0.00035032968	0.065	79.0	142.25305223464966
15	495.5	495.54086	1000.0	0.0	1000.0	9.05795	8.47525	27.44619	-10.01233	64000	2.6226044e-09	2940.9683	-0.011199117	-1485.0883	1.5068702	0.008766944	0.067	79.0	150.89395475387573
16	500.0	500.0	1000.0	0.0	1000.0	30.722668	8.05585	42.691093	10.118148	68000	6.198883e-09	1885.7614	-0.006825803	-812.07825	1.537492	0.00403188	0.04825	79.0	158.77197790145874
17	236.0	408.76398	944.0	0.0	1000.0	14.089872	23.507149	52.204098	-35.996754	72000	1.9073487e-09	562.1318	-0.01136742	-160.02652	1.5571632	0.015418019	0.12625	20.0	166.29947352409363
18	0.0	0.0	0.0	0.0	1000.0	5.1267047	6.2142153	42.03176	-12.706768	76000	1.9073487e-09	58.58782	-0.013178413	-52.606163	1.6032364	0.006472997	0.063	79.0	173.9172761440277
19	250.0	433.0127	1000.0	0.0	1000.0	29.620245	18.608118	56.984875	5.1155357	80000	3.33786e-08	1503.1676	-0.01144271	-1099.0562	1.6132233	0.012572949	0.10775	79.0	182.29407167434692
20	498.75	498.75314	1000.0	0.0	1000.0	5.491503	19.161312	58.533905	-28.516241	84000	-1.9073486e-08	2785.7185	-0.008950982	-2188.1753	1.5724965	0.011180624	0.049	79.0	191.07424879074097
