Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	90.5	90.775826	191.0	0.0	1000.0	0.02572958	0.7146059	1.3601756	-1.5166502	4000	-1.4305114e-08	324.43143	-0.013927492	-81.96565	1.8306458	0.008885751	0.08675	79.0	10.65193772315979
1	57.25	60.238586	141.0	0.0	1000.0	3.6613283	4.2729583	11.835609	-8.860459	8000	1.7166137e-08	196.61345	-0.015548106	-23.523315	1.819278	0.009645999	0.11825	79.0	20.165630102157593
2	85.25	147.65733	341.0	0.0	1000.0	5.8203254	2.8017116	12.505928	-5.1934986	12000	2.1457673e-08	388.60876	-0.016042976	-87.52652	1.7340982	0.007090755	0.136	79.0	29.801533222198486
3	120.5	121.75077	283.0	0.0	1000.0	5.2265506	4.965205	16.616905	-4.4399295	16000	1.9073486e-08	317.78207	-0.016252257	-76.874176	1.730932	0.012232655	0.15175	79.0	39.35838985443115
4	42.25	73.179146	169.0	0.0	1000.0	6.4240236	8.459059	25.553274	-13.257636	20000	9.536743e-09	137.17531	-0.01701439	-52.836296	1.7435881	0.011178768	0.12525	79.0	48.847808599472046
5	145.75	171.75328	420.0	0.0	1000.0	7.6626897	7.7284136	24.290436	-6.587813	24000	1.3351441e-08	549.5214	-0.017107267	-194.12201	1.72576	0.009120067	0.114	79.0	58.281360149383545
6	60.75	105.222084	243.0	0.0	1000.0	10.106777	11.245841	31.031303	-12.559934	28000	-4.196167e-08	343.94235	-0.018882588	-187.67052	1.6821951	0.010939432	0.12475	79.0	67.4320855140686
7	36.75	59.12434	139.0	0.0	1000.0	2.0388014	14.1874075	36.771095	-24.945602	32000	3.862381e-08	190.04771	-0.021616254	-122.023605	1.6304308	0.015140786	0.12525	58.0	76.55898880958557
8	10.25	17.753521	41.0	0.0	1000.0	5.2073164	7.401297	29.430792	-6.420554	36000	4.2915342e-09	66.39359	-0.020970898	-41.729774	1.5986881	0.011091682	0.13125	79.0	85.61480522155762
9	8.0	13.856406	32.0	0.0	1000.0	2.0154643	3.1136014	18.877373	-5.0780582	40000	-8.5830685e-09	11.949954	-0.016398393	-7.2903705	1.5550591	0.0062950077	0.098	79.0	94.69330835342407
10	98.75	101.07763	228.0	0.0	1000.0	-0.44072747	3.0994503	13.449924	-11.114812	44000	1.3351441e-08	405.59482	-0.015213945	-212.95235	1.5727276	0.0136392005	0.11325	79.0	104.1879529953003
11	183.0	288.27332	681.0	0.0	1000.0	14.618962	8.629604	30.239225	-2.8424945	48000	1.4305114e-08	854.0979	-0.013146384	-444.36713	1.4821607	0.014513794	0.1085	71.0	113.21995091438293
12	0.0	0.0	0.0	0.0	1000.0	-10.07947	8.594603	33.69863	-27.231941	52000	-3.4332274e-08	139.62984	-0.017010003	-124.96892	1.4766945	0.011523424	0.10675	79.0	122.27148985862732
13	22.0	38.105118	88.0	0.0	1000.0	4.7284718	9.497963	43.496223	-5.0688653	56000	-1.3351441e-08	75.263695	-0.018540435	-52.478233	1.4442524	0.0071322154	0.133	79.0	131.24780344963074
14	90.5	156.7506	362.0	0.0	1000.0	7.7958126	9.850645	43.97221	-14.816712	60000	-1.7166137e-08	280.9431	-0.014646218	-136.20663	1.4061353	0.008599567	0.115	79.0	140.24599766731262
15	0.0	0.0	0.0	0.0	1000.0	0.20530432	4.234631	19.428469	-14.021153	64000	-2.8610229e-08	14.120438	-0.019799663	-9.991049	1.3755555	0.008635208	0.12525	79.0	149.31091809272766
16	38.0	40.798283	97.0	0.0	1000.0	1.6978866	6.9120536	42.035816	-10.468535	68000	1.9073486e-08	68.15571	-0.020000359	-25.1167	1.3573198	0.013823837	0.15725	79.0	158.3751871585846
17	2.0	3.4641016	8.0	0.0	1000.0	1.9868144	4.4278727	23.608448	-21.755262	72000	-9.536743e-09	17.467798	-0.020727025	-14.057121	1.2623743	0.012682174	0.13075	79.0	167.4452531337738
18	181.75	243.1855	592.0	0.0	1000.0	6.7329187	8.455635	34.651524	-7.42411	76000	4.4345857e-08	723.77405	-0.014546386	-353.40118	1.2433685	0.008171146	0.07225	79.0	176.39825916290283
19	59.25	48.576614	117.0	0.0	1000.0	6.8583055	10.946178	45.6289	-9.130076	80000	9.536743e-09	161.7352	-0.017108183	-92.17402	1.242969	0.01303246	0.13425	79.0	185.3305106163025
20	0.0	0.0	0.0	0.0	1000.0	2.9592323	8.458638	35.470917	-23.225199	84000	-4.9591065e-08	58.365364	-0.016485551	-50.627937	1.2341355	0.006023744	0.10425	79.0	194.74588012695312
21	148.0	148.0	296.0	0.0	1000.0	0.33680543	4.5861354	21.520956	-31.678724	88000	1.0490417e-08	857.0715	-0.018044505	-580.9121	1.2456326	0.013522551	0.117	79.0	203.8712055683136
22	64.25	81.75688	200.0	0.0	1000.0	10.119637	14.995134	54.849945	-19.297783	92000	0.0	212.78333	-0.020144964	-92.48177	1.2400026	0.01211401	0.131	79.0	212.87259697914124
23	95.75	126.77219	309.0	0.0	1000.0	15.301106	20.761211	54.912422	-12.287683	96000	-2.9563903e-08	399.08884	-0.013565964	-199.5173	1.231371	0.01586789	0.09	38.0	221.69801378250122
24	32.5	56.291653	130.0	0.0	1000.0	6.0815067	9.383258	51.820892	-4.953682	100000	4.7683715e-09	144.4262	-0.016877122	-123.00606	1.1787473	0.009045807	0.12775	79.0	230.6821105480194
25	14.75	25.547749	59.0	0.0	1000.0	1.6641785	3.6916895	44.1825	-11.920366	104000	9.536743e-09	7.3196964	-0.020511558	-5.291111	1.1595664	0.010129612	0.1445	79.0	239.5457580089569
26	88.75	113.695595	278.0	0.0	1000.0	2.7634478	8.78687	46.821083	-30.767902	108000	-2.6702882e-08	248.72346	-0.017965687	-112.016174	1.1173974	0.011868233	0.1285	79.0	248.46339583396912
27	81.75	84.73009	195.0	0.0	1000.0	3.2228804	5.478887	43.979828	-22.794157	112000	-9.059906e-09	228.85379	-0.017642882	-124.96298	1.0686367	0.014881474	0.0905	62.0	257.37676072120667
28	0.0	0.0	0.0	0.0	1000.0	-0.18951043	0.6098931	10.35386	-5.4057703	116000	1.1920929e-08	0.50814706	-0.022268515	-0.32134002	1.0871701	0.013450268	0.098	79.0	266.3172700405121
29	0.0	0.0	0.0	0.0	1000.0	3.5023575	6.9024005	33.361366	-1.9792614	120000	-5.722046e-09	44.9829	-0.013813755	-41.499992	1.0465373	0.0029919916	0.0865	79.0	275.32416915893555
30	363.5	399.11996	1000.0	0.0	1000.0	7.3188963	9.273325	42.82368	-18.17045	124000	3.051758e-08	1979.7278	-0.017217195	-1671.6006	1.0451508	0.014756961	0.09525	69.0	284.6837012767792
31	54.75	38.205856	108.0	0.0	1000.0	23.788448	22.074469	68.9757	-23.005842	128000	-1.9073486e-08	708.1231	-0.022555742	-617.6268	1.011896	0.0116525525	0.15075	79.0	293.64208149909973
32	179.5	303.44397	705.0	0.0	1000.0	8.568731	13.097044	64.673454	-39.92427	132000	-2.2888184e-08	575.7295	-0.0063135033	-449.37463	1.0363663	0.0083112335	0.07325	3.0	302.308345079422
33	164.0	284.05634	656.0	0.0	1000.0	18.653284	26.231377	70.34581	-13.562206	136000	7.629395e-09	273.96436	-0.015066742	-174.88155	0.98390305	0.0054423227	0.15125	79.0	311.26125597953796
34	117.75	203.94899	471.0	0.0	1000.0	11.316473	22.11416	70.53656	-4.816748	140000	-1.525879e-08	200.31319	-0.02103831	-71.297226	0.98150957	0.015266504	0.187	76.0	320.252073764801
35	8.75	15.155444	35.0	0.0	1000.0	0.66445804	3.4672494	42.27393	-3.6546116	144000	0.0	6.518452	-0.012551133	-3.9293892	0.9473586	0.015097401	0.1685	56.0	329.0818943977356
36	0.0	0.0	0.0	0.0	1000.0	0.9771374	6.649511	57.211224	-3.5615726	148000	-1.4305114e-08	45.1567	-0.0029206092	-43.5039	0.9298113	0.022224274	0.23325	3.0	337.8071720600128
37	116.75	155.14731	378.0	0.0	1000.0	5.8452244	13.073728	60.05407	-2.5293844	152000	1.2397766e-08	365.32175	-0.019509388	-162.73856	0.9327792	0.011022436	0.12525	79.0	346.70476174354553
38	1.0	1.7320508	4.0	0.0	1000.0	4.9574533	6.458584	63.381615	-14.123503	156000	-3.6239623e-08	62.147133	-0.025886843	-60.268818	0.9122964	0.011534361	0.14	79.0	355.55262541770935
39	0.0	0.0	0.0	0.0	1000.0	0.4876961	0.9566727	31.987097	-10.759363	160000	1.9073487e-09	1.1252464	-0.013365051	-0.99643594	0.9662707	0.0058875815	0.10075	79.0	364.50347566604614
40	36.5	39.143967	93.0	0.0	1000.0	2.7277534	7.9085674	63.31537	-5.295125	164000	-1.9073487e-09	60.681065	-0.023208149	-26.098755	0.948444	0.011087143	0.16725	79.0	373.83795380592346
41	338.0	290.22147	665.0	0.0	1000.0	6.776383	7.466306	38.92545	-7.517545	168000	-3.9577483e-08	1233.7426	-0.016865633	-987.07495	0.8815313	0.0077060494	0.087	79.0	382.65809988975525
42	102.5	127.82117	313.0	0.0	1000.0	5.2700753	9.345403	54.14283	-20.086163	172000	4.768372e-10	139.29388	-0.020026812	-69.910545	0.8498569	0.012474396	0.12175	79.0	391.5411789417267
43	9.5	16.454483	38.0	0.0	1000.0	2.0536828	3.605019	38.85698	-2.1563048	176000	1.9073486e-08	11.00189	-0.017415509	-9.190807	0.8409502	0.011886631	0.1785	79.0	400.3206317424774
44	57.0	65.06535	167.0	0.0	1000.0	8.190632	15.321747	70.17123	-1.623606	180000	3.8146974e-09	183.2457	-0.008129768	-115.78681	0.83590037	0.014450382	0.2065	9.0	408.94719648361206
45	18.5	18.714968	41.0	0.0	1000.0	2.228762	3.4048634	32.178837	-11.013031	184000	1.3351441e-08	23.354307	-0.023019183	-4.4431133	0.8739213	0.013184483	0.1635	79.0	417.7712609767914
46	24.5	31.949179	78.0	0.0	1000.0	2.3822823	4.244166	32.96222	-1.7502892	188000	1.7166137e-08	26.76454	-0.0057211267	-4.52063	0.84023327	0.01705668	0.197	4.0	426.33178544044495
47	12.25	15.974589	39.0	0.0	1000.0	1.9356444	3.853465	38.611706	-0.91318464	192000	2.861023e-09	16.534916	-0.0073346756	-5.2746077	0.85788745	0.021309478	0.2425	6.0	435.0193455219269
48	7.75	13.423394	31.0	0.0	1000.0	2.308323	2.7000427	28.868517	-1.0320959	196000	-1.2874604e-08	10.96228	-0.019515086	-4.393894	0.81356555	0.015180718	0.106	46.0	443.7199704647064
