Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	52.46085	21.518604	82.73874	26.917196	1000.0	0.021660885	0.54732543	1.3905829	-1.513298	4000	3.409386e-08	35.90275	-0.010179636	-31.57966	4.620569	0.012720292	0.11825	2.0	12.054299592971802
1	47.78854	27.145597	78.741974	18.537773	1000.0	4.141827	2.7956405	10.419839	-1.7399241	8000	1.001358e-08	2.7579424	-0.043031737	-1.586512	4.571138	0.012243895	0.19075	79.0	22.634435653686523
2	98.54195	77.30204	224.59929	17.6503	1000.0	4.890375	3.775893	11.462314	-4.0446796	12000	-2.0951033e-08	162.70331	-0.018886324	-49.423912	4.5701103	0.0153844645	0.157	15.0	32.732810497283936
3	163.8303	126.408745	382.68906	87.76007	1000.0	13.305579	4.626134	18.967472	-4.0770454	16000	9.059906e-09	363.2395	-0.018680327	-82.358765	4.510966	0.015967939	0.19975	14.0	42.88753581047058
4	89.37868	57.340942	185.23637	35.666153	1000.0	9.593419	18.78555	29.717215	-23.940083	20000	-7.5340274e-08	177.8198	-0.043318152	-141.44154	4.5917892	0.013574325	0.1925	79.0	53.27198624610901
5	76.14384	9.0084505	88.73203	67.22667	1000.0	9.969255	4.6410494	21.510729	-1.5760489	24000	-3.8146974e-09	8.544639	-0.047043066	-6.250955	4.483009	0.011175787	0.23575	79.0	63.68672013282776
6	88.05997	25.058916	129.47975	66.13978	1000.0	8.4252205	2.43525	20.877674	2.774262	28000	1.0967255e-08	62.350517	-0.011108855	-10.425507	4.4588933	0.014072092	0.20725	5.0	73.78212237358093
7	53.34392	4.8471146	59.552334	47.177124	1000.0	7.7371454	3.7740872	20.772219	-1.7226579	32000	-2.3841858e-08	13.295195	-0.044149414	-11.343365	4.473294	0.013516006	0.2125	79.0	84.12929463386536
8	67.618576	26.871586	93.11878	25.078716	1000.0	5.8638587	2.1521285	15.699316	0.8763008	36000	2.0980835e-08	7.366046	-0.04453215	-5.2582736	4.478084	0.014241968	0.2115	79.0	94.51351714134216
9	48.436703	11.567774	62.18134	31.067017	1000.0	5.147757	2.774974	14.458453	-0.38714182	40000	-2.6702882e-08	2.2120423	-0.03975956	-0.77810776	4.476875	0.015528286	0.2105	45.0	104.73929286003113
