Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	0.0	0.0	0.0	1000.0	-0.26543742	0.51674885	1.5788383	-1.5167221	4000	-7.2717667e-09	0.33415967	-0.047876984	-0.32271403	3.660317	0.015258049	0.183	70.0	11.429816722869873
1	0.0011252459	0.0019489832	0.0045009837	0.0	1000.0	-0.031049566	0.08118927	0.49182063	-0.5442161	8000	2.193451e-08	0.0072297314	-0.046474747	-0.0051116394	3.6751852	0.0153649	0.191	50.0	20.711952447891235
2	1.452938	2.5165622	5.811752	0.0	1000.0	-0.0028011051	0.054301403	0.3293298	-0.26990485	12000	4.7683715e-09	0.16265321	-0.0102798045	-0.05777263	3.67106	0.015775366	0.198	7.0	29.80862593650818
3	0.0	0.0	0.0	0.0	1000.0	0.01926686	0.155951	1.08931	-0.5639026	16000	9.536744e-10	0.024868738	-0.047125123	-0.02256115	3.6736734	0.013937218	0.1765	79.0	39.12901163101196
4	0.0	0.0	0.0	0.0	1000.0	0.003169341	0.055602536	0.40677798	-0.3507422	20000	-1.9073487e-09	0.0031115478	-0.050718952	-0.0020029675	3.607377	0.01326472	0.196	79.0	48.491411209106445
5	0.0	0.0	0.0	0.0	1000.0	0.00013193226	0.049602743	0.4391495	-0.3645278	24000	-6.198883e-09	0.0024924749	-0.014357393	-0.0014432173	3.659349	0.01771056	0.2295	6.0	57.61773657798767
6	0.0	0.0	0.0	0.0	1000.0	0.0006310587	0.036787517	0.2615026	-0.22994918	28000	3.3378602e-09	0.0013600301	-0.040357415	-0.0006475934	3.5846703	0.015339077	0.18075	35.0	66.79407906532288
7	0.0	0.0	0.0	0.0	1000.0	-0.0030823478	0.034730792	0.29723212	-0.22169223	32000	-1.1444092e-08	0.0012191253	-0.037518155	-0.0005841615	3.6152964	0.015534279	0.17925	31.0	75.86512231826782
8	0.0008047942	0.0013939445	0.0032191768	0.0	1000.0	0.0005212888	0.038644537	0.20408677	-0.20192808	36000	1.1920929e-09	0.0015916283	-0.054597348	-0.0008643657	3.5621748	0.013033004	0.2535	79.0	85.25776076316833
9	0.0	0.0	0.0	0.0	1000.0	0.0018075118	0.02019303	0.1310397	-0.20727535	40000	-1.7166137e-08	0.00041550564	-0.04963515	-0.00016719542	3.56018	0.00969795	0.18275	79.0	94.64611530303955
10	0.13414693	0.2323493	0.5365877	0.0	1000.0	-0.0027673126	0.026182482	0.19658166	-0.17780985	44000	-6.198883e-09	0.0013410924	-0.044030577	-0.00046406547	3.518833	0.014892986	0.23375	79.0	104.26794981956482
11	0.0	0.0	0.0	0.0	1000.0	0.0042435722	0.029775893	0.22647132	-0.16506119	48000	-4.2915342e-09	0.00090933667	-0.048196655	-0.00049955916	3.4620187	0.015182701	0.2055	41.0	113.40650677680969
12	0.0	0.0	0.0	0.0	1000.0	-0.0015119311	0.017814005	0.15305768	-0.11594251	52000	3.8146974e-09	0.0003189878	-0.011173358	-0.00014344088	3.4173894	0.01752578	0.239	5.0	122.3990466594696
13	2.4727435e-06	4.282918e-06	9.890974e-06	0.0	1000.0	-0.00050470507	0.016989818	0.11796401	-0.15004179	56000	-9.536743e-09	0.00029013905	-0.04788274	-0.0001250646	3.4262872	0.015197573	0.19825	63.0	131.76723074913025
