Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	1.2733278	0.7223162	1.872452	0.038872637	1000.0	0.03391426	0.7831565	2.533492	-2.2039232	4000	2.4795533e-08	0.6568835	-0.07719855	-0.6116059	19.201853	0.019796472	0.38725	5.0	13.73305606842041
1	0.790885	0.66043633	1.8638206	0.12528718	1000.0	-0.029971756	0.18644784	0.71949583	-0.64575106	8000	-1.4305115e-09	0.043721296	-0.07197504	-0.028381292	19.342487	0.019906314	0.3805	8.0	26.06042170524597
2	1.1884917	0.5142499	1.8962195	0.45912242	1000.0	0.020736905	0.13609158	0.5116754	-0.5131644	12000	-1.2397766e-08	0.025736695	-0.05282283	-0.013570323	19.35071	0.022442307	0.361	6.0	38.37327742576599
3	0.8356767	0.4156399	1.3159238	0.18298948	1000.0	0.0017657847	0.12205082	0.5535928	-0.38963592	16000	-1.502037e-08	0.018255841	-0.051421076	-0.0101352725	19.270771	0.019759865	0.3435	6.0	50.69377875328064
4	0.8882696	0.76678944	1.9458219	0.027111677	1000.0	0.019064693	0.1032626	0.60543245	-0.37539265	20000	-1.4305114e-08	0.015832433	-0.042128287	-0.007689828	19.281115	0.021482103	0.27575	5.0	63.069924116134644
5	0.66105926	0.5552155	1.4436294	0.07015161	1000.0	0.005124367	0.09166218	0.6838601	-0.30647004	24000	5.1498414e-08	0.010683848	-0.043805435	-0.005223503	19.280058	0.021058463	0.33	6.0	75.54040360450745
6	0.83694845	0.50631195	1.6874849	0.44939265	1000.0	0.007403425	0.08098329	0.54626995	-0.27009252	28000	-1.6331672e-08	0.009605235	-0.046703953	-0.004338365	19.212765	0.02201217	0.306	6.0	87.87093496322632
7	0.53043866	0.12457895	0.69378287	0.351281	1000.0	0.006108893	0.07293856	0.6009055	-0.2607935	32000	-8.106232e-09	0.006255608	-0.055676293	-0.003057802	19.332249	0.02083359	0.3545	7.0	100.03353691101074
8	1.1283429	0.43207484	1.5049695	0.39704755	1000.0	0.011235153	0.067471184	0.55135125	-0.28167564	36000	3.4332274e-08	0.009487817	-0.040384434	-0.003768099	19.250368	0.022557477	0.28825	6.0	112.03141379356384
9	0.4840076	0.24649921	0.8898215	0.25608465	1000.0	0.009131426	0.06451013	0.7551579	-0.23531161	40000	2.8610229e-08	0.0045478987	-0.04301403	-0.0022551368	19.242115	0.022504468	0.257	5.0	124.13200068473816
10	0.5411432	0.4400292	1.1225628	0.059897255	1000.0	0.0039035936	0.05596533	0.5458547	-0.2841086	44000	5.1498414e-08	0.0045530414	-0.04792776	-0.001750061	19.203922	0.02044259	0.375	7.0	136.62674736976624
