Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	0.0	0.0	0.0	1000.0	0.02499764	0.028279075	0.07716859	-0.029925816	4000	-5.9604645e-08	0.0013124864	-0.007630394	-0.00128186	1.8306458	0.0058258744	0.0675	79.0	10.283730268478394
1	2.0006093e-05	3.465157e-05	8.002437e-05	0.0	1000.0	0.0010445424	0.0014126087	0.0035914422	-0.0025360605	8000	-7.629395e-09	2.6927837e-06	-0.007832569	-2.5942154e-06	1.8237545	0.0069177733	0.08725	79.0	18.295915365219116
2	0.19081137	0.33041552	0.76310784	0.0	1000.0	0.00014219117	9.211814e-05	0.000382414	-0.00013338085	12000	2.9444694e-08	0.004936384	-0.0021661713	-0.0008695484	1.7712156	0.006144006	0.04125	79.0	25.894935369491577
3	0.44919613	0.7780305	1.7967845	0.0	1000.0	0.05102543	0.031975187	0.1148197	-0.025775412	16000	-2.8610229e-08	0.03439924	-0.0026996995	-0.0055548195	1.8221481	0.0042993478	0.037	79.0	32.96810817718506
4	27.238321	47.178154	108.953285	0.0	1000.0	0.042214654	0.078907624	0.22578958	-0.09626575	20000	-5.722046e-09	102.00085	-0.0014520856	-24.259567	1.8187048	0.0097076325	0.06075	79.0	39.71382212638855
5	0.0	0.0	0.0	0.0	1000.0	-1.4403259	4.7579384	9.129606	-7.5798545	24000	-2.3126603e-08	21.72588	-0.003097519	-20.83453	1.8526275	0.0033991917	0.03175	79.0	46.10571050643921
6	16.400963	24.68109	58.885044	0.0	1000.0	0.108120605	1.3091966	3.8176038	-1.3311985	28000	-1.9073486e-08	28.149801	-0.004260971	-3.5598564	1.8575721	0.009174624	0.0655	79.0	52.651190519332886
7	13.016306	22.437563	51.87908	3.2866318e-30	1000.0	3.4283652	2.2881386	8.6022625	-0.014630988	32000	1.9073487e-09	26.998842	-0.002103957	-6.1501293	1.7880934	0.0027479888	0.03075	79.0	59.41175842285156
8	8.137121e-28	0.0	3.2548486e-27	0.0	1000.0	1.4731804	2.3776183	6.615424	-3.242076	36000	3.218651e-08	7.581782	-0.00477833	-7.4951663	1.7737705	0.0050401697	0.047	79.0	66.02851009368896
9	13.772811	23.854992	55.09087	0.0	1000.0	0.19040823	0.11070922	0.39425433	-0.1610627	40000	1.1444092e-08	25.153069	-0.0027674465	-3.0606346	1.7678928	0.006751502	0.03875	79.0	72.3238091468811
10	24.1255	41.78546	96.50004	0.0	1000.0	1.3922849	0.67353874	3.7712388	0.5400741	44000	5.4836273e-09	74.57566	-0.0016388413	-10.103104	1.7832338	0.0041206344	0.029	79.0	80.20441341400146
11	0.0	0.0	0.0	0.0	1000.0	0.7773735	3.5582445	11.41048	-4.1823945	48000	5.9127807e-08	12.262726	-0.0023999577	-11.684578	1.7261821	0.0026715163	0.048	79.0	86.25374293327332
12	5.7787425e-36	0.0	2.311497e-35	0.0	1000.0	0.67321527	1.1283288	4.4192886	-0.76578873	52000	2.0980835e-08	1.6939284	-0.002859562	-1.5161455	1.7215317	0.007353681	0.0525	79.0	92.14603781700134
13	0.0	0.0	0.0	0.0	1000.0	-0.31274566	0.20065725	0.10055173	-0.6854006	56000	-9.059906e-08	0.114172034	-0.0058978354	-0.0932368	1.654202	0.008369247	0.0715	79.0	97.98831129074097
14	9.55961	13.354819	32.307476	0.0	1000.0	0.36027548	0.34651107	1.0917507	-0.28314865	60000	-1.525879e-08	9.682592	-0.0022564123	-0.6322756	1.6330706	0.006166035	0.04725	79.0	103.71242928504944
15	64.45605	111.64114	257.8242	0.0	1000.0	0.8684732	0.4783921	2.1507158	-0.005427636	64000	-4.7683715e-09	381.978	-0.0021250525	-61.357758	1.6423556	0.007950806	0.048	79.0	109.4551899433136
16	28.58152	49.504642	114.32608	0.0	1000.0	10.382259	6.840583	17.133955	-4.4278893	68000	2.2888184e-08	177.03816	-0.002558277	-80.67219	1.677415	0.006581877	0.05075	79.0	115.18000674247742
17	34.72957	58.856785	136.66	0.0	1000.0	3.3448796	0.70074326	4.917768	1.6954818	72000	3.8146974e-09	119.466774	-0.0019603614	-2.6144028	1.6867057	0.008114196	0.05275	79.0	121.01443147659302
18	92.09959	92.16575	189.13712	0.0	1000.0	3.792789	1.4422588	7.3229737	1.22663	76000	-1.6450882e-08	404.6045	-0.0019733144	-83.464294	1.7186437	0.0040044584	0.02475	79.0	126.9867627620697
19	18.511482	32.062828	74.04593	0.0	1000.0	7.685753	8.181856	18.828293	-5.4002256	80000	9.536743e-09	116.662476	-0.002834797	-59.84067	1.7362499	0.0041394904	0.03775	79.0	132.80876183509827
20	51.037052	88.39877	204.14821	0.0	1000.0	3.496416	1.6922525	7.4757295	0.7637753	84000	1.4901161e-09	215.8412	-0.003679634	-35.99881	1.7517754	0.008808041	0.06475	79.0	139.23766565322876
21	47.49515	82.226135	189.91498	3.4878857e-07	1000.0	12.678363	2.3772593	15.291811	5.8007526	88000	1.9550324e-08	277.85767	-0.0022012095	-47.44333	1.6779252	0.0068378723	0.04325	79.0	145.33531522750854
22	5.8301887e-17	1.0098183e-16	2.3320755e-16	0.0	1000.0	9.434263	1.058973	10.814641	6.9370937	92000	3.2043457e-07	75.99088	-0.004360013	-71.46581	1.720357	0.0056636976	0.044	79.0	151.52092576026917
23	18.64877	32.300617	74.59508	0.0	1000.0	0.27026916	1.263389	2.1794221	-1.8532689	96000	3.8146974e-09	56.516617	-0.0036112345	-7.476143	1.6917363	0.010194382	0.093	79.0	157.4324471950531
24	3.3998743e-21	5.8631608e-21	1.3555099e-20	0.0	1000.0	1.2725627	0.33837527	1.7556435	0.50276023	100000	-1.7356872e-07	1.395652	-0.005715408	-1.2691513	1.6370592	0.004955803	0.0555	79.0	163.35931611061096
25	0.40080982	0.694223	1.6032393	0.0	1000.0	0.5025788	0.43929946	1.416528	-0.05090233	104000	-5.6266785e-08	0.38328785	-0.0020731953	-0.30762634	1.608766	0.0048926794	0.031	79.0	169.15895223617554
26	17.819714	30.864649	71.278854	0.0	1000.0	0.0077853203	0.17858586	0.55841184	-0.25523454	108000	-3.8146974e-09	47.11949	-0.002226101	-3.1567535	1.5745051	0.004612484	0.03275	79.0	174.96829295158386
27	4.3523175e-14	7.538435e-14	1.740927e-13	0.0	1000.0	1.4309986	0.22866088	1.940073	0.982362	112000	-7.2479246e-08	1.7932731	-0.004494377	-1.6483368	1.5022451	0.006353529	0.0625	79.0	180.88436794281006
28	0.0	0.0	0.0	0.0	1000.0	0.28483403	0.20815003	0.7579897	-0.087091506	116000	3.409386e-08	0.11779336	-0.004658095	-0.085916474	1.5236554	0.005569608	0.06175	79.0	186.84621047973633
29	11.153368	19.318201	44.613472	0.0	1000.0	-0.03406762	0.3273247	1.0609952	-0.4603576	120000	-2.6702882e-08	17.996727	-0.001863432	-1.9376698	1.5279729	0.0066190274	0.03075	79.0	192.89005088806152
30	7.3171034e-26	0.0	1.621959e-25	0.0	1000.0	1.2614981	0.31289637	2.1490119	0.68306994	124000	-3.1471254e-07	1.5412122	-0.0032169265	-1.3613423	1.5267777	0.004442886	0.04325	79.0	200.1005425453186
31	1.000016e-37	0.0	4.000064e-37	0.0	1000.0	0.4544436	0.4112376	1.6026075	-0.16947174	128000	-1.6164779e-07	0.37425	-0.0047297273	-0.25903457	1.5142928	0.0081338845	0.039	79.0	206.35964918136597
32	0.17403275	0.30143356	0.696131	0.0	1000.0	0.058810342	0.3235771	1.0624086	-0.42229623	132000	-8.5830685e-09	0.0956797	-0.0064414963	-0.019792922	1.5947754	0.0057058074	0.05925	79.0	212.2034454345703
33	0.0	0.0	0.0	0.0	1000.0	-0.22421975	0.36204153	0.68672264	-0.89266074	136000	-4.863739e-08	0.15973867	-0.0025668112	-0.104269266	1.538523	0.004142792	0.03175	79.0	218.09623432159424
34	14.528543	25.164177	58.114174	0.0	1000.0	0.030174393	0.33646706	0.7491323	-0.31478366	140000	-1.7166137e-08	11.013827	-0.004422479	-0.27649117	1.5725371	0.008475545	0.05275	79.0	223.91347742080688
35	2.1155948e-34	0.0	8.462379e-34	0.0	1000.0	0.5089084	0.35021958	1.5771291	0.068183705	144000	-1.3351441e-08	0.36811864	-0.0028834152	-0.28951553	1.5226934	0.0032553903	0.03675	79.0	229.74009895324707
36	33.774635	58.499386	135.09854	0.0	1000.0	-0.2626651	0.388237	0.80296195	-0.8120781	148000	-1.525879e-08	144.3018	-0.0029498022	-27.047241	1.4722128	0.005133483	0.03425	79.0	235.57504796981812
37	1.4686291e-09	2.5437403e-09	5.8745164e-09	0.0	1000.0	4.5232973	1.7672939	8.067892	1.5004642	152000	1.13487246e-07	22.040054	-0.006852485	-20.385246	1.4708942	0.005681825	0.064	79.0	241.41853833198547
38	3.2746985e-14	5.671944e-14	1.3098794e-13	0.0	1000.0	0.37743112	0.91913337	2.475076	-0.91718084	156000	-1.9073487e-09	0.95193	-0.00438447	-0.7745611	1.4164776	0.0058637457	0.0345	79.0	247.33405327796936
39	0.0	0.0	0.0	0.0	1000.0	-0.25103596	0.5867837	1.3110645	-0.8218704	160000	-6.151199e-08	0.34427875	-0.0048366897	-0.21767674	1.4264468	0.0050176675	0.05375	79.0	253.10177731513977
40	4.1149543e-33	0.0	1.6459817e-32	0.0	1000.0	0.3320309	0.346747	1.4795425	-0.07811497	164000	3.9577483e-08	0.22832988	-0.0034180724	-0.12749688	1.4401646	0.0040130233	0.0375	79.0	260.9623041152954
41	3.909627e-29	0.0	1.5638508e-28	0.0	1000.0	0.13436581	0.64292496	1.7655516	-0.71520525	168000	4.768372e-10	0.40951058	-0.0039945077	-0.27559403	1.4547999	0.006264328	0.0425	79.0	267.0629744529724
42	3.9717317	6.8792415	15.886927	0.0	1000.0	0.2057951	0.4023358	0.9162807	-0.44790053	172000	-1.1444092e-08	0.6315658	-0.0022352943	-0.08602911	1.4744729	0.0059560603	0.068	79.0	273.0286295413971
43	19.423073	33.64175	77.69229	0.0	1000.0	-0.15098304	0.28744784	0.6673219	-0.45859656	176000	1.9073486e-08	52.612106	-0.0036129989	-5.5285797	1.4673824	0.006532443	0.05175	79.0	279.05605602264404
44	0.0	0.0	0.0	0.0	1000.0	1.5441368	0.51141673	3.4105048	1.1282463	180000	2.040863e-07	2.3608682	-0.004080594	-2.0058045	1.4150053	0.0052950033	0.059	79.0	284.897833108902
45	0.000544713	0.0009434706	0.002178852	0.0	1000.0	0.7276522	0.6272103	2.3556309	-0.20393823	184000	1.9550324e-08	0.91166025	-0.003461077	-0.6973874	1.423717	0.0025669103	0.0315	79.0	290.78199338912964
46	12.130613	21.010838	48.522453	0.0	1000.0	-0.16618916	0.688668	0.9099724	-0.99776727	188000	-9.536743e-09	20.084984	-0.0027102546	-2.1020603	1.3778489	0.005209064	0.04225	79.0	296.7094464302063
47	37.91097	65.66373	151.64388	0.0	1000.0	1.1064111	0.91494757	2.6788492	0.10454402	192000	-2.0980835e-08	165.78839	-0.0019440651	-18.298004	1.3709588	0.007473918	0.0525	79.0	302.5323295593262
48	2.5819828e-35	0.0	1.0327931e-34	0.0	1000.0	6.1044064	2.9426281	8.21448	-0.77753484	196000	5.4836274e-08	38.997234	-0.003531004	-36.929554	1.3223931	0.003887616	0.04725	79.0	308.37089562416077
49	0.0	0.0	0.0	0.0	1000.0	0.44391564	0.6621224	1.9473623	-0.42292762	200000	1.2397766e-08	0.5861128	-0.00390351	-0.37513676	1.349789	0.0057042763	0.04475	79.0	314.2821502685547
