Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	4.307734e-39	0.0	1.7230938e-38	0.0	1000.0	0.06870175	0.022356667	0.10873109	0.030129798	4000	-1.7738343e-07	0.004403809	-0.005365734	-0.0041937283	1.857413	0.008336833	0.065	79.0	10.35410189628601
1	0.0	0.0	0.0	0.0	1000.0	-0.013093415	0.008034053	0.003207313	-0.026887491	8000	1.244545e-07	0.00020065362	-0.0042361706	-0.00019092775	1.8382573	0.0053733983	0.0335	79.0	19.30527400970459
2	5.1906915e-07	8.990541e-07	2.0762766e-06	0.0	1000.0	-0.00067793764	0.0024576583	0.004220494	-0.006755462	12000	1.4305114e-08	5.6468675e-06	-0.0064443867	-5.4462807e-06	1.8196391	0.0067883846	0.06775	79.0	28.365431785583496
3	2.0200164e-18	3.498771e-18	8.080066e-18	0.0	1000.0	-5.5807737e-05	0.00039912493	0.000534139	-0.0008923119	16000	-1.1920929e-09	1.3382508e-07	-0.0051663653	-1.2515058e-07	1.832206	0.0066212723	0.08475	79.0	37.352224349975586
4	0.0	0.0	0.0	0.0	1000.0	7.482395e-07	7.171932e-05	0.00017012974	-0.0001534229	20000	-3.8146974e-09	4.706052e-09	-0.004655526	-3.432306e-09	1.8584117	0.004058655	0.043	79.0	46.3625373840332
5	0.0	0.0	0.0	0.0	1000.0	-1.2345299e-05	4.5970522e-05	0.00010897447	-0.0001419888	24000	1.4305114e-08	2.140443e-09	-0.0063666715	-1.7180978e-09	1.8069487	0.006040191	0.0745	79.0	55.43293285369873
6	0.0	0.0	0.0	0.0	1000.0	5.5378707e-05	2.897588e-05	0.00012963195	-3.3695476e-05	28000	1.66893e-08	3.22137e-09	-0.0041121957	-2.896916e-09	1.8261505	0.0055682072	0.045	79.0	64.42979502677917
7	62.37822	108.042244	249.51288	0.0	1000.0	6.6283988e-06	2.3034865e-05	5.0250615e-05	-7.557479e-05	32000	6.198883e-09	344.9553	-0.0032037436	-128.33113	1.8168377	0.009311835	0.065	79.0	73.34506034851074
8	1.2276968e-31	0.0	4.910786e-31	0.0	1000.0	9.724669	8.62041	23.795975	-12.061723	36000	-2.3841858e-08	146.97897	-0.0030818817	-136.63907	1.8625101	0.0019630517	0.0335	79.0	82.26682901382446
9	0.0	0.0	0.0	0.0	1000.0	2.0653589	6.0393147	9.64021	-8.626151	40000	9.059906e-09	33.295288	-0.004927563	-31.347914	1.8086629	0.007891935	0.07225	79.0	91.2538411617279
10	0.0011987683	0.0020714775	0.0047866674	0.0	1000.0	-0.17759088	0.63542235	1.1995096	-1.3409559	44000	-1.1444092e-08	0.32183352	-0.0067994297	-0.27517834	1.8072037	0.0068350877	0.078	79.0	100.5286934375763
11	6.28e-43	0.0	2.51e-42	0.0	1000.0	0.022841232	0.30628613	0.8511204	-0.6061459	48000	-1.835823e-08	0.08593605	-0.004804193	-0.07831641	1.8418056	0.0073411344	0.06375	79.0	109.57948756217957
12	25.349266	43.906216	101.397064	0.0	1000.0	-0.097588375	0.063644364	0.13095328	-0.32774156	52000	-2.2888184e-08	86.21172	-0.0026416609	-8.390732	1.7915086	0.008061603	0.075	79.0	118.57708787918091
13	25.057346	43.400597	100.229385	0.0	1000.0	2.8042886	1.3497137	5.3141212	0.6708146	56000	1.3351441e-08	46.36005	-0.0022716464	-3.8318481	1.8483458	0.008191738	0.05525	79.0	127.53395199775696
14	2.0064904e-10	3.4753433e-10	8.0259616e-10	0.0	1000.0	0.95807374	0.5668275	1.9295325	0.14896697	60000	1.525879e-08	1.0912392	-0.0061995746	-0.99232996	1.8672099	0.007393052	0.07575	79.0	136.4865403175354
15	1.1125364e-36	0.0	4.4070287e-36	0.0	1000.0	0.37144795	0.3473031	1.1059296	-0.07940154	64000	5.030632e-08	0.20423894	-0.004765489	-0.18870167	1.8408695	0.008860988	0.07625	79.0	145.4630835056305
16	0.0	0.0	0.0	0.0	1000.0	0.020339599	0.25429466	0.42337245	-0.33208954	68000	1.6212464e-08	0.054032654	-0.0040089646	-0.04798273	1.9072978	0.0053662243	0.0615	79.0	154.40498042106628
17	12.67406	21.950525	50.693485	0.0	1000.0	0.0018838911	0.08859493	0.2344394	-0.25741053	72000	-1.9073486e-08	23.909887	-0.0030717677	-1.7784653	1.8853543	0.009230453	0.07825	79.0	163.26209354400635
18	4.1044814e-27	0.0	1.6417926e-26	0.0	1000.0	1.2485002	0.13431966	1.617801	0.972044	76000	2.298355e-07	1.3346013	-0.009316771	-1.2708347	1.929905	0.0108470395	0.10225	79.0	172.1879575252533
19	0.21717392	0.37615627	0.8686957	0.0	1000.0	0.12242958	0.099624954	0.36863473	-0.13582706	80000	4.7683715e-09	0.02510633	-0.00519274	-0.009615428	1.8887856	0.006108698	0.05275	79.0	181.15553832054138
20	1.511699e-11	2.2571112e-11	5.3937636e-11	0.0	1000.0	0.061850045	0.083145946	0.32877544	-0.23824963	84000	-3.8146974e-09	0.009346877	-0.008978623	-0.0042568636	1.8621762	0.0037218486	0.068	79.0	190.5667769908905
21	1.3216937e-13	2.2892406e-13	5.2867747e-13	0.0	1000.0	0.017240696	0.10622996	0.3317902	-0.3587268	88000	1.7166137e-08	0.011204446	-0.009454946	-0.0042815646	1.8351381	0.009192891	0.10225	79.0	199.52010798454285
22	0.0	0.0	0.0	0.0	1000.0	0.023908112	0.095182545	0.37614265	-0.27725282	92000	7.629395e-09	0.009800496	-0.008290985	-0.0012419177	1.8354659	0.003909997	0.06925	79.0	208.47479438781738
23	21.75955	37.688644	87.0382	0.0	1000.0	-0.0016328163	0.09200399	0.30001074	-0.24916255	96000	3.8146974e-09	70.147285	-0.0038351992	-13.792141	1.8091964	0.003980223	0.04325	79.0	217.36078786849976
24	0.0	0.0	3e-45	0.0	1000.0	3.684874	2.7736433	8.885195	0.046748504	100000	-9.250641e-08	18.007961	-0.0046940227	-16.9862	1.7844208	0.0046954164	0.06925	79.0	226.3272683620453
