Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	37.469013	33.549683	84.856514	0.5023088	1000.0	-0.034414787	0.6858184	2.4800687	-2.2405877	4000	2.4795533e-08	38.25677	-0.043199345	-23.374542	11.010218	0.023360737	0.22325	3.0	13.81926965713501
1	111.35905	149.58887	365.42578	0.0	1000.0	1.1795287	2.5263972	7.2591314	-6.1582813	8000	9.918213e-08	309.1363	-0.065846786	-223.84756	11.016734	0.02064451	0.30675	8.0	26.66977572441101
2	68.50588	46.793842	140.45726	10.007782	1000.0	2.7335587	13.0294075	21.34119	-20.922266	12000	1.7166137e-08	122.31826	-0.050857123	-104.74583	11.047917	0.018322572	0.26575	6.0	39.21515893936157
3	222.96106	147.94876	455.02347	45.3834	1000.0	6.2860546	4.443684	19.725687	-10.403591	16000	1.2397766e-08	469.49014	-0.047449566	-335.96527	11.083274	0.01818375	0.27425	6.0	51.83107304573059
4	154.5724	121.48394	358.02908	36.169456	1000.0	16.616571	11.205414	28.119257	-25.747608	20000	-8.106232e-08	250.56389	-0.052759655	-223.90921	11.023539	0.017507503	0.29275	7.0	64.30262160301208
5	168.3955	184.66971	483.1076	9.711491	1000.0	10.359739	13.568017	30.646849	-28.543827	24000	-1.2397766e-08	226.17165	-0.05100678	-186.27913	11.018093	0.019859008	0.2975	7.0	76.28781294822693
6	316.51422	195.5224	539.3822	1.9713967	1000.0	17.090574	10.680276	35.873318	-18.8414	28000	7.8201296e-08	512.409	-0.059466086	-461.097	10.9178	0.018152297	0.308	9.0	88.12126326560974
7	178.8966	151.17116	434.69943	65.82478	1000.0	20.657253	15.418147	43.194576	-27.859777	32000	-9.536743e-09	103.15391	-0.05542216	-89.91742	11.0620165	0.016551748	0.2935	8.0	99.88809609413147
8	225.7472	193.96799	529.2577	12.228999	1000.0	15.357592	17.228497	43.933308	-38.24829	36000	1.001358e-08	134.0615	-0.046003167	-114.33265	10.977668	0.01922885	0.25975	6.0	111.48463845252991
9	136.00604	143.7892	363.07925	11.49336	1000.0	14.727279	13.689126	46.759007	-8.6314	40000	-2.861023e-09	137.04114	-0.04411446	-131.36218	10.953319	0.020245586	0.271	6.0	123.19123673439026
10	152.2935	219.70627	530.68884	3.6156192	1000.0	12.779239	14.558092	47.05377	-18.65754	44000	2.3841858e-08	179.61168	-0.043367613	-152.01427	10.925317	0.016754828	0.2975	6.0	135.38711428642273
