Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	130.05421	214.37558	501.34247	3.7719934	1000.0	-0.22003622	0.83883065	2.103302	-2.9075525	4000	-6.03199e-08	531.0881	-0.07139321	-197.40106	11.010218	0.01892888	0.2905	6.0	13.240607261657715
1	254.64746	246.62706	502.75967	7.1050344	1000.0	4.731959	8.406306	14.361846	-13.950696	8000	2.7656554e-08	679.4297	-0.13980554	-327.42258	11.01448	-0.008925112	0.7085	79.0	24.769967079162598
2	131.87825	215.9861	505.95868	4.035451	1000.0	4.4131336	11.465734	22.454817	-21.389416	12000	2.5749207e-08	224.85568	-0.056700945	-81.660904	11.023859	0.017788297	0.33	6.0	35.88420915603638
3	12.94349	5.250151	21.025156	6.7091765	1000.0	0.7108387	5.335643	25.834171	-22.770954	16000	-6.6757204e-09	27.411676	-0.042507783	-24.028532	11.061622	0.020920992	0.30625	5.0	46.94597387313843
4	131.83142	216.4305	506.67273	4.130583	1000.0	5.1968045	8.923432	25.99919	-12.090541	20000	-5.9604646e-09	223.80765	-0.047005937	-124.792046	11.013355	0.021077631	0.32875	6.0	57.90682029724121
5	5.0588017	1.3396518	7.2226	3.6788554	1000.0	0.40107018	3.0940297	24.187254	-25.030478	24000	-1.3828277e-08	10.737327	-0.041259423	-8.803191	11.018384	0.02314071	0.35925	6.0	68.86181974411011
6	138.14082	212.35046	505.65463	7.148694	1000.0	7.552579	12.497262	30.25024	-23.704449	28000	-3.528595e-08	119.53659	-0.044245828	-53.91726	10.92239	0.018720845	0.311	6.0	80.04372072219849
7	9.01553	3.3158648	12.709818	3.701417	1000.0	0.7534945	3.4737003	33.057034	-20.886967	32000	-9.536744e-10	9.846088	-0.03405405	-8.474083	11.068087	0.020561459	0.30275	6.0	91.1930820941925
8	5.361507	2.210265	9.156165	3.6470296	1000.0	0.38827363	1.7987564	29.94963	-12.17886	36000	-2.7656554e-08	3.0450003	-0.033715755	-2.3890297	10.983649	0.018504078	0.36025	7.0	102.00993275642395
9	257.8359	243.5038	503.75427	11.524439	1000.0	16.248161	15.6389	33.842575	-9.809691	40000	1.1444092e-08	167.915	-0.050899584	-121.42111	10.957934	0.021838805	0.3415	8.0	112.89497542381287
10	9.090313	3.755036	14.75755	5.03495	1000.0	0.90440685	3.976201	39.60644	-22.518541	44000	-2.6702882e-08	12.948676	-0.030493492	-11.318656	10.922082	0.018551167	0.2685	6.0	124.17994737625122
11	8.532479	3.141935	12.24725	4.580979	1000.0	0.44927868	2.2460477	37.640648	-17.995436	48000	1.9073486e-08	3.7064433	-0.027511822	-3.23608	10.920297	0.016502552	0.392	11.0	134.935631275177
