Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	130.65176	208.25085	491.30267	6.423271	1000.0	0.20391688	0.761777	2.6360066	-2.5286403	4000	-2.2888184e-08	521.9378	-0.073838405	-205.66785	11.022958	0.019797549	0.3075	7.0	8.818753480911255
1	218.54706	208.34787	443.81128	6.767354	1000.0	5.8443418	8.144671	15.582389	-14.372201	8000	-3.218651e-08	463.7563	-0.059467822	-251.65266	10.995687	0.018934222	0.339	8.0	16.32241201400757
2	344.21826	196.64436	464.41043	3.719396	1000.0	16.920458	9.922997	23.316044	-19.411188	12000	-1.3351441e-08	392.18842	-0.06883687	-220.16003	11.008487	0.015835749	0.33825	12.0	23.90985894203186
3	135.814	216.6418	510.93698	3.8062077	1000.0	8.087477	14.938547	30.695341	-26.415014	16000	-1.0490417e-08	156.85834	-0.04893583	-70.14774	11.063435	0.018058516	0.2895	7.0	31.614397048950195
4	7.4745116	2.6184728	11.249243	4.03078	1000.0	0.8495247	5.147936	32.160156	-22.211124	20000	-2.0980835e-08	25.645908	-0.038742863	-22.739742	11.009132	0.02088001	0.30775	6.0	39.3221333026886
5	236.9757	229.63635	469.39523	4.388524	1000.0	13.72251	14.292185	33.441914	-11.108553	24000	3.1471252e-08	194.06973	-0.042478465	-127.06546	10.988396	0.017288113	0.2615	7.0	46.65872883796692
6	118.81496	196.10721	458.4825	5.3552413	1000.0	9.751416	15.6322775	36.599625	-18.982582	28000	-2.0980835e-08	36.915173	-0.05466414	-17.302757	10.985939	0.017020158	0.35775	10.0	54.23473525047302
7	128.25299	212.38171	496.10837	5.04884	1000.0	9.621216	16.5115	38.30247	-15.334816	32000	-2.336502e-08	45.935703	-0.044811994	-17.110357	11.021754	0.01811786	0.2655	8.0	61.811747312545776
8	14.177884	6.3564386	24.814466	9.0811	1000.0	1.2646258	5.69199	40.14757	-20.717026	36000	-7.629395e-09	22.493986	-0.034535736	-20.514147	10.989066	0.018495517	0.282	7.0	69.19012928009033
9	237.69226	234.38765	490.42413	2.2952893	1000.0	18.79753	18.77438	40.25098	-16.051775	40000	-3.051758e-08	72.68917	-0.04299421	-43.70369	10.967603	0.018992638	0.2705	7.0	76.74520707130432
10	6.6963387	1.4296769	7.826357	4.2909446	1000.0	0.4720968	3.3096695	40.066643	-16.312437	44000	-2.4795533e-08	10.884428	-0.029184256	-8.59804	10.967559	0.020128446	0.294	7.0	86.00474548339844
11	7.374586	1.8584988	8.916098	4.238465	1000.0	0.64071757	4.5462337	41.999012	-19.22636	48000	-3.8146972e-08	16.791601	-0.029203476	-15.638345	11.009371	0.01815809	0.2905	7.0	93.61957287788391
12	8.666566	1.9586068	11.782314	6.383782	1000.0	0.34593397	2.3201835	40.77129	-18.16846	52000	-2.2888184e-08	4.1163254	-0.026627632	-3.400282	10.975234	0.018297596	0.285	8.0	101.21714496612549
13	5.532186	1.7375091	7.971279	3.7423835	1000.0	0.31596586	0.9036192	12.438873	-11.104767	56000	2.3841858e-08	0.7853093	-0.0324288	-0.6116189	11.060754	0.018256245	0.294	9.0	108.7789888381958
14	121.47445	197.42041	463.3612	4.1179795	1000.0	9.619884	16.172049	42.34632	-9.103559	60000	4.196167e-08	43.89412	-0.04643288	-32.96367	10.981953	0.017559212	0.33375	10.0	116.41301465034485
