Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	237.21242	373.89426	884.1699	7.367744	1000.0	0.068732455	0.80717844	2.3886838	-2.5767262	4000	4.673004e-08	1732.5284	-0.024420409	-416.38855	12.852601	0.016165232	0.2265	6.0	12.48700737953186
1	64.19368	92.972115	225.135	5.6893344	1000.0	6.880533	4.238542	13.98519	-8.790058	8000	0.0	106.1682	-0.02102471	-60.882496	12.845677	0.017205236	0.253	6.0	23.839831590652466
2	537.6717	296.7844	740.0515	27.000286	1000.0	10.556544	2.4909818	14.61699	-3.5516815	12000	1.2779236e-07	2487.309	-0.021044267	-928.6189	12.914156	0.017068569	0.25075	8.0	35.36585521697998
3	20.115982	10.007421	35.015263	6.9780483	1000.0	17.96967	8.353559	25.542463	-6.0543704	16000	7.8201296e-08	267.45865	-0.02057242	-163.66747	12.811715	0.01816901	0.24275	9.0	46.768630504608154
4	12.926331	1.6582297	15.1668415	11.311758	1000.0	13.564526	7.5153356	24.006586	1.992351	20000	3.3378602e-09	170.60693	-0.020817015	-158.71655	12.782578	0.015966596	0.23475	8.0	58.061357498168945
5	8.933685	2.4532664	11.862759	5.1302533	1000.0	4.972033	3.9622614	22.657513	0.539451	24000	1.6212464e-08	29.76453	-0.01503499	-25.424559	12.838274	0.023628473	0.278	5.0	69.77748703956604
6	23.452866	18.07269	54.000187	7.730381	1000.0	6.024975	6.1560597	22.308714	0.06834498	28000	8.5830685e-09	35.148388	-0.01858079	-28.385857	12.864997	0.020027291	0.23	6.0	81.26472020149231
7	11.22865	2.55976	14.511489	7.627734	1000.0	4.402977	5.10255	21.332817	-0.7629012	32000	2.0980835e-08	35.1009	-0.019288417	-31.674484	12.887836	0.01770537	0.314	9.0	93.09579038619995
8	113.31504	149.03647	368.72922	8.792292	1000.0	4.187983	4.238699	21.630783	-1.5334253	36000	7.629395e-09	207.53647	-0.019464005	-107.936874	12.85765	0.018252196	0.265	9.0	105.03190088272095
9	89.66532	86.87668	216.99599	7.299103	1000.0	7.272484	7.717863	23.70241	-1.3624369	40000	-3.9577483e-08	51.707405	-0.021106914	-20.475445	12.844071	0.017371805	0.25375	9.0	116.68975496292114
10	247.83575	280.5432	728.5831	22.100418	1000.0	12.89423	7.52248	23.502157	2.6417665	44000	-6.67572e-08	714.4111	-0.01938268	-195.24915	12.844981	0.018489396	0.2365	8.0	128.71221590042114
11	51.64898	74.67061	180.95804	6.271156	1000.0	10.754492	8.523845	27.591923	0.12134795	48000	8.5830685e-09	89.10912	-0.023754042	-77.73126	12.83198	0.015622143	0.31625	10.0	140.5094029903412
12	166.84476	238.57185	579.4871	9.007083	1000.0	11.304445	8.239345	27.46807	1.6117032	52000	-8.106232e-09	363.11478	-0.022339894	-82.08688	12.8120365	0.017843466	0.27725	10.0	152.1370406150818
13	71.399345	97.75775	240.50368	9.746037	1000.0	10.92468	8.565941	31.131264	-0.016662389	56000	-5.4359436e-08	94.22818	-0.017445303	-70.737366	12.859634	0.019075256	0.293	7.0	163.81015157699585
14	193.63492	267.93082	655.1433	13.264869	1000.0	9.386342	9.908605	31.545033	-0.8000069	60000	-2.7418137e-08	485.82068	-0.019193852	-181.58829	12.901338	0.019064462	0.24825	8.0	175.46074438095093
15	58.36409	37.282627	96.71629	7.0339184	1000.0	12.544686	11.838728	35.216263	-4.7634516	64000	-7.05719e-08	109.681625	-0.017821169	-103.50804	12.845867	0.017951278	0.26975	7.0	187.0134572982788
16	24.168419	17.287117	52.81445	7.465249	1000.0	4.7371817	3.3911228	24.187216	-0.92765635	68000	2.6702882e-08	9.897299	-0.018572208	-7.5675583	12.866227	0.020092703	0.294	7.0	198.64699172973633
17	197.91602	326.02557	762.60004	8.080523	1000.0	10.7354555	12.69179	35.103844	0.5061538	72000	8.964538e-08	415.06937	-0.016763616	-165.20558	12.889191	0.021100668	0.248	7.0	210.44935607910156
18	204.30536	213.01134	529.7275	10.678868	1000.0	14.763553	12.265744	41.2308	-0.6463227	76000	3.242493e-08	360.25186	-0.017713403	-211.43402	12.880256	0.018646548	0.27675	8.0	222.0958707332611
19	241.33012	324.70096	794.90564	9.785341	1000.0	14.136651	13.581059	43.00256	-1.0712038	80000	-2.0980835e-08	512.2531	-0.01673726	-299.04468	12.836658	0.016481875	0.22825	8.0	233.76892614364624
20	10.795252	2.1921086	14.079658	8.209736	1000.0	8.145975	5.4654183	25.309427	-0.15455705	84000	1.9073486e-08	64.51424	-0.020356944	-58.52845	12.855336	0.016378943	0.3355	8.0	246.0053141117096
21	89.22707	118.634865	294.5584	14.406216	1000.0	8.319465	7.666931	47.12416	-0.39445528	88000	-1.4305114e-08	130.79909	-0.022579852	-123.865845	12.788738	0.016409926	0.29275	11.0	257.66379284858704
22	348.2339	346.0274	802.5187	6.8022156	1000.0	18.796576	19.488377	49.480064	-4.373254	92000	-2.9563903e-08	701.42883	-0.017903237	-455.84088	12.84173	0.018060789	0.23425	8.0	269.36186265945435
23	355.05426	351.5262	774.0124	5.5100965	1000.0	26.65398	22.502937	56.829075	-0.54813576	96000	3.8146974e-09	363.66937	-0.018222157	-149.02815	12.922116	0.017706815	0.2575	8.0	280.9686119556427
24	245.13765	355.15207	858.94385	7.001779	1000.0	25.198648	21.252449	63.620796	-1.0316896	100000	-3.8146974e-09	278.95227	-0.018226601	-145.88211	12.727518	0.018517904	0.229	7.0	292.9235939979553
25	178.50223	270.67062	646.90674	5.5028486	1000.0	22.378668	26.136421	67.846794	-6.3756795	104000	1.9788741e-08	140.46529	-0.018151654	-98.35687	12.823473	0.01749028	0.263	7.0	304.5985360145569
26	202.98782	324.25015	764.4717	8.415177	1000.0	15.339299	24.043482	69.12065	-0.89325273	108000	4.5776368e-08	129.38226	-0.017950544	-54.826912	12.835695	0.016899392	0.2715	8.0	316.56035923957825
27	345.96432	333.70074	814.8772	10.2552595	1000.0	35.735832	26.902445	71.946625	1.524536	112000	-1.9073486e-08	197.0404	-0.018271033	-116.6948	12.804956	0.016258923	0.30025	8.0	453.0224075317383
28	210.98976	200.60669	421.0047	6.8961215	1000.0	27.477856	22.792952	73.93612	3.385792	116000	-2.4795533e-08	187.27612	-0.021116927	-174.84624	12.794224	0.016808078	0.29975	10.0	464.9683005809784
29	60.720665	71.19334	181.29607	5.4882846	1000.0	7.151945	6.0734453	26.687565	-0.079686284	120000	2.7179718e-08	17.71536	-0.02041017	-13.353945	12.8069935	0.017215775	0.297	8.0	476.9059166908264
30	255.92026	251.22917	574.9903	8.418415	1000.0	23.722248	22.74543	73.312965	0.25193036	124000	-1.9073487e-09	73.03275	-0.019273214	-66.03146	12.784502	0.021751037	0.252	6.0	489.37863755226135
31	193.11925	196.86726	500.7113	10.852977	1000.0	25.971762	23.75077	74.0425	0.24527395	128000	-1.525879e-08	189.59569	-0.018458366	-181.29489	12.841168	0.01854655	0.307	8.0	501.39511036872864
32	340.91696	352.0457	942.1416	61.11801	1000.0	26.754488	22.484186	73.433975	5.218671	132000	-1.3351441e-08	264.6464	-0.021001518	-179.30629	12.835832	0.015980603	0.292	11.0	513.3699429035187
33	327.54907	294.86728	668.8771	22.934044	1000.0	23.967693	22.777323	77.115234	2.009763	136000	-7.629395e-09	143.80647	-0.019591626	-116.90213	12.779186	0.02107261	0.25575	7.0	525.2592792510986
34	25.832272	22.027046	63.419456	7.525279	1000.0	8.046377	3.5253694	16.233673	0.05668193	140000	9.536743e-09	32.623177	-0.015947586	-30.299442	12.766006	0.018850047	0.2035	6.0	537.1838271617889
35	142.65407	217.94568	519.89185	4.0164056	1000.0	16.262743	19.721062	76.03068	1.304642	144000	-1.7166137e-08	24.544563	-0.016979158	-22.25155	12.785656	0.017541546	0.28225	7.0	549.0635230541229
36	238.3399	292.10568	739.4543	6.0990033	1000.0	25.015715	22.42834	79.07188	2.1755095	148000	-2.4795533e-08	119.96964	-0.02064787	-102.557144	12.75859	0.017409336	0.25725	10.0	561.0511195659637
37	118.36302	183.88005	436.83444	9.9662285	1000.0	16.529453	18.368195	62.557056	-0.40880847	152000	-1.3351441e-08	49.9209	-0.028709464	-47.161087	12.721477	0.015636224	0.286	18.0	572.9971051216125
38	188.22977	308.63086	722.7761	6.0951366	1000.0	20.208605	28.376015	80.832924	-1.4171264	156000	3.8146974e-09	51.938778	-0.019024096	-47.91592	12.759046	0.01873967	0.2515	9.0	584.9187994003296
39	180.22816	297.17532	694.9406	6.3250723	1000.0	15.602425	20.335247	73.65886	-1.8043699	160000	-2.5749207e-08	172.14705	-0.019977864	-156.6545	12.737442	0.018087475	0.32075	9.0	596.7707598209381
40	115.39516	130.57852	335.9869	17.856234	1000.0	11.874826	4.907409	25.643892	3.406159	164000	4.1007997e-08	93.10485	-0.019952178	-87.47336	12.74271	0.018954469	0.2595	8.0	609.2334198951721
41	89.38003	113.98713	283.53625	6.4351816	1000.0	16.380953	15.356545	72.24844	-0.20600808	168000	-1.6212464e-08	42.6595	-0.01877469	-40.207447	12.782443	0.017779619	0.27025	9.0	621.2177662849426
42	33.2016	32.88519	86.13284	5.3820887	1000.0	7.6148515	3.6398406	16.934084	2.3511834	172000	4.9591065e-08	19.78755	-0.01960662	-18.429958	12.71975	0.01592602	0.2365	9.0	633.1310544013977
43	39.53541	25.105242	77.03444	6.3446712	1000.0	5.922206	4.2341986	21.45856	-5.487218	176000	1.0490417e-08	12.172621	-0.017345535	-11.023927	12.812105	0.018542703	0.3105	8.0	644.9818999767303
