Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	22.02195	1.1083865	23.327688	20.35666	1000.0	0.085063994	0.49932942	1.4535755	-1.4651471	4000	-4.7683715e-09	3.9332876	-0.022022787	-3.0862489	5.510349	0.014072718	0.138	3.0	8.614493608474731
1	23.432966	1.8959328	25.561892	20.622295	1000.0	0.9865972	0.85747427	4.195132	-1.2359499	8000	3.8146974e-09	2.2544467	-0.06695212	-2.042969	5.589093	0.01592042	0.311	40.0	15.541311740875244
2	24.600368	1.1638557	25.737747	22.754477	1000.0	1.9452244	0.30540594	3.5565655	0.5890068	12000	0.0	0.5854979	-0.05746145	-0.26722854	5.5084233	0.0155408215	0.27775	28.0	22.315979719161987
3	26.690372	3.0915267	31.45023	23.454409	1000.0	2.296643	0.437874	5.277757	0.99886686	16000	9.536743e-09	0.92984676	-0.016763015	-0.24710995	5.4513206	0.018143179	0.214	5.0	28.941312789916992
4	24.91963	3.5188055	28.407063	19.14746	1000.0	2.4440236	0.59702986	5.055752	0.99335784	20000	-9.536743e-09	0.5003566	-0.037591398	-0.21505398	5.473367	0.015473458	0.20675	14.0	35.47070813179016
5	21.930813	1.4183578	23.379951	19.847702	1000.0	2.114228	0.39590463	4.2518997	1.1246552	24000	-6.6757204e-09	0.15440936	-0.07349367	-0.08288913	5.4540133	0.015728515	0.3575	48.0	42.22008776664734
6	25.485891	1.0516402	26.648102	24.181587	1000.0	2.3031542	0.21592124	3.493386	1.4835088	28000	-9.536743e-09	0.14098728	-0.045025498	-0.041475177	5.4042206	0.01623003	0.21975	18.0	48.95895028114319
7	25.906462	3.4129272	28.387184	20.02234	1000.0	2.2955737	0.27603588	3.459787	1.516245	32000	-1.0967255e-08	0.31390715	-0.021745255	-0.11020592	5.4296174	0.015876783	0.22025	6.0	55.69819688796997
8	25.464542	0.93514985	26.439194	24.499598	1000.0	2.414055	0.3816668	4.6298385	1.4355694	36000	3.051758e-08	0.17123961	-0.029123262	-0.07104211	5.4545336	0.015744047	0.16675	9.0	62.69206666946411
9	27.850895	3.9450722	33.341305	22.521757	1000.0	2.423666	0.28145686	3.866229	1.6898236	40000	2.861023e-09	0.68300986	-0.03254179	-0.28750318	5.4105954	0.016696885	0.2005	12.0	69.6303117275238
10	28.381466	2.6302407	31.609217	25.175343	1000.0	2.744958	0.5212539	4.9085	1.6434695	44000	1.525879e-08	0.82695127	-0.01713153	-0.26496214	5.3939686	0.019118516	0.2285	5.0	78.13152527809143
11	27.230787	3.3134904	32.40875	23.208298	1000.0	2.700585	0.5894593	5.8001018	0.98575836	48000	-1.7166137e-08	0.49169794	-0.041485682	-0.23737812	5.396088	0.017130643	0.221	17.0	85.17907524108887
12	27.996054	2.3582551	31.123297	25.524324	1000.0	2.685079	0.4320988	5.16812	1.2749162	52000	-1.1444092e-08	0.34610555	-0.07237774	-0.13639987	5.353545	0.015530961	0.35225	50.0	92.04026007652283
13	35.730682	1.0375574	36.919365	34.09038	1000.0	2.7706866	0.55143017	4.944331	1.6293746	56000	3.8146974e-09	1.2206372	-0.04105773	-0.6348645	5.300521	0.017063944	0.22125	13.0	98.8929214477539
14	33.07785	2.9901845	37.203426	29.048061	1000.0	3.3155913	0.6363337	5.9610777	1.8538554	60000	-3.8146974e-09	0.85423285	-0.045225564	-0.3329919	5.3782916	0.016176034	0.24175	18.0	105.62748503684998
15	27.783596	1.9392438	29.83274	24.687332	1000.0	3.2212503	0.49408275	6.151144	1.5318568	64000	2.3841858e-08	0.8132775	-0.048380412	-0.5456407	5.3357434	0.017196449	0.27525	18.0	112.54262828826904
16	31.78371	1.1342927	33.408962	30.455494	1000.0	3.2242925	0.68211323	5.6924367	1.6898847	68000	5.00679e-09	0.6281991	-0.04368743	-0.35491675	5.343746	0.015672658	0.23025	17.0	119.30431246757507
17	31.600557	2.6348126	34.522568	27.537853	1000.0	2.98321	0.43703142	4.959606	1.8114095	72000	-9.536743e-09	0.5677333	-0.036417324	-0.17874727	5.306264	0.016029632	0.20825	13.0	126.02379631996155
18	30.366783	3.5859604	34.939358	26.280338	1000.0	3.0378146	0.5592295	5.405776	1.8853565	76000	-9.536744e-10	0.7361899	-0.044429373	-0.23766494	5.2679524	0.015592159	0.2395	18.0	132.8436312675476
19	34.86609	1.2637751	36.921463	33.57388	1000.0	3.0519414	0.6290935	5.772746	1.2596784	80000	1.4781952e-08	0.8648227	-0.04863689	-0.4029002	5.2501354	0.016574588	0.262	20.0	139.66362977027893
20	34.553883	3.3803542	38.821575	30.835102	1000.0	3.4558873	0.5088278	5.757019	1.7393231	84000	1.7166137e-08	0.87707335	-0.043514702	-0.28637403	5.2757444	0.01642824	0.2455	16.0	146.7816882133484
21	37.39932	2.9167664	41.265095	34.534863	1000.0	3.4636016	0.6573664	5.9906425	1.9934859	88000	2.6702882e-08	0.8728153	-0.047328185	-0.36277986	5.174156	0.016182713	0.23325	19.0	153.61670637130737
22	36.72738	3.8998883	43.32975	33.421597	1000.0	3.574122	0.55242264	5.9240956	2.1737978	92000	-1.6212464e-08	0.79483104	-0.05665151	-0.30052763	5.1791167	0.015453739	0.28325	26.0	160.46915912628174
23	34.031105	2.9589036	38.489544	30.196903	1000.0	3.5995688	0.65626734	6.9524097	1.637461	96000	9.536743e-09	0.663201	-0.04599879	-0.29754147	5.1566086	0.01641007	0.25525	16.0	167.1237828731537
24	39.947624	4.4020886	46.58593	34.24752	1000.0	3.4998853	0.60048914	5.9185653	1.6576115	100000	2.8610229e-08	0.87785804	-0.037889626	-0.3784607	5.1466875	0.01785315	0.2255	13.0	173.85526371002197
25	36.735954	4.5260363	43.539772	30.814539	1000.0	3.6820953	0.56486243	6.336501	2.318045	104000	3.051758e-08	0.88700813	-0.043261446	-0.37777126	5.1048965	0.016844925	0.258	15.0	180.63983464241028
26	38.57003	7.3686457	50.872845	31.267822	1000.0	3.7114136	0.7561827	6.506855	2.1326694	108000	-2.8610229e-08	1.3691616	-0.025448924	-0.54125005	5.088218	0.015330569	0.1785	9.0	187.42037057876587
