Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	5.0583725	8.711358	20.146885	0.02212239	5.2953796	10.7938795	33.51244	5.9012795e-09	1000.0	1000.0	3999	0.7070239	0.64565617	9.005088	-1.8153456	0.70703197	0.64562494	8.944595	-2.2703824	-0.6780296	0.15647985	3.5681114	-5.9734116	-0.8335057	0.0010180135	0.0009847633	43.74882173538208
2	0.023468962	0.04063542	0.093851574	1.4721678e-10	0.6657807	1.324654	3.9101086	5.697991e-12	1000.0	1000.0	7999	2.6916435	0.8203263	20.05782	0.34263366	2.6916404	0.82029	20.156727	0.33702943	-0.68323016	0.122768104	0.54844487	-7.927332	-2.8184917	0.0009266498	0.0009664327	95.34001421928406
3	0.120608084	0.20889933	0.48243234	6.3751855e-12	1.3110653	3.4266016	11.534939	3.7712606e-12	1000.0	1000.0	11999	4.576291	0.74315614	23.258474	2.6829305	4.5762963	0.74313265	23.325293	2.6871758	-0.683208	0.12142409	1.0905662	-4.811782	-4.7038527	0.000814565	0.0008416764	147.68742632865906
4	5.798663	6.676863	16.612843	1.928892e-08	6.4247146	14.418573	46.902935	2.021184e-10	1000.0	1000.0	15999	6.078457	0.75942546	24.912552	3.5584178	6.0784564	0.75941354	24.255741	3.6677778	-0.6829068	0.121283025	0.69255984	-6.027872	-6.201832	0.001347406	0.0013521495	202.2892017364502
5	1.0219293	0.62360114	1.7669537	0.068691865	2.0826583	4.187386	14.34875	1.7264504e-11	1000.0	1000.0	19999	7.2818	0.6831515	25.451286	5.0273666	7.281773	0.682866	25.017311	5.223464	-0.6834293	0.119178526	0.55486417	-5.4298735	-7.40112	0.0019093042	0.002301819	257.87542939186096
6	0.19937323	0.3422759	0.7922009	1.0152007e-10	0.7451439	1.9578431	6.5720425	4.3557354e-12	1000.0	1000.0	23999	8.253688	0.55765575	25.712122	6.582736	8.253685	0.55761683	25.0486	6.529344	-0.68337226	0.11852082	0.60869026	-4.5464616	-8.374327	0.0013655635	0.0014411686	312.2840168476105
7	8.253051	13.815492	32.17486	8.538697e-06	0.30699793	0.34793934	0.83489084	3.8697547e-07	1000.0	1000.0	27999	9.089619	0.5714957	25.835705	7.600451	9.089616	0.5714401	26.259333	7.529025	-0.683099	0.118756	1.1962794	-5.0689445	-9.209805	0.0015191976	0.001470764	367.17041778564453
8	0.9317336	1.408139	3.3634002	9.092746e-05	5.94341	11.590644	31.022442	8.00756e-10	1000.0	1000.0	31999	9.773549	0.6800048	27.811626	8.489597	9.773543	0.6799797	28.126347	8.474386	-0.6830004	0.120915554	1.8073721	-5.6849594	-9.895136	0.0013826324	0.0014698278	422.7965495586395
9	3.0738902	5.206237	12.091006	0.0002254005	2.4094334	7.198078	24.00356	5.6322915e-12	1000.0	1000.0	35999	10.322723	0.7254319	30.065653	8.948679	10.322742	0.7254315	28.74021	9.085159	-0.68295	0.1210641	1.136371	-5.548198	-10.4405155	0.0017495438	0.0014828045	477.8188087940216
10	0.5848446	1.0129791	2.339376	1.5586538e-10	5.9051733	10.29647	33.674553	3.823038e-06	1000.0	1000.0	39999	10.760491	0.7214408	29.923409	9.539328	10.760476	0.721485	31.249136	9.540937	-0.68317467	0.12017155	0.836306	-6.0091143	-10.878635	0.0022111358	0.002323947	534.0147919654846
