Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	3999	0.96964353	0.52109414	2.031758	-0.2425196	0.96962386	0.5211385	2.0399876	-0.2804724	-0.68231875	0.126968	0.4285097	-4.0098968	-1.102948	0.00043011378	0.0004368399	39.42061161994934
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	7999	2.9245987	0.600799	4.1172924	1.4905226	2.9245956	0.60081357	4.1261563	1.4935731	-0.6830796	0.1189821	-0.14616704	-4.9380846	-3.058952	0.00038471023	0.00038929467	85.24625778198242
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	11999	4.8061757	0.5017258	5.8114176	3.4160156	4.8061757	0.50174004	5.821947	3.4175975	-0.6833943	0.11937002	-0.069120884	-4.717638	-4.9404683	0.00037901383	0.0003815476	133.4475963115692
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	15999	6.3534536	0.41143847	7.1655645	5.168626	6.353455	0.41143653	7.1719575	5.1633077	-0.683561	0.119111165	-0.33463967	-5.5485373	-6.4871364	0.00039741604	0.00039511741	181.40080165863037
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	7.617575	0.3415679	8.330266	6.5130057	7.617574	0.34158155	8.322475	6.524708	-0.6835439	0.11892229	-0.080909014	-5.205473	-7.751501	0.00042146334	0.00042235275	228.20245146751404
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	23999	8.653602	0.28733677	9.246625	7.630644	8.653602	0.28732908	9.250983	7.6342635	-0.6833878	0.11782197	-0.36062443	-4.790341	-8.787426	0.0004350778	0.0004311481	275.16175746917725
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	27999	9.505917	0.24260326	10.033945	8.634725	9.505912	0.24261004	10.036601	8.632492	-0.68308836	0.11879919	-0.32946396	-5.388504	-9.639698	0.00042284065	0.00042432887	324.58500695228577
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	31999	10.207814	0.20588301	10.651495	9.357255	10.207815	0.20590521	10.651285	9.372927	-0.68361795	0.11878079	0.0012944937	-6.3125424	-10.3416195	0.0004339085	0.00043829408	372.75577545166016
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	35999	10.781505	0.17614885	11.156784	9.949777	10.781503	0.176135	11.160353	9.879944	-0.6833086	0.118228376	-0.35135484	-5.0517483	-10.915154	0.00043530847	0.00043269055	420.91779589653015
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	39999	11.248584	0.15544355	11.587986	9.762524	11.248585	0.1554099	11.592701	9.724407	-0.6832261	0.11725867	-0.3101846	-4.8478794	-11.382464	0.00045490908	0.00044964498	466.43611216545105
11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	43999	11.632467	0.13869281	11.939466	10.329143	11.632469	0.13870645	11.936506	10.330774	-0.6837884	0.11869364	-0.2506261	-4.9172287	-11.7664	0.0004488772	0.00044894486	512.1223978996277
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	47999	11.948037	0.12446284	12.212778	10.932753	11.94804	0.1244316	12.206261	10.932904	-0.68299186	0.11627131	-0.15224218	-4.5541215	-12.08192	0.0004438587	0.00043981557	559.9072780609131
13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	51999	12.2093	0.11235575	12.444574	11.186446	12.209303	0.11235388	12.438428	11.1950245	-0.6836734	0.11949558	-0.28039682	-4.585126	-12.343456	0.00044036852	0.00043995204	610.1895287036896
14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	55999	12.422284	0.101771235	12.658104	11.6325035	12.422285	0.10174165	12.651879	11.5819025	-0.6832839	0.11875385	-0.33054972	-5.811548	-12.556409	0.00044281382	0.00043928498	657.4858431816101
15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	59999	12.596434	0.09496395	12.807263	11.798348	12.596431	0.09496165	12.805288	11.798931	-0.6833775	0.11786994	-0.33321774	-4.697735	-12.730594	0.0004377504	0.00043718258	704.934065580368
16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	63999	12.732662	0.09507785	12.935626	11.9401455	12.732664	0.095088825	12.938802	11.916359	-0.6832885	0.11918523	-0.38436365	-5.016926	-12.866711	0.0004227981	0.00042064112	752.4796161651611
17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	67999	12.848709	0.09247218	13.032394	12.035348	12.848707	0.09246781	13.028918	12.052764	-0.6839037	0.12022197	-0.1639204	-4.8429203	-12.982969	0.0004451388	0.000443158	798.7874028682709
18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	71999	12.945255	0.0884657	13.126813	12.188175	12.945255	0.08846911	13.118439	12.1426115	-0.6835382	0.11896768	-0.31979764	-5.086206	-13.0795355	0.00042930662	0.00042845056	843.94806432724
19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	75999	13.026623	0.08502007	13.192309	12.230524	13.02662	0.085037	13.195714	12.237223	-0.68356454	0.11742883	-0.32239127	-4.5703287	-13.161103	0.0004447903	0.0004447689	892.0779540538788
20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	79999	13.092701	0.08150035	13.244849	12.362719	13.092701	0.08146684	13.245742	12.364743	-0.6833455	0.11839405	-0.2762134	-6.831601	-13.226903	0.00043743895	0.00043331445	937.2378442287445
21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	83999	13.144064	0.087512285	13.319479	12.421698	13.144062	0.087506905	13.317662	12.466194	-0.6836342	0.11916501	-0.15554225	-6.354002	-13.278289	0.0004448119	0.0004438432	981.3397607803345
22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	87999	13.187877	0.08543058	13.352573	12.4264965	13.187877	0.08540259	13.343812	12.460132	-0.68339	0.11832613	-0.1543603	-6.105791	-13.32231	0.00043326456	0.00043117232	1026.757883310318
