Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	13.288379	7.208565	25.507757	6.9484115	5.1392283	2.0634594	10.4923525	3.1999981	1000.0	1000.0	3999	0.9552612	0.65752554	3.3196313	-2.075591	0.955303	0.6575596	3.2924004	-2.689373	-0.679122	0.15090857	2.6878614	-5.3104596	-1.0839647	0.0008149333	0.00087284285	46.772345781326294
2	10.379254	2.3158169	12.691439	6.8961573	1.5160433	0.83976275	3.0980473	0.76245093	1000.0	1000.0	7999	3.094701	0.6972186	6.233066	0.972875	3.0947013	0.6972128	6.1718144	1.0047208	-0.68285054	0.12234322	0.4002223	-4.570075	-3.2246711	0.0005735084	0.0005772313	100.38671445846558
3	14.05076	5.3554664	21.542513	7.9178257	1.7563145	1.5869584	4.970589	0.13662918	1000.0	1000.0	11999	5.1254096	0.6385253	8.891754	3.688285	5.125414	0.63852924	8.906603	3.6929078	-0.6828379	0.122952744	0.02115798	-5.6228724	-5.254888	0.00058120704	0.00058624306	155.8062846660614
4	22.068678	5.410914	26.776562	13.312647	3.94355	0.49965194	5.359382	3.51672	1000.0	1000.0	15999	6.824795	0.7019895	12.102838	5.436065	6.8247943	0.7019611	12.176043	5.459718	-0.6828419	0.12531757	0.00015926361	-4.965708	-6.9520154	0.0007041041	0.00067440094	212.4723093509674
5	31.765764	17.62367	56.311848	6.506511	42.572407	8.79532	62.693092	31.548838	1000.0	1000.0	19999	8.263338	0.8279456	14.0460825	6.721009	8.263346	0.8279319	13.994012	6.5802593	-0.6816417	0.13865913	0.60113597	-6.2025394	-8.386795	0.0010301924	0.0009933729	269.92267870903015
6	24.067871	3.985349	30.342974	20.068905	28.707043	10.490028	41.604275	9.724802	1000.0	1000.0	23999	9.487782	1.0314312	16.688505	8.044833	9.487788	1.0314292	16.505323	8.029566	-0.67888266	0.15006037	0.9587183	-6.6340113	-9.608768	0.0012188415	0.001198462	327.58380031585693
7	33.493702	17.327522	62.63505	18.645496	52.200768	27.503983	87.376625	2.9829216	1000.0	1000.0	27999	10.467729	1.1736524	18.931486	9.03932	10.467719	1.1737089	19.05863	9.035635	-0.6776975	0.1609906	0.3393762	-4.9472804	-10.586184	0.0013297797	0.0013708324	385.365487575531
8	50.002064	26.302849	90.445885	18.896713	64.55284	19.809406	90.66704	16.337746	1000.0	1000.0	31999	11.396407	1.5159891	20.175613	9.744665	11.396403	1.516018	20.13021	9.684068	-0.67590505	0.17114717	0.50199175	-4.980704	-11.512328	0.0015512654	0.0015166681	443.02944254875183
9	46.080948	29.865686	93.30755	10.824902	77.84402	18.036652	107.55262	55.640575	1000.0	1000.0	35999	12.137915	1.797476	23.00672	10.282475	12.137924	1.7974484	22.87879	10.3125515	-0.6744858	0.18082567	1.7973645	-4.887078	-12.253293	0.0018722	0.0018372021	500.3346281051636
10	57.13915	22.976587	80.41442	19.092827	87.63432	23.59861	132.57605	52.596035	1000.0	1000.0	39999	12.84459	2.2137501	25.610369	10.710544	12.84459	2.2137349	25.5417	10.713185	-0.6719368	0.19342878	0.41350424	-6.048654	-12.955061	0.0023270787	0.002337875	557.545729637146
11	77.383865	11.584926	90.80672	60.0264	98.6627	15.585851	121.84975	72.06074	1000.0	1000.0	43999	13.525953	2.5913966	27.556135	11.106369	13.525956	2.591394	27.443295	11.124911	-0.6687407	0.2088611	0.5608225	-5.764681	-13.632542	0.002825304	0.0028165283	614.9081625938416
12	70.82611	22.06678	103.2354	43.47953	118.88806	9.605683	136.0204	102.831474	1000.0	1000.0	47999	14.091275	2.8913774	34.412888	11.345606	14.091267	2.891403	34.437256	11.359309	-0.6652133	0.22602654	0.86039066	-5.4645934	-14.193809	0.003356217	0.003195002	672.3047647476196
13	74.910774	25.309408	106.73288	49.207355	61.511852	25.43482	109.05614	10.134694	1000.0	1000.0	51999	14.599056	3.204245	31.197186	11.483592	14.599043	3.2042146	31.598324	11.496234	-0.6604228	0.24528234	1.0310493	-5.1667185	-14.7015915	0.0038436574	0.0041138693	729.7708854675293
14	91.84139	16.726797	119.48042	77.85373	116.640854	18.303244	135.49486	72.19929	1000.0	1000.0	55999	14.994754	3.4421403	30.665333	11.660908	14.994777	3.442137	30.836315	11.7272415	-0.65628403	0.26172638	0.8124001	-6.3917418	-15.092854	0.004853184	0.004660448	786.962123632431
15	85.149475	19.475704	105.19704	64.938126	108.0292	22.505507	132.70416	60.376705	1000.0	1000.0	59999	15.34889	3.6644258	33.337357	11.806829	15.348882	3.664484	33.496803	11.784579	-0.6535076	0.2709743	0.86423206	-5.987624	-15.444409	0.005075843	0.005243618	844.1645228862762
16	74.1248	15.897872	94.58704	55.17782	104.9989	21.759521	133.11826	65.56927	1000.0	1000.0	63999	15.676967	3.8936307	36.124363	11.93787	15.676961	3.8936737	36.233196	11.94094	-0.6534834	0.27278084	1.0054657	-5.3190227	-15.7703905	0.0054446477	0.00543053	902.3039627075195
17	86.70108	8.695808	97.45819	73.927055	76.41907	28.63541	111.68139	14.002454	1000.0	1000.0	67999	15.909151	4.016238	37.3268	11.885191	15.909189	4.0161943	37.24524	11.972462	-0.6510702	0.28167114	0.95001197	-6.2155066	-15.999443	0.006037926	0.0056531774	959.6921012401581
18	109.46496	14.689891	124.93726	85.27915	104.54942	16.910791	124.81785	70.53323	1000.0	1000.0	71999	16.19535	4.2075777	37.805664	11.941464	16.195368	4.2075353	38.151608	11.898001	-0.6488299	0.28833964	1.0404042	-6.318164	-16.28566	0.006155734	0.0059798663	1017.2894854545593
19	87.073975	20.47683	111.88086	57.988426	101.56044	8.2355175	113.506386	88.799995	1000.0	1000.0	75999	16.454685	4.375525	38.378258	11.963572	16.454683	4.375483	38.66494	11.886613	-0.6473909	0.2902997	0.996681	-5.1546144	-16.54382	0.0060610054	0.005851667	1075.1307282447815
20	105.7574	20.553831	134.65865	83.437126	99.18778	26.044632	136.93626	53.352108	1000.0	1000.0	79999	16.676125	4.5364585	38.583206	11.963734	16.67613	4.5364165	38.439148	11.917272	-0.64595026	0.2934978	1.0991449	-5.6017437	-16.765524	0.005967238	0.0061253854	1132.8638725280762
21	86.8205	16.42137	105.03785	63.06994	90.12526	33.180954	134.11075	30.997871	1000.0	1000.0	83999	16.905264	4.693742	39.116615	12.005561	16.905285	4.693769	39.142254	11.951958	-0.6450159	0.29563358	1.1430881	-5.7923794	-16.993366	0.005959417	0.0058289883	1190.437433719635
22	94.65287	12.763228	109.0203	75.20694	89.21804	32.20447	140.89032	34.540215	1000.0	1000.0	87999	17.093996	4.7907934	39.560455	11.9982395	17.093975	4.790773	39.37828	11.986348	-0.644366	0.29760733	1.0571244	-7.651826	-17.18207	0.005965949	0.0060231076	1248.096605539322
23	114.58658	18.470896	134.9048	91.439705	98.40423	13.8696995	124.99541	77.73754	1000.0	1000.0	91999	17.268063	4.895795	39.887825	11.947218	17.268036	4.8957295	39.441444	11.947247	-0.6415179	0.31273887	1.2559483	-5.5167036	-17.355495	0.0061144	0.0064341	1305.5857503414154
24	107.20737	13.7038355	128.30032	93.261024	98.68313	39.021133	146.5294	0.9354116	1000.0	1000.0	95999	17.480108	5.0153527	39.616142	12.00394	17.480145	5.0153646	39.51284	11.989744	-0.6389063	0.31825057	1.0524573	-4.9923058	-17.566137	0.0066277334	0.006559904	1362.574738740921
