Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	3.6273227	0.45217282	4.1201835	2.918017	2.1660128	0.42714885	3.3725967	1.8780965	1000.0	1000.0	3999	5.5638356	3.040744	11.422837	-1.2584412	5.5638027	3.0408201	11.39322	-1.708269	-4.0377426	0.48545408	8.44598	-9.050776	-6.3484316	0.009677858	0.009701895	42.50995683670044
2	2.8417482	0.8145043	4.0902057	1.9609828	0.13593599	0.049507253	0.21721682	0.074646056	1000.0	1000.0	7999	17.00573	3.514362	23.766232	10.161949	17.005754	3.5143142	23.67139	10.2160845	-4.0849476	0.35655198	-1.7273512	-9.199238	-17.776722	0.011242095	0.011156814	91.41723084449768
3	3.6779304	1.3353287	5.120732	2.2150693	0.5914339	0.14253633	0.8349943	0.35906097	1000.0	1000.0	11999	28.131983	2.9388878	33.84621	22.30073	28.132015	2.938782	34.052673	22.194658	-4.0892386	0.32907978	-1.5879984	-8.662224	-28.905348	0.011740652	0.011434475	142.78159165382385
4	6.666353	3.359297	10.710171	2.0788264	24.070236	1.6347195	27.069353	22.047459	1000.0	1000.0	15999	37.442245	2.465745	42.771233	32.226555	37.44225	2.465808	42.71208	32.2868	-4.090515	0.32601848	-1.0192509	-10.903429	-38.221157	0.010612266	0.010770458	196.52330827713013
5	4.786665	1.9167329	7.734302	3.040067	9.783043	1.3797379	11.954237	8.50236	1000.0	1000.0	19999	45.231377	2.0582993	49.939636	40.363083	45.23139	2.0581472	49.840935	40.565884	-4.092951	0.3169744	-2.0806513	-8.863529	-46.016376	0.009529622	0.009314423	250.21814823150635
6	5.6371727	1.5230365	6.680725	3.0245311	8.817244	1.2913061	11.411576	6.5713	1000.0	1000.0	23999	51.700314	1.7035294	55.561573	48.039547	51.70031	1.7034731	55.55577	48.050014	-4.095281	0.30548233	-1.8044462	-9.383472	-52.489002	0.008451715	0.008408175	304.0612301826477
7	3.48329	0.50369316	3.9802759	2.814053	3.216772	3.2500517	8.035449	0.37569618	1000.0	1000.0	27999	57.03332	1.4029479	60.71048	53.99067	57.033356	1.4028865	60.635643	54.010853	-4.0982594	0.30053115	-2.286202	-11.273245	-57.824814	0.008521601	0.008448502	357.942578792572
8	4.451762	0.48833275	5.243228	3.982742	2.113436	2.3087072	6.125638	0.23014136	1000.0	1000.0	31999	61.40611	1.1534268	64.423035	58.764435	61.406105	1.1533947	64.44302	58.800545	-4.098492	0.29769945	-2.5527687	-9.467992	-62.201164	0.0082189785	0.0081987465	411.5293025970459
9	4.923373	2.3015056	7.5707083	1.2363693	1.0713283	0.96946377	3.809406	0.42324436	1000.0	1000.0	35999	64.99899	0.95212597	67.783875	62.856373	64.99901	0.95234907	67.674866	62.782703	-4.098509	0.29301578	-2.7877207	-9.165787	-65.79191	0.007964419	0.008191181	464.99270582199097
10	4.9548526	2.504394	7.88889	1.0412626	4.317434	2.4398766	8.412008	1.3156086	1000.0	1000.0	39999	67.94256	0.7850987	70.7224	65.67971	67.94258	0.78506285	70.790016	65.86194	-4.099809	0.2945243	-2.6171217	-10.082564	-68.73155	0.0085109705	0.008450337	518.4441692829132
