Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	1.25	1.6393596	4.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	3999	2.010156	1.006728	6.8793144	-2.1724935	2.009812	1.007338	7.1019015	-1.8343722	-1.3498983	0.26123822	19.560259	-5.3473487	-2.26806	0.002975289	0.0030752092	41.14885759353638
2	1.25	1.299038	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	7999	5.794826	1.1877661	12.641809	2.9975781	5.794809	1.1877617	12.389043	3.0103037	-1.3522319	0.25520325	4.9086466	-5.77376	-6.0526013	0.0068821786	0.0067275935	90.27981758117676
3	2.25	1.7853571	4.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	11999	9.446922	0.9608545	14.360938	6.7521615	9.446942	0.96093893	14.956449	6.973082	-1.3597088	0.21413991	3.534276	-5.7443295	-9.700432	0.0056652026	0.0053463476	142.52285814285278
4	0.25	0.4330127	1.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	15999	12.453105	0.80226076	17.85728	9.419636	12.453113	0.80228394	17.624372	9.920715	-1.3602347	0.2086804	6.529014	-6.615405	-12.708483	0.0043606297	0.0042769196	196.9777216911316
5	1.25	1.299038	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	14.947617	0.66985494	20.324514	12.3330145	14.947629	0.6698152	20.482985	12.646496	-1.3615761	0.20264052	4.633855	-6.2066784	-15.204985	0.0041786386	0.0039994675	251.26130485534668
6	0.5	0.8660254	2.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	23999	17.029737	0.5574584	21.167795	15.134242	17.029737	0.5575621	21.394833	15.058483	-1.3639582	0.18855932	5.695701	-6.9820967	-17.287691	0.0033650359	0.0033645444	305.4112687110901
7	1.5	2.0615528	5.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	27999	18.758642	0.46323994	22.878677	16.79406	18.758644	0.4632059	23.445206	16.555437	-1.3636316	0.1871677	4.2669916	-6.458068	-19.017653	0.003375456	0.00322148	359.74008321762085
8	3.75	2.8613808	8.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	31999	20.18521	0.38470328	25.475561	17.973597	20.185217	0.38462344	24.44332	18.322422	-1.3648849	0.18236794	3.451602	-7.0848517	-20.445126	0.0034215022	0.0033232972	413.79450130462646
9	3.0	4.6368093	11.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	35999	21.3605	0.32694733	27.309399	19.922712	21.360508	0.32671875	27.279501	19.811457	-1.3636106	0.18910873	3.9096875	-6.276586	-21.621473	0.004142783	0.00409691	468.15652990341187
10	3.0	2.236068	6.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	39999	22.328167	0.27445135	27.444914	20.78558	22.328167	0.2743443	26.80199	20.474321	-1.3634018	0.18701221	5.481277	-6.4162483	-22.589413	0.004108303	0.004128627	522.1901400089264
11	1.25	2.1650636	5.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	43999	23.122923	0.23704037	28.415924	21.805134	23.122934	0.23649861	28.420557	21.80771	-1.3636271	0.1914046	7.4315743	-7.311482	-23.38425	0.004790323	0.0048216647	575.7282783985138
12	1.0	1.7320508	4.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	47999	23.777117	0.19978157	29.236988	22.50646	23.777124	0.1992934	28.921143	22.314388	-1.3640134	0.18845184	5.757509	-6.0588255	-24.039446	0.004578988	0.0044878856	629.4493515491486
13	1.75	2.046338	5.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	51999	24.32015	0.17335038	29.796366	23.02015	24.320154	0.17338994	28.895958	22.46522	-1.364648	0.18711314	4.0451202	-6.846015	-24.582455	0.0040665874	0.0038378139	684.0938451290131
14	3.5	2.6925824	7.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	55999	24.765217	0.15611349	30.305983	23.366222	24.765228	0.15536894	30.74199	23.403587	-1.3637599	0.18972902	3.9525118	-6.8765583	-25.026972	0.004570507	0.0046243994	738.1016612052917
15	1.0	1.7320508	4.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	59999	25.131933	0.14853017	31.407347	23.944086	25.131937	0.14798926	31.39999	23.951912	-1.3637915	0.19388705	6.197362	-6.8160057	-25.394468	0.0046987105	0.004764081	792.1650512218475
16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	63999	25.431278	0.12449314	30.738163	24.019827	25.43128	0.12343766	30.2847	23.607906	-1.3640734	0.18740693	4.4388485	-6.7877064	-25.692278	0.0039670467	0.0039034623	846.4876580238342
17	0.25	0.4330127	1.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	67999	25.680132	0.115735725	31.539577	24.52242	25.680128	0.115656145	31.57812	24.48348	-1.3639419	0.18685266	5.0870953	-6.1818886	-25.94145	0.0037608233	0.0038748342	900.8916387557983
18	0.75	1.299038	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	71999	25.88571	0.10851302	33.538807	24.73851	25.88571	0.107318565	33.528465	24.477869	-1.3643326	0.18466419	4.3238926	-5.7671328	-26.147459	0.0036596172	0.003880244	955.1255733966827
19	4.25	5.1659946	13.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	75999	26.046473	0.11134386	41.518528	23.163763	26.0465	0.109307945	37.297577	22.42309	-1.3645554	0.18233284	8.46764	-5.930668	-26.305857	0.003968312	0.003980199	1009.3269956111908
20	1.5	1.6583124	4.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	79999	26.181507	0.108101785	36.287144	23.933945	26.181503	0.10727692	35.2963	21.078636	-1.3654968	0.18399292	6.546238	-7.1862454	-26.4405	0.003667099	0.0041343537	1063.724437236786
21	5.75	7.361216	18.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	83999	26.305347	0.10626897	35.634506	25.025461	26.30533	0.10526405	34.808895	23.369274	-1.3646562	0.18699843	8.481556	-6.6623144	-26.56333	0.0032805973	0.0036862453	1118.4504029750824
22	2.5	1.8027756	5.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	87999	26.409868	0.111169904	37.101917	24.805319	26.40987	0.11078656	37.27369	24.896877	-1.3645322	0.18397479	5.071297	-5.471429	-26.671278	0.0039083697	0.003958308	1173.0959255695343
23	2.25	2.8613808	7.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	91999	26.495745	0.105492614	34.893295	24.757832	26.495745	0.103995726	34.987667	24.145939	-1.3643261	0.18777697	6.5974064	-6.0347085	-26.756313	0.0037056466	0.0039497446	1227.7453880310059
24	2.0	2.9154758	7.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	95999	26.564367	0.11621868	36.58065	25.586472	26.56437	0.11358265	35.37431	24.924004	-1.3634672	0.19277419	3.9366193	-6.6847367	-26.825956	0.003873806	0.0041608885	1282.7310376167297
25	3.5	2.291288	6.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	99999	26.619286	0.113939226	36.814735	24.748693	26.619295	0.11123871	35.600025	24.320942	-1.3637211	0.19324206	5.3187504	-5.7165103	-26.879213	0.003998958	0.004285336	1337.7646670341492
26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	103999	26.661173	0.11823916	36.48535	24.928656	26.66118	0.1151782	35.662888	23.345816	-1.3635105	0.19254485	5.3549943	-7.0502605	-26.92264	0.0041955337	0.004324854	1392.6364495754242
27	6.25	6.759253	17.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	107999	26.697847	0.12750591	36.32771	25.183413	26.697857	0.12481839	35.662643	25.067335	-1.3629686	0.19666314	6.208748	-7.9783382	-26.959663	0.004355291	0.0044447584	1447.0990765094757
28	2.75	3.269174	8.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	111999	26.726946	0.12598988	36.5729	25.028097	26.72695	0.12485961	36.49991	23.698603	-1.3635602	0.19416806	4.741748	-6.017794	-26.989656	0.0039819987	0.0040960563	1501.5817692279816
29	3.75	3.269174	9.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	115999	26.757242	0.12337798	37.916363	24.290733	26.757263	0.12207868	36.460087	23.840942	-1.364265	0.18728752	5.899362	-6.099848	-27.019989	0.0042374497	0.0042498433	1556.230482339859
30	2.5	4.3301272	10.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	119999	26.786293	0.12154162	35.74694	25.575481	26.786297	0.120134495	36.13136	24.794472	-1.3645746	0.18900238	9.47966	-6.042989	-27.050163	0.0041460777	0.004125355	1610.5813887119293
31	1.5	2.598076	6.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	123999	26.804657	0.13697417	37.934845	25.992306	26.804663	0.1350762	37.994255	24.438997	-1.3635173	0.19463389	7.170635	-6.2458644	-27.06799	0.0049180556	0.005321679	1665.3523273468018
32	1.25	1.299038	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	127999	26.812742	0.13279991	38.017178	25.592144	26.81274	0.13117747	36.957123	24.718143	-1.3639804	0.1902193	4.948018	-7.22248	-27.075994	0.0046598143	0.004920635	1719.7921288013458
33	1.0	1.7320508	4.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	131999	26.82917	0.11945936	35.582676	25.4329	26.829165	0.11959528	37.29327	25.130325	-1.3648381	0.1832815	4.9727006	-6.940108	-27.092342	0.004160305	0.0043980833	1774.579553604126
34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	135999	26.845625	0.12296205	38.284954	22.873196	26.84563	0.12155431	36.564236	22.307837	-1.364789	0.18614972	5.1639075	-6.8862486	-27.10854	0.0044501014	0.0045395438	1829.0215997695923
35	5.75	6.941722	17.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	139999	26.860888	0.12770945	37.955513	24.543875	26.860882	0.12651771	38.41962	24.602634	-1.364539	0.18914445	5.1248293	-6.309249	-27.12352	0.004232611	0.0045109224	1883.5309479236603
36	0.75	1.299038	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	143999	26.87321	0.115469456	36.90434	24.695578	26.873224	0.1142614	35.59823	24.102694	-1.3642384	0.18774216	6.6406403	-5.949664	-27.136536	0.00405097	0.0040135114	1938.0656690597534
37	3.0	2.9154758	8.0	1.0	0.0	0.0	0.0	0.0	1000.0	1000.0	147999	26.887035	0.11931027	37.586864	25.553333	26.887032	0.118714176	36.170197	25.438204	-1.3653153	0.18107626	4.176267	-5.916214	-27.150978	0.004121238	0.0042774286	1992.5771217346191
