Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	307.5	311.0213	681.0	0.0	309.5	452.8932	1000.0	0.0	1000.0	1000.0	3999	4.265484	4.5356727	18.65171	-2.9519446	4.26489	4.535561	29.521175	-2.897171	-1.2482744	0.53329	5.6226516	-6.0653467	-4.505783	0.024040949	0.026817774	35.42486047744751
2	105.5	182.73135	422.0	0.0	300.0	458.25757	1000.0	0.0	1000.0	1000.0	7999	10.463399	9.34198	43.971596	-1.2921011	10.463252	9.341921	40.10969	-1.4109583	-1.0193894	0.8405642	7.682126	-7.3542953	-10.74768	0.045113213	0.046072602	74.22206735610962
3	306.25	354.14008	864.0	0.0	203.0	395.85553	1000.0	0.0	1000.0	1000.0	11999	19.502163	14.725452	69.27176	2.8188305	19.502108	14.725341	67.34152	2.568639	-0.6980888	1.1466166	7.6833034	-9.009645	-19.910255	0.09370639	0.09553836	114.95954537391663
4	185.75	300.57144	706.0	0.0	200.0	400.0	1000.0	0.0	1000.0	1000.0	15999	27.958458	19.2809	82.22633	5.694431	27.958195	19.28076	81.67203	5.0589356	-0.76633507	1.1204112	11.838843	-8.928203	-28.289984	0.1747956	0.1815888	157.897456407547
5	605.75	251.42033	873.0	266.0	219.0	394.24384	1000.0	0.0	1000.0	1000.0	19999	35.998035	22.87026	93.04823	6.9751534	35.998177	22.86983	92.83384	7.242627	-0.80451745	1.0636845	10.573324	-9.776667	-36.261234	0.3737209	0.38110608	200.49305319786072
6	161.0	278.86017	644.0	0.0	170.1	346.70752	1000.0	0.0	1000.0	1000.0	23999	42.03018	25.315502	101.12329	9.610039	42.03048	25.315298	99.025444	10.124254	-0.77194923	1.0404611	7.1534767	-8.788711	-42.274155	0.5270245	0.522352	242.46427845954895
7	440.5	448.46487	1000.0	0.0	250.2	395.20367	1000.0	0.0	1000.0	1000.0	27999	45.72799	27.527134	104.44128	11.681102	45.727955	27.527676	104.20849	11.065092	-0.76049656	1.0620029	7.956641	-8.826649	-45.963173	0.5574026	0.5490183	285.75466299057007
8	520.5	480.37564	1000.0	0.0	180.7	362.10498	954.0	0.0	1000.0	1000.0	31999	48.912933	30.642143	114.14934	11.466164	48.91304	30.64252	111.40835	10.697948	-0.74544406	1.0924205	7.048999	-8.842108	-49.147556	0.499219	0.48233578	328.9802417755127
9	270.75	422.39398	1000.0	0.0	175.0	350.10312	894.0	0.0	1000.0	1000.0	35999	51.51729	33.080067	119.168144	11.805936	51.517086	33.080486	117.0849	11.838226	-0.74564284	1.1169091	7.62481	-9.741779	-51.76324	0.45352522	0.44948182	371.296071767807
10	217.25	376.28802	869.0	0.0	107.7	288.00766	966.0	0.0	1000.0	1000.0	39999	53.5589	34.986202	117.25242	10.370735	53.55892	34.986664	123.23563	10.745151	-0.7597412	1.125588	8.816464	-8.849167	-53.800224	0.39712322	0.39747602	415.79156279563904
11	658.0	389.4175	1000.0	0.0	688.0	450.69345	1000.0	0.0	1000.0	1000.0	43999	56.40208	36.757317	123.205	9.744384	56.401966	36.75743	121.03892	9.197935	-0.7649868	1.1071141	9.075356	-9.858724	-56.63411	0.38691372	0.38904583	459.18409991264343
12	253.25	244.153	656.0	0.0	314.7	431.7951	978.0	0.0	1000.0	1000.0	47999	58.451935	37.493282	120.785286	7.936059	58.45199	37.493397	121.9158	9.738388	-0.7440084	1.1070514	7.9813395	-8.994174	-58.6646	0.44782233	0.44988176	502.9217755794525
13	492.75	468.45245	1000.0	0.0	276.7	425.97278	1000.0	0.0	1000.0	1000.0	51999	59.27381	37.830147	123.881516	9.764784	59.27392	37.829792	121.917755	11.800232	-0.6626092	1.1490607	7.820361	-8.642405	-59.48961	0.517546	0.5224299	546.181574344635
14	171.0	296.1807	684.0	0.0	189.2	379.16983	1000.0	0.0	1000.0	1000.0	55999	61.48134	38.418434	126.191444	10.981896	61.481323	38.418003	127.241005	8.209549	-0.6504248	1.1625162	8.310772	-10.582498	-61.69093	0.5570179	0.5604773	589.2689895629883
15	230.75	399.67072	923.0	0.0	298.6	449.90515	1000.0	0.0	1000.0	1000.0	59999	62.05743	38.88028	134.48187	11.145767	62.05763	38.88003	135.18602	11.800195	-0.62660503	1.1687322	8.396292	-8.887001	-62.268993	0.57029295	0.57828456	632.0354568958282
16	925.5	90.63526	1000.0	778.0	285.3	436.47318	1000.0	0.0	1000.0	1000.0	63999	63.208675	39.78677	133.45982	10.619717	63.2088	39.78681	136.60426	8.571473	-0.5972875	1.20735	7.3147516	-9.642277	-63.426888	0.57054067	0.57461363	674.3575603961945
17	0.0	0.0	0.0	0.0	303.5	410.101	941.0	0.0	1000.0	1000.0	67999	64.635376	40.43981	128.18562	8.607336	64.6354	40.439354	128.64653	7.812456	-0.60679185	1.203381	8.096273	-9.847319	-64.858795	0.51104623	0.52288455	717.7806401252747
18	962.0	38.878014	1000.0	897.0	472.2	474.27646	1000.0	0.0	1000.0	1000.0	71999	65.9729	40.73122	129.1325	6.7354527	65.97304	40.73111	128.93509	7.371067	-0.5943486	1.2085576	7.4496584	-9.393747	-66.21203	0.5347102	0.5454363	761.4948484897614
19	372.75	373.53806	984.0	0.0	575.1	469.9139	995.0	0.0	1000.0	1000.0	75999	67.59306	41.04103	128.36995	4.946893	67.59304	41.041035	130.21535	5.961431	-0.63507414	1.1890283	9.586696	-12.1242695	-67.81329	0.5284582	0.52761286	805.6805891990662
20	935.25	101.47752	1000.0	760.0	464.3	466.9169	1000.0	0.0	1000.0	1000.0	79999	69.3617	41.469803	129.76234	7.622891	69.36182	41.46987	129.3452	7.0810933	-0.6979663	1.1516933	7.698641	-8.682091	-69.56086	0.48199618	0.4833813	849.2491059303284
21	940.75	25.99399	984.0	919.0	488.4	488.70648	1000.0	0.0	1000.0	1000.0	83999	71.75494	41.68656	124.95468	7.5396986	71.75501	41.686447	126.218376	8.850948	-0.6835844	1.1666576	8.07361	-10.555515	-71.95808	0.45851997	0.46936107	893.5571031570435
22	702.0	410.0195	1000.0	0.0	492.2	492.31226	1000.0	0.0	1000.0	1000.0	87999	73.437164	41.478027	128.88016	8.743379	73.4372	41.477665	129.30109	10.338021	-0.6911521	1.1555305	7.2106204	-10.381004	-73.634834	0.43615973	0.43812716	936.4590857028961
23	920.75	72.223175	971.0	796.0	397.7	484.34616	1000.0	0.0	1000.0	1000.0	91999	75.05102	41.279976	123.98731	7.448109	75.05109	41.280025	127.72261	4.4630895	-0.72327226	1.1375209	9.643796	-8.885399	-75.23805	0.4364439	0.43786323	979.0559089183807
24	736.0	425.54434	1000.0	0.0	785.7	393.30267	1000.0	0.0	1000.0	1000.0	95999	75.980576	41.47527	127.41845	8.366673	75.98045	41.475067	123.589294	7.2159176	-0.74628985	1.1279594	7.290846	-10.184426	-76.158966	0.45109263	0.457602	1022.5914220809937
25	364.0	371.35428	832.0	0.0	593.5	476.73813	1000.0	0.0	1000.0	1000.0	99999	76.81154	41.65968	123.756714	5.282629	76.81164	41.659554	124.96149	8.4502945	-0.76763016	1.1145672	9.733922	-8.423323	-76.98594	0.46107748	0.46631175	1065.6436631679535
26	716.5	414.83643	986.0	0.0	476.9	476.9674	970.0	0.0	1000.0	1000.0	103999	76.67939	41.775978	123.69454	4.21671	76.67931	41.7757	124.317314	-5.3721714	-0.7793522	1.0985643	9.617137	-9.618783	-76.837616	0.48297143	0.49761504	1108.7303688526154
27	471.0	472.17105	989.0	0.0	691.2	452.62518	1000.0	0.0	1000.0	1000.0	107999	76.895	42.031143	124.12381	10.366451	76.89501	42.03056	124.17272	5.688662	-0.7616667	1.1098281	8.612236	-10.0505295	-77.05221	0.47367334	0.48317444	1151.2389307022095
28	477.25	478.33325	1000.0	0.0	557.0	458.67526	1000.0	0.0	1000.0	1000.0	111999	76.68304	42.25458	123.96345	3.0003343	76.68311	42.254017	123.94334	3.4206843	-0.7660764	1.109952	8.808256	-10.09061	-76.84363	0.44276643	0.46446297	1195.8009436130524
29	451.75	454.41522	973.0	0.0	597.8	488.11816	1000.0	0.0	1000.0	1000.0	115999	76.46556	42.747166	130.60648	-2.410367	76.46566	42.746357	128.63887	-4.0704017	-0.780062	1.0976281	10.40835	-9.817526	-76.62339	0.4558823	0.461496	1238.7662374973297
30	250.0	433.0127	1000.0	0.0	194.2	383.2552	975.0	0.0	1000.0	1000.0	119999	76.38963	42.959316	124.94735	3.264638	76.38971	42.959297	126.81027	-0.076854825	-0.7935121	1.0823019	9.108391	-9.003452	-76.53805	0.43782586	0.44209343	1283.508662223816
