Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	47.604218	44.464485	122.2126	4.961436	80.94792	30.54514	118.62884	24.276005	1000.0	1000.0	3999	4.6638994	2.529193	9.609501	-1.1206043	4.6639595	2.529077	9.696527	-1.3415521	-3.3705845	0.4289874	2.652112	-8.299636	-5.31972	0.007114544	0.007220898	35.77040672302246
2	46.870087	23.774288	74.699646	12.342693	52.99961	24.343117	105.509514	18.569279	1000.0	1000.0	7999	14.721348	3.2075415	21.528706	8.516043	14.721366	3.2075436	21.525606	8.421385	-3.410055	0.30931243	-1.7803502	-10.143297	-15.369648	0.0061700596	0.006084785	74.94517922401428
3	83.71219	56.038567	148.62344	4.1352634	69.288864	19.553967	101.2843	35.09116	1000.0	1000.0	11999	24.92969	2.934007	33.055225	18.906517	24.929674	2.9339468	33.06062	18.87111	-3.414526	0.2785059	-1.9571481	-8.574488	-25.578543	0.008968695	0.009003105	116.95090317726135
4	65.18407	28.618628	100.014694	20.339552	101.66914	109.42168	402.29416	15.312853	1000.0	1000.0	15999	33.66947	2.8936083	46.458336	27.293896	33.669453	2.893507	46.684093	27.112932	-3.3913057	0.36051697	4.0598173	-8.287825	-34.30954	0.014907085	0.015089741	160.04719471931458
5	85.42416	29.527603	126.36801	42.941547	63.156654	29.566399	102.742485	17.347685	1000.0	1000.0	19999	40.859116	3.081203	62.895332	33.700397	40.85914	3.0822532	63.202377	33.64499	-3.3842387	0.38136527	2.761671	-8.712901	-41.480526	0.018703815	0.018553974	203.07350611686707
6	55.16313	32.37897	96.72913	6.2586193	55.369305	63.378407	230.93881	5.586626	1000.0	1000.0	23999	46.992306	3.892342	67.575294	38.784786	46.992306	3.8930452	67.67794	39.45093	-3.3661854	0.44387794	4.661834	-12.003549	-47.6042	0.027064878	0.026734546	246.44293332099915
7	79.6882	32.304535	116.4071	39.947266	154.85098	271.8174	963.6877	12.960632	1000.0	1000.0	27999	51.82799	4.2072806	75.87157	43.172104	51.82803	4.2089486	76.388016	43.429104	-3.353893	0.4793679	3.6459637	-8.779273	-52.4239	0.034110084	0.031547397	289.04993438720703
8	49.70633	45.760574	100.16773	1.7143217	67.08593	35.787563	133.93263	15.721731	1000.0	1000.0	31999	55.43018	4.333436	82.628296	46.224464	55.430176	4.3356447	83.02184	46.524406	-3.3757703	0.40708536	2.9385343	-9.826512	-56.026787	0.03345485	0.029139664	331.2226936817169
9	86.07401	30.907621	115.5829	39.40091	53.869526	31.989765	106.73463	12.346037	1000.0	1000.0	35999	58.37273	4.3425922	91.00924	48.442513	58.37282	4.3446794	91.179726	48.632187	-3.3765116	0.4199544	4.352917	-9.666775	-58.968147	0.032710206	0.030358834	373.8127541542053
10	70.36176	27.993233	113.27795	36.75952	61.919575	44.143204	124.07038	6.627432	1000.0	1000.0	39999	60.84271	4.472261	100.16166	49.795647	60.84276	4.475346	100.36082	50.642467	-3.3759396	0.43251076	4.663909	-10.536989	-61.436764	0.03800862	0.033049956	416.9172019958496
11	68.6184	40.672173	104.12145	1.4511768	104.093834	148.8613	536.9881	13.081651	1000.0	1000.0	43999	62.797054	4.87018	104.531685	49.322235	62.79691	4.870161	111.91715	51.451107	-3.3625045	0.48675898	7.016939	-10.019558	-63.356606	0.06446669	0.073869064	459.8082003593445
12	94.77443	62.706974	202.2675	50.079266	57.776115	36.860607	111.722466	4.3894796	1000.0	1000.0	47999	64.20432	4.9297037	107.50929	52.270763	64.20433	4.927248	106.75806	51.918873	-3.3691587	0.44253078	3.9884381	-9.574166	-64.75641	0.056500107	0.06933958	502.9201428890228
13	111.37613	63.209156	213.75471	55.70374	77.01311	29.456692	108.25875	27.278997	1000.0	1000.0	51999	65.33981	5.16576	111.84693	53.97226	65.33979	5.1671686	110.77734	54.5136	-3.349363	0.54179513	5.827402	-9.836532	-65.90417	0.05961491	0.0591588	546.1552584171295
14	98.16733	82.57346	229.70094	1.8334619	120.93089	171.14555	627.4159	18.01671	1000.0	1000.0	55999	66.42725	5.5894012	115.49474	54.059166	66.42719	5.592518	116.15579	54.763958	-3.3471582	0.5476435	4.971508	-10.828861	-66.98432	0.06426861	0.06640674	588.2567617893219
15	61.525955	12.636429	78.433525	48.707188	164.25735	244.33006	874.9782	11.975097	1000.0	1000.0	59999	67.14451	5.8669853	116.79805	54.07785	67.14448	5.8678546	117.05438	54.962883	-3.364943	0.45341718	3.6579409	-9.168875	-67.68126	0.07358788	0.07967206	633.8860385417938
16	68.68425	31.010967	99.87144	37.04789	68.87267	34.5054	115.60317	21.42318	1000.0	1000.0	63999	67.63063	5.5568757	115.523285	54.43474	67.63065	5.5566363	114.9015	54.81312	-3.378683	0.40757933	3.7003102	-9.499789	-68.18228	0.0637724	0.062377952	676.6169004440308
17	64.098564	42.947968	107.31111	17.256857	52.747887	26.728836	85.36762	10.18212	1000.0	1000.0	67999	67.93161	5.390131	112.25629	54.525505	67.93166	5.3894033	111.806915	53.88101	-3.3803174	0.40139917	3.078958	-9.569539	-68.48348	0.05607476	0.056605235	720.5015289783478
18	84.063736	33.193634	129.7176	38.36986	67.11972	39.93817	112.10091	0.8538263	1000.0	1000.0	71999	68.14413	5.5202937	119.78947	39.897743	68.14406	5.5193005	114.00963	40.858143	-3.3813553	0.3992997	3.7638373	-8.789957	-68.69041	0.063275605	0.0665408	763.5072343349457
19	76.59622	27.561487	120.46746	49.916477	108.121216	208.1458	726.4163	12.380109	1000.0	1000.0	75999	68.62354	5.6581993	111.23323	44.84568	68.62361	5.656333	110.79742	44.7265	-3.3778636	0.41521448	4.360988	-9.333548	-69.175255	0.05554177	0.0607451	809.1610088348389
20	100.17819	5.788953	106.76986	92.644	57.6003	35.328163	119.91898	1.0865272	1000.0	1000.0	79999	68.84176	5.2971516	104.92602	47.19193	68.84176	5.296757	105.30848	46.812862	-3.3867788	0.3848073	3.6913075	-9.509932	-69.40076	0.04924262	0.051944673	853.5147933959961
21	58.427624	38.13841	112.40253	6.4109983	124.28648	114.62559	455.43613	24.449278	1000.0	1000.0	83999	69.099106	5.057288	104.42867	47.94482	69.09907	5.0571	104.05638	48.90307	-3.3960667	0.34301493	2.460507	-8.876974	-69.65875	0.043989126	0.045752358	897.5873830318451
22	82.29585	35.318707	120.125984	28.889982	100.30221	132.84526	464.69528	0.849754	1000.0	1000.0	87999	69.180336	4.900862	103.18063	48.984913	69.18037	4.9011774	104.71985	50.06732	-3.3996243	0.3276279	2.1956806	-11.362682	-69.74795	0.04469559	0.04339747	942.2160496711731
23	110.84425	65.97581	212.66798	40.094555	31.773005	25.905256	88.4367	4.3488946	1000.0	1000.0	91999	69.37102	4.8635254	103.655014	50.81956	69.37099	4.863418	105.103195	51.16977	-3.4012368	0.3237828	1.982038	-8.730979	-69.934395	0.04364795	0.044588476	987.3863611221313
24	77.637924	21.451265	114.05749	59.00161	90.13161	91.40225	341.4606	9.693119	1000.0	1000.0	95999	69.521614	4.832477	103.88763	52.085407	69.521614	4.832611	105.14174	51.380558	-3.4031756	0.31609428	2.0057993	-8.853488	-70.08412	0.04621412	0.046275254	1034.4831137657166
25	58.96144	2.435969	62.50906	55.74408	104.450096	67.052704	289.17136	43.349762	1000.0	1000.0	99999	69.5508	4.7543597	103.95009	52.13911	69.55084	4.754643	104.66835	52.269413	-3.40135	0.3217734	1.0456038	-9.9685755	-70.11649	0.046204377	0.04125151	1079.132086277008
26	74.39291	20.965517	107.12463	48.67434	76.79143	34.92781	120.13675	20.00785	1000.0	1000.0	103999	69.59862	4.6704698	104.78994	51.9338	69.59865	4.670617	104.46178	51.50951	-3.4003265	0.32387775	2.7286797	-9.20809	-70.16175	0.045251336	0.04538952	1123.1277055740356
27	99.84666	36.693405	158.34755	60.86139	93.68614	70.67247	258.86322	27.503885	1000.0	1000.0	107999	69.72693	4.73908	105.39905	52.16553	69.72695	4.739154	105.791885	51.10886	-3.4057329	0.30622065	1.1722322	-9.195904	-70.28957	0.047238354	0.04263079	1166.0048401355743
28	64.16173	29.70487	92.45391	14.559325	51.03011	39.69248	114.66936	2.7718217	1000.0	1000.0	111999	69.714325	4.721472	104.39701	50.689236	69.71439	4.7216253	105.15457	51.03198	-3.4026377	0.32236567	0.7792344	-10.154525	-70.275925	0.047020152	0.044649925	1210.9507296085358
29	169.12785	116.01553	366.1534	70.27653	85.418564	60.946823	232.16367	2.4517717	1000.0	1000.0	115999	69.834206	4.748714	104.87049	48.487495	69.8342	4.7485423	104.89957	49.73834	-3.401378	0.31923503	2.3986964	-8.042167	-70.393906	0.04776337	0.04366006	1253.4976382255554
