Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	3999	3.576915	2.0791085	8.41385	-1.8140284	3.5771637	2.0787537	8.336931	-1.4920576	-2.7017982	0.35213083	6.033434	-7.1304436	-4.1025963	0.0049803774	0.004722865	46.442485332489014
2	0.45255393	0.7838464	1.8102157	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	7999	11.609233	2.9423532	22.683363	4.6576157	11.6092825	2.94227	21.439384	4.7226205	-2.6705194	0.4516958	5.0880404	-8.205221	-12.134816	0.008815928	0.008628801	100.07707715034485
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	11999	19.304768	2.4054122	38.042973	12.841768	19.304798	2.405176	38.163113	12.777673	-2.6715572	0.46266037	7.364959	-9.375431	-19.821804	0.011085852	0.010907841	155.3491427898407
4	0.6136658	1.0629004	2.4546633	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	15999	25.690483	3.0924191	42.572384	19.60484	25.690477	3.0924768	42.22873	20.425632	-2.6857774	0.41603956	8.295742	-8.734924	-26.19498	0.016823322	0.01679249	208.02282977104187
5	9.9827856e-05	0.00017290692	0.00039931142	0.0	0.00049042574	0.0014712773	0.0049042576	0.0	1000.0	1000.0	19999	31.064398	3.2930706	43.348095	25.754532	31.06442	3.2929697	43.42247	25.878141	-2.692874	0.37435398	4.1888404	-10.2741785	-31.569683	0.015221155	0.015026884	259.337753534317
6	0.0044763135	0.007753202	0.017905254	0.0	0.0013199854	0.003959956	0.013199854	0.0	1000.0	1000.0	23999	34.963177	2.7853246	45.438175	29.879282	34.96316	2.7852814	45.38363	29.736689	-2.70341	0.3462887	5.2610493	-8.944182	-35.468014	0.012035427	0.012015712	311.21947383880615
7	0.0013662779	0.0021091567	0.0050049233	0.0	0.027379325	0.08213797	0.27379325	0.0	1000.0	1000.0	27999	37.924946	2.1183171	55.623096	33.31441	37.92498	2.1183062	54.75839	33.803875	-2.7116425	0.32375547	5.030716	-9.086671	-38.428513	0.011703043	0.011527227	363.8234431743622
8	0.071217574	0.09890364	0.2394917	0.0	0.0019455474	0.0057268627	0.019123571	0.0	1000.0	1000.0	31999	40.417576	1.6326199	70.98372	36.234005	40.41759	1.632565	70.91713	36.377224	-2.713301	0.31583232	12.256022	-7.659771	-40.920414	0.012953089	0.01249844	416.99808621406555
9	0.023263166	0.024209522	0.06205101	0.0	0.00058237056	0.0017471118	0.005823706	0.0	1000.0	1000.0	35999	42.50731	1.4835155	86.02931	36.789497	42.50729	1.4833628	85.0631	36.19365	-2.6908746	0.45030484	8.524368	-10.022361	-43.013718	0.02645684	0.026826655	470.5873816013336
10	0.00041070473	0.0007113614	0.0016428189	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	39999	44.34294	2.186186	88.60387	40.196327	44.34291	2.1867244	87.373344	39.19199	-2.6642926	0.53566355	9.831295	-10.817763	-44.853508	0.035143528	0.036748346	521.3475859165192
11	0.4221989	0.73126996	1.6887956	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	43999	46.02636	2.9738235	82.30391	42.25519	46.026356	2.9739861	81.65856	42.096184	-2.6523163	0.5326403	6.276225	-9.101863	-46.53508	0.023997772	0.02364061	574.665364742279
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	47999	47.211685	2.4799466	79.60947	43.128162	47.211674	2.4802642	79.59101	43.381508	-2.6686509	0.4601051	4.818477	-8.853481	-47.72113	0.018499922	0.019558648	625.5739169120789
13	0.0	0.0	0.0	0.0	0.0047014942	0.01343039	0.044950325	0.0	1000.0	1000.0	51999	48.28272	2.2061582	77.97639	44.731564	48.28271	2.2060971	76.442024	44.379204	-2.6960335	0.3653999	5.8301263	-9.380869	-48.789993	0.012404224	0.0121516595	676.9635353088379
14	0.0	0.0	0.0	0.0	0.06162833	0.18488498	0.6162833	0.0	1000.0	1000.0	55999	49.002537	1.6461865	75.82445	46.11437	49.00257	1.6460204	76.38747	46.218193	-2.7088504	0.32803032	5.112687	-9.140579	-49.513947	0.009978202	0.009944451	729.0959913730621
15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	59999	49.668114	1.3210043	82.40119	46.633587	49.6681	1.3210971	80.271194	46.63725	-2.7196324	0.29446134	13.826765	-10.109907	-50.181847	0.008816341	0.00887124	781.2188105583191
16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	63999	50.21676	0.9879197	74.32856	46.84694	50.21675	0.988134	74.206924	45.942356	-2.7241697	0.27125126	3.042848	-8.314004	-50.731586	0.0073701697	0.0074821194	834.2833867073059
17	0.0	0.0	0.0	0.0	0.0024211996	0.0072635985	0.024211995	0.0	1000.0	1000.0	67999	50.70093	0.7404084	75.54841	48.542107	50.700935	0.7406915	76.735634	48.166977	-2.7276635	0.2580456	3.4861844	-8.063383	-51.21697	0.0066038845	0.006750511	884.7225334644318
18	0.0	0.0	0.0	0.0	4.454737e-06	1.3364211e-05	4.454737e-05	0.0	1000.0	1000.0	71999	51.14565	0.62906694	79.178085	48.512573	51.145657	0.6289802	74.74549	49.034557	-2.729252	0.25668392	8.423991	-7.852188	-51.656914	0.0069436925	0.007300857	938.6638488769531
19	0.0	0.0	0.0	0.0	0.012976596	0.038929787	0.12976596	0.0	1000.0	1000.0	75999	51.518425	0.58258164	84.62169	48.21265	51.51841	0.58289224	84.40843	48.201015	-2.7285275	0.26950684	11.6725025	-9.243849	-52.02972	0.008893617	0.0092413295	990.2928423881531
20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	79999	51.77202	0.44557405	85.764694	49.240707	51.77203	0.44571495	83.15225	49.3777	-2.729255	0.25952658	11.231788	-9.170253	-52.28787	0.007684564	0.007816576	1043.2790477275848
21	0.018408589	0.03188461	0.073634356	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	83999	51.99183	0.41793865	95.12382	49.500595	51.99182	0.4173433	88.87206	48.882057	-2.73015	0.25353318	6.9223204	-8.096519	-52.50207	0.008243761	0.008312838	1095.6945304870605
22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	87999	52.18156	0.38244563	92.67571	48.845966	52.181564	0.38361967	92.73026	49.206127	-2.7305844	0.24917412	7.8030977	-9.118926	-52.696102	0.007156252	0.007906192	1149.8473155498505
23	0.024661124	0.04271432	0.098644495	0.0	0.00012928518	0.00038785554	0.0012928518	0.0	1000.0	1000.0	91999	52.333763	0.36396408	89.057014	47.980385	52.33375	0.36380517	88.2374	47.473335	-2.730638	0.24870758	7.1355286	-9.616041	-52.853844	0.007263255	0.0071204216	1202.9795196056366
24	0.0	0.0	0.0	0.0	0.0643095	0.19269668	0.6423992	0.0	1000.0	1000.0	95999	52.474895	0.3830443	81.13957	50.15422	52.474865	0.38527578	81.25192	49.60848	-2.7309163	0.24575536	7.1648645	-9.580878	-52.98953	0.0064663715	0.0061498825	1256.394292831421
25	0.0	0.0	0.0	0.0	0.091409445	0.23850365	0.7995472	0.0	1000.0	1000.0	99999	52.61115	0.35744056	82.35257	48.85601	52.611164	0.35576552	74.34347	49.175533	-2.7322793	0.24493147	7.175574	-8.224538	-53.126694	0.006709225	0.005914786	1311.1720020771027
26	1.0651786	1.8449435	4.2607145	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	103999	52.75386	0.3529697	76.57264	50.34465	52.753864	0.35259536	75.59241	49.97969	-2.7321472	0.24332933	8.514935	-8.5762615	-53.275593	0.0057158396	0.005018854	1362.118782043457
27	0.73360604	1.270643	2.9344242	0.0	3.406621e-05	0.00010219863	0.0003406621	0.0	1000.0	1000.0	107999	52.86113	0.3653192	71.82713	50.37739	52.86112	0.36529508	74.02516	50.315804	-2.7326138	0.24394497	9.195051	-8.624202	-53.384853	0.0057268417	0.0056086187	1410.2960782051086
28	0.011924569	0.02065396	0.047698274	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	111999	52.9529	0.3845958	83.04339	50.626816	52.9529	0.3846328	78.002365	49.807568	-2.7327917	0.24043031	7.9728866	-8.310627	-53.478214	0.0055735228	0.0053944616	1453.1724140644073
29	0.00047457448	0.0008219871	0.0018982979	0.0	0.040400505	0.121201515	0.40400505	0.0	1000.0	1000.0	115999	53.030834	0.38000387	79.233894	50.178062	53.03081	0.3808126	80.69365	50.662174	-2.733469	0.24127436	8.000415	-9.670121	-53.550762	0.005397852	0.0056393263	1495.6737639904022
30	0.0007777694	0.0013471362	0.0031110777	0.0	0.0004863891	0.0014591672	0.004863891	0.0	1000.0	1000.0	119999	53.09679	0.36058676	72.019844	45.084328	53.096813	0.3609067	71.87617	50.321632	-2.733624	0.24321161	10.125684	-7.552209	-53.61317	0.004917292	0.0049654455	1539.1347608566284
31	0.0	0.0	0.0	0.0	0.0046872753	0.014061826	0.046872754	0.0	1000.0	1000.0	123999	53.17138	0.35903382	75.59222	50.25807	53.171375	0.35946473	73.37003	50.849815	-2.733121	0.23965134	5.8614616	-7.0422173	-53.69014	0.0049679857	0.0050403373	1581.6470546722412
32	0.045294706	0.078452736	0.18117882	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	127999	53.2323	0.3611292	77.91921	50.819283	53.232296	0.36237404	81.454575	51.20694	-2.7330256	0.23814663	4.929182	-7.406855	-53.75245	0.0055175517	0.006019232	1625.1947836875916
33	0.0	0.0	0.0	0.0	0.016546452	0.033497047	0.09433218	0.0	1000.0	1000.0	131999	53.288906	0.3516067	78.57619	50.088516	53.288906	0.35053995	79.273384	50.218903	-2.7333918	0.24438852	9.5200205	-8.067799	-53.808487	0.0056586782	0.0053757704	1669.6822381019592
34	0.0	0.0	0.0	0.0	0.00810967	0.02432901	0.0810967	0.0	1000.0	1000.0	135999	53.328533	0.30753836	71.86592	50.364113	53.32852	0.30960926	75.623764	51.275017	-2.7335515	0.24174194	7.11533	-8.612486	-53.849518	0.004163127	0.0048155445	1711.574099779129
35	0.01277726	0.022130864	0.05110904	0.0	0.00112128	0.0033638403	0.011212801	0.0	1000.0	1000.0	139999	53.38278	0.28513202	69.51602	50.22844	53.3828	0.28538677	68.85586	49.48135	-2.7339544	0.23899135	7.4298515	-7.6604996	-53.909916	0.004475034	0.0044114003	1755.0264809131622
36	0.32937127	0.5704878	1.3174851	0.0	2.2338507e-05	4.6233898e-05	0.00013829496	0.0	1000.0	1000.0	143999	53.435184	0.27448437	71.163445	51.274696	53.43519	0.27417693	71.45386	50.7803	-2.733335	0.2377014	6.534087	-8.520495	-53.9599	0.0040764743	0.004180879	1796.6783034801483
37	0.5525216	0.5567721	1.2021519	0.0	0.045391236	0.13616425	0.45388395	0.0	1000.0	1000.0	147999	53.48675	0.2588501	71.71496	51.69263	53.48675	0.25873205	69.82874	51.554047	-2.733167	0.2375224	5.744791	-7.8791656	-54.012905	0.004106045	0.004058746	1840.6512134075165
38	0.0	0.0	0.0	0.0	0.031887833	0.0956635	0.31887832	0.0	1000.0	1000.0	151999	53.526836	0.235349	66.85567	51.70535	53.52683	0.23579468	66.833916	50.75803	-2.734569	0.2383826	6.8309174	-7.904168	-54.055233	0.0037942668	0.004067936	1884.7564787864685
39	0.0051716417	0.008707289	0.020249948	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	155999	53.56637	0.21134046	62.090103	50.81027	53.566357	0.21111995	62.123867	49.444523	-2.7342746	0.23739837	5.5208397	-9.624499	-54.097427	0.0036778804	0.0035365436	1929.0710306167603
40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	159999	53.60626	0.19953853	57.63719	51.815693	53.606266	0.1992274	58.92554	51.90746	-2.7333298	0.23477364	3.390362	-8.079212	-54.139572	0.00338216	0.0033112597	1972.5499331951141
41	0.0	0.0	0.0	0.0	0.008284329	0.024849327	0.082832314	0.0	1000.0	1000.0	163999	53.647205	0.18935855	57.677135	51.681225	53.647217	0.18896158	57.649387	52.14325	-2.733899	0.23480123	0.43434715	-7.784567	-54.177864	0.0034058755	0.003339681	2015.4738578796387
42	0.00025242887	0.00043721963	0.0010097155	0.0	0.025886327	0.07765897	0.25886327	0.0	1000.0	1000.0	167999	53.68363	0.17588504	56.561325	48.885574	53.68362	0.17590377	57.00953	51.09765	-2.7337093	0.2344454	-1.8669558	-8.28862	-54.216736	0.0033302307	0.0033389342	2058.4772431850433
43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	171999	53.71632	0.16200152	58.912663	52.136112	53.716324	0.1619838	57.544876	52.149876	-2.7346225	0.23452228	-1.4420533	-7.288479	-54.2514	0.003204138	0.0032005652	2102.162190914154
44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	175999	53.74808	0.14848803	56.6417	52.28529	53.748085	0.14860229	56.92963	52.836926	-2.7341807	0.23358469	-2.0762358	-8.772136	-54.28489	0.0031535788	0.0031673876	2146.1910026073456
