Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	0.0	0.0	0.0	0.0	1.2907155	3.8721464	12.907155	0.0	1000.0	1000.0	3999	3.8336558	2.0191345	8.200508	-1.3601004	3.8337312	2.0189986	8.280695	-0.97100383	-2.7042933	0.34551683	1.2356658	-8.25384	-4.360306	0.004459814	0.0044375993	49.66654181480408
2	0.0	0.0	0.0	0.0	0.80864227	1.6293621	4.485996	0.0	1000.0	1000.0	7999	11.997103	3.1326084	25.446283	4.911774	11.99711	3.132606	26.147957	5.004858	-2.6828697	0.42181554	6.842538	-8.225843	-12.521091	0.007905518	0.007877237	104.30196332931519
3	0.0	0.0	0.0	0.0	2.887265	5.7787685	14.93114	0.0	1000.0	1000.0	11999	19.601068	2.5948253	37.593895	13.608062	19.601028	2.594983	36.583515	13.553559	-2.666651	0.49454907	7.790763	-7.5736685	-20.118343	0.012393978	0.012566219	159.39145970344543
4	0.0	0.0	0.0	0.0	2.794766	5.6076694	14.981515	0.0	1000.0	1000.0	15999	25.518633	2.0045846	34.6622	19.421272	25.518627	2.0046527	34.178577	19.739584	-2.7038593	0.3490968	4.6953526	-8.89361	-26.0274	0.009242628	0.009308089	216.55534529685974
5	0.0	0.0	0.0	0.0	2.2929761	4.844517	14.956579	0.0	1000.0	1000.0	19999	30.240982	1.5709866	35.884007	25.448868	30.240978	1.5708729	35.73609	25.412558	-2.717351	0.2997427	3.1142817	-8.925259	-30.752136	0.008137367	0.008109393	273.6864333152771
6	2.9941623	5.1860414	11.976649	0.0	3.6338487	5.206511	13.966616	0.0	1000.0	1000.0	23999	34.187214	1.264336	38.49172	30.005556	34.18722	1.2641712	38.450516	30.125336	-2.7215376	0.2837404	2.083488	-9.519024	-34.698605	0.0077961194	0.0077416725	330.84342312812805
7	0.0	0.0	0.0	0.0	6.1935477	10.772178	35.116055	0.0	1000.0	1000.0	27999	37.615086	1.3054695	45.825325	32.941555	37.615097	1.305191	45.692448	33.45626	-2.718522	0.2964055	3.5285597	-7.966527	-38.12566	0.008865355	0.008846221	387.7748124599457
8	4.8966427	8.481234	19.58657	0.0	2.9614286	6.4749336	20.657158	0.0	1000.0	1000.0	31999	40.313988	1.0917599	54.287704	35.795906	40.314007	1.0911362	54.260994	36.106968	-2.7160473	0.31538537	7.6288924	-10.367092	-40.82105	0.010394773	0.010108051	444.9245102405548
9	2.0742133	3.5926428	8.296853	0.0	8.650524	16.647457	52.178192	0.0	1000.0	1000.0	35999	42.54075	0.9338203	65.50927	38.762165	42.54076	0.93362427	65.877686	38.919323	-2.71715	0.32188	6.936958	-9.502314	-43.04975	0.011233597	0.011143873	502.1204767227173
10	3.28257	3.28274	6.612434	0.0	7.537486	15.068472	42.865353	0.0	1000.0	1000.0	39999	44.33756	0.8743744	80.18722	39.81832	44.33755	0.8740001	76.84405	40.568947	-2.702924	0.43207398	13.46847	-10.306649	-44.8449	0.016236568	0.016030537	559.2020909786224
