Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	3.9694993	2.12143	6.4830422	0.6550605	3.9612744	2.4297414	9.237178	1.2483467	1000.0	1000.0	3999	16.947906	10.067056	42.797207	-30.586485	16.945854	10.070624	42.882713	-29.338007	-13.631023	3.9372892	209.54457	-21.100424	-19.57538	0.48279965	0.4769777	60.17896866798401
2	4.1023107	2.2043412	7.380607	1.183081	3.4521413	2.4127917	6.1136665	0.09653129	1000.0	1000.0	7999	57.760803	13.527437	96.64084	21.384554	57.76151	13.52653	97.320045	21.112457	-11.887802	2.423597	8.782896	-24.19469	-60.672947	0.6935553	0.6973765	127.45085453987122
3	6.494673	2.6876824	9.878003	2.4422243	7.163611	3.1042354	12.234752	0.20275362	1000.0	1000.0	11999	100.4043	11.787785	137.19925	56.974327	100.40459	11.787793	142.07483	57.692974	-10.535212	3.1493337	13.389351	-24.355816	-103.34763	1.3201296	1.3064137	197.42905259132385
4	3.8038914	2.9458964	8.873952	1.7263873	5.4984617	4.252845	11.645788	1.045029	1000.0	1000.0	15999	129.92757	7.8845787	155.41263	87.347755	129.92815	7.883117	155.63396	87.104675	-11.784018	2.6554906	16.844229	-23.38136	-132.35863	1.5358701	1.5162487	268.5678234100342
5	5.4544773	4.0066733	11.9031925	1.0339621	6.072845	3.3747616	11.341496	0.9515675	1000.0	1000.0	19999	149.83356	6.4374537	172.7321	106.7038	149.83406	6.4303412	175.01059	106.819496	-11.9279175	2.5863817	12.626055	-23.31083	-152.14697	1.6194177	1.5690538	339.70729184150696
6	5.4184017	3.1709483	9.092454	0.35181677	3.6078465	2.6380634	9.467569	0.22019331	1000.0	1000.0	23999	165.31473	5.4322567	186.07375	128.65135	165.31557	5.4231715	185.18892	127.96192	-12.19303	2.4547431	11.646353	-25.456648	-167.58252	1.5262086	1.5030434	410.97252011299133
7	6.8805885	2.3591473	10.123944	4.270644	6.916845	2.506346	11.29675	3.2458944	1000.0	1000.0	27999	177.61938	4.556115	195.0686	139.4178	177.62	4.5431237	196.0916	139.82594	-12.586568	2.2365541	20.178675	-21.771805	-179.86415	1.3816384	1.3476954	482.6428587436676
8	4.5865245	2.791927	9.362832	2.3028095	4.54878	2.84313	9.08085	0.34177068	1000.0	1000.0	31999	187.66478	4.015671	204.69914	154.69771	187.66515	4.003365	204.13586	154.21513	-12.962826	1.9848938	9.35438	-22.566885	-189.92528	1.2005228	1.1769812	554.3061068058014
9	5.745207	2.96752	8.927331	1.874156	5.712345	2.7446477	9.680479	1.3821743	1000.0	1000.0	35999	196.58426	3.7457967	213.43309	168.2461	196.58504	3.7340882	213.54713	167.94858	-13.174438	1.8240275	7.837097	-23.024574	-198.8768	1.0656859	1.0280117	625.9369778633118
10	6.055871	3.9247816	9.832475	0.698387	5.918717	3.1642659	12.257231	0.91660064	1000.0	1000.0	39999	204.52576	3.4298434	220.33286	178.21759	204.52592	3.4183488	219.58907	177.11525	-13.40212	1.6505381	5.5434628	-22.785149	-206.84187	0.9726679	0.9376614	697.4454214572906
11	6.796479	2.8718088	9.737998	3.6928213	4.226823	2.7815015	10.220222	1.7842826	1000.0	1000.0	43999	211.50844	3.105875	224.51718	186.07141	211.50883	3.097534	225.65767	185.31511	-13.554695	1.5106312	6.2432384	-24.632153	-213.84647	0.87320435	0.8465806	769.2378454208374
12	3.0319247	1.8418714	5.8555045	0.705688	5.368915	3.6750162	11.632494	0.39289343	1000.0	1000.0	47999	217.86298	2.8253145	230.54144	192.1025	217.86324	2.8136888	230.35722	190.27985	-13.660097	1.4160794	6.763933	-23.762474	-220.22818	0.81011266	0.7758662	841.3000102043152
13	3.993686	2.6488445	7.813987	0.3985523	5.091899	3.3144403	10.018823	0.09123455	1000.0	1000.0	51999	223.5092	2.5436969	236.88281	201.35918	223.50941	2.535561	235.48491	200.1361	-13.696466	1.372605	2.4757137	-24.334225	-225.89859	0.75621706	0.7371107	913.2984054088593
14	7.3665	3.229118	12.326104	3.6379244	5.490812	2.7999604	10.561941	0.9255679	1000.0	1000.0	55999	228.50562	2.3548687	246.31487	208.08296	228.5058	2.3464365	246.09839	207.99696	-13.749035	1.3189425	5.4729576	-21.38583	-230.9104	0.7287406	0.70769435	985.1033825874329
15	3.743019	0.4519994	4.2825623	3.0321717	6.22508	3.4755843	11.358765	0.25844347	1000.0	1000.0	59999	232.86862	2.229314	247.71494	212.9886	232.86858	2.2247043	248.72818	212.0512	-13.765745	1.290735	10.825993	-21.768223	-235.2865	0.6752701	0.6626431	1056.9266338348389
16	5.114469	3.3204186	10.106364	0.8038456	5.4825983	2.0320625	10.4251375	3.3438094	1000.0	1000.0	63999	236.69502	2.1459184	249.39229	217.42506	236.69518	2.1392224	249.80408	218.16309	-13.797816	1.2577871	3.3144455	-22.892595	-239.12576	0.64357805	0.6307898	1129.038658618927
17	6.7348175	1.8835201	9.5588875	4.548464	5.366422	3.4115205	11.236919	0.8467857	1000.0	1000.0	67999	240.0434	2.1195788	252.6817	220.73862	240.04362	2.1144814	253.27466	219.68607	-13.8293	1.2252655	6.3756866	-21.837317	-242.49818	0.6155609	0.59877694	1201.161056280136
18	4.6522183	1.2851641	6.4630146	2.836096	4.732583	2.7648573	12.126208	1.6118234	1000.0	1000.0	71999	242.99455	2.0665023	257.7408	224.19447	242.99452	2.062355	255.34576	223.79547	-13.864487	1.1847177	2.6451626	-21.65885	-245.4548	0.5836527	0.57359874	1272.991164445877
19	2.3589182	1.3437406	4.627094	1.1337664	5.5474205	3.5009954	12.046956	1.5715277	1000.0	1000.0	75999	245.47533	2.0418794	256.00757	228.41016	245.47516	2.0426712	257.08835	227.37537	-13.902978	1.1398411	3.8131714	-21.996029	-247.93686	0.5521801	0.5511511	1344.9320647716522
20	5.1011915	2.456092	7.2826443	0.9607588	5.58098	2.3336794	10.786694	1.5148503	1000.0	1000.0	79999	247.68556	2.080558	262.43152	224.27478	247.68584	2.0710285	263.52478	230.65228	-13.918161	1.1254557	5.578062	-22.065258	-250.15971	0.5395755	0.52321357	1416.865094423294
21	4.9548655	0.52957815	5.42728	4.0896935	4.448674	2.7684712	10.924916	0.9534038	1000.0	1000.0	83999	249.63985	2.0595028	262.15698	233.35341	249.63988	2.059548	264.87778	229.60168	-13.922606	1.1205485	7.6977234	-22.636047	-252.125	0.50048333	0.502867	1488.888419866562
