Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	3999	0.9901236	0.5363499	2.0626562	-0.4506757	0.99012583	0.5363289	2.04038	-0.53839	-0.6821924	0.12810661	1.6079879	-4.3013945	-1.1235871	0.0004524177	0.00044129006	51.156877517700195
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	7999	2.9578831	0.60497046	4.027959	1.2339045	2.9578838	0.6049648	4.02497	1.2279782	-0.683293	0.11739712	-0.011972904	-4.767144	-3.0921366	0.00036676746	0.00036277427	108.58699035644531
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	11999	4.8495836	0.4967064	5.732679	3.3797648	4.8495846	0.49670023	5.738286	3.3867607	-0.6835665	0.11886569	-0.15836966	-6.0373993	-4.9839416	0.00037146272	0.000367386	167.4620225429535
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	15999	6.403933	0.41156885	7.1447754	5.1826186	6.403932	0.41155583	7.1470475	5.1598077	-0.68352604	0.11736677	-0.38326645	-4.8522596	-6.5377316	0.0003915697	0.00038666074	228.3405659198761
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	7.682354	0.3391693	8.311202	6.635528	7.6823525	0.33916318	8.301334	6.5766516	-0.6834266	0.11763411	-0.48364627	-5.5835276	-7.815955	0.00039515327	0.00039414453	288.6764557361603
6	2.25	3.8971143	9.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	23999	8.724723	0.28198603	13.122784	7.8354397	8.724723	0.28181723	13.0511055	7.811802	-0.6835029	0.117370866	-0.49309266	-5.651129	-8.85733	0.0005594442	0.0006156386	349.1436939239502
7	2.25	3.8971143	9.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	27999	9.57039	0.2736906	17.968155	8.56236	9.570394	0.27362177	18.115685	8.491056	-0.68316346	0.11727557	0.052395046	-4.897394	-9.701869	0.00090400816	0.0009087517	405.81180119514465
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	31999	10.247348	0.24096772	19.716373	8.99988	10.247347	0.24070424	19.415754	8.985518	-0.68318737	0.11679757	-0.0192492	-6.31462	-10.377709	0.00089328823	0.0008943249	463.94685530662537
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	35999	10.796906	0.2082642	19.53242	9.363269	10.796904	0.20818493	19.584007	9.23413	-0.6835199	0.11814382	0.1623962	-6.5148234	-10.927027	0.00086682546	0.0008487226	519.1321890354156
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	39999	11.255432	0.21194096	22.26947	9.801177	11.255431	0.2115484	22.236755	9.685949	-0.68341583	0.119789004	0.9840108	-5.5265946	-11.385868	0.0007785663	0.00082188693	573.2327907085419
11	0.0	0.0	0.0	0.0	0.9	2.7	9.0	0.0	1000.0	1000.0	43999	11.626588	0.20636415	24.363771	10.168808	11.626586	0.20666838	24.231506	9.904415	-0.6832478	0.11932349	1.0359238	-5.483581	-11.75743	0.0009080158	0.00090205716	627.3463304042816
12	0.0	0.0	0.0	0.0	1.2	3.6000001	12.0	0.0	1000.0	1000.0	47999	11.93081	0.19132121	25.893225	10.411445	11.930803	0.19128071	26.08536	10.037104	-0.68350494	0.1199203	2.278406	-4.4838333	-12.061419	0.0011890226	0.0013007494	681.7319269180298
13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	51999	12.18306	0.19736238	26.3822	11.059382	12.18306	0.19707578	26.345285	11.02948	-0.6832343	0.11879731	1.9607356	-4.4254546	-12.313713	0.0008500296	0.00083578704	736.2456357479095
14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	55999	12.392641	0.20273547	28.72304	11.01582	12.392629	0.20267358	29.648424	10.724033	-0.6831517	0.11944254	2.0859046	-4.2546186	-12.521666	0.00072609354	0.00090138556	790.91841340065
15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	59999	12.563016	0.1704454	27.74365	11.1015215	12.563019	0.17048267	25.809025	11.057894	-0.68341595	0.11913307	1.9597834	-5.8091736	-12.692652	0.00078624533	0.0006780567	845.4999513626099
16	0.0	0.0	0.0	0.0	1.5	4.5	15.0	0.0	1000.0	1000.0	63999	12.70765	0.16374028	25.438986	11.25927	12.707655	0.16323167	25.004013	11.398988	-0.68335295	0.11986739	2.485866	-5.3455906	-12.838895	0.00065853645	0.0005838954	900.6252081394196
