Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	0.0	0.0	0.0	0.0	3.4505434e-09	1.0351629e-08	3.4505433e-08	0.0	1000.0	1000.0	3999	1.9074277	0.9705325	3.8580709	-0.20444278	1.9075215	0.9703542	3.8631647	-0.08695843	-1.3660195	0.1701169	-0.28556728	-5.5037875	-2.1782029	0.0007561332	0.00074239605	47.967320680618286
2	0.0	0.0	0.0	0.0	0.0	0.0	6e-45	0.0	1000.0	1000.0	7999	5.6432843	1.2122209	8.039777	3.1697516	5.643283	1.2122266	8.035019	3.145155	-1.3665558	0.16585754	-0.93228865	-6.2378445	-5.9146667	0.00067433063	0.000674969	104.83591175079346
3	2.2276867e-05	3.8584665e-05	8.910747e-05	0.0	35.883415	107.65024	358.83414	0.0	1000.0	1000.0	11999	9.443099	1.0158594	11.489659	7.2720294	9.4431	1.0158633	11.491649	7.269754	-1.3671459	0.16708134	-0.961746	-6.0681696	-9.715025	0.0007020601	0.00070417736	156.25888586044312
4	0.0	0.0	0.0	0.0	5.6781897e-08	1.7034569e-07	5.67819e-07	0.0	1000.0	1000.0	15999	12.626995	0.8515143	14.304367	10.823011	12.626998	0.8515152	14.307395	10.8197365	-1.3671939	0.16646656	-0.9876962	-6.6492267	-12.899118	0.00073631963	0.00073946407	206.34644842147827
5	0.0	0.0	0.0	0.0	0.1593585	0.47800654	1.5933781	0.0	1000.0	1000.0	19999	15.2378	0.68555856	16.623772	13.763486	15.2378	0.6855599	16.622053	13.764938	-1.3675045	0.16696267	-1.0128007	-6.6233063	-15.509946	0.00076461415	0.00076750526	252.28986144065857
6	3.0696545e-05	5.3167973e-05	0.00012278618	0.0	7.7124352	23.137306	77.12435	0.0	1000.0	1000.0	23999	17.378473	0.5662572	18.524992	16.163855	17.378473	0.5662625	18.516478	16.164719	-1.367552	0.16743697	-1.0022659	-5.7236366	-17.65069	0.000777339	0.000780064	300.2764358520508
7	9.017822e-25	0.0	3.607129e-24	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	27999	19.136415	0.46434265	20.105263	18.141546	19.136415	0.46434996	20.107332	18.142591	-1.3675401	0.16738814	-1.009913	-6.9226284	-19.407589	0.0008025206	0.0008039471	342.62047147750854
8	0.0	0.0	0.0	0.0	3.9490685e-22	1.1843562e-21	3.9490685e-21	0.0	1000.0	1000.0	31999	20.57416	0.3820884	21.401995	19.750004	20.574165	0.3820918	21.375313	19.749512	-1.3670707	0.16535561	-1.0083256	-6.1146626	-20.84511	0.0008162443	0.00081324024	385.65636110305786
9	0.0	0.0	0.0	0.0	5.219109e-05	0.0001565719	0.00052190677	0.0	1000.0	1000.0	35999	21.74968	0.31098497	22.438019	21.067575	21.749678	0.31102866	22.437927	21.065327	-1.3669814	0.16496935	-0.9667573	-6.3344765	-22.02161	0.00080006884	0.00080823	428.48831057548523
10	0.3068321	0.5314488	1.2273284	0.0	3.923432e-13	1.1770296e-12	3.923432e-12	0.0	1000.0	1000.0	39999	22.708818	0.25543198	23.30313	22.122677	22.70882	0.2554569	23.300398	22.11994	-1.3675231	0.16578224	-1.0080707	-6.047428	-22.981173	0.00081764295	0.0008219864	471.9287655353546
11	39.336086	68.132095	157.34435	0.0	32.189053	96.567154	321.89053	0.0	1000.0	1000.0	43999	23.506065	0.2194884	24.110435	23.008875	23.50607	0.21947747	24.103333	22.997107	-1.3677888	0.16760643	-0.96051955	-8.273148	-23.77707	0.0017945988	0.0018280644	515.5146508216858
12	2.5434441e-11	4.4053747e-11	1.01737764e-10	0.0	6.7438188	20.231455	67.43819	0.0	1000.0	1000.0	47999	24.1528	0.17409864	24.633278	23.665195	24.152798	0.1738191	24.636118	23.6502	-1.3662465	0.17234106	-0.9243326	-6.927719	-24.420923	0.0024132945	0.0025042417	559.5093984603882
13	0.0	0.0	0.0	0.0	4.639604e-12	1.391881e-11	4.6396036e-11	0.0	1000.0	1000.0	51999	24.664085	0.14401597	25.10913	24.227402	24.66408	0.14361697	25.104614	24.212132	-1.36588	0.17161454	-0.9277668	-6.061598	-24.931887	0.0023253816	0.0024104386	603.9742116928101
14	0.7610776	1.318225	3.0443103	0.0	3e-45	0.0	3.2e-44	0.0	1000.0	1000.0	55999	25.07612	0.118860476	25.452179	24.70134	25.07612	0.11844188	25.415533	24.69297	-1.3669652	0.17040111	-0.93355703	-5.743244	-25.344273	0.0021835284	0.0022664394	647.7456698417664
15	0.0	0.0	0.0	0.0	171.47363	344.6795	934.5408	0.0	1000.0	1000.0	59999	25.41789	0.1038422	25.816994	25.066133	25.417885	0.10344803	25.812538	25.062376	-1.3662688	0.16836214	-0.92560387	-5.844962	-25.686373	0.002117323	0.0021813854	690.9935295581818
16	58.449734	97.60018	227.4384	0.0	55.750317	167.25073	557.5025	0.0	1000.0	1000.0	63999	25.70843	0.09295267	26.092157	25.370733	25.708433	0.092774965	26.06354	25.368889	-1.3669329	0.16952378	-0.9547241	-8.9139185	-25.97836	0.0021047064	0.0021688733	733.6657681465149
17	0.00038597645	0.0006301544	0.0014763913	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	67999	26.00415	0.13276446	26.555025	25.581354	26.004147	0.1321449	26.541527	25.575788	-1.3665609	0.17260967	-0.9178605	-6.3908405	-26.274612	0.0033457603	0.0034074388	775.7564153671265
18	1.02309405e-08	1.7720508e-08	4.0923762e-08	0.0	5.496098e-07	1.6488293e-06	5.496098e-06	0.0	1000.0	1000.0	71999	26.264593	0.20649612	26.997608	25.634295	26.264593	0.2060059	26.98426	25.643261	-1.3655342	0.1734999	-0.9169822	-5.6343307	-26.535	0.0031915412	0.003234763	819.2306768894196
19	1.188e-42	0.0	4.75e-42	0.0	9.2725415e-14	2.7817625e-13	9.272542e-13	0.0	1000.0	1000.0	75999	26.481606	0.29242966	27.547377	25.6148	26.481607	0.29233655	27.5344	25.635088	-1.3653479	0.17656349	-0.89177036	-6.964856	-26.751356	0.0031935605	0.0031976162	861.6135337352753
20	7.215201e-09	1.2497094e-08	2.8860804e-08	0.0	1.00491515e-14	3.0147454e-14	1.00491515e-13	0.0	1000.0	1000.0	79999	26.642342	0.39079556	28.002283	25.548357	26.642336	0.39125147	28.01126	25.555843	-1.3656412	0.17359361	-0.90765357	-5.8511224	-26.911137	0.0029639667	0.0029067264	904.0673208236694
21	2.078316e-26	0.0	8.313264e-26	0.0	1.9820833e-37	0.0	1.9820834e-36	0.0	1000.0	1000.0	83999	26.741215	0.47619325	28.325066	25.457699	26.74121	0.47704074	28.351082	25.456547	-1.3665202	0.17328846	-0.9401834	-7.6145267	-27.00841	0.0030463391	0.002932293	947.4648041725159
22	5.695778e-26	0.0	2.2783112e-25	0.0	61.84823	185.40599	618.06604	0.0	1000.0	1000.0	87999	26.79902	0.5492844	28.612461	25.345612	26.79901	0.55035484	28.63511	25.374765	-1.3661958	0.1718764	-0.94205284	-7.1942387	-27.065264	0.0030013795	0.0028429641	990.2967126369476
23	1.2081803e-19	2.0926297e-19	4.832721e-19	0.0	5.014261e-28	0.0	5.014261e-27	0.0	1000.0	1000.0	91999	26.839075	0.59273547	28.797441	25.28172	26.839075	0.59394056	28.866756	25.364653	-1.3659222	0.16902988	-0.92809105	-5.805898	-27.103395	0.0029538332	0.0027401294	1033.6586029529572
24	0.0	0.0	0.0	0.0	0.0	0.0	1e-45	0.0	1000.0	1000.0	95999	26.85723	0.6134562	28.97988	25.17306	26.857225	0.6148883	29.036688	25.123375	-1.3667072	0.17117	-0.9348912	-7.8851414	-27.122007	0.0029291613	0.002707167	1076.20334482193
25	0.0	0.0	0.0	0.0	8.1865205e-17	2.4559564e-16	8.1865205e-16	0.0	1000.0	1000.0	99999	26.852268	0.6305137	29.131857	25.001112	26.852262	0.6320382	29.159847	25.0009	-1.3669848	0.16937904	-0.95504236	-5.852235	-27.115189	0.0028962954	0.0026381866	1118.6067252159119
26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	103999	26.8482	0.63673335	29.218357	25.019556	26.84818	0.63831234	29.246609	24.992	-1.367089	0.16761689	-0.96559	-5.6937995	-27.112736	0.0028367573	0.0026189904	1161.4630689620972
27	2.8941413e-05	5.0127997e-05	0.00011576565	0.0	1.7399774e-05	5.2199324e-05	0.00017399775	0.0	1000.0	1000.0	107999	26.855705	0.6542839	29.363052	24.872288	26.855692	0.65587	29.33952	24.84137	-1.366752	0.16755156	-0.95574856	-6.0661745	-27.118961	0.0028209914	0.0026798735	1203.082684993744
28	0.0	0.0	0.0	0.0	1.42819e-40	0.0	1.428192e-39	0.0	1000.0	1000.0	111999	26.821373	0.67299086	29.507132	24.697392	26.821358	0.6744192	29.465837	24.672037	-1.3666639	0.16850477	-0.9405551	-6.2521405	-27.082708	0.0027954865	0.002776378	1246.7044575214386
29	0.0	0.0	0.0	0.0	17.108496	51.325493	171.08496	0.0	1000.0	1000.0	115999	26.766628	0.6800824	29.55305	24.43434	26.766613	0.68085164	29.538095	24.460047	-1.3665248	0.16864641	-0.93548584	-6.7525234	-27.0263	0.0026841848	0.0027538904	1288.982458114624
30	1.6873922e-37	0.0	6.7495686e-37	0.0	2.6484988e-12	7.945496e-12	2.6484986e-11	0.0	1000.0	1000.0	119999	26.705677	0.6840903	29.59187	24.210056	26.705667	0.6845523	29.548887	24.23493	-1.3667778	0.16770405	-0.9697571	-6.545263	-26.964191	0.0026295902	0.0026876898	1333.3867287635803
31	0.0	0.0	0.0	0.0	3.3186116e-23	9.904085e-23	3.3186116e-22	0.0	1000.0	1000.0	123999	26.638828	0.6971417	29.628689	23.979088	26.63881	0.6974223	29.596268	24.066692	-1.3667893	0.16862889	-0.95031595	-6.955079	-26.896364	0.0024868648	0.0026947742	1376.4272458553314
32	5e-44	0.0	2.05e-43	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	127999	26.57746	0.71073496	29.784012	23.647533	26.577442	0.71089715	29.701374	23.807398	-1.3665817	0.16862701	-0.96494913	-6.1898694	-26.832876	0.002435914	0.002749877	1419.6724002361298
33	3.1517614e-30	0.0	1.2607046e-29	0.0	0.0007215437	0.0021617825	0.0072068865	0.0	1000.0	1000.0	131999	26.5119	0.71468145	29.802967	23.396355	26.511894	0.71464604	29.668348	23.552137	-1.3659415	0.16821815	-0.94099784	-6.5025644	-26.766321	0.0023272953	0.0027162628	1463.379404783249
34	2.8186394e-37	0.0	1.1274558e-36	0.0	1.3797728e-25	0.0	1.3797728e-24	0.0	1000.0	1000.0	135999	26.452217	0.7167044	29.81204	23.220234	26.452217	0.71631795	29.655825	23.314497	-1.3663967	0.16727601	-0.96414137	-6.712269	-26.705679	0.0022083146	0.0026515466	1505.838546037674
