Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	252.26067	242.67479	498.6712	1.2901728	155.75125	214.61653	484.38507	5.2487288	1000.0	1000.0	3999	13.568298	7.0918837	51.57212	-24.691324	13.568761	7.090004	45.17599	-25.638117	-7.001475	2.6428518	326.35825	-15.99693	-15.126634	0.21650662	0.20881669	52.02468824386597
2	128.38966	215.89323	502.32053	1.729367	53.60198	93.82731	332.9168	14.591065	1000.0	1000.0	7999	50.341427	17.453577	111.81168	-4.194434	50.340904	17.454105	114.913925	1.4595089	1.533974	6.52701	58.422073	-17.946531	-53.75899	1.1850735	1.1939261	110.20704388618469
3	10.805605	3.3260527	13.573828	5.1514297	11.378899	7.9600015	28.200384	4.123853	1000.0	1000.0	11999	135.0467	29.213013	286.18927	47.407066	135.04578	29.214842	262.0334	58.36076	7.7145586	6.622583	103.90164	-16.219103	-140.95494	6.360037	6.3860216	170.95102715492249
4	6.502186	2.7557209	10.037119	2.5223205	10.383831	8.855964	35.718037	3.9208634	1000.0	1000.0	15999	185.7055	13.733969	258.18823	118.79569	185.7053	13.734398	263.1916	104.136635	2.6677024	5.9868593	81.287224	-18.632786	-188.2362	8.864949	8.807745	233.7242877483368
5	7.363627	3.3757176	12.432998	2.9416456	87.3621	144.69505	498.8897	1.9422921	1000.0	1000.0	19999	181.53702	21.351902	286.47958	119.000084	181.53726	21.35369	289.96356	111.34942	-1.2644341	4.615077	51.28357	-18.736286	-182.6692	6.083526	6.0235567	296.683810710907
6	132.16206	210.79369	497.24265	6.5780616	56.21106	143.02147	484.87964	1.6801476	1000.0	1000.0	23999	165.6972	25.78158	266.96808	116.3272	165.69742	25.783875	265.33594	112.08534	-3.8597271	3.5851471	39.353786	-17.51798	-166.3773	4.013718	3.921902	359.6040155887604
7	124.84558	205.72621	481.15967	4.413577	104.83258	187.82133	481.2207	2.3853507	1000.0	1000.0	27999	150.23705	26.22751	228.39151	105.87122	150.23604	26.231663	234.23628	110.80867	-5.5598545	2.7405028	28.180061	-16.889553	-150.96466	2.4208882	2.4263794	422.54742884635925
8	4.083803	2.0491564	6.2449894	1.0919899	203.26291	240.63568	498.28677	0.61577916	1000.0	1000.0	31999	140.09164	27.096365	222.25595	103.73707	140.09103	27.098003	254.02658	103.39383	-6.706067	2.0077279	14.243431	-16.093178	-140.8889	1.5324316	1.5343865	485.41026544570923
9	5.8274355	4.4264336	12.837604	1.6870652	153.1286	227.04135	500.7152	0.668296	1000.0	1000.0	35999	132.49211	24.859463	206.72318	85.84785	132.491	24.862238	234.43024	72.10211	-7.410766	1.458087	6.966833	-14.830588	-133.43181	1.0030036	1.0650179	548.1255555152893
10	15.645678	8.927251	28.635126	6.4322085	153.6484	225.23906	500.2771	0.5143568	1000.0	1000.0	39999	129.50299	22.739016	211.08722	103.94537	129.50293	22.74008	212.21362	90.18998	-7.8269362	1.0445534	6.6566124	-14.26437	-130.6163	0.6541282	0.6709094	610.9858303070068
