Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	2.636132	0.97831595	3.9262488	1.3240842	146.00607	275.70465	716.4896	4.72225	1000.0	1000.0	3999	10.442104	5.8362193	38.746456	-19.196302	10.444461	5.833186	41.5869	-13.173655	-7.7010007	1.486576	164.90881	-14.957087	-11.935558	0.14593732	0.13294865	52.14377236366272
2	10.855596	11.837752	31.241177	2.0299554	19.477268	33.08912	116.31405	3.4278574	1000.0	1000.0	7999	34.123722	7.9771795	79.57842	11.698124	34.123844	7.9767036	62.01162	10.931143	-5.5990295	2.865768	34.621735	-17.299282	-35.871887	0.31322864	0.31017706	108.80281949043274
3	6.6488523	2.4001172	9.247624	3.8724422	54.45379	152.6566	512.36664	0.5609026	1000.0	1000.0	11999	60.06385	7.022194	139.95625	-27.874718	60.06387	7.0214305	167.12111	-1.2935439	-4.794753	3.371908	35.558205	-20.43808	-61.796165	0.8178984	0.82404906	171.14629292488098
4	124.52408	202.5165	475.16306	2.8312979	145.28322	207.90385	499.30536	0.6082474	1000.0	1000.0	15999	75.22912	4.1216664	107.693665	26.240164	75.22935	4.120333	123.689835	34.074406	-6.7005296	2.0526087	19.056187	-15.292561	-76.490135	0.84183097	0.82164866	235.2413604259491
5	6.930778	2.8952668	11.109919	3.070197	201.54788	298.0704	696.52423	1.342089	1000.0	1000.0	19999	82.995705	7.071946	135.02867	36.926743	82.99576	7.070805	115.513664	28.613892	-6.853375	1.9709859	23.966131	-14.922003	-84.17769	0.80261827	0.805649	296.28217244148254
6	271.44604	253.7912	535.13654	11.244871	239.6641	286.67914	600.79004	1.2289145	1000.0	1000.0	23999	89.23526	6.8670716	136.7385	48.712566	89.23584	6.863639	128.09065	52.025116	-7.0493546	1.8686936	21.860954	-15.129738	-90.3457	0.8450103	0.8254414	359.68386602401733
7	10.065895	6.933783	19.456835	3.3874025	179.46907	260.91904	598.4967	0.5844855	1000.0	1000.0	27999	94.46154	6.742383	151.95406	63.023167	94.46083	6.7462907	144.49638	48.85292	-7.2413173	1.7405872	19.83054	-15.312003	-95.57028	0.69907415	0.73784274	424.39121651649475
8	156.58665	258.1702	603.7222	4.7226877	197.50594	296.40656	664.4489	0.86456156	1000.0	1000.0	31999	99.90409	5.3213224	149.40747	67.474045	99.90344	5.328038	241.42088	35.95203	-7.4629264	1.5745901	20.711813	-14.830627	-101.00571	0.62663186	0.6787935	485.49116826057434
9	320.84055	303.4851	627.67426	1.4747108	6.3657417	5.7333274	18.06042	0.6197575	1000.0	1000.0	35999	105.0535	4.452051	169.70168	61.3991	105.05504	4.43184	129.4468	72.905975	-7.613494	1.4583051	15.277868	-15.562956	-106.22525	0.62065685	0.5491377	547.8208935260773
10	179.64859	289.2354	680.4694	5.337906	145.85391	283.41452	728.6729	0.6236035	1000.0	1000.0	39999	110.56681	3.7025115	243.247	65.177765	110.56691	3.6977522	161.06036	32.762657	-7.7321	1.3424926	12.261269	-15.907299	-111.793526	0.51843476	0.50723785	607.1713314056396
11	154.6696	259.82703	604.68976	2.71336	143.74149	274.79434	715.1357	0.23117575	1000.0	1000.0	43999	116.48434	2.9002743	247.1049	81.692665	116.48437	2.9013653	251.38197	78.15202	-7.801665	1.2715753	8.425797	-15.253592	-117.75866	0.4888257	0.50334257	666.3018071651459
12	11.190354	8.666964	25.142918	1.5729381	167.0187	322.59702	827.4541	0.62770313	1000.0	1000.0	47999	122.2625	2.4365335	164.2448	90.320274	122.26199	2.4477355	160.29597	92.16158	-7.86119	1.1837137	7.002412	-14.861148	-123.56101	0.34281278	0.3758344	725.2358801364899
13	180.73177	304.4048	707.96497	2.0534267	90.142586	244.56203	823.6016	1.7784063	1000.0	1000.0	51999	127.86561	2.360385	161.05382	100.22187	127.86504	2.3757956	182.16513	98.33771	-7.8925467	1.1275808	4.9977436	-14.808268	-129.17319	0.34485278	0.38540035	784.1851508617401
14	8.475999	5.5334544	16.142157	3.0670722	253.61626	377.7726	836.10443	0.1544779	1000.0	1000.0	55999	132.84723	2.6578336	191.73653	52.45516	132.84741	2.6539419	203.36801	46.328217	-7.9048204	1.1181161	11.870637	-14.951685	-134.20212	0.38434938	0.37459704	842.9649884700775
15	192.02611	319.49582	745.358	3.855938	308.17697	367.52618	780.19824	1.8766503	1000.0	1000.0	59999	137.41731	3.2913592	169.96526	108.82253	137.417	3.2964115	179.926	106.55113	-7.928268	1.0731359	29.837194	-15.472603	-138.76321	0.36172554	0.3833661	901.6241309642792
16	6.38684	7.4538426	19.284653	1.553689	348.60602	419.76147	874.7499	0.09503937	1000.0	1000.0	63999	141.29211	3.9025872	161.38342	115.438644	141.29163	3.9126432	191.86456	80.89823	-7.959847	1.0044911	10.7348	-16.105309	-142.62584	0.28281403	0.3285589	960.5457363128662
17	347.87103	342.27286	738.9023	7.419188	6.128673	3.9144583	10.842624	1.1565341	1000.0	1000.0	67999	144.72968	4.5340385	168.9529	111.798935	144.73021	4.5225763	167.13094	118.20417	-7.977072	0.9570322	8.391434	-15.689187	-146.08234	0.3041775	0.25119776	1019.2229673862457
18	8.484615	5.9135747	15.46231	1.5129731	286.5628	430.7952	950.84625	0.018764952	1000.0	1000.0	71999	147.81364	5.2704115	187.03792	111.7409	147.81332	5.276082	196.46584	118.81493	-7.9679537	0.9636782	5.85867	-14.596846	-149.15434	0.2934265	0.33110422	1077.840431690216
