Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	34.12415	32.373554	88.74922	6.1343536	157.06119	198.78421	577.88	6.9586906	1000.0	1000.0	3999	13.861757	7.475593	34.224915	-0.3879683	13.861443	7.476161	34.296547	-0.5954171	-8.93237	1.4462513	3.449789	-17.794125	-15.837341	0.02823355	0.028343607	62.784401416778564
2	345.91678	398.4453	985.3668	9.092448	124.08223	235.70935	778.1218	7.404328	1000.0	1000.0	7999	48.84054	14.811102	93.644394	19.017508	48.840343	14.811115	93.59666	18.764006	-3.7559114	4.5363164	19.385254	-19.047153	-51.86603	0.13929859	0.13952121	129.27346634864807
3	209.80315	340.36664	799.2064	5.129001	146.35147	216.60674	641.51086	5.251921	1000.0	1000.0	11999	110.41268	19.538275	167.26393	63.390816	110.41277	19.537924	164.98526	63.377445	-0.9776476	4.5107536	20.909945	-18.674751	-114.43678	0.4054683	0.40104106	203.1720790863037
4	276.92136	417.67935	999.0423	12.349875	170.51389	309.35065	853.8993	7.4242826	1000.0	1000.0	15999	160.84343	12.555963	203.12067	123.03261	160.84338	12.554829	202.78392	122.55726	-4.2150636	3.6797602	15.440371	-20.479088	-163.88957	0.4035882	0.41318503	278.56337666511536
5	194.34209	315.78546	741.2108	4.487504	151.65887	294.19608	992.91223	4.2621174	1000.0	1000.0	19999	184.6624	12.500355	254.29117	152.47357	184.66258	12.499726	254.18726	153.1855	-6.471334	3.095466	10.077622	-19.354858	-187.00041	0.2967127	0.29470906	351.0839910507202
6	265.28378	424.55347	1000.0	4.844278	177.42801	283.73593	920.0236	8.882122	1000.0	1000.0	23999	195.33891	15.615826	252.39355	155.27908	195.33888	15.615886	252.99194	155.84123	-8.464076	1.6951532	3.6762867	-17.586506	-197.20834	0.20785986	0.20643912	426.3484103679657
7	88.35596	103.22992	263.96616	7.272356	105.64956	162.12656	493.351	6.362728	1000.0	1000.0	27999	198.09526	14.96218	240.34892	159.76591	198.09525	14.961681	240.4615	159.6037	-8.780722	1.4113941	2.0650616	-16.659826	-199.86612	0.20317401	0.20335531	500.39208221435547
8	231.48184	251.91039	617.9941	4.9306374	160.06653	319.4232	999.9811	4.886124	1000.0	1000.0	31999	201.5044	16.01661	238.87622	162.5575	201.50449	16.01562	238.87375	162.02794	-8.932318	1.2787304	0.7504349	-18.84951	-203.25038	0.20277093	0.19577755	572.1080622673035
9	258.52182	428.1002	1000.0	8.886527	343.0645	428.78262	994.09827	5.8343444	1000.0	1000.0	35999	201.79585	17.41492	244.79163	164.71298	201.7959	17.414537	244.4656	164.46461	-8.993442	1.199538	1.4559822	-16.96914	-203.51138	0.19773878	0.2031068	641.693630695343
10	281.93317	215.58835	585.612	11.0304	118.37154	294.00806	998.5336	6.5018473	1000.0	1000.0	39999	203.70457	19.8066	249.77527	165.81682	203.70451	19.80684	249.8873	166.05798	-9.030634	1.1589904	1.6650314	-16.521784	-205.42134	0.18991953	0.19630241	713.5175485610962
11	280.35254	318.16812	810.7856	8.091122	24.479324	22.220823	67.930954	4.6023445	1000.0	1000.0	43999	206.07648	21.93471	258.0383	166.53285	206.07664	21.934128	258.2227	166.21791	-9.080179	1.1197009	-0.60652924	-17.809345	-207.77672	0.19656225	0.19286627	786.6195890903473
12	10.361888	3.780284	16.650768	7.0161347	99.5345	249.80641	848.72534	9.355129	1000.0	1000.0	47999	205.59473	23.523111	261.20667	168.5502	205.59473	23.522924	260.94077	168.56058	-9.085621	1.1056848	-1.1511002	-16.32928	-207.28543	0.19565344	0.19720083	856.9972953796387
13	179.7952	228.05272	568.1322	12.928919	183.05037	305.24692	981.4612	5.9071274	1000.0	1000.0	51999	204.60223	24.558495	264.13437	168.93056	204.60223	24.558607	264.05936	169.4035	-9.218478	0.96536076	-2.30375	-16.42895	-206.27159	0.1869896	0.18361424	927.5476717948914
14	157.89339	259.9342	608.09924	5.4903955	192.12813	292.78845	936.8458	6.6092744	1000.0	1000.0	55999	204.7216	26.078686	267.28308	168.62073	204.7216	26.078714	266.6567	168.8665	-9.271751	0.9019433	-2.467392	-16.253908	-206.38116	0.19238636	0.19071731	1000.040257692337
15	259.92856	427.17416	999.7004	6.742593	112.588135	295.92734	999.47296	4.196013	1000.0	1000.0	59999	204.03232	27.22151	268.88568	169.23878	204.03226	27.221714	268.9101	168.81584	-9.308641	0.85633403	-3.1028986	-15.864801	-205.6788	0.18107632	0.19398728	1072.1012659072876
16	135.33794	221.43135	518.86786	7.2177644	45.011406	101.696785	349.75818	4.1976247	1000.0	1000.0	63999	203.64192	28.591093	270.90115	163.24057	203.64201	28.591003	270.43585	163.18848	-9.330559	0.8331214	-2.9988976	-17.355217	-205.2888	0.18789105	0.18053342	1142.3587090969086
