Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	22.904358	1.3086346	24.443867	20.886	24.88947	5.7814417	41.685932	22.313429	1000.0	1000.0	3999	5.7578154	3.0159783	13.678807	-3.681198	5.7572384	3.017084	13.673831	-8.603987	-3.9862604	0.66290534	47.805767	-9.61162	-6.5125775	0.03135901	0.032052964	36.41198945045471
2	24.513527	1.1878922	26.08987	22.989878	24.739292	3.2408178	31.175798	21.675875	1000.0	1000.0	7999	16.152884	4.6520877	25.663124	2.868704	16.153048	4.6517487	25.587652	1.5193481	-4.046436	0.45660037	1.3722553	-10.178688	-16.897837	0.028748106	0.027551375	78.23878169059753
3	24.969414	0.6836017	25.748219	24.287395	24.374838	4.671698	38.15014	22.138672	1000.0	1000.0	11999	27.441727	3.5473285	35.92896	14.976318	27.44172	3.5474453	35.953083	14.99277	-4.023828	0.5084239	2.2985153	-10.218911	-28.175312	0.035307214	0.035251424	124.03156661987305
4	23.01752	2.0918238	25.67398	20.294807	25.221233	5.832486	41.956955	21.71757	1000.0	1000.0	15999	35.835278	3.4477165	44.185585	23.91153	35.83536	3.4472346	44.094467	23.877014	-4.044312	0.4566129	2.329836	-9.977461	-36.559376	0.037194826	0.035799194	170.6287887096405
5	24.247194	0.6233975	24.77247	23.244043	27.357544	9.498901	49.948673	21.78868	1000.0	1000.0	19999	43.34226	3.0894527	49.8947	32.675713	43.342346	3.0890763	49.839725	32.840984	-4.0554085	0.42178893	1.8873005	-10.352559	-44.06707	0.034401786	0.033459257	218.86869835853577
6	25.417034	2.162053	27.690338	23.202688	24.482807	6.5537143	44.119015	21.613106	1000.0	1000.0	23999	49.451244	2.7132814	55.814724	38.56324	49.451263	2.712791	55.641434	38.688267	-4.060598	0.4086587	1.4646597	-9.9798975	-50.173283	0.0349875	0.03370125	267.5464096069336
7	25.715086	3.9864774	32.267113	21.498062	24.112848	5.4893236	40.56535	21.775757	1000.0	1000.0	27999	54.427826	2.4453366	61.000607	44.295242	54.42785	2.4452631	60.42032	44.1802	-4.0659823	0.3881339	1.1991215	-9.5485325	-55.15094	0.034177203	0.034177918	314.8892183303833
8	23.697435	0.99489564	24.482197	21.99126	22.577745	0.54725885	24.097294	21.827656	1000.0	1000.0	31999	58.616123	2.1188927	64.071236	49.22457	58.616165	2.1188257	64.29408	49.15202	-4.064625	0.39162704	2.0291471	-9.736233	-59.339222	0.033829313	0.033074904	361.64731884002686
9	24.921574	0.7683258	26.246475	24.388023	22.13811	0.80552036	23.071053	20.157488	1000.0	1000.0	35999	62.15956	1.8247066	67.40871	52.57877	62.15953	1.8249524	67.297516	53.025497	-4.0665526	0.38878733	1.202889	-9.785151	-62.879078	0.03365535	0.033611502	407.7407855987549
10	25.180614	1.1347044	26.658276	23.566103	22.687504	1.8111999	27.978508	21.017456	1000.0	1000.0	39999	64.98706	1.5852087	70.615	56.45599	64.987045	1.5854551	70.818855	56.824142	-4.0696244	0.3818471	0.9278059	-9.175845	-65.712395	0.031822015	0.03168294	453.15046095848083
