Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	3999	-0.018809453	0.019236213	0.17844453	-0.25650266	-0.018810904	0.01909294	0.19281049	-0.30094585	0.010851621	0.00014105767	40.35064888000488
2	226.25	391.8765	905.0	0.0	26.0	65.48435	219.0	0.0	1000.0	1000.0	7999	0.35936272	1.2659988	7.804585	-0.24290961	0.35945395	1.2660276	7.7975097	-0.2435208	-0.37699676	0.014028141	84.67957544326782
3	250.0	433.0127	1000.0	0.0	301.6	448.1603	987.0	0.0	1000.0	1000.0	11999	1.6316267	4.2171974	18.638655	-0.45948893	1.6316357	4.2172456	18.854172	-0.59457433	-1.6818848	0.025530396	131.76671361923218
4	47.75	82.70543	191.0	0.0	695.9	42.737453	769.0	612.0	1000.0	1000.0	15999	3.5711582	7.201468	31.261295	-0.92145383	3.5708256	7.20139	30.732252	-1.1059966	-3.7836876	0.12449291	180.57363867759705
5	379.5	340.6879	848.0	0.0	457.8	82.04608	569.0	270.0	1000.0	1000.0	19999	8.014326	10.813483	38.53989	-2.3851705	8.01473	10.812772	37.94902	-4.022395	-8.405005	0.5999976	229.18173480033875
6	787.0	123.72752	911.0	588.0	172.5	345.00067	864.0	0.0	1000.0	1000.0	23999	14.487637	14.3570175	46.368855	-3.9142392	14.487602	14.356545	45.7197	-4.883879	-15.029792	1.0650716	278.2100121974945
7	695.5	407.51596	989.0	0.0	387.8	475.01596	990.0	0.0	1000.0	1000.0	27999	21.467945	16.58331	52.592014	-5.077361	21.467278	16.5851	52.28302	-5.9056726	-22.082808	1.2244536	327.6250100135803
8	223.75	387.54636	895.0	0.0	395.0	483.7822	991.0	0.0	1000.0	1000.0	31999	26.213867	17.388346	58.5502	-4.5435863	26.213308	17.389158	57.1877	-7.17651	-26.843958	1.2253058	376.9760763645172
9	762.75	301.4999	957.0	241.0	915.8	100.4896	993.0	670.0	1000.0	1000.0	35999	29.624405	19.497711	62.79121	1.848093	29.624075	19.498007	63.21072	1.8397876	-30.149202	1.2013599	426.4637484550476
10	958.75	23.402723	992.0	926.0	971.3	20.129827	997.0	927.0	1000.0	1000.0	39999	34.867683	21.832373	66.83004	3.06643	34.86756	21.832268	66.68441	2.5262578	-35.385757	1.1428722	476.37186455726624
11	895.25	64.8821	961.0	792.0	846.0	39.069168	916.0	762.0	1000.0	1000.0	43999	40.17063	22.977823	70.86486	-0.25318742	40.17055	22.9782	70.78907	-1.7505758	-40.807957	1.2116147	525.4012157917023
12	953.0	35.812008	995.0	896.0	970.4	17.85609	1000.0	940.0	1000.0	1000.0	47999	45.30489	23.141588	73.19295	0.46111488	45.30429	23.142458	73.90494	-3.0673656	-45.94526	1.1551728	574.9764866828918
13	937.0	38.942265	992.0	890.0	929.5	52.75841	977.0	784.0	1000.0	1000.0	51999	50.155457	22.9675	80.10657	1.1671507	50.15522	22.968157	81.833015	0.4503994	-50.811165	1.0847392	623.9868149757385
14	974.25	12.871965	989.0	957.0	952.6	23.298925	988.0	899.0	1000.0	1000.0	55999	54.64987	22.545195	84.07004	3.7968583	54.64958	22.546003	82.45244	3.7745643	-55.318703	0.9925697	673.4301586151123
15	958.25	38.140366	997.0	897.0	960.7	32.028267	993.0	876.0	1000.0	1000.0	59999	58.724625	21.689516	83.21478	8.484123	58.72434	21.6903	86.030754	7.7165327	-59.315468	0.9281376	722.801764011383
16	920.25	59.246834	985.0	834.0	973.7	16.691616	993.0	946.0	1000.0	1000.0	63999	62.34211	20.703033	83.57576	17.136969	62.34193	20.703934	87.44083	16.78154	-62.908955	0.8889355	771.967532157898
17	971.5	11.280514	986.0	960.0	967.0	21.19434	996.0	926.0	1000.0	1000.0	67999	65.36942	19.974634	84.92961	19.142693	65.36922	19.975433	85.20425	18.514328	-65.87047	0.8447764	821.4378032684326
18	955.75	36.887497	991.0	900.0	960.7	5.762812	966.0	949.0	1000.0	1000.0	71999	68.20804	19.361933	87.07346	21.432379	68.20784	19.362309	92.193214	22.720842	-68.681694	0.7984956	870.8232252597809
19	966.5	17.18284	995.0	952.0	939.8	83.027466	992.0	694.0	1000.0	1000.0	75999	70.6802	18.715229	88.713295	23.495193	70.67991	18.716175	89.0026	23.656782	-71.07809	0.7418425	920.4429275989532
20	955.75	18.253424	972.0	925.0	968.0	12.19016	993.0	956.0	1000.0	1000.0	79999	72.74814	18.382587	91.59449	27.318262	72.74798	18.383242	90.6882	27.39087	-73.17578	0.69559884	970.1744267940521
21	968.0	26.823498	996.0	931.0	974.6	13.741907	990.0	954.0	1000.0	1000.0	83999	74.63758	18.10611	97.169174	32.666676	74.63761	18.10609	98.75912	32.37535	-75.0294	0.6683677	1019.4522478580475
22	972.0	7.9686885	984.0	963.0	982.7	12.124768	995.0	964.0	1000.0	1000.0	87999	76.44459	17.609077	97.3813	34.129135	76.444466	17.60999	94.006485	33.993847	-76.864044	0.6426027	1069.1985096931458
23	969.75	13.718145	993.0	958.0	972.9	16.705988	996.0	947.0	1000.0	1000.0	91999	78.14874	16.969458	93.97082	33.899376	78.148674	16.969648	96.95691	34.831688	-78.49953	0.5860045	1118.912921667099
24	961.0	10.416333	968.0	943.0	967.1	23.201078	992.0	909.0	1000.0	1000.0	95999	79.70124	16.409407	97.503426	36.8379	79.70114	16.409698	95.55408	34.655544	-80.04091	0.57999456	1168.7793328762054
25	984.5	10.965857	994.0	966.0	976.7	12.69685	996.0	962.0	1000.0	1000.0	99999	80.922104	16.222157	96.69009	38.50989	80.92196	16.222454	95.24798	37.457436	-81.20653	0.5597763	1218.8806104660034
26	945.25	21.12315	967.0	919.0	977.0	15.211838	997.0	950.0	1000.0	1000.0	103999	81.99846	16.117895	96.052536	39.51261	81.99836	16.118	95.727234	37.98688	-82.30925	0.5292047	1268.5152039527893
27	950.0	34.387497	989.0	896.0	971.0	12.837445	993.0	951.0	1000.0	1000.0	107999	83.057884	15.702712	99.27545	38.085335	83.05771	15.703421	96.586266	38.555527	-83.4395	0.56436515	1317.7122011184692
28	970.0	13.038404	992.0	958.0	975.7	12.19057	998.0	965.0	1000.0	1000.0	111999	84.1148	15.200948	100.31814	38.726326	84.11482	15.201201	100.476906	39.369152	-84.447784	0.5101922	1367.2960205078125
29	969.75	12.949421	991.0	956.0	956.8	37.35987	997.0	866.0	1000.0	1000.0	115999	85.03078	14.910599	99.21803	39.829502	85.03069	14.910698	97.61133	38.928497	-85.32077	0.5096559	1417.2223403453827
30	973.0	11.55422	993.0	966.0	974.7	11.941943	992.0	959.0	1000.0	1000.0	119999	85.79962	14.766103	98.667435	42.658657	85.79953	14.765779	98.196014	43.169758	-86.06175	0.4811239	1467.1874845027924
31	969.75	12.090802	990.0	958.0	979.4	20.308619	1000.0	927.0	1000.0	1000.0	123999	86.63255	14.463445	98.86086	43.448	86.63252	14.4635315	98.18383	42.63329	-86.90412	0.43487176	1516.9951961040497
