Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	37.50394	25.587822	78.25919	15.1499815	94.12832	0.627203	95.09396	93.25974	1000.0	1000.0	3999	0.06739305	0.21873732	1.9149982	-0.41314933	0.067381844	0.21883751	1.9088595	-0.41633537	-0.07171418	0.00026152222	41.33689785003662
2	20.13956	14.788158	41.40405	5.2861643	166.53348	13.520225	200.5334	155.3071	1000.0	1000.0	7999	0.3033334	0.54887664	5.063699	-0.3737229	0.30332544	0.54888505	5.038011	-0.3692815	-0.3109791	0.00029444604	85.54837203025818
3	114.27739	80.49457	215.73595	27.326925	142.88231	3.1531913	146.43767	139.59892	1000.0	1000.0	11999	0.74886286	1.1299247	10.340409	-0.2620141	0.74888545	1.1298991	10.537999	-0.24277487	-0.76870054	0.0024006986	133.32090520858765
4	168.8088	17.033949	196.67441	151.75679	204.41278	5.266955	210.88358	195.48755	1000.0	1000.0	15999	2.2744746	2.6900592	16.501865	-0.1255338	2.2745256	2.6899838	17.182465	-0.14563146	-2.3091953	0.008789072	181.76744437217712
5	254.69754	30.926203	286.77136	204.38118	179.61523	0.9392932	181.36375	178.46172	1000.0	1000.0	19999	4.131968	3.612546	17.588415	-0.24860777	4.1320243	3.6125467	17.641085	-0.33735746	-4.1985555	0.013194464	231.676687002182
6	233.41309	51.267834	317.06412	185.04912	162.28897	2.0097606	164.57164	158.10966	1000.0	1000.0	23999	5.7590227	4.301692	24.844421	-0.14320818	5.7591524	4.30162	24.807678	-0.20520851	-5.815453	0.021229824	281.1819567680359
7	336.82132	105.58183	445.79562	162.11473	413.14648	65.03861	484.20068	238.59798	1000.0	1000.0	27999	7.401316	5.2916865	30.957222	-0.100019276	7.401314	5.291756	31.172928	-0.0032940954	-7.476199	0.026246365	329.0930345058441
8	380.80212	91.16891	537.3636	309.21118	544.6455	5.5329247	558.1643	539.40784	1000.0	1000.0	31999	9.274377	6.8041663	36.87699	-0.29059905	9.274415	6.8041506	36.928143	0.13989152	-9.323752	0.030157864	379.09402441978455
9	542.3335	49.54493	588.1062	462.58118	467.9598	2.020313	470.97067	464.48032	1000.0	1000.0	35999	11.729382	9.153345	43.2476	0.40658247	11.729386	9.1533785	43.26518	0.53565055	-11.807723	0.03408184	428.55482840538025
10	552.70807	10.756882	567.09863	538.6464	617.8949	36.585117	717.8976	582.314	1000.0	1000.0	39999	14.42675	11.393954	48.45273	0.62642056	14.426834	11.393853	48.46916	0.770779	-14.4930935	0.0441185	477.0298328399658
