Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	3999	-0.074916355	0.08412207	0.36997038	-0.69617623	-0.0749285	0.08439138	0.6463511	-0.75904423	0.07107357	0.00025949217	32.61573553085327
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	7999	-0.057188712	0.05547161	0.10934025	-0.35651866	-0.05718925	0.055537466	0.1603154	-0.42090878	0.055721533	3.6630845e-05	68.7987973690033
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	11999	-0.04787465	0.051222846	0.13813655	-0.3104073	-0.04787477	0.051239926	0.1475995	-0.31286117	0.047027014	1.2563378e-05	106.85583257675171
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	15999	-0.037049532	0.053797424	0.121760294	-0.290065	-0.03704932	0.05379939	0.12588608	-0.28189662	0.03668832	5.0631247e-06	147.22687911987305
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	-0.02688168	0.04316343	0.10521813	-0.2733548	-0.026881434	0.04316476	0.11036225	-0.27390715	0.026503222	2.9101773e-06	187.628643989563
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	23999	-0.01911127	0.03420859	0.088379614	-0.2535868	-0.019111486	0.03420923	0.09017822	-0.26654154	0.018788487	3.0276437e-06	227.72022128105164
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	27999	-0.013622012	0.026407436	0.07563493	-0.20454213	-0.013622019	0.02640721	0.077311546	-0.20955804	0.013296939	2.3459431e-06	268.0204498767853
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	31999	-0.010264673	0.02053043	0.06477154	-0.15714586	-0.010264766	0.020530295	0.06568922	-0.18003502	0.01009074	1.6377743e-06	307.92976236343384
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	35999	-0.007905755	0.017384235	0.05555216	-0.08739924	-0.007905856	0.017384216	0.057189763	-0.08622628	0.007758174	3.5313752e-07	348.8865478038788
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	39999	-0.0065247426	0.01608085	0.050885927	-0.06930987	-0.006524701	0.016080735	0.050570875	-0.06887849	0.006409041	1.4522215e-07	388.9391987323761
11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	43999	-0.004649541	0.015729932	0.07804757	-0.063211344	-0.0046494906	0.015729941	0.07936648	-0.0629503	0.004522362	1.3473263e-07	428.59590458869934
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	47999	-0.0017214548	0.0165339	0.07699948	-0.055406407	-0.0017214263	0.01653386	0.07585203	-0.055164248	0.0015907306	1.3392336e-07	469.09907507896423
13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	51999	-4.480887e-05	0.014910695	0.068693034	-0.049476102	-4.479686e-05	0.0149108665	0.06879094	-0.04887905	-0.00014433455	1.514069e-07	509.07546830177307
14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	55999	0.0014447145	0.013169377	0.0629043	-0.045447182	0.0014446904	0.013169277	0.06102269	-0.04603492	-0.0016343074	1.473664e-07	549.5305891036987
15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	59999	0.0029732287	0.011642916	0.055424444	-0.04704284	0.0029733258	0.011642877	0.055636033	-0.04653206	-0.0032069974	1.3875429e-07	589.755930185318
16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	63999	0.004737641	0.010351605	0.047728576	-0.046697207	0.0047375984	0.010351701	0.048446015	-0.0456918	-0.0050852518	1.2960038e-07	629.6981117725372
17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	67999	0.0065463935	0.009821237	0.041843027	-0.043572392	0.006546401	0.009821131	0.041991867	-0.044376582	-0.006896759	1.4398833e-07	669.5244748592377
18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	71999	0.007749006	0.009809566	0.038032155	-0.042475037	0.0077489805	0.0098096905	0.037282206	-0.041581124	-0.008007825	1.4677416e-07	709.820958852768
19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	75999	0.008324733	0.0099364435	0.030988557	-0.03929697	0.008324773	0.009936219	0.03273602	-0.038499888	-0.0085191475	1.4628732e-07	750.3141005039215
20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	79999	0.008690423	0.009717073	0.02986994	-0.03511548	0.008690423	0.009717193	0.029678084	-0.03539427	-0.008841349	1.3977039e-07	790.6814622879028
21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	83999	0.0085618	0.009044872	0.027972456	-0.02646458	0.008561757	0.009044834	0.027822169	-0.025550252	-0.00866216	1.3778525e-07	830.8450880050659
22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	87999	0.008317917	0.008172352	0.026371626	-0.02561167	0.008317946	0.008172918	0.02610127	-0.024800772	-0.008412075	1.3003996e-07	871.3730573654175
23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	91999	0.008134855	0.0073216558	0.023565719	-0.023221117	0.008134872	0.0073219445	0.023707818	-0.02267282	-0.008239699	1.2745294e-07	910.8912053108215
24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	95999	0.008010803	0.0066543776	0.020739116	-0.02196991	0.008010775	0.0066540004	0.02077199	-0.020957723	-0.008093828	8.599578e-08	950.6135261058807
25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	99999	0.008049759	0.0060109645	0.018589687	-0.022594538	0.008049776	0.006010989	0.018539587	-0.021753585	-0.008162981	8.267329e-08	990.9095633029938
26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	103999	0.007887003	0.005339069	0.017065909	-0.022268256	0.007886985	0.005339085	0.017041797	-0.023098918	-0.007992439	6.950411e-08	1030.87433385849
27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	107999	0.0075932825	0.0046047373	0.015381169	-0.022320576	0.007593286	0.004605075	0.015257451	-0.021878246	-0.007657972	5.52043e-08	1070.5575461387634
28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	111999	0.007096464	0.0039626583	0.013799632	-0.021544494	0.0070964494	0.0039624106	0.013717546	-0.020889455	-0.0071867965	4.5662578e-08	1110.3052608966827
29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	115999	0.0067838305	0.0034944508	0.012357717	-0.017242385	0.0067838337	0.0034943097	0.012431828	-0.017533667	-0.006859041	3.118524e-08	1150.0831937789917
30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	119999	0.006543449	0.0031241537	0.011065275	-0.013602692	0.0065434566	0.0031240988	0.011161287	-0.014165128	-0.006612593	2.3926207e-08	1189.674602508545
31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	123999	0.0062628076	0.002851488	0.010137676	-0.011571098	0.0062627876	0.0028515032	0.010063399	-0.01134371	-0.0063076983	2.030787e-08	1228.9233293533325
32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	127999	0.0059143207	0.0026374275	0.009265262	-0.01067833	0.0059143365	0.0026373495	0.009287255	-0.010383852	-0.0059453677	1.445118e-08	1268.6796317100525
33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	131999	0.0055207405	0.0023658	0.008345265	-0.008971429	0.0055207526	0.0023657626	0.008320989	-0.00908357	-0.0055449847	1.18061925e-08	1308.155513048172
34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	135999	0.005127436	0.0021192066	0.0074920147	-0.0077803587	0.005127446	0.0021191617	0.007477082	-0.00757794	-0.005150777	9.847637e-09	1348.2499940395355
35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	139999	0.0047408785	0.0019337018	0.006804969	-0.007829218	0.0047408533	0.0019336683	0.0068514175	-0.0077467305	-0.004763252	9.012456e-09	1388.12979722023
36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	143999	0.0043789744	0.0017739309	0.006371213	-0.0070927655	0.004378977	0.0017738871	0.006355614	-0.006957649	-0.0043979376	7.73966e-09	1427.4731702804565
37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	147999	0.0040384373	0.0016075463	0.0058819773	-0.0073073055	0.004038457	0.0016075257	0.0058481856	-0.006835391	-0.0040567582	6.5564447e-09	1467.4672498703003
38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	151999	0.003723267	0.0014447217	0.0054837414	-0.0073468154	0.003723271	0.001444691	0.0053895246	-0.0064308466	-0.0037414464	5.702136e-09	1507.3208079338074
39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	155999	0.0034398483	0.0012926448	0.0049316855	-0.0066596298	0.0034398276	0.0012926087	0.004918572	-0.00658306	-0.0034542303	5.3421765e-09	1547.8647158145905
40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	159999	0.003183313	0.0011753499	0.004556016	-0.0063077374	0.0031833178	0.0011756426	0.0044976743	-0.006298202	-0.0032011466	5.924131e-09	1588.333867073059
41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	163999	0.0029627373	0.0010792529	0.0042527905	-0.0034947314	0.0029627362	0.0010795372	0.0041311462	-0.002689123	-0.0029799733	4.7495896e-09	1628.6617999076843
42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	167999	0.0027564096	0.0009689303	0.0038255951	-0.0005365408	0.0027564154	0.0009690186	0.0038486137	-0.0017523717	-0.0027694325	3.6377306e-09	1669.0471141338348
43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	171999	0.0025450431	0.00084597035	0.003474838	-0.0010251484	0.0025450285	0.00084596477	0.0034834647	-0.000918088	-0.0025565128	3.3311358e-09	1708.9097068309784
44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	175999	0.0023550205	0.0007284947	0.0031490754	-0.00092232507	0.0023550272	0.0007284766	0.0031662616	-0.0011570088	-0.002368801	3.220465e-09	1748.7448921203613
45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	179999	0.0021735241	0.0006301802	0.0029053697	-0.0009878991	0.0021735404	0.00063015404	0.0029092229	-0.0008587092	-0.002182788	3.199237e-09	1788.9704666137695
46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	183999	0.0019907714	0.0005555774	0.0027550391	-0.0006475658	0.0019907472	0.0005555418	0.0027040807	-0.0006695282	-0.0019984765	2.8296163e-09	1829.3037214279175
47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	187999	0.001804247	0.00048991694	0.002469777	-0.00074547867	0.0018042539	0.00048989075	0.0024358155	-0.0011921761	-0.0018073646	2.6937834e-09	1869.5680322647095
48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	191999	0.0016246735	0.00043555832	0.0021689923	-0.00081691646	0.0016246764	0.00043554555	0.0021914358	-0.0006364193	-0.001628213	2.4425335e-09	1909.8916041851044
49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	195999	0.0014642025	0.00039632802	0.0019534682	-0.00050214084	0.001464204	0.0003963393	0.0019556456	-0.00051251956	-0.0014676368	2.4217328e-09	1950.5074126720428
50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	199999	0.0013184341	0.00035615815	0.0017456296	-0.00041925468	0.0013184218	0.00035632262	0.0019699137	-0.0058175814	-0.0013224499	2.4905398e-09	1990.9300339221954
51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	203999	0.0011939409	0.00032186057	0.0015949284	-0.0002904965	0.0011939465	0.00032183967	0.0015816657	-0.00029119075	-0.0011980362	2.1068807e-09	2031.2348282337189
52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	207999	0.0010784727	0.00028437361	0.001443551	-0.00020860492	0.0010784756	0.00028436718	0.0014347929	-0.00025985698	-0.0010804207	2.1091433e-09	2071.8581495285034
53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	211999	0.0009716043	0.00025436323	0.0013830696	-0.00034837564	0.0009716045	0.0002543596	0.001392655	-0.00042049852	-0.00097421155	2.0274125e-09	2112.1049723625183
54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	215999	0.0008752951	0.00023145252	0.0012808337	-0.00048339722	0.00087529654	0.00023142753	0.001225516	-0.00051318714	-0.00087870983	1.9375188e-09	2152.514074087143
55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	219999	0.0007874033	0.00021241025	0.0010925375	-0.00047025605	0.00078740367	0.00021238887	0.0011440351	-0.00043319934	-0.00079024147	1.8798973e-09	2192.5604391098022
56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	223999	0.0007149884	0.0001941239	0.0010700473	-0.000369257	0.0007149955	0.00019413995	0.0010562727	-0.00039898884	-0.00071742246	1.8361388e-09	2233.0412244796753
57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	227999	0.00064357935	0.00017545997	0.0009633404	-0.00040415066	0.00064356596	0.00017541915	0.0009861954	-0.00034995648	-0.00064509944	1.7946211e-09	2273.3339145183563
58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	231999	0.00058392686	0.0001598419	0.0008652898	-0.00049011747	0.00058393145	0.00015987686	0.00089544395	-0.0003775764	-0.0005869029	1.7769908e-09	2313.3713240623474
59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	235999	0.00053128036	0.00014626708	0.00082861993	-0.00047721004	0.00053127663	0.00014631478	0.00085159705	-0.00043476874	-0.00053343107	1.7393678e-09	2353.3442888259888
60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	239999	0.00050004554	0.00013384188	0.00082032994	-0.0006614264	0.0005000455	0.0001338123	0.00081122585	-0.00035863966	-0.0005068254	1.7164186e-09	2394.0184161663055
61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	243999	0.00046453078	0.00012696152	0.0007781123	-0.0006451659	0.00046454635	0.00012702525	0.00077763747	-0.00039819913	-0.0004677844	1.7223545e-09	2434.4564678668976
62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	247999	0.00041086756	0.00012022167	0.0006118738	-0.000758656	0.0004108566	0.000120301585	0.000627689	-0.0006327089	-0.00041232453	1.7284669e-09	2474.8825035095215
63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	251999	0.0003608687	0.00012146813	0.0005652526	-0.0014538965	0.0003608703	0.000121603705	0.0005812885	-0.0007884602	-0.0003618808	1.7795808e-09	2515.607678413391
64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	255999	0.00031626225	0.00012645929	0.00050828734	-0.0007369841	0.0003162645	0.0001267299	0.0005308445	-0.00074720784	-0.00031735146	1.8067623e-09	2555.8998403549194
65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	259999	0.00027513725	0.0001333973	0.0004854242	-0.0006714844	0.0002751325	0.00013360505	0.00046936295	-0.0006933034	-0.00027665007	1.7924529e-09	2596.4302072525024
66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	263999	0.00025077868	0.00012918325	0.00044957077	-0.00066137617	0.0002507766	0.00012915938	0.00044784838	-0.00068707555	-0.0002543064	1.7012821e-09	2637.0608234405518
67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	267999	0.00021855536	0.000117578325	0.00042700674	-0.00048474566	0.00021855992	0.000117576994	0.00044226184	-0.00056357577	-0.00022049052	1.6813919e-09	2677.3192253112793
68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	271999	0.00019292245	0.00010699403	0.0003773354	-0.00036588556	0.00019291874	0.0001070119	0.00040128126	-0.0004460466	-0.00019329767	1.6181855e-09	2717.719983816147
69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	275999	0.00016892079	9.54064e-05	0.00033920188	-0.00033720507	0.00016892052	9.543615e-05	0.0003706586	-0.0003561611	-0.00017096716	1.6104756e-09	2758.9982335567474
70	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	279999	0.00014188408	8.36869e-05	0.00031845825	-0.0003086755	0.00014188874	8.365957e-05	0.00033065525	-0.0003477246	-0.00014235955	1.6069387e-09	2798.985208272934
71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	283999	0.00013365204	7.4368916e-05	0.00032582865	-0.00028681874	0.00013365725	7.433508e-05	0.00031071162	-0.00027937134	-0.00013816061	1.5647817e-09	2839.636770248413
72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	287999	0.00011103396	6.7684516e-05	0.00030832936	-0.00037872154	0.00011103816	6.773163e-05	0.00029727447	-0.000373001	-0.00010876814	1.5562225e-09	2880.3001096248627
73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	291999	7.545036e-05	5.9168062e-05	0.00026431063	-0.00035641532	7.544623e-05	5.93155e-05	0.0002514818	-0.00031817443	-7.750977e-05	1.5457611e-09	2920.796204328537
74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	295999	5.4348784e-05	5.2701853e-05	0.00022905797	-0.00046070898	5.4344906e-05	5.2524796e-05	0.00021220269	-0.0005026709	-5.4047046e-05	1.5114411e-09	2961.283543109894
75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	299999	2.495568e-05	4.7250956e-05	0.00022338475	-0.0002421923	2.4949157e-05	4.7274956e-05	0.00018498958	-0.0002863767	-2.550246e-05	1.5057381e-09	3001.945148706436
76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	303999	1.28630945e-05	4.2062387e-05	0.00017915296	-0.00022973181	1.2863958e-05	4.1973857e-05	0.00017488447	-0.00021286585	-1.4840172e-05	1.4935303e-09	3042.081127882004
77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	307999	1.7120864e-06	3.7418267e-05	0.00016476195	-0.00061750633	1.7074556e-06	3.727437e-05	0.00014690812	-0.0003020041	-1.4875405e-06	1.4966762e-09	3082.151312351227
78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	311999	-4.601523e-06	3.3636898e-05	0.00016649521	-0.0011258268	-4.5951892e-06	3.3590022e-05	0.00013120304	-0.00023738714	4.247686e-06	1.4844143e-09	3122.7380363941193
79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	315999	-2.3054636e-05	3.0568193e-05	0.00011724554	-0.00018612224	-2.3055789e-05	3.0625266e-05	0.00014468495	-0.00021388213	2.4319648e-05	1.4406976e-09	3163.118341445923
80	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	319999	-4.312151e-05	2.9025703e-05	0.00010351198	-0.0001947522	-4.3122353e-05	2.873364e-05	0.00010698663	-0.00017283029	4.4234388e-05	1.4391337e-09	3204.1593067646027
