Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	0.5	0.8660254	2.0	0.0	0.4	1.1999999	4.0	0.0	1000.0	1000.0	3999	-0.19361381	0.121616825	0.9278636	-2.3693535	-0.1937171	0.12082019	0.9893254	-2.4380093	0.15766594	0.0065863626	35.26904535293579
2	1.5	1.118034	3.0	0.0	55.3	10.46948	73.0	37.0	1000.0	1000.0	7999	-0.012955359	0.17181492	2.4579158	-1.1220461	-0.012957775	0.1716375	2.6545713	-1.0797722	-0.02355365	0.0032479435	74.1947455406189
3	37.75	35.045506	86.0	0.0	75.1	19.699999	120.0	47.0	1000.0	1000.0	11999	0.41489673	0.40624326	5.6822095	-0.29054716	0.41483152	0.40626746	6.0540123	-0.33038682	-0.4863886	0.02201006	115.26912546157837
4	41.75	15.92757	55.0	16.0	97.7	36.48849	140.0	0.0	1000.0	1000.0	15999	1.1147953	0.7954614	10.890439	-0.44894296	1.114705	0.7946457	11.294975	-0.32409292	-1.2220322	0.12832588	158.55892324447632
5	216.25	69.98705	296.0	106.0	237.4	46.900322	322.0	167.0	1000.0	1000.0	19999	2.431473	1.7106416	16.522383	-0.1355781	2.431138	1.7088554	16.199936	-0.3159421	-2.6332598	0.41546884	201.92370772361755
6	299.75	46.0292	356.0	245.0	353.2	30.055948	395.0	296.0	1000.0	1000.0	23999	4.691002	2.402825	18.481375	0.0048541427	4.6899524	2.4008763	17.851759	-0.15499765	-4.959305	0.5849089	245.01218223571777
7	441.5	54.577927	511.0	363.0	545.3	43.467342	604.0	457.0	1000.0	1000.0	27999	7.0614324	3.0293064	21.219072	0.49206182	7.0608706	3.0290232	20.887976	0.37360173	-7.360029	0.84950536	288.16520595550537
8	571.75	50.652615	621.0	493.0	659.6	21.959963	696.0	622.0	1000.0	1000.0	31999	9.936056	4.0858355	25.049232	1.6277754	9.935508	4.0882773	25.664503	1.6208644	-10.304784	1.2915787	331.51247096061707
9	652.5	32.16753	702.0	612.0	737.9	46.388466	818.0	661.0	1000.0	1000.0	35999	13.553898	5.077488	26.956043	2.3743477	13.5536585	5.0798626	27.18041	2.7139878	-14.01065	1.4891725	374.7594861984253
10	728.75	7.292976	741.0	722.0	739.0	25.266579	779.0	685.0	1000.0	1000.0	39999	17.63784	5.8225727	32.65031	3.127535	17.637527	5.8235784	35.02598	3.5580714	-18.152527	1.4998457	418.063330411911
11	789.0	18.774982	811.0	763.0	781.5	27.060118	829.0	736.0	1000.0	1000.0	43999	21.961472	6.269208	35.69459	4.1281476	21.960995	6.2696853	34.636387	4.4073625	-22.496984	1.5319076	461.3891644477844
12	780.25	19.753164	814.0	764.0	755.5	12.435835	776.0	735.0	1000.0	1000.0	47999	26.362906	6.442831	38.19006	6.0241013	26.362547	6.4434476	38.186367	6.3571815	-26.915874	1.4984732	504.7621021270752
13	808.25	24.782806	834.0	782.0	839.1	38.22421	880.0	735.0	1000.0	1000.0	51999	30.51326	6.4548264	41.87322	9.868258	30.51286	6.455454	42.469315	10.149514	-31.01854	1.4224985	548.0897016525269
14	809.0	11.113055	820.0	791.0	814.0	14.6969385	834.0	782.0	1000.0	1000.0	55999	34.37075	6.447334	47.167137	13.834265	34.37058	6.447266	44.785225	13.793495	-34.872704	1.3390363	591.3578608036041
15	813.0	6.9641943	823.0	806.0	832.5	9.124144	848.0	813.0	1000.0	1000.0	59999	37.89614	6.3412766	48.155495	17.017624	37.896004	6.341228	48.289837	17.065891	-38.388187	1.2600787	634.4315061569214
16	810.0	13.190906	826.0	796.0	824.7	10.060318	839.0	809.0	1000.0	1000.0	63999	41.04063	6.3361626	51.35628	19.922516	41.0404	6.3363967	51.803326	20.39146	-41.46258	1.2290491	677.6949265003204
17	815.75	28.65637	848.0	770.0	864.8	9.064216	877.0	849.0	1000.0	1000.0	67999	43.96932	6.3553696	52.942238	23.483376	43.96917	6.3553534	57.192406	22.512457	-44.40046	1.2394497	721.0471205711365
18	823.75	8.347904	838.0	817.0	840.9	5.3935146	851.0	834.0	1000.0	1000.0	71999	46.748775	6.3048654	56.230118	25.004263	46.74857	6.304922	55.696236	25.630453	-47.174202	1.1954861	764.6499922275543
19	840.75	10.059199	855.0	829.0	849.3	12.361634	866.0	830.0	1000.0	1000.0	75999	49.26203	6.2424345	58.07134	26.919683	49.261913	6.2427073	58.193836	27.718105	-49.63464	1.1782057	808.0636870861053
20	820.25	11.519006	835.0	803.0	865.3	9.497894	880.0	852.0	1000.0	1000.0	79999	51.600426	6.1981287	60.920963	29.057674	51.60022	6.1980557	60.06369	28.724161	-51.976715	1.1363978	851.3782136440277
21	820.75	9.549214	833.0	810.0	808.3	10.286399	825.0	788.0	1000.0	1000.0	83999	53.7321	6.1786895	61.8008	30.597042	53.73212	6.17824	63.775642	30.396801	-54.080853	1.1196395	894.5723977088928
22	824.25	10.280442	837.0	809.0	851.1	4.867237	860.0	842.0	1000.0	1000.0	87999	55.636585	6.1354933	63.304256	32.500237	55.6365	6.135286	64.62262	32.08391	-55.981983	1.1050501	937.7983696460724
23	821.5	8.13941	831.0	810.0	828.8	6.823489	838.0	814.0	1000.0	1000.0	91999	57.42379	6.0985456	64.84621	33.95849	57.42361	6.0983987	65.81729	33.626396	-57.7494	1.0777124	980.8996577262878
24	825.0	18.668154	843.0	795.0	854.3	9.423905	868.0	836.0	1000.0	1000.0	95999	59.09835	6.038307	66.48388	34.79157	59.098267	6.037842	67.10648	35.338943	-59.435585	1.0827674	1024.283796787262
25	841.25	9.1480875	850.0	826.0	816.7	15.627219	849.0	786.0	1000.0	1000.0	99999	60.611816	6.0139117	69.55034	36.08606	60.61173	6.0138316	68.89142	36.26128	-60.933178	1.0633969	1067.5685212612152
26	822.5	9.861542	838.0	813.0	832.1	8.455176	843.0	814.0	1000.0	1000.0	103999	62.113365	5.91051	69.532745	37.166126	62.11335	5.9102745	69.535706	35.860382	-62.42421	1.0676442	1111.1700718402863
27	827.75	18.060661	848.0	799.0	843.5	8.151687	855.0	827.0	1000.0	1000.0	107999	63.443066	5.8311496	70.520706	37.468994	63.443035	5.8306384	70.293625	36.361847	-63.747093	1.0191023	1154.6171197891235
28	830.5	2.95804	834.0	826.0	842.4	4.6733284	851.0	836.0	1000.0	1000.0	111999	64.73684	5.7475286	72.99783	35.028976	64.73682	5.7470174	72.23164	35.65574	-65.03965	0.97328275	1198.2639236450195
