Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	172.75	258.78696	618.0	0.0	279.6	420.6726	1000.0	0.0	1000.0	1000.0	3999	1.0582217	1.7587955	8.363455	-1.4383943	1.0582533	1.7592125	8.205248	-1.4326013	-1.1363686	0.04270091	38.321776151657104
2	0.0	0.0	0.0	0.0	201.4	398.31625	1000.0	0.0	1000.0	1000.0	7999	2.4425962	3.4730937	18.133419	-1.0751202	2.4424357	3.4732788	18.75056	-0.97781575	-2.577798	0.033503097	81.38072729110718
3	67.25	116.480415	269.0	0.0	0.2	0.59999996	2.0	0.0	1000.0	1000.0	11999	3.0786557	5.3530083	28.184938	-1.8320354	3.0785234	5.3529673	27.711239	-1.0649922	-3.1929796	0.05372867	126.68106007575989
4	0.5	0.8660254	2.0	0.0	104.6	298.73843	1000.0	0.0	1000.0	1000.0	15999	3.8680005	7.2298717	35.88466	-0.96883285	3.8680522	7.229769	35.47371	-0.5728817	-3.9708517	0.11885791	174.08823609352112
5	208.0	299.9025	726.0	0.0	189.9	374.17386	991.0	0.0	1000.0	1000.0	19999	5.558156	9.649829	43.2093	-0.7477224	5.5582414	9.649515	44.811523	-1.9501263	-5.678668	0.24119292	221.60728406906128
6	160.0	277.12814	640.0	0.0	95.2	281.6227	940.0	0.0	1000.0	1000.0	23999	6.9505324	12.3844	50.174103	-2.4113576	6.9505844	12.383906	50.92877	-3.196222	-7.0812893	0.30100077	269.2377665042877
7	0.0	0.0	0.0	0.0	101.4	299.5624	1000.0	0.0	1000.0	1000.0	27999	7.8202105	14.490742	60.342274	-1.4666293	7.8204446	14.490282	60.23685	-1.516812	-7.986275	0.3718809	316.74107027053833
8	250.0	433.0127	1000.0	0.0	396.5	485.6429	1000.0	0.0	1000.0	1000.0	31999	9.474953	17.675056	73.051254	-1.6594317	9.4752245	17.674623	70.104774	-1.7416106	-9.674773	0.46541548	364.13111758232117
9	0.0	0.0	0.0	0.0	198.1	396.22278	1000.0	0.0	1000.0	1000.0	35999	10.084161	19.502623	82.33153	-2.0841355	10.084332	19.502234	77.156006	-2.63201	-10.348953	0.52605224	411.6017870903015
10	250.0	433.0127	1000.0	0.0	203.0	398.57846	1000.0	0.0	1000.0	1000.0	39999	10.807821	20.560583	84.30849	-3.3655987	10.807742	20.560184	83.57068	-5.686641	-11.078639	0.5139289	458.9738600254059
11	250.0	433.0127	1000.0	0.0	3.7	11.099999	37.0	0.0	1000.0	1000.0	43999	12.213899	21.911123	91.75072	-5.4884534	12.214266	21.910671	89.61938	-6.6815414	-12.481138	0.59134704	506.14465498924255
12	406.0	422.04324	975.0	0.0	122.6	282.97818	960.0	0.0	1000.0	1000.0	47999	13.172057	23.566809	97.28277	-7.2649975	13.172073	23.566242	101.1451	-8.281461	-13.44509	0.7243768	553.4513943195343
13	508.25	479.76993	1000.0	0.0	207.1	371.6543	1000.0	0.0	1000.0	1000.0	51999	14.4238	24.663145	90.63097	-7.6602983	14.424145	24.662716	88.16565	-6.9271574	-14.615482	0.9133761	600.5418612957001
14	4.5	7.7942286	18.0	0.0	279.1	422.50882	1000.0	0.0	1000.0	1000.0	55999	16.2688	26.131342	91.992584	-8.040203	16.268976	26.130896	91.20869	-8.406223	-16.626812	0.8932091	647.7211022377014
15	0.0	0.0	0.0	0.0	237.6	372.12317	970.0	0.0	1000.0	1000.0	59999	16.660826	26.566757	95.23719	-8.215267	16.66139	26.566145	93.37899	-7.6405764	-16.959473	0.987987	695.122718334198
16	108.25	110.517815	248.0	0.0	112.6	292.1863	984.0	0.0	1000.0	1000.0	63999	17.247303	27.028465	98.563866	-9.074631	17.247414	27.02795	95.5641	-8.950158	-17.548271	1.2332962	742.1594891548157
17	2.75	4.7631397	11.0	0.0	161.5	330.69662	1000.0	0.0	1000.0	1000.0	67999	17.776217	27.63111	105.58202	-13.689729	17.776432	27.630508	102.48056	-12.560906	-18.14232	1.3083799	789.0974888801575
18	219.0	374.14102	867.0	0.0	101.9	200.71794	672.0	0.0	1000.0	1000.0	71999	18.263361	28.547518	104.04077	-12.726166	18.263895	28.54733	103.35986	-13.70633	-18.551783	1.2594056	836.5338289737701
19	424.75	437.87863	1000.0	0.0	294.9	450.52466	1000.0	0.0	1000.0	1000.0	75999	20.009005	30.260645	104.82006	-12.857302	20.009771	30.26034	106.135185	-14.310855	-20.231176	1.2262893	883.7051908969879
20	34.5	59.755753	138.0	0.0	313.1	447.21573	1000.0	0.0	1000.0	1000.0	79999	20.21712	30.946196	109.36215	-15.077803	20.2174	30.945583	109.234795	-13.879302	-20.504543	1.2324444	930.8185455799103
21	0.0	0.0	0.0	0.0	243.7	386.3092	1000.0	0.0	1000.0	1000.0	83999	19.944555	30.919865	107.75606	-11.138065	19.945349	30.919548	109.13446	-10.414791	-20.425825	1.1186413	978.2295575141907
