Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	112.72686	77.77361	246.49901	59.243683	136.09868	243.28307	859.11554	13.186005	1000.0	1000.0	3999	1.2186991	0.90286404	7.009451	-2.0263145	1.2188424	0.90315247	6.9677663	-1.3288523	-1.526585	0.021532463	47.74573254585266
2	37.012436	22.032215	58.27436	4.30555	35.08135	35.765236	116.909164	2.6583292	1000.0	1000.0	7999	1.8488319	0.9714575	8.772179	0.06728995	1.8488545	0.97150546	8.799345	0.08130428	-1.8329402	0.00911608	98.50275135040283
3	59.747337	27.812517	104.28633	27.735903	130.53987	114.81963	405.63422	14.031672	1000.0	1000.0	11999	1.8379253	1.6560495	15.297279	-0.16015592	1.8379828	1.6560571	15.584706	-0.19754815	-1.9007957	0.012580145	150.11185669898987
4	99.69709	14.975597	118.97606	79.41261	89.83119	95.42336	346.8942	3.8495488	1000.0	1000.0	15999	3.8425438	2.9589515	25.38266	-0.058844417	3.842501	2.95893	25.87326	-0.08350435	-4.058281	0.018175682	202.31509566307068
5	89.07063	12.0676	102.733864	71.76541	83.83901	35.228703	114.961945	7.373013	1000.0	1000.0	19999	6.7495694	7.1987896	37.411922	-0.43253815	6.749592	7.198773	37.411766	-0.23447019	-6.8727813	0.02361405	255.701397895813
6	51.369404	23.91628	89.16805	28.330753	72.16791	38.904015	117.57788	8.345511	1000.0	1000.0	23999	8.395876	7.59559	39.484093	-0.35053247	8.395852	7.5956144	39.60334	-0.3045342	-8.544661	0.022677181	308.13648676872253
7	64.69072	21.564672	96.30999	41.54964	104.496666	131.24214	487.3368	2.1312063	1000.0	1000.0	27999	8.43018	7.3738694	40.545895	-0.2907132	8.430191	7.373869	40.521137	-0.23876333	-8.505221	0.022317989	359.43425035476685
8	33.279533	26.488312	76.36381	6.12718	107.17145	128.27255	473.83575	3.272935	1000.0	1000.0	31999	8.162914	6.838618	40.51295	-0.23196054	8.162927	6.83856	40.5774	-0.13863748	-8.191663	0.018637752	411.00563526153564
9	69.46632	27.81381	107.84382	34.225727	74.73562	40.481518	123.650696	3.1788704	1000.0	1000.0	35999	7.9514933	6.3850865	38.544994	-0.047597528	7.951528	6.3850594	38.566257	0.000980258	-7.9557548	0.015493776	462.19532322883606
10	57.103195	21.179335	83.759415	30.449293	87.79347	45.14857	152.31516	8.694267	1000.0	1000.0	39999	7.8550143	5.954985	35.957882	0.26979482	7.8550267	5.9549623	36.006462	0.3183627	-7.855614	0.012621656	513.671669960022
11	34.895462	39.875217	101.74705	1.1565135	82.46098	47.092144	174.49487	8.573026	1000.0	1000.0	43999	7.634933	5.832212	33.96685	0.3123028	7.6349373	5.832179	33.871387	0.39628527	-7.6458397	0.010141367	565.5073194503784
12	131.68217	156.03688	399.11017	20.921146	77.09163	28.61107	113.219055	16.564901	1000.0	1000.0	47999	7.3854427	5.5314817	31.110544	0.5277443	7.3854523	5.531472	31.13016	0.54437923	-7.4053183	0.008590657	616.8820149898529
13	71.02111	26.415747	96.2887	30.203833	141.07275	153.98903	596.9163	38.62599	1000.0	1000.0	51999	7.4390526	5.4232936	29.308437	0.5312379	7.43904	5.4232554	29.410666	0.5201235	-7.4478273	0.008080195	668.2313327789307
14	248.90826	330.94977	821.66156	37.151646	96.0836	36.45789	161.1567	25.69562	1000.0	1000.0	55999	7.2849193	5.1495824	27.057583	0.18372294	7.2849274	5.149577	27.194656	0.05875373	-7.3053875	0.0077019013	719.6345489025116
15	69.62817	10.79377	79.91964	52.682125	81.92007	92.58893	338.5911	3.4367566	1000.0	1000.0	59999	7.2875338	4.961863	27.043146	0.06505382	7.28756	4.9614635	26.457691	0.09704608	-7.3034596	0.0125347525	770.782505273819
16	128.14143	25.543917	171.63554	108.337776	72.57127	26.877129	114.94262	22.845675	1000.0	1000.0	63999	7.4137077	5.0149856	26.794401	0.05107653	7.413729	5.014742	26.917986	0.12840512	-7.440519	0.01675897	821.7101547718048
17	74.19067	16.355839	88.2898	48.33457	64.67065	31.785774	107.95887	14.168155	1000.0	1000.0	67999	7.3980513	5.1198254	26.494102	-0.005267024	7.398074	5.1198444	27.395533	0.044445574	-7.436945	0.020463822	872.9282500743866
18	73.818565	29.58075	117.08062	37.771206	74.00267	27.028065	118.10639	28.929348	1000.0	1000.0	71999	7.4302363	5.406053	29.04533	-0.58959454	7.4302173	5.40615	28.920525	-0.51923615	-7.4607735	0.029325237	924.1461524963379
19	280.16287	400.8356	973.51514	26.544615	114.8786	220.8557	771.83765	4.084262	1000.0	1000.0	75999	7.413238	5.7181907	32.70543	-0.7922102	7.4132566	5.7180257	32.772476	-0.76084286	-7.4384303	0.03575953	975.3531663417816
20	58.32434	30.463552	100.06229	15.828128	84.465126	43.672344	167.1768	10.228113	1000.0	1000.0	79999	7.478318	6.14903	35.787117	-0.76356214	7.4783163	6.148862	37.041405	-0.6850649	-7.5200987	0.033832688	1026.8572795391083
21	81.84871	45.449207	120.94499	6.3727856	81.21153	29.845888	124.76764	30.218092	1000.0	1000.0	83999	7.316625	6.4523687	38.87519	-1.444941	7.316618	6.4526563	38.412636	-1.0397038	-7.345688	0.04121795	1078.404575586319
22	72.98108	34.535866	108.904305	17.818443	51.923195	24.667652	80.92032	8.655346	1000.0	1000.0	87999	7.369301	6.7161813	40.842365	-1.1492277	7.3693213	6.7161746	43.728424	-1.0804548	-7.3897433	0.04234598	1129.3195016384125
23	81.168335	13.044434	102.92698	69.47417	136.35532	156.34863	496.15146	13.844086	1000.0	1000.0	91999	7.3177342	6.871904	45.70487	-1.0645895	7.3177023	6.8717566	48.00996	-1.0745012	-7.3384223	0.052616637	1180.4462983608246
24	65.14043	39.932537	119.21456	15.671521	47.8803	27.030483	112.82296	19.982597	1000.0	1000.0	95999	7.304812	7.056953	45.909065	-1.0776005	7.30481	7.0570436	46.07982	-0.99684376	-7.3349295	0.044910055	1231.4777867794037
25	58.132202	26.708916	102.35505	30.853146	56.32356	54.380352	194.69876	3.701152	1000.0	1000.0	99999	7.1539435	7.1767645	49.277763	-1.2829782	7.1539273	7.1768465	51.851955	-1.3251941	-7.15965	0.045960367	1282.6307973861694
26	56.538574	39.4571	106.87947	5.439661	56.598198	31.720133	122.38484	12.380008	1000.0	1000.0	103999	7.099756	7.305789	52.38384	-1.3510923	7.0998454	7.306207	51.578735	-1.3448594	-7.116278	0.051951975	1333.7034962177277
