Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	0.8060459	1.4341224	4.012869	0.0	1000.0	1000.0	3999	0.20497575	0.19617586	1.0921152	-1.4930297	0.20497271	0.1963101	1.1558287	-1.7129701	-0.2801269	0.003881009	39.97554874420166
2	0.22917369	0.3969405	0.91669476	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	7999	0.5800707	0.24761596	2.0288637	-0.15465873	0.5800807	0.24759892	1.9725413	-0.1565344	-0.6515856	0.0014917803	83.90081286430359
3	0.0	0.0	0.0	0.0	0.96000034	1.9530497	5.6000032	0.0	1000.0	1000.0	11999	1.099061	0.19973473	2.138554	0.29397225	1.0990679	0.19968335	2.5448432	0.25248343	-1.1532617	0.0013128539	130.1585352420807
4	0.40461323	0.7008107	1.6184529	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	15999	0.9278863	0.17564712	2.3853507	0.32958788	0.92788565	0.17565817	2.7347734	0.3536423	-0.9171147	0.0004986533	178.19322419166565
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	0.7435649	0.09696279	2.6537495	0.3905667	0.7435623	0.09691413	2.351972	0.33788458	-0.74088675	0.00031440886	226.04811143875122
6	0.0	0.0	0.0	0.0	0.4800002	1.4400007	4.800002	0.0	1000.0	1000.0	23999	0.62615174	0.0923243	2.7110863	0.394996	0.62614936	0.09231815	2.5895107	0.39918503	-0.6275395	0.00019238495	273.74241161346436
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	27999	0.5673704	0.091845006	2.5422451	0.29994273	0.5673718	0.0918465	2.3089838	0.3146106	-0.56727886	0.00013535359	321.49278712272644
8	1.0171263	1.7617145	4.0685053	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	31999	0.5180627	0.09635403	3.3484092	0.2910601	0.5180603	0.09635164	3.0722911	0.31654114	-0.5194563	0.00014247143	369.4555194377899
9	0.0	0.0	0.0	0.0	0.5600003	1.1341964	3.2000005	0.0	1000.0	1000.0	35999	0.47852767	0.10209338	2.9597297	0.13123047	0.47852507	0.102077976	2.991465	0.14001937	-0.4797029	0.00026934856	417.35540318489075
10	3.4624271	2.3414977	6.554029	0.0	0.4000143	1.2000428	4.000143	0.0	1000.0	1000.0	39999	0.43400547	0.12089151	4.7900476	0.042213053	0.43398777	0.12088251	5.002342	0.08901313	-0.43845287	0.00083911786	465.17546677589417
