Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	1.0798697	0.6540374	1.9282998	0.27045637	0.86732805	0.3866334	1.4930695	0.19660173	1000.0	1000.0	3999	1.10662	0.7456451	6.1983843	-7.307261	1.1071055	0.7427035	4.2599006	-6.254458	-1.6721767	0.14341351	46.44195342063904
2	0.9362123	0.4404357	1.5705186	0.401826	0.5264471	0.3749397	1.4714459	0.093159705	1000.0	1000.0	7999	3.5302775	1.0510478	7.5756536	0.85373014	3.5306122	1.0502692	7.638883	0.75702405	-4.1870227	0.051472403	99.34128284454346
3	0.958974	0.60757095	1.6366893	0.13228133	0.5844466	0.31711903	1.3257029	0.11218971	1000.0	1000.0	11999	8.874353	1.9087741	14.797387	4.000164	8.874685	1.9082942	14.538908	3.7797258	-10.001278	0.123593666	154.63417148590088
4	0.9037432	0.5933725	1.5796992	0.10011909	0.4876338	0.29402077	1.0824995	0.051121615	1000.0	1000.0	15999	11.416853	0.8859222	15.426245	9.037092	11.416878	0.8859977	15.122	8.995113	-11.841147	0.084435515	212.10176134109497
5	0.59495306	0.13770688	0.78032196	0.40652743	0.75716573	0.3281181	1.4165204	0.42276803	1000.0	1000.0	19999	11.336319	0.4501969	13.506233	9.058763	11.336335	0.45072502	13.632563	8.921035	-11.58293	0.028393844	268.9484293460846
6	0.7148378	0.41710934	1.266766	0.24450646	0.99866456	0.3056589	1.6109742	0.45864818	1000.0	1000.0	23999	10.7498	0.42897084	12.78918	9.663148	10.749769	0.42927727	12.854488	9.538635	-10.793641	0.0067586605	325.84404587745667
7	0.6459857	0.454993	1.1406794	0.124626055	0.46889886	0.29892957	1.2047727	0.18972471	1000.0	1000.0	27999	9.715434	0.29709983	11.170616	8.643169	9.715418	0.29736418	11.220961	8.521074	-9.741643	0.002486709	383.33976793289185
8	0.8838073	0.2409236	1.2546906	0.6001555	0.7522949	0.21945027	1.12833	0.4091944	1000.0	1000.0	31999	8.828844	0.2835705	10.433465	8.004205	8.828835	0.28364027	10.549051	8.113357	-8.839258	0.001244693	440.5215575695038
9	0.22753474	0.123080075	0.4090762	0.087704584	0.6930567	0.32417563	1.4056244	0.2509572	1000.0	1000.0	35999	7.970665	0.2437678	9.488847	7.288926	7.9706454	0.2440565	9.675149	6.603489	-7.9754896	0.0007382754	497.52084374427795
10	0.4906668	0.18192095	0.73285085	0.24649967	0.69624317	0.24317156	1.2189996	0.24054909	1000.0	1000.0	39999	7.202747	0.21967374	8.489241	6.651784	7.202753	0.21964769	8.559011	6.679595	-7.2053084	0.00031823842	554.8333146572113
11	0.8531599	0.41733158	1.2832379	0.1639989	0.5366024	0.30810365	1.2282652	0.024654135	1000.0	1000.0	43999	6.51201	0.19735025	8.2362995	5.7962246	6.5120125	0.1973022	7.777237	5.9469247	-6.5133376	0.0003784064	611.8221213817596
12	0.33221653	0.17475547	0.5524176	0.08263478	0.29826137	0.27425736	0.87897724	0.011983493	1000.0	1000.0	47999	5.886963	0.17822576	7.230705	5.3976116	5.88696	0.17827488	7.215418	5.2028794	-5.888378	0.0002472572	668.7077476978302
13	0.34799197	0.19268027	0.6071752	0.10906154	0.94197786	0.53893185	1.6502169	0.1644469	1000.0	1000.0	51999	5.323591	0.16093548	6.493741	4.829171	5.3235927	0.16095619	6.5448694	4.9562263	-5.325016	0.00016455668	726.0612864494324
14	0.73745936	0.3917018	1.2958858	0.35989767	0.61144036	0.3113509	1.12525	0.22787265	1000.0	1000.0	55999	4.811406	0.1466685	6.0026355	4.4819717	4.811406	0.14669271	6.0979514	4.4757695	-4.8120527	0.00014712778	782.8864307403564
15	0.80930567	0.32588622	1.1667984	0.29447907	0.7946649	0.45522302	1.5721786	0.19490471	1000.0	1000.0	59999	4.348577	0.13548172	5.511387	4.000354	4.3485765	0.13549852	5.4586535	4.009913	-4.3499265	0.00017665394	840.0851449966431
16	0.91699785	0.2898884	1.3851569	0.6554429	0.68212813	0.41041183	1.5816375	0.1002947	1000.0	1000.0	63999	3.926767	0.122622445	5.143597	3.650277	3.926766	0.1226325	5.108172	3.6382766	-3.9283457	0.00015617679	897.3826026916504
17	1.0310036	0.5326073	1.4172946	0.11733162	0.63139546	0.40346152	1.2570264	0.027923357	1000.0	1000.0	67999	3.5515232	0.11295312	4.7665763	3.3119636	3.5515234	0.11294126	4.723679	3.2931225	-3.5535762	0.00016078741	954.3426837921143
18	0.27127713	0.19061868	0.5013787	0.051616263	0.7796431	0.34536263	1.3076937	0.064267546	1000.0	1000.0	71999	3.2081454	0.10665142	4.445692	2.9525816	3.2081437	0.106652334	4.511498	2.940834	-3.209779	0.00018455392	1011.382764339447
19	0.5264631	0.50876963	1.3905337	0.12493124	0.68243974	0.3520427	1.3330051	0.20137024	1000.0	1000.0	75999	2.8938682	0.10009899	4.2818575	2.6731277	2.8938706	0.10009322	4.486222	2.6751125	-2.8948834	0.00018397275	1068.4594793319702
20	0.59567016	0.46182552	1.3748394	0.1849306	0.6725219	0.34006166	1.1625718	0.21434774	1000.0	1000.0	79999	2.609922	0.09024246	4.0780373	2.3902464	2.6099207	0.090239875	3.978953	2.3951354	-2.611543	0.00015270393	1125.9482882022858
21	1.0422792	0.29342842	1.3959334	0.66209954	0.8132679	0.48665962	1.3990053	0.01604076	1000.0	1000.0	83999	2.3559637	0.08356751	3.6737132	2.153542	2.3559642	0.08355505	3.6716	2.1409993	-2.357981	0.00014968646	1183.2159821987152
22	0.59319514	0.34520352	0.9629964	0.14336596	0.7441375	0.48023745	1.5523498	0.016425623	1000.0	1000.0	87999	2.1278028	0.078712925	3.601666	1.9205174	2.127803	0.07867551	3.5350199	1.902689	-2.1298301	0.00015947127	1240.2089676856995
23	1.0942476	0.42900693	1.512622	0.39034963	0.5487214	0.34593275	1.20306	0.039376084	1000.0	1000.0	91999	1.9206917	0.07431715	3.3722806	1.7291937	1.9206923	0.07429142	3.2512612	1.7294796	-1.9225302	0.00014137944	1297.6918926239014
24	0.3402065	0.13652316	0.5625598	0.19173503	0.5851211	0.43309838	1.430759	0.039393276	1000.0	1000.0	95999	1.7342262	0.07036432	3.1826363	1.5297539	1.7342288	0.070362754	3.1553612	1.5292124	-1.7359434	0.00014346583	1354.7588715553284
25	0.98273695	0.40583804	1.5427916	0.41516292	0.5570661	0.4836171	1.4613464	0.03581015	1000.0	1000.0	99999	1.5636791	0.06759057	2.9225035	1.3405757	1.5636798	0.06759696	2.952932	1.3607025	-1.5653929	0.00014499685	1411.8146514892578
26	0.8100215	0.43810573	1.2721868	0.1508783	0.63484734	0.49667072	1.4062101	0.07849761	1000.0	1000.0	103999	1.4099485	0.0666282	2.793548	1.1571727	1.4099511	0.06662832	2.8766372	1.182883	-1.4111845	0.00014897442	1469.0075600147247
27	0.3422897	0.28780034	0.7496328	0.057627525	0.74388564	0.46534625	1.4570247	0.108483694	1000.0	1000.0	107999	1.2687516	0.06519616	2.7028713	0.98675525	1.2687595	0.06519063	2.6024885	1.0092003	-1.269791	0.00015116433	1526.1357207298279
28	0.4294992	0.29431045	0.88277346	0.05917291	0.70868564	0.5225416	1.7138348	0.07342212	1000.0	1000.0	111999	1.1411546	0.0634175	2.4999683	0.85860324	1.1411611	0.063391075	2.5917392	0.8633354	-1.1418393	0.0001508145	1583.0596210956573
29	0.96420693	0.49625754	1.6295873	0.4133312	0.69759536	0.3768638	1.5187879	0.10074571	1000.0	1000.0	115999	1.0261657	0.060442585	2.4117079	0.77139133	1.0261708	0.060429446	2.4242806	0.7646812	-1.0266267	0.0001411871	1640.3424997329712
30	0.6198436	0.42548892	1.3133312	0.1774113	0.8040446	0.46337608	1.6813402	0.11852425	1000.0	1000.0	119999	0.9248279	0.057887014	2.3955657	0.7079696	0.9248367	0.057899922	2.3291893	0.6977005	-0.9253319	0.00014568931	1697.507560491562
