Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	3.912458	3.214846	7.7609277	0.06165201	4.2495337	1.3620325	5.8046455	1.6192268	1000.0	1000.0	3999	0.4464743	0.7600061	4.965585	-9.045573	0.44623536	0.7604756	4.757485	-11.392553	-0.8513095	0.20747426	48.183594703674316
2	8.007343	1.6519731	10.236303	5.6621385	5.0694537	2.0120926	8.316869	1.30205	1000.0	1000.0	7999	1.5077608	0.6252238	8.369251	-0.4247644	1.50781	0.6263808	8.436185	-0.34374675	-1.8102864	0.026666915	101.31051707267761
3	4.1946373	3.0083709	8.442418	0.3503955	4.798683	2.2886293	7.988012	1.9789796	1000.0	1000.0	11999	3.2632813	0.83678496	12.497199	1.1083566	3.263317	0.8369669	12.33061	1.0383806	-3.5891488	0.027152836	158.06124258041382
4	3.6261349	2.7286725	8.189919	0.9526884	4.0675106	2.2613034	8.449221	0.7907103	1000.0	1000.0	15999	4.7572284	0.6990606	12.720624	2.9280076	4.7572355	0.6991	12.943255	3.0041246	-4.97554	0.020164695	214.78712821006775
5	5.670871	2.868718	8.348551	1.5241756	5.6566133	2.9289157	9.828426	1.1084062	1000.0	1000.0	19999	4.951174	0.65613157	12.616545	3.4328566	4.9511776	0.65603095	12.487136	3.4738944	-5.061006	0.013804575	272.10354924201965
6	4.932336	2.11257	6.742388	1.3879111	3.8274453	2.6106749	7.968513	0.062604584	1000.0	1000.0	23999	4.5320344	0.7507641	12.994083	3.042746	4.5320773	0.7506798	12.544854	3.0491881	-4.596264	0.012519855	328.47995018959045
7	4.6787176	2.8797011	7.8341217	0.91954815	4.750197	2.6138687	8.724682	0.29826835	1000.0	1000.0	27999	3.9769976	0.7734482	12.326094	2.389818	3.9770238	0.7734491	12.609781	2.5416923	-4.0221853	0.010718999	384.96956515312195
8	5.236473	2.08868	8.48991	2.6697214	4.119935	1.8837935	7.4078474	1.1810514	1000.0	1000.0	31999	3.4016964	0.6623243	11.741293	1.9557067	3.4017015	0.6622619	11.72874	2.1825264	-3.423266	0.008376307	441.4788112640381
9	5.769163	2.9843564	9.181946	1.2064673	4.6884003	2.4519198	8.003531	0.6195679	1000.0	1000.0	35999	3.037774	0.63839054	11.511334	1.572982	3.0378013	0.63849986	11.259179	1.7052689	-3.125498	0.01032822	497.14351654052734
10	6.8369546	2.2034492	9.02054	3.2824633	3.7886708	2.6866295	8.695774	0.96525526	1000.0	1000.0	39999	3.7653694	0.8388118	12.755957	2.0226095	3.765365	0.838928	12.663821	1.8864367	-3.970668	0.016970245	552.9677395820618
11	4.928134	1.0393094	6.5604925	3.7752736	6.7836924	2.0706751	9.971862	3.4208822	1000.0	1000.0	43999	4.445413	0.7798362	12.855242	2.270688	4.4454308	0.77983236	13.304428	2.1284237	-4.5635967	0.014036425	608.6924657821655
12	2.34225	0.9162401	3.6935506	1.1424967	6.111962	2.555152	9.085627	1.1716982	1000.0	1000.0	47999	4.040129	0.7401349	11.526243	1.9601264	4.0401525	0.7400632	11.277346	1.9751277	-4.0985837	0.008568449	663.9945273399353
13	4.258986	1.9400189	6.88358	1.9040931	3.6973586	2.522347	9.249341	0.9423438	1000.0	1000.0	51999	3.6262696	0.6986426	11.437516	1.5031241	3.6262689	0.69871986	11.21923	1.6287693	-3.6649334	0.0067374776	720.0112626552582
14	2.0226479	0.9044609	3.1738462	0.6438322	4.844537	2.3167253	8.406792	1.2186747	1000.0	1000.0	55999	3.2238402	0.6558327	10.047633	1.5650595	3.2238352	0.65591806	10.229701	1.4342803	-3.2442644	0.005467201	775.6388082504272
15	4.134528	1.8206048	6.2363358	2.2224796	3.3320813	1.7939562	6.636875	0.41674224	1000.0	1000.0	59999	2.8075168	0.6109176	8.780901	1.2578524	2.8075044	0.6109734	8.780424	1.2916459	-2.835092	0.004799042	831.624363899231
