Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	6.6	19.800001	66.0	0.0	1000.0	1000.0	3999	-0.17617217	0.12859254	0.05658252	-1.0123972	-0.17617506	0.12855928	0.024694992	-1.0253987	0.17219527	0.00015497328	32.70223259925842
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	7999	-0.130696	0.09443567	-0.024693253	-0.7335775	-0.13069473	0.094427325	-0.026747383	-0.7155043	0.12938279	2.5661442e-05	70.2829601764679
3	2.0	3.4641016	8.0	0.0	16.9	25.824213	58.0	0.0	1000.0	1000.0	11999	-0.10050749	0.082710214	3.9893603	-0.6062742	-0.10051303	0.082620844	3.6929097	-0.6325646	0.09937308	0.00034498514	110.86457538604736
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	15999	-0.078853205	0.19057728	9.149878	-0.8560693	-0.07885391	0.1905173	8.845741	-0.68962485	0.077727064	0.0010004179	153.5604076385498
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	-0.059814032	0.29545045	11.613395	-0.4904	-0.05981177	0.29542786	11.43713	-0.49668324	0.058272127	0.0009138923	196.4343421459198
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	23999	-0.046373807	0.36084732	13.36687	-0.33020115	-0.046370633	0.36096916	13.454355	-0.35347128	0.04497675	0.0013447668	238.87634134292603
7	16.25	22.25281	54.0	0.0	7.1	21.300001	71.0	0.0	1000.0	1000.0	27999	0.023775965	0.96626395	23.162872	-0.47438675	0.023825107	0.96631765	23.314426	-0.3993419	-0.025620373	0.0047302996	281.5856444835663
8	0.0	0.0	0.0	0.0	13.4	26.982214	74.0	0.0	1000.0	1000.0	31999	0.37275684	2.4435825	22.856512	-0.85565275	0.37276942	2.4435391	22.917562	-0.84854996	-0.37175587	0.007017606	324.2497229576111
9	15.75	27.2798	63.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	35999	0.34797737	2.1714242	20.551277	-1.0888591	0.3479323	2.1711433	20.24767	-1.1303465	-0.35572404	0.009042745	367.08155965805054
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	39999	0.495522	2.413407	16.93562	-1.1778129	0.4955605	2.4131758	17.006836	-1.1742204	-0.5077771	0.007803682	410.033145904541
11	0.0	0.0	0.0	0.0	0.2	0.59999996	2.0	0.0	1000.0	1000.0	43999	0.31858578	1.9070365	16.636745	-1.365558	0.3186504	1.9070188	16.505526	-1.2026439	-0.33420715	0.005980388	452.8984811306
12	8.0	11.157957	27.0	0.0	2.5	7.5	25.0	0.0	1000.0	1000.0	47999	0.16444324	1.4366571	18.893484	-1.7666042	0.16439721	1.4364781	19.202349	-1.467674	-0.16842045	0.007745304	495.7537682056427
13	5.5	9.526279	22.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	51999	0.049501054	0.9533661	25.950212	-1.8730559	0.049432248	0.9530878	26.261782	-1.7504569	-0.057566013	0.009615563	538.7671358585358
14	0.0	0.0	0.0	0.0	18.6	25.702919	59.0	0.0	1000.0	1000.0	55999	-0.012227629	0.8051036	25.176422	-1.8148636	-0.012285408	0.80449355	25.243948	-1.6783116	0.011136753	0.008920217	581.6272361278534
15	16.5	28.578838	66.0	0.0	33.2	27.1691	59.0	0.0	1000.0	1000.0	59999	-0.046674147	0.677786	25.980587	-1.8132535	-0.046670616	0.6774259	25.633047	-1.8468554	0.045430146	0.010176826	625.4630694389343
16	131.5	191.05038	459.0	0.0	210.0	364.39236	944.0	0.0	1000.0	1000.0	63999	0.2271334	1.9667032	29.202763	-1.9999285	0.22712837	1.9663996	28.84381	-2.0741036	-0.23829255	0.018524189	668.4907937049866
17	203.0	320.09216	756.0	0.0	117.9	292.47305	988.0	0.0	1000.0	1000.0	67999	0.526807	3.6174698	36.94263	-2.1022973	0.52682245	3.617005	36.830624	-2.31529	-0.54141724	0.016868325	711.6751675605774
18	716.5	414.57477	1000.0	0.0	286.2	414.5057	1000.0	0.0	1000.0	1000.0	71999	1.8926886	8.087149	43.660744	-2.4887552	1.8926775	8.087193	43.972195	-3.0099676	-1.8998266	0.023944926	754.813441991806
19	898.25	105.65598	1000.0	721.0	287.9	440.0519	1000.0	0.0	1000.0	1000.0	75999	3.8792033	12.400731	49.28833	-4.6787767	3.8792062	12.400621	49.29087	-5.088101	-3.9336226	0.037519425	797.8647086620331
20	0.0	0.0	0.0	0.0	193.7	387.65604	1000.0	0.0	1000.0	1000.0	79999	5.291519	15.215509	54.167316	-6.7210326	5.291523	15.215128	54.34318	-6.7410927	-5.261359	0.078227095	840.9897520542145
