Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	2.836007	8.50802	28.360071	0.0	1000.0	1000.0	3999	-0.016343264	0.005493554	0.1251177	-0.11293924	-0.016342267	0.005469412	0.077564105	-0.17480913	0.015318881	5.511733e-05	29.869252681732178
2	9.621673e-16	1.6665227e-15	3.848669e-15	0.0	0.678198	2.034594	6.78198	0.0	1000.0	1000.0	7999	-0.014193444	0.0037501182	0.009183629	-0.03325469	-0.01419395	0.003745119	0.0014919611	-0.028184175	0.013603305	2.1239753e-06	62.622967004776
3	2.9781095e-26	0.0	1.1912438e-25	0.0	8.810705e-05	0.00026432116	0.0008810705	0.0	1000.0	1000.0	11999	-0.013770382	0.0030449207	-0.0066960827	-0.022455985	-0.0137701975	0.0030428395	-0.007132709	-0.023084765	0.013486427	4.4482783e-07	97.30784726142883
4	6.47989e-05	0.000112234986	0.0002591956	0.0	1.2335158e-05	3.7005477e-05	0.00012335158	0.0	1000.0	1000.0	15999	-0.012532801	0.0023423333	-0.0085080415	-0.019475771	-0.012532757	0.0023431885	-0.008862576	-0.019537155	0.012452184	8.154754e-08	132.07746529579163
5	2.5692945e-33	0.0	1.0277178e-32	0.0	4.7719603	14.315859	47.719536	0.0	1000.0	1000.0	19999	-0.011220702	0.0020285842	-0.008168278	-0.017304795	-0.011220733	0.0020290695	-0.008081408	-0.01737896	0.011164274	2.0876355e-08	168.48976349830627
6	0.0	0.0	0.0	0.0	6.713757e-07	2.014127e-06	6.713757e-06	0.0	1000.0	1000.0	23999	-0.009865869	0.0018583456	-0.007428696	-0.015585015	-0.009865886	0.0018584895	-0.00741674	-0.01566218	0.009825361	7.669031e-09	205.64776015281677
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	27999	-0.008762961	0.0016450443	-0.0067358282	-0.014951482	-0.008762951	0.0016450654	-0.006738798	-0.014866697	0.008741376	4.2615538e-09	238.20131158828735
8	3.9965262e-26	0.0	1.5986105e-25	0.0	2.3934479	7.1803436	23.934479	0.0	1000.0	1000.0	31999	-0.007806347	0.0014396951	-0.0061984286	-0.013804076	-0.007806355	0.0014396933	-0.0061353124	-0.013861537	0.0077923024	3.092576e-09	270.6142416000366
9	1.9454284e-35	0.0	7.7817135e-35	0.0	2.6380048	7.914014	26.380047	0.0	1000.0	1000.0	35999	-0.0070058056	0.0012728205	-0.005642699	-0.012146253	-0.0070058	0.0012728086	-0.005659359	-0.012154171	0.0069931117	2.6633933e-09	302.62094354629517
10	0.5385158	0.93273675	2.1540632	0.0	0.00012084487	0.00036253463	0.0012084487	0.0	1000.0	1000.0	39999	-0.0062219533	0.0011229867	0.0058582006	-0.010774178	-0.006221966	0.0011175436	-0.00021648454	-0.01081283	0.0061734836	3.8476992e-07	335.8719816207886
11	0.0007846613	0.0013556568	0.003132724	0.0	4.2154384	11.778667	39.47238	0.0	1000.0	1000.0	43999	-0.005110038	0.0032652742	0.11624018	-0.0136774555	-0.0051101227	0.0032486974	0.119258866	-0.013757997	0.005007283	1.5920743e-06	368.3237736225128
12	5.3600645	9.283904	21.440258	0.0	5.644479e-07	1.6933436e-06	5.6444787e-06	0.0	1000.0	1000.0	47999	-0.0043840837	0.011557983	0.8318844	-0.018398724	-0.0043853526	0.011510362	0.7962016	-0.022884209	0.0041233837	5.793621e-05	400.17680621147156
13	0.29114136	0.5042716	1.1645654	0.0	3.9480863e-09	1.184426e-08	3.9480863e-08	0.0	1000.0	1000.0	51999	-0.0044287783	0.08285298	2.9491673	-0.029046478	-0.004430567	0.08234544	2.9161675	-0.031121388	0.0019842729	0.0002664149	434.6040153503418
14	2.7749743e-30	0.0	1.1099897e-29	0.0	1.5295822e-07	4.5887464e-07	1.5295822e-06	0.0	1000.0	1000.0	55999	-0.0043581137	0.15162168	4.8776813	-0.050774902	-0.004360436	0.15110677	4.795166	-0.05022625	0.0014066792	0.00040782493	466.9183168411255
15	0.0	0.0	0.0	0.0	1.6052106e-33	0.0	1.6049406e-32	0.0	1000.0	1000.0	59999	-0.0031326504	0.21589714	6.6214237	-0.08106342	-0.0031318166	0.21553439	6.6654778	-0.08012506	0.00031111145	0.0005527041	501.42279744148254
16	0.0	0.0	0.0	0.0	0.80462044	2.4138615	8.046205	0.0	1000.0	1000.0	63999	-0.0023210442	0.2649331	8.256135	-0.107602865	-0.0023179224	0.2646986	8.352879	-0.110491246	-0.0004915003	0.00066521706	534.2302763462067
17	0.0	0.0	0.0	0.0	2.7143477e-07	7.4088564e-07	2.4845697e-06	0.0	1000.0	1000.0	67999	0.0013693933	0.3306833	9.894127	-0.11548557	0.0013667829	0.3306751	9.885271	-0.1185873	-0.0068136635	0.00086814427	567.6334104537964
18	0.0	0.0	0.0	0.0	3.7883122	7.595322	20.132532	0.0	1000.0	1000.0	71999	0.0014040871	0.39849874	10.839762	-0.12291378	0.0014051172	0.39847305	11.307666	-0.122856244	-0.007234842	0.0008107879	600.9161672592163
