Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	253.15186	244.69064	498.293	3.6860785	31.572247	8.8329525	46.92019	12.774343	1000.0	1000.0	3999	-0.858534	0.855762	42.138447	-92.17359	-0.85840106	0.84169835	17.486658	-57.885475	0.685713	0.2517344	47.93962478637695
2	128.8151	211.77647	495.57275	2.3627238	49.993256	37.77904	136.78258	17.267033	1000.0	1000.0	7999	1.173836	2.5222328	8.8769	-11.997679	1.1739554	2.5224519	10.979578	-16.091415	-1.3613908	0.031028034	102.78219628334045
3	256.83008	241.13504	498.62177	6.771112	77.74359	123.860374	448.9053	30.600294	1000.0	1000.0	11999	4.9995894	5.385645	16.971846	-3.5122995	4.999712	5.3855987	16.97385	-1.715308	-5.3683147	0.05186045	250.64427709579468
4	30.50763	13.487352	49.379303	12.602032	78.18655	92.10851	264.12494	25.477507	1000.0	1000.0	15999	7.0274477	7.796856	23.294113	-0.035886467	7.0273557	7.7969813	23.366045	0.17522691	-7.324837	0.066827	401.3587989807129
5	105.8825	83.266846	248.41235	38.943996	153.19482	169.32948	481.78204	35.986862	1000.0	1000.0	19999	7.9963074	9.941917	27.471426	0.5369351	7.9961133	9.94208	27.797352	0.0542531	-8.141809	0.09888316	475.08632612228394
6	168.68631	129.19817	334.054	19.220032	237.32747	112.160645	436.6048	55.44229	1000.0	1000.0	23999	7.9963694	10.706643	29.958834	0.508533	7.996094	10.706873	30.206085	0.59958565	-8.09554	0.10603346	534.3061220645905
7	81.78238	26.161306	118.53759	46.012997	95.17662	89.81399	276.2661	20.926188	1000.0	1000.0	27999	8.270399	11.008802	44.55917	0.10071099	8.270234	11.009191	32.72603	0.4981014	-8.382932	0.15418239	641.9274835586548
8	179.2637	83.374435	293.63315	78.42122	306.3461	9.2232895	327.63986	298.7353	1000.0	1000.0	31999	8.799229	12.047151	36.3082	0.4488177	8.799014	12.047373	36.687202	0.47674283	-8.9116335	0.21726348	700.3492512702942
9	210.15526	93.66475	330.7275	87.69529	333.19043	76.81726	425.55676	159.02191	1000.0	1000.0	35999	9.898895	12.771867	39.227703	-1.0562606	9.899	12.771793	40.407787	0.037959576	-10.081978	0.31842107	757.2064373493195
10	285.5552	141.71379	424.52457	95.77573	351.15887	145.47597	466.53976	5.254408	1000.0	1000.0	39999	11.1095085	13.9373	53.34187	0.3112409	11.109613	13.937568	41.888634	0.42136908	-11.33798	0.4412639	814.0377185344696
