Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	255.40407	429.822	999.871	5.743892	30.032934	28.276232	89.47137	5.995578	1000.0	1000.0	3999	3.5491543	2.3820512	11.7390785	-0.2772552	3.5491767	2.3820367	11.723906	-0.21254453	-4.1220884	0.01984888	48.12015771865845
2	226.52711	359.03186	848.2604	7.4837704	65.17101	81.327934	276.65213	8.388045	1000.0	1000.0	7999	8.163276	4.8494587	21.831118	1.680244	8.163237	4.8495	21.764153	1.6001297	-8.58773	0.03622304	101.51589441299438
3	14.269749	6.3705215	24.567984	7.112096	171.91684	246.82722	678.9089	3.7934916	1000.0	1000.0	11999	12.204046	5.984011	30.157846	3.8786159	12.204069	5.9840083	30.166832	3.8475158	-12.751525	0.044559404	157.16819858551025
4	34.41735	22.910099	72.460365	14.504973	117.2723	200.88506	605.93835	6.295312	1000.0	1000.0	15999	16.454628	5.9430695	32.14045	7.1923285	16.454632	5.943042	32.12202	7.181245	-16.642555	0.034081947	214.45267963409424
5	271.6497	378.94925	922.24426	6.8334794	176.84018	187.91083	476.46628	6.894252	1000.0	1000.0	19999	17.96264	6.7930775	43.622227	8.48742	17.96269	6.793048	43.59902	8.447127	-18.573452	0.04391036	273.8697335720062
6	260.2481	427.005	999.7146	5.6321597	256.94937	252.92389	860.0751	7.5827374	1000.0	1000.0	23999	23.164173	8.371823	50.239635	9.592869	23.164167	8.371833	50.219296	9.620967	-23.869534	0.061841935	331.70625376701355
7	240.88809	386.35153	909.82477	7.859829	160.70767	278.93915	760.31506	5.7256985	1000.0	1000.0	27999	26.131084	9.862158	57.124992	10.383584	26.131105	9.862122	57.036453	10.279868	-26.662754	0.07918835	389.04885244369507
8	109.68435	163.85141	393.3501	10.091842	162.91554	285.99304	832.2297	6.1428084	1000.0	1000.0	31999	31.501963	11.83836	71.37472	10.440876	31.50195	11.838431	71.33077	10.353198	-32.86337	0.12571041	447.49780344963074
9	413.56586	342.72168	940.7442	12.474528	111.64524	134.24281	427.1779	4.8652735	1000.0	1000.0	35999	38.2305	11.984349	99.12666	15.700583	38.23049	11.984349	99.20462	15.818886	-39.233204	0.1154306	506.06233763694763
10	247.54129	413.42535	963.6087	7.0423245	343.66342	287.317	823.44965	8.290736	1000.0	1000.0	39999	43.98897	14.913108	104.407196	12.089504	43.988995	14.913184	104.32119	11.933571	-45.541176	0.15045652	564.2451658248901
11	114.62178	131.66386	340.13507	9.849435	228.69685	240.74658	690.3304	9.578898	1000.0	1000.0	43999	50.833786	16.471184	109.55715	13.876764	50.833744	16.471329	109.942245	13.370388	-52.37087	0.17877893	622.575385093689
12	308.26923	299.68723	636.183	4.224318	304.1009	361.2738	992.875	7.1086845	1000.0	1000.0	47999	57.401905	17.154829	120.00918	16.581348	57.40191	17.154985	120.531555	16.7133	-58.967297	0.19091351	681.784093618393
13	431.06992	246.55347	605.24567	5.554806	147.0423	275.0766	926.72174	6.739683	1000.0	1000.0	51999	61.212135	16.855883	123.14611	23.180323	61.21218	16.855968	122.98826	23.153316	-62.364796	0.18025026	740.3307194709778
14	17.689955	13.458637	39.213993	4.536511	10.882489	5.1851254	21.685997	4.1780243	1000.0	1000.0	55999	63.56293	17.141064	122.54054	26.642841	63.56288	17.141138	122.765305	27.11766	-64.54123	0.17230222	798.5094020366669
15	203.95444	253.84552	631.5331	11.984582	201.9208	345.0328	972.964	4.9577813	1000.0	1000.0	59999	64.2251	17.739668	122.59738	30.672848	64.22513	17.739887	122.53334	30.760006	-65.12066	0.17644364	857.2853231430054
16	165.55994	257.6802	611.6696	9.158165	97.33883	193.57791	665.8395	10.369185	1000.0	1000.0	63999	63.6481	18.82401	121.38206	30.748209	63.648174	18.824112	121.43404	31.041756	-64.55475	0.18178765	915.8570194244385
17	256.81168	284.70963	730.73645	24.526016	156.02992	243.4768	725.73584	4.812397	1000.0	1000.0	67999	63.230274	20.055288	118.67806	30.279673	63.23021	20.055645	119.06621	30.65607	-63.97032	0.18598889	974.1533873081207
18	42.44528	51.824566	132.04234	7.9643006	66.865295	111.50425	336.54248	3.6227255	1000.0	1000.0	71999	62.08936	20.950228	114.220345	29.592575	62.08937	20.950457	114.03302	29.45423	-62.87684	0.17480876	1032.6644086837769
19	7.4731236	1.2571241	9.0139885	5.7701826	87.58353	196.9548	673.9354	7.311612	1000.0	1000.0	75999	59.97633	21.383097	112.63323	28.5852	59.976326	21.383364	112.50188	28.521841	-60.722015	0.16464831	1091.410949230194
20	15.540106	9.368702	31.301632	7.0798855	84.42677	164.39258	565.4262	4.6611686	1000.0	1000.0	79999	57.40848	22.066793	112.28983	26.164282	57.408455	22.067022	112.389175	26.371853	-58.11639	0.17130172	1149.802520275116
21	10.21458	1.978517	11.827984	6.82693	140.3228	244.06339	784.229	8.982233	1000.0	1000.0	83999	54.80269	22.52644	112.41788	23.386627	54.80275	22.526756	112.398705	23.413715	-55.477657	0.1688859	1208.5169167518616
22	330.77625	373.6919	920.561	5.8728766	99.08919	207.84258	698.78796	4.4404855	1000.0	1000.0	87999	52.532784	23.09355	113.430626	21.7457	52.53279	23.093866	113.18807	21.696836	-53.0765	0.16839248	1266.954401254654
