Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	5.309792	9.18348	21.216038	5.1736566e-12	0.96149033	1.4084458	4.877733	1.11694425e-10	1000.0	1000.0	3999	-0.0094874	0.5431297	12.000902	-2.4023747	0.008075759	0.0011278484	37.584465742111206
2	3.3732321	5.7667766	13.361158	4.7208964e-12	3.012384	5.680447	19.359621	9.284707e-07	1000.0	1000.0	7999	0.09082679	0.99699664	20.902973	-0.7187652	-0.09479411	0.0010266734	80.90479254722595
3	4.546922	7.873845	18.184822	8.463866e-09	2.1197362	3.0370903	10.113874	8.774438e-07	1000.0	1000.0	11999	0.20103271	1.312115	25.255802	-0.43166098	-0.20540914	0.0014908493	126.16559195518494
4	5.673568	9.386914	21.929253	0.00027325054	12.719226	32.88261	110.60953	1.8759133e-11	1000.0	1000.0	15999	0.24731371	1.3307581	25.896048	-0.33011937	-0.25083926	0.0024659582	174.50336575508118
5	16.911167	21.640282	53.511738	0.29984978	13.433443	28.701214	92.60737	2.4139184e-11	1000.0	1000.0	19999	0.3904536	1.4890319	27.322721	-0.5373988	-0.39517167	0.006634553	222.62360429763794
6	3.5883598	4.0877666	10.043054	0.0148168225	24.537302	37.064404	120.80613	0.078680664	1000.0	1000.0	23999	0.51569	1.6375504	31.970541	-1.0512183	-0.5212972	0.011126915	270.1079821586609
7	30.108389	30.587236	69.7279	1.691992e-07	7.346097	11.328251	31.787325	2.1048336e-08	1000.0	1000.0	27999	0.9759228	2.7765186	43.804432	-1.9807246	-0.9883834	0.048228987	318.14500617980957
8	22.971262	17.1794	48.36975	0.09151437	44.76965	46.10611	145.53107	0.06614084	1000.0	1000.0	31999	1.3279808	2.8554218	35.76034	-2.078874	-1.3380098	0.06085255	366.0245349407196
9	27.86362	44.926247	105.58142	0.07573433	55.044605	35.61077	125.38111	0.08553926	1000.0	1000.0	35999	1.594261	2.7471964	34.545746	-2.2954843	-1.607988	0.05424441	413.9667737483978
10	21.863325	34.617905	81.70068	0.057590794	22.98895	30.89761	94.43155	1.2535443e-07	1000.0	1000.0	39999	1.752815	2.7465692	50.236866	-2.5891142	-1.7684801	0.05721615	462.3201243877411
11	22.001091	26.447393	65.2272	0.053963132	48.67978	32.201004	105.17824	6.4688616e-11	1000.0	1000.0	43999	2.0055637	2.9644547	53.654484	-2.6621838	-2.020002	0.069517605	510.07327818870544
12	35.122715	21.720346	58.108986	0.027797738	39.367645	40.96325	116.554306	0.0867523	1000.0	1000.0	47999	2.1740549	3.045462	53.029255	-2.2606404	-2.186161	0.08349272	558.4902057647705
13	38.34223	24.001413	66.06502	0.061489534	28.056183	25.30195	62.146088	2.3441798e-05	1000.0	1000.0	51999	2.3045232	3.1235785	52.5049	-1.237271	-2.3165207	0.088934235	605.8780040740967
14	16.36584	20.401815	50.673683	0.53075594	25.096233	34.32359	112.20915	1.5059309e-05	1000.0	1000.0	55999	2.4348547	3.2290933	60.837486	-1.298918	-2.447379	0.09782234	654.2936913967133
15	65.018555	12.595113	78.12963	48.193928	49.98589	30.634693	96.604576	0.070579134	1000.0	1000.0	59999	2.5843613	3.3463078	53.14705	-1.2385316	-2.5976646	0.11296374	702.2301523685455
16	80.40582	25.061357	119.47541	49.964954	58.56714	42.558743	123.82564	5.934435e-05	1000.0	1000.0	63999	2.8557706	3.5806603	47.41343	-3.9938388	-2.8695939	0.12638663	750.5879640579224
17	61.003418	41.082714	106.584404	0.06453638	49.83048	42.3343	132.9829	0.025214074	1000.0	1000.0	67999	3.111985	3.8285022	52.128086	-4.316325	-3.1248474	0.11848035	798.3871037960052
18	19.169786	32.565166	75.570885	0.00521396	8.160486	11.196106	29.799305	3.811144e-11	1000.0	1000.0	71999	3.239852	3.9806123	51.550396	-3.7336152	-3.2531755	0.12885171	846.7796692848206
19	27.157263	18.07456	44.015358	0.16293184	20.948614	27.640049	66.97362	0.10840806	1000.0	1000.0	75999	3.3418038	4.0622206	50.32137	-2.866451	-3.3545845	0.13339058	894.7973868846893
20	20.944256	29.280523	70.8286	0.00038580952	50.707077	49.768932	141.35959	0.18526012	1000.0	1000.0	79999	3.3972206	4.0365314	45.51689	-2.98221	-3.4137053	0.13195583	943.1909837722778
21	35.422386	24.440542	67.970345	0.5947226	47.50281	49.41768	155.65675	0.414223	1000.0	1000.0	83999	3.6516933	4.113723	46.74029	-2.521093	-3.670329	0.14159372	990.951254606247
22	49.09869	32.705517	84.83753	0.56354696	38.75381	40.202366	125.120155	0.67308956	1000.0	1000.0	87999	3.8227334	4.2094584	48.20763	-2.9696088	-3.8375988	0.15488717	1039.3068342208862
23	40.723633	34.038555	75.76276	0.15213354	28.953274	34.960236	96.84255	0.031149684	1000.0	1000.0	91999	3.9580946	4.3339496	49.20743	-1.9166328	-3.9745386	0.15888253	1087.1921672821045
24	18.436125	20.52119	53.135994	0.012349389	48.181313	41.74841	120.87736	0.00070192636	1000.0	1000.0	95999	4.047713	4.3218102	51.100456	-2.5667555	-4.0652275	0.1650978	1135.8117897510529
25	76.675705	23.182833	111.118904	55.213722	38.12848	38.120365	100.93262	7.1267214e-11	1000.0	1000.0	99999	4.133523	4.3816147	47.529743	-2.504965	-4.1467576	0.16377562	1183.7304666042328
26	54.836704	53.7094	119.01974	5.679572e-10	34.757214	37.645508	109.92381	0.115374066	1000.0	1000.0	103999	4.239734	4.5332284	43.969776	-2.3338163	-4.2548494	0.1729238	1232.4937133789062
27	55.074356	36.078785	108.18484	6.389009	23.850956	44.172474	144.25818	1.574978e-10	1000.0	1000.0	107999	4.2775717	4.550033	44.43443	-3.4811897	-4.2936125	0.17399926	1280.995807647705
28	43.471653	50.91642	127.6374	0.5702887	51.801556	28.108845	94.857704	10.588816	1000.0	1000.0	111999	4.3676176	4.6582327	45.78279	-1.490457	-4.3842907	0.16810285	1329.014811515808
29	61.168762	45.619656	128.38356	1.8954106e-11	24.18993	33.19759	90.341995	1.2800172e-10	1000.0	1000.0	115999	4.502505	4.850562	53.408043	-1.6870935	-4.519758	0.16994068	1377.539878129959
30	40.700012	36.00629	85.37692	0.079602264	22.031805	35.36559	118.79837	1.42153185e-05	1000.0	1000.0	119999	4.617026	4.951174	51.51522	-1.6350085	-4.634684	0.18460654	1425.5061600208282
31	43.697433	50.316895	122.7251	1.0825549e-09	58.983356	54.864067	174.41212	0.0776908	1000.0	1000.0	123999	4.7103515	5.001968	49.799145	-2.9336636	-4.7287235	0.18096894	1474.2701351642609
32	50.459644	31.602573	89.461624	5.0148735	35.324734	27.552704	93.47138	0.17002827	1000.0	1000.0	127999	4.786038	5.076906	51.16536	-2.455699	-4.803716	0.19174026	1522.30020070076
33	40.568405	40.63862	101.07446	1.1311397e-10	52.40635	52.950756	155.61852	0.09573946	1000.0	1000.0	131999	4.791708	5.1750526	50.418037	-2.5025988	-4.806454	0.20040809	1570.3511185646057
34	22.194998	19.773993	52.687943	0.08252113	26.988361	52.767883	182.39952	0.0726716	1000.0	1000.0	135999	4.8188148	5.3080664	50.438015	-2.39914	-4.834542	0.21547002	1619.0868618488312
35	34.569584	28.16009	73.41378	0.051732175	38.415993	33.50491	121.726135	3.9123354	1000.0	1000.0	139999	4.8564444	5.3212237	48.765377	-2.1055524	-4.8744707	0.22336632	1667.3195099830627
36	21.037481	12.007324	34.2776	2.098342	72.604996	58.924156	184.42363	0.07806892	1000.0	1000.0	143999	4.8582654	5.3586407	51.61812	-1.9086301	-4.8744802	0.22486831	1715.7710375785828
37	20.844942	26.630426	65.17326	0.050907265	24.568678	41.850777	141.3351	0.0024644441	1000.0	1000.0	147999	4.853794	5.338013	50.124146	-2.6589625	-4.8709855	0.2169721	1764.4723143577576
38	10.819937	11.274964	26.503395	0.06661357	70.98594	46.20369	141.75394	4.917599	1000.0	1000.0	151999	4.824251	5.321435	47.226727	-2.768605	-4.8426948	0.21507132	1813.2268664836884
39	83.14311	102.76672	255.30382	3.6694088e-09	95.07771	55.823753	175.58961	0.05991806	1000.0	1000.0	155999	4.822078	5.4218726	53.689114	-2.5598803	-4.840264	0.21569122	1861.1663300991058
40	94.85209	21.210999	131.19965	78.641235	50.466805	38.820637	125.51137	9.027685	1000.0	1000.0	159999	4.905778	5.7118006	56.864803	-3.2666605	-4.9253616	0.23235752	1909.86150765419
41	52.434113	54.260124	145.56561	12.842544	45.15424	65.53931	215.38857	1.3182824e-09	1000.0	1000.0	163999	5.05778	5.953709	62.57363	-3.6910536	-5.078093	0.24127169	1958.3932642936707
42	63.74124	10.501137	76.192726	48.493748	43.89239	25.705181	89.79553	13.592952	1000.0	1000.0	167999	5.14654	6.1482277	63.488956	-4.0525613	-5.166528	0.25687432	2006.5805263519287
43	96.248634	46.392242	150.86917	22.77317	88.8785	55.697582	147.36482	5.343552e-11	1000.0	1000.0	171999	5.278704	6.316555	63.461277	-4.3339024	-5.2997704	0.26819104	2055.0495207309723
44	97.06036	89.07981	238.50159	0.34551704	39.311195	34.919422	102.56656	4.9699234e-10	1000.0	1000.0	175999	5.4023123	6.439084	61.129223	-3.7166765	-5.425898	0.29890844	2103.922964334488
45	66.25048	48.191975	135.79337	7.002272e-11	44.933125	50.474133	140.94304	9.268399e-09	1000.0	1000.0	179999	5.562447	6.618096	62.99176	-3.61614	-5.585115	0.30431765	2152.8905165195465
46	48.452206	30.417753	87.14976	3.150451	52.53126	61.71863	186.63498	5.3250165e-08	1000.0	1000.0	183999	5.6856737	6.7186484	66.731476	-6.4061503	-5.709162	0.32721695	2201.14532494545
47	58.681282	97.17519	226.90515	6.928456e-07	47.061726	52.748264	165.01923	5.7624846e-11	1000.0	1000.0	187999	5.8367887	6.8812456	67.10152	-3.3581252	-5.8615913	0.33051643	2250.3593747615814
48	120.59325	78.67805	207.48141	12.601938	53.78142	35.93114	109.101944	9.618477e-11	1000.0	1000.0	191999	5.8360796	7.0049624	69.47569	-4.8829613	-5.8552275	0.32441372	2298.619951725006
