Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	225.5	390.57745	902.0	0.0	391.0	377.23016	987.0	0.0	1000.0	1000.0	3999	4.147463	3.6544259	17.441069	-0.016988007	-4.369567	0.050395995	32.8014018535614
2	234.75	406.59894	939.0	0.0	98.4	295.2	984.0	0.0	1000.0	1000.0	7999	14.462385	9.939143	46.493843	2.0004663	-15.059775	0.12327483	72.30918908119202
3	228.75	396.20663	915.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	11999	29.296185	16.417776	73.224815	9.891007	-30.129927	0.26218337	111.14048767089844
4	11.5	11.842719	27.0	0.0	4.8	10.409612	33.0	0.0	1000.0	1000.0	15999	39.94634	16.82834	93.771164	12.912071	-40.412304	1.3954577	147.68174624443054
5	453.75	453.9187	925.0	0.0	99.4	298.2	994.0	0.0	1000.0	1000.0	19999	45.78878	13.516785	74.40627	26.10434	-46.158962	0.66646457	185.347980260849
6	892.5	77.60316	981.0	802.0	368.1	452.21466	986.0	0.0	1000.0	1000.0	23999	52.55302	16.532652	88.34984	25.880281	-53.15097	0.8588447	222.44162893295288
7	758.0	347.89725	995.0	157.0	965.6	18.456434	994.0	950.0	1000.0	1000.0	27999	67.23427	16.556065	102.23776	28.483467	-68.14416	1.1456124	260.63546085357666
8	587.5	319.1657	861.0	45.0	775.3	166.74834	989.0	555.0	1000.0	1000.0	31999	80.26927	14.8042755	127.55021	41.46229	-81.185356	1.3108555	296.81985235214233
9	423.0	429.83835	954.0	0.0	88.3	264.9	883.0	0.0	1000.0	1000.0	35999	90.91675	18.736279	138.13496	56.065548	-91.73861	1.7672224	333.10365080833435
10	594.5	326.81915	924.0	52.0	794.7	89.69175	866.0	563.0	1000.0	1000.0	39999	98.92792	18.863182	146.91092	63.72607	-99.778465	1.7313247	367.95864248275757
11	913.5	31.228992	943.0	866.0	970.3	15.975293	987.0	942.0	1000.0	1000.0	43999	107.07546	21.31429	161.75267	67.34125	-108.22003	1.6821977	401.57702255249023
12	939.25	55.418297	987.0	845.0	960.9	21.727633	997.0	919.0	1000.0	1000.0	47999	124.03867	31.262953	165.52211	69.403076	-125.210045	2.2771776	434.5964767932892
13	770.0	171.69887	925.0	480.0	904.9	50.650665	958.0	832.0	1000.0	1000.0	51999	134.06177	27.795538	188.98126	76.3068	-135.2287	1.9108657	469.0585472583771
14	963.5	34.5	992.0	907.0	955.0	4.472136	960.0	945.0	1000.0	1000.0	55999	143.61218	24.267683	183.78778	81.17082	-144.77394	1.868127	501.7947943210602
