Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	0.6	1.2	4.0	0.0	1000.0	1000.0	3999	0.12235418	0.09608769	0.49370855	-0.5160947	-0.13455246	9.301431e-05	33.49434423446655
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	7999	0.2598622	0.08383043	0.47889236	-0.10809599	-0.267578	2.256039e-05	71.59588980674744
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	11999	0.29094315	0.06761008	0.48515394	-0.08792784	-0.2935592	8.264944e-06	111.54448080062866
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	15999	0.25942847	0.053095922	0.4198126	0.03204192	-0.26039088	2.6585801e-06	153.40472269058228
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	0.22561575	0.03994427	0.3483582	0.085476644	-0.22614573	1.1462237e-06	195.5619978904724
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	23999	0.18901572	0.03399388	0.29446775	0.06825828	-0.18935898	4.7330758e-07	237.43359470367432
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	27999	0.15681693	0.02939039	0.2491255	0.062350854	-0.15703513	2.4336634e-07	279.1000134944916
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	31999	0.13291967	0.02320154	0.20285743	0.07060454	-0.13318774	1.0092214e-07	322.15109634399414
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	35999	0.11699988	0.017642457	0.16781451	0.06878078	-0.11734083	6.3927466e-08	366.4737536907196
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	39999	0.10366435	0.012304107	0.14979835	0.06563956	-0.10401124	6.601092e-08	410.8275101184845
11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	43999	0.0919924	0.007046641	0.12422838	0.06161847	-0.09232832	4.6060144e-08	455.16772294044495
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	47999	0.08012982	0.00497489	0.09966985	0.056347053	-0.08033586	2.5106141e-08	499.69740104675293
13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	51999	0.06806903	0.0050002867	0.08417174	0.047284663	-0.06816116	1.4075639e-08	543.980694770813
14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	55999	0.057199642	0.0041880244	0.06912275	0.04008319	-0.05730722	9.700422e-09	588.2420570850372
15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	59999	0.04867173	0.0038194149	0.058754306	0.033856932	-0.04876054	8.54117e-09	632.6951580047607
