Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	26.975101	9.052603	41.772274	17.605537	128.81093	15.125404	153.56119	103.53263	1000.0	1000.0	3999	0.3122192	0.2245805	1.8866799	-0.36502865	-0.31787777	0.00031638026	40.56496715545654
2	10.319653	2.1725578	12.668791	7.8358603	137.41403	9.698144	149.04584	117.27824	1000.0	1000.0	7999	0.74472797	0.58971274	5.64858	0.048858553	-0.76383305	0.0002533115	85.51868343353271
3	70.86154	58.032528	131.51239	10.513215	138.46541	8.930258	150.34752	120.88217	1000.0	1000.0	11999	1.7812483	1.7905033	25.199009	0.30659774	-1.8288726	0.0239226	234.79369401931763
4	124.85712	10.965745	135.29169	106.80303	135.4183	6.7117987	145.12305	122.06201	1000.0	1000.0	15999	4.1222806	3.1202362	22.107216	0.89419824	-4.170398	0.033007804	284.1363937854767
5	143.98993	6.1165304	152.97339	138.11853	129.71005	12.399409	142.57419	98.193535	1000.0	1000.0	19999	6.092101	3.294788	19.633654	1.642192	-6.1390886	0.0369896	333.5542824268341
6	138.67651	4.750553	145.1805	132.62816	136.80069	8.149417	147.58968	122.76464	1000.0	1000.0	23999	7.497835	3.173054	17.86139	2.3145995	-7.5315304	0.02809351	382.5989396572113
7	138.6103	12.763399	156.81943	124.5251	136.05997	12.926128	149.30162	101.830605	1000.0	1000.0	27999	8.418768	3.208765	18.73911	3.2097855	-8.440379	0.025491033	431.78102946281433
8	138.25018	5.0757523	145.91765	131.73099	134.88477	7.7583346	148.92503	122.53418	1000.0	1000.0	31999	9.195296	3.283213	21.614744	3.4655719	-9.21825	0.028195566	481.2112112045288
9	137.1842	9.0312605	150.89827	125.61173	130.59543	7.9587283	140.99155	114.21499	1000.0	1000.0	35999	9.95058	3.1804304	23.347885	3.9404843	-9.977237	0.030496074	530.5722219944
10	130.31921	6.3134003	137.77397	123.5944	137.63356	6.9369364	147.88817	126.52436	1000.0	1000.0	39999	10.674652	3.0066705	24.241344	4.441225	-10.701228	0.032513794	579.684939622879
