Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.5	0.8660254	2.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	3999	0.1599047	0.09517879	2.3102086	-1.116973	-0.1856176	0.0009335277	34.33574604988098
2	1.25	2.1650636	5.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	7999	0.39707285	0.11482589	3.156702	0.053275462	-0.414795	0.001376241	73.81003451347351
3	0.0	0.0	0.0	0.0	1.8	2.8565712	7.0	0.0	1000.0	1000.0	11999	0.77730536	0.19485311	4.76365	0.2880053	-0.8055535	0.0009390361	115.3575439453125
4	4.25	4.2646804	9.0	0.0	0.1	0.29999998	1.0	0.0	1000.0	1000.0	15999	0.8654796	0.12453375	8.34822	0.30278152	-0.87136656	0.0015910685	159.00814390182495
5	0.75	1.299038	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	0.9395516	0.3540662	5.3273525	0.22855592	-0.9535244	0.0020423923	202.7093620300293
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	23999	0.607858	0.4513109	5.046316	-0.07659647	-0.5939337	0.0011481869	246.42940163612366
7	0.0	0.0	0.0	0.0	0.1	0.29999998	1.0	0.0	1000.0	1000.0	27999	0.47830358	0.17639524	5.0344415	0.034545183	-0.48171088	0.00081241585	290.1872217655182
8	1.0	1.7320508	4.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	31999	0.4470579	0.18764652	6.9061384	-0.53013307	-0.45043463	0.0015892168	333.9066228866577
9	0.0	0.0	0.0	0.0	0.2	0.59999996	2.0	0.0	1000.0	1000.0	35999	0.3877298	0.2554516	5.203396	-0.06986952	-0.3868825	0.0014187179	377.8087408542633
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	39999	0.655005	0.69690686	6.811729	-0.26171166	-0.69551224	0.0016357747	421.5196523666382
11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	43999	1.7067295	1.2516714	9.672188	0.33091766	-1.7705953	0.0016829803	465.2159469127655
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	47999	2.4484239	0.46199295	9.94809	1.188862	-2.4809124	0.0012595129	508.98665142059326
13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	51999	2.1323698	0.31241605	10.654367	1.1510627	-2.1278687	0.00093812816	552.7358639240265
14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	55999	1.6034946	0.2773664	10.356628	0.60316014	-1.5979179	0.0011114769	596.7427532672882
15	0.0	0.0	0.0	0.0	1.5	2.4186773	6.0	0.0	1000.0	1000.0	59999	1.329882	0.23743908	10.587738	0.3951382	-1.3356305	0.0019091818	640.6440968513489
16	0.75	1.299038	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	63999	1.4134846	0.36363328	12.71154	0.358064	-1.4430239	0.0050904886	684.6155097484589
17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	67999	1.6572391	0.65724826	9.072482	-0.024405718	-1.6813077	0.0021161605	728.8728110790253
18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	71999	1.4828672	0.58686537	5.6211166	0.5683431	-1.4869732	0.0016207936	772.8304388523102
19	0.0	0.0	0.0	0.0	0.5	1.5	5.0	0.0	1000.0	1000.0	75999	1.2699975	0.5628874	6.3752284	0.17662996	-1.2723767	0.0009496791	816.6493871212006
20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	79999	0.96490985	0.4725544	5.3284063	0.040839195	-0.96580946	0.0005865138	860.8037016391754
21	0.0	0.0	0.0	0.0	0.1	0.29999998	1.0	0.0	1000.0	1000.0	83999	0.8302775	0.50636566	4.6665115	-0.17739844	-0.8373387	0.0006240249	904.8067200183868
22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	87999	0.9240232	0.84340364	5.1373143	-0.0017109215	-0.9303677	0.000708686	949.0488460063934
23	0.0	0.0	0.0	0.0	0.4	0.8	2.0	0.0	1000.0	1000.0	91999	0.60166657	0.5418753	5.7554464	-0.2167241	-0.5831367	0.00049935223	993.2988665103912
24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	95999	0.3462261	0.06301832	5.7708488	-0.055525005	-0.34640813	0.00039891727	1037.6358633041382
25	2.0	3.4641016	8.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	99999	0.29898745	0.08508221	7.574592	-0.14380549	-0.3003993	0.0005889839	1081.5925850868225
26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	103999	0.3110524	0.18166274	7.207777	-0.290626	-0.31633538	0.001012944	1125.8473494052887
27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	107999	0.31112653	0.27020898	9.459103	-0.29306442	-0.31211835	0.0009760239	1169.950182914734
28	0.25	0.4330127	1.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	111999	0.31871465	0.36792406	7.755673	-0.5987309	-0.3201534	0.0008383085	1214.354383468628
29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	115999	0.14301208	0.11281294	6.199669	-0.23710291	-0.13726395	0.00091480504	1258.6674590110779
30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	119999	0.10540387	0.05259907	7.154349	-0.25522268	-0.10526073	0.0006580677	1302.9181723594666
31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	123999	0.08985139	0.053115368	5.960962	-0.0466087	-0.08970575	0.0006841885	1347.020054101944
32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	127999	0.07610782	0.05809494	6.395892	-0.7856293	-0.07592309	0.0005834866	1391.370664358139
33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	131999	0.065625705	0.05506716	7.3524556	-0.6015954	-0.06555285	0.0008518327	1436.1090216636658
