Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	194.25	273.1102	660.0	0.0	406.4	382.92383	920.0	0.0	1000.0	1000.0	3999	3.0590858	3.4933677	21.62373	-4.4521284	-3.3126569	0.064687304	38.33088231086731
2	144.5	250.28134	578.0	0.0	230.1	201.03404	594.0	0.0	1000.0	1000.0	7999	13.719941	10.859859	70.842865	-1.691803	-14.697027	0.43734935	81.60167980194092
3	2.5	4.3301272	10.0	0.0	109.9	288.36102	972.0	0.0	1000.0	1000.0	11999	35.71261	14.737885	90.77838	2.8476758	-37.093124	0.5891449	126.93777441978455
4	0.25	0.4330127	1.0	0.0	241.2	386.8857	965.0	0.0	1000.0	1000.0	15999	47.246723	16.929977	111.56179	20.089012	-47.90395	0.6540722	174.45870733261108
5	0.0	0.0	0.0	0.0	199.9	391.9149	985.0	0.0	1000.0	1000.0	19999	49.969414	18.670458	136.61995	25.762436	-50.53057	0.760785	221.76052713394165
6	250.0	433.0127	1000.0	0.0	94.1	282.30002	941.0	0.0	1000.0	1000.0	23999	54.16836	26.012568	168.73792	27.063318	-54.814857	0.99617946	268.883177280426
7	257.0	429.05652	1000.0	0.0	184.0	350.94388	1000.0	0.0	1000.0	1000.0	27999	62.549213	30.628223	190.06534	30.983719	-63.50026	1.4056867	315.9860289096832
8	28.75	49.79646	115.0	0.0	141.6	282.9598	975.0	0.0	1000.0	1000.0	31999	71.160095	32.933952	213.29655	35.444378	-72.16597	1.84826	363.2359652519226
9	305.75	399.72012	980.0	0.0	302.6	450.47736	1000.0	0.0	1000.0	1000.0	35999	79.54195	36.39993	250.51067	39.488678	-80.58237	2.4626377	410.83004355430603
10	254.0	416.0457	974.0	0.0	201.6	399.22806	1000.0	0.0	1000.0	1000.0	39999	91.88851	41.94334	269.0822	46.37689	-93.20808	3.397363	457.81898164749146
11	519.0	481.74994	1000.0	0.0	628.2	424.4535	1000.0	0.0	1000.0	1000.0	43999	107.24263	46.75196	265.46017	54.32184	-108.5935	3.0747573	505.2217917442322
12	243.5	409.71973	953.0	0.0	271.9	386.65988	1000.0	0.0	1000.0	1000.0	47999	119.98088	46.244316	258.06393	55.05912	-121.38378	2.5081682	552.4365589618683
13	230.5	236.86758	569.0	0.0	126.9	294.84247	986.0	0.0	1000.0	1000.0	51999	130.27937	44.845	249.1933	57.04213	-131.72	2.2393966	599.5046989917755
14	340.0	385.63647	990.0	0.0	391.3	472.32492	1000.0	0.0	1000.0	1000.0	55999	134.4874	43.769936	262.80292	61.91396	-135.65854	2.192611	646.6333849430084
15	715.75	414.25015	1000.0	0.0	393.6	449.03925	1000.0	0.0	1000.0	1000.0	59999	133.21861	41.555145	254.34871	58.879913	-134.25113	2.0081131	693.600255727768
16	251.75	415.51917	971.0	0.0	286.1	394.3203	984.0	0.0	1000.0	1000.0	63999	134.72762	39.327854	246.68198	61.54081	-135.71252	1.6574663	740.5223717689514
17	247.75	426.8093	987.0	0.0	196.6	392.46533	989.0	0.0	1000.0	1000.0	67999	131.1354	36.39202	242.60258	65.40658	-131.96428	1.3649062	787.5096349716187
18	575.75	346.1115	920.0	0.0	102.1	296.38065	991.0	0.0	1000.0	1000.0	71999	128.14764	35.192642	234.99782	68.524445	-128.98682	1.2382661	834.5219013690948
19	486.75	486.7532	976.0	0.0	517.7	450.36807	1000.0	0.0	1000.0	1000.0	75999	124.45192	33.875034	232.93251	65.25361	-125.22145	1.1998677	881.6884467601776
20	260.5	427.29468	1000.0	0.0	288.4	441.13763	1000.0	0.0	1000.0	1000.0	79999	120.95492	32.903633	229.51468	61.960236	-121.67899	1.2553169	928.5578646659851
21	291.25	310.7341	761.0	0.0	393.0	481.44077	1000.0	0.0	1000.0	1000.0	83999	116.36225	31.241196	270.20184	53.113853	-117.06866	1.1867381	975.346373796463
22	362.25	402.3098	972.0	0.0	384.8	472.2332	1000.0	0.0	1000.0	1000.0	87999	113.96632	29.08328	218.11185	59.893574	-114.72236	1.2086357	1022.061439037323
23	668.5	389.90094	978.0	0.0	263.6	381.7759	988.0	0.0	1000.0	1000.0	91999	111.21612	28.991022	189.78616	56.389538	-111.90953	1.1688579	1068.8960235118866
24	699.75	405.76495	990.0	0.0	391.1	479.10846	1000.0	0.0	1000.0	1000.0	95999	110.91269	29.641228	219.20622	56.23962	-111.64838	1.2281191	1115.5534946918488
25	573.5	408.36594	990.0	0.0	574.0	470.10638	1000.0	0.0	1000.0	1000.0	99999	110.31556	29.733898	194.46143	52.5361	-111.01915	1.053288	1162.272489786148
26	70.0	121.24355	280.0	0.0	571.4	467.09918	986.0	0.0	1000.0	1000.0	103999	108.60105	29.330927	176.34619	48.641068	-109.269135	1.0029429	1209.2401993274689
27	388.0	389.87433	830.0	0.0	499.7	471.36227	991.0	0.0	1000.0	1000.0	107999	106.24097	29.49746	186.27367	46.590427	-106.92046	1.0019376	1256.1170978546143
28	902.5	121.00103	983.0	694.0	685.8	449.37842	1000.0	0.0	1000.0	1000.0	111999	105.24664	28.886423	206.6803	46.9984	-105.85614	0.91801125	1302.9303803443909
29	723.5	418.28787	1000.0	0.0	311.2	441.83704	1000.0	0.0	1000.0	1000.0	115999	104.69262	29.055346	155.60258	47.003338	-105.33369	0.9233444	1349.9187469482422
30	656.5	408.6279	1000.0	0.0	290.3	443.9514	1000.0	0.0	1000.0	1000.0	119999	103.59807	29.837727	172.50543	43.46053	-104.23426	0.94840485	1396.7200982570648
31	406.0	407.13696	855.0	0.0	446.8	407.3823	990.0	0.0	1000.0	1000.0	123999	103.73443	30.177137	154.34944	37.76311	-104.38544	0.9451544	1443.6675622463226
32	495.25	495.29556	1000.0	0.0	584.6	477.79163	1000.0	0.0	1000.0	1000.0	127999	102.95736	29.952026	148.12599	32.82264	-103.56304	0.9631671	1490.5109975337982
33	677.25	399.08356	1000.0	0.0	830.7	287.7565	1000.0	249.0	1000.0	1000.0	131999	102.48774	28.99338	160.83267	33.812614	-103.09994	0.8851945	1537.3886721134186
34	531.0	356.78635	861.0	0.0	129.7	298.91406	998.0	0.0	1000.0	1000.0	135999	101.92017	27.536942	152.72644	36.17075	-102.50494	0.91539437	1584.1768743991852
35	676.0	396.1067	1000.0	0.0	679.8	446.1349	1000.0	0.0	1000.0	1000.0	139999	102.01202	26.845741	151.51442	32.827896	-102.628456	0.8899202	1631.0068082809448
36	930.25	108.86775	1000.0	742.0	660.2	438.27634	1000.0	0.0	1000.0	1000.0	143999	102.58093	26.742956	171.12576	36.55693	-103.20803	0.9456568	1677.8804755210876
37	488.0	488.02512	983.0	0.0	684.7	418.9771	990.0	0.0	1000.0	1000.0	147999	103.34539	27.0243	160.23372	40.610043	-103.982864	0.9336452	1724.750501871109
38	710.75	410.54193	968.0	0.0	663.4	437.12247	1000.0	0.0	1000.0	1000.0	151999	103.71609	26.889048	157.36697	40.274372	-104.32942	0.8845184	1771.7501249313354
39	741.5	371.9748	996.0	102.0	564.3	461.38748	1000.0	0.0	1000.0	1000.0	155999	104.44347	27.027124	158.56721	37.06293	-105.07817	1.0283238	1818.6825723648071
40	770.0	173.93102	1000.0	520.0	785.8	392.99332	997.0	0.0	1000.0	1000.0	159999	105.24438	26.77313	156.38731	39.965355	-105.88943	1.036703	1865.7496724128723
41	875.5	183.11813	1000.0	559.0	560.2	470.94833	1000.0	0.0	1000.0	1000.0	163999	105.98375	25.743761	151.00034	38.297028	-106.58987	1.0141692	1912.8363680839539
42	746.25	423.97308	1000.0	12.0	849.9	297.27814	1000.0	0.0	1000.0	1000.0	167999	106.59195	25.582573	151.34492	38.12161	-107.19738	0.95531636	1959.7860100269318
43	586.25	317.85953	993.0	221.0	584.4	477.33768	1000.0	0.0	1000.0	1000.0	171999	106.6194	25.173826	149.94685	44.028915	-107.20092	0.86571676	2006.4955303668976
44	570.5	374.04645	1000.0	0.0	669.3	438.86127	995.0	0.0	1000.0	1000.0	175999	106.50675	24.919636	153.97682	45.028503	-107.08007	0.97499204	2053.3351497650146
45	874.75	124.37921	981.0	671.0	758.0	380.6949	1000.0	0.0	1000.0	1000.0	179999	106.15172	25.052073	156.15677	47.086746	-106.72255	0.96574587	2100.3221163749695
46	765.75	360.58173	990.0	142.0	650.5	435.18185	1000.0	0.0	1000.0	1000.0	183999	106.38357	25.119514	163.3813	49.22291	-106.94205	0.95934343	2147.561981678009
47	972.5	16.530275	990.0	955.0	874.9	292.9575	1000.0	0.0	1000.0	1000.0	187999	106.25387	24.959673	150.87885	43.878216	-106.78461	0.9486938	2194.755823612213
48	793.5	328.02325	996.0	226.0	744.9	384.403	1000.0	0.0	1000.0	1000.0	191999	105.63474	24.772707	170.59067	44.52325	-106.14903	0.87620777	2241.882789850235
49	696.75	407.174	1000.0	0.0	567.9	466.757	1000.0	0.0	1000.0	1000.0	195999	105.03003	24.562727	145.93285	45.975273	-105.53452	0.81466806	2288.9430027008057
50	919.5	72.5	1000.0	839.0	717.8	390.26523	1000.0	0.0	1000.0	1000.0	199999	104.42032	24.93342	141.42703	46.299385	-104.896545	0.8425867	2335.815938472748
51	968.0	18.641352	1000.0	954.0	747.6	379.08817	1000.0	0.0	1000.0	1000.0	203999	104.23662	25.800207	139.88184	45.39379	-104.75197	0.8176127	2382.9500217437744
52	590.5	360.17044	892.0	0.0	681.5	446.48096	1000.0	0.0	1000.0	1000.0	207999	104.38135	25.61315	149.03906	43.178886	-104.86786	0.8536835	2430.2836639881134
53	960.5	39.296947	990.0	894.0	760.1	387.0169	1000.0	0.0	1000.0	1000.0	211999	103.86697	25.14138	141.23221	38.45664	-104.35812	0.87249696	2477.269301176071
54	611.5	392.27383	982.0	0.0	623.3	450.2917	1000.0	0.0	1000.0	1000.0	215999	103.59172	24.668135	139.02298	38.899036	-104.05589	0.82582676	2524.399078130722
55	680.25	305.2379	968.0	189.0	772.1	386.692	1000.0	0.0	1000.0	1000.0	219999	102.82823	24.069979	136.13683	42.871895	-103.273735	0.8139492	2571.5732777118683
56	736.25	425.07962	985.0	0.0	386.4	474.01587	994.0	0.0	1000.0	1000.0	223999	102.13987	24.306068	136.76132	41.074593	-102.594185	0.7877077	2618.52272939682
57	873.25	94.64242	989.0	736.0	588.9	480.77322	1000.0	0.0	1000.0	1000.0	227999	102.25541	24.918253	141.55139	35.918404	-102.72838	0.8272916	2665.809956550598
58	648.75	385.5051	993.0	0.0	777.8	387.1978	990.0	0.0	1000.0	1000.0	231999	102.48538	25.332788	141.62428	36.161556	-102.983376	0.8666046	2713.0413613319397
59	940.75	66.83702	989.0	826.0	865.7	286.0654	1000.0	18.0	1000.0	1000.0	235999	103.68127	25.460669	149.95279	36.834724	-104.22097	0.8922837	2760.165820121765
60	483.25	483.83023	1000.0	0.0	484.9	481.7326	988.0	0.0	1000.0	1000.0	239999	105.53106	26.874363	153.76303	35.072197	-106.114296	0.9120597	2807.3111197948456
61	894.5	133.54868	1000.0	667.0	847.1	292.98514	1000.0	0.0	1000.0	1000.0	243999	106.7028	28.209427	152.69951	31.857204	-107.218956	0.95359194	2854.5238728523254
