Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	244.5	423.48642	978.0	0.0	100.0	300.0	1000.0	0.0	1000.0	1000.0	3999	1.5166593	2.091742	10.879987	-0.6910929	-1.6062526	0.00813238	34.138505697250366
2	80.75	139.8631	323.0	0.0	100.1	299.9668	1000.0	0.0	1000.0	1000.0	7999	7.9942694	6.893366	31.96804	0.85208815	-8.269744	0.03378441	72.38887524604797
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	11999	13.936117	11.821031	56.033043	2.398231	-14.346273	0.06334881	113.41738653182983
4	229.0	386.2965	898.0	0.0	100.0	300.0	1000.0	0.0	1000.0	1000.0	15999	20.838694	16.55025	74.45574	4.9617414	-21.108566	0.11565605	154.44476103782654
5	250.0	433.0127	1000.0	0.0	1.1	2.4677925	8.0	0.0	1000.0	1000.0	19999	22.34026	19.128708	74.69297	3.3863816	-22.412416	0.13655871	195.96452689170837
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	23999	20.179005	19.394377	73.10499	0.739113	-20.206713	0.15192078	237.21125864982605
7	1.0	1.7320508	4.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	27999	18.894903	19.129734	75.91798	-3.3446794	-18.879284	0.18626909	278.6437964439392
8	2.0	3.4641016	8.0	0.0	2.1	3.5057094	11.0	0.0	1000.0	1000.0	31999	17.493015	19.07856	92.50568	-6.6097493	-17.504406	0.20243125	318.8708770275116
9	250.0	433.0127	1000.0	0.0	200.0	400.0	1000.0	0.0	1000.0	1000.0	35999	15.682398	18.78323	104.947205	-7.795735	-15.671119	0.19325726	358.66150856018066
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	39999	14.560074	19.159992	120.089325	-7.9731336	-14.541076	0.19729067	398.3221435546875
11	247.75	429.1156	991.0	0.0	100.0	300.0	1000.0	0.0	1000.0	1000.0	43999	14.25766	20.765232	123.29385	-9.336292	-14.271942	0.19145559	438.8354079723358
12	0.0	0.0	0.0	0.0	1.4	3.5832946	12.0	0.0	1000.0	1000.0	47999	13.05652	21.662188	116.67337	-17.945272	-13.057931	0.26273042	478.76165437698364
13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	51999	11.855071	22.307947	105.7578	-15.746468	-11.857753	0.23282458	518.928386926651
14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	55999	10.919125	22.729242	117.36906	-24.160519	-10.924467	0.23391432	561.5277841091156
15	0.0	0.0	0.0	0.0	3.6	10.150862	34.0	0.0	1000.0	1000.0	59999	10.6365185	23.546402	121.78477	-16.672714	-10.645646	0.26316497	604.8054966926575
16	0.0	0.0	0.0	0.0	100.6	299.80533	1000.0	0.0	1000.0	1000.0	63999	9.989751	23.739635	147.00136	-23.714615	-9.995383	0.32031432	647.3882575035095
17	482.25	482.90286	1000.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	67999	10.020288	24.399805	123.9178	-27.458961	-10.013496	0.3373067	690.3493916988373
18	0.0	0.0	0.0	0.0	100.1	299.96683	1000.0	0.0	1000.0	1000.0	71999	11.108509	25.777122	118.45327	-21.621546	-11.124754	0.358541	733.1977293491364
19	0.0	0.0	0.0	0.0	1.1	2.6999998	9.0	0.0	1000.0	1000.0	75999	10.908858	25.783108	127.03124	-17.943497	-10.915768	0.432974	775.4198076725006
20	0.0	0.0	0.0	0.0	98.8	296.4	988.0	0.0	1000.0	1000.0	79999	10.461849	25.925589	130.84763	-28.400967	-10.468178	0.48769292	817.0703420639038
21	0.0	0.0	0.0	0.0	0.2	0.59999996	2.0	0.0	1000.0	1000.0	83999	9.48415	25.567965	126.17798	-22.575432	-9.490617	0.43236384	858.9645130634308
22	0.0	0.0	0.0	0.0	104.3	294.38516	987.0	0.0	1000.0	1000.0	87999	9.086882	25.82908	142.72888	-29.098726	-9.086806	0.5156102	903.7511646747589
23	252.5	431.58862	1000.0	0.0	1.4	2.8354893	8.0	0.0	1000.0	1000.0	91999	8.568224	25.685013	130.15596	-42.98123	-8.555344	0.36403522	947.9121215343475
