Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	29.397633	20.629383	59.730804	10.088383	65.13567	44.53976	123.40657	11.06336	1000.0	1000.0	3999	1.4658304	0.501807	3.065885	-0.45653436	-1.5643297	0.0038681142	35.730801582336426
2	33.944733	8.191246	45.805332	25.476591	173.04973	251.38419	925.13385	47.415108	1000.0	1000.0	7999	1.6202649	0.5761277	3.1723502	0.5327116	-1.5592395	0.001152931	75.25131821632385
3	81.96973	7.794119	92.91644	71.17967	91.02904	54.736317	231.65721	29.493881	1000.0	1000.0	11999	2.1126602	0.9235561	4.8272495	0.5841042	-2.1392035	0.0007277002	115.15092015266418
4	69.394165	26.07101	110.28904	38.24167	148.83896	233.69841	840.04803	11.209157	1000.0	1000.0	15999	3.3522797	1.1291815	6.3178616	1.2059015	-3.372122	0.0004790209	156.0684323310852
5	64.38558	40.372253	122.23612	12.61616	50.539055	46.26057	168.99469	3.180718	1000.0	1000.0	19999	4.042463	1.3898771	7.9067526	2.0865228	-4.050484	0.0004243648	195.0920433998108
6	263.45877	334.2392	841.75385	51.56926	49.08385	33.58914	96.775955	2.5519578	1000.0	1000.0	23999	6.6066036	2.8069158	21.32483	2.3198593	-6.8557606	0.002973824	233.3694133758545
7	72.502914	44.137585	116.66341	5.109732	68.36845	33.26951	122.13322	4.535793	1000.0	1000.0	27999	12.18445	4.1285243	35.657555	6.999033	-12.387846	0.012075944	275.6455874443054
8	73.70178	17.61312	98.71642	52.5347	100.48129	74.89507	308.401	38.03154	1000.0	1000.0	31999	14.789401	7.903682	50.272217	4.4998746	-14.9567585	0.032232877	315.87304186820984
9	52.35202	13.615758	74.09635	40.613678	118.99092	175.26952	632.9674	9.360234	1000.0	1000.0	35999	18.764597	10.9879265	60.336994	3.830622	-19.032692	0.04162918	355.51790165901184
10	69.23564	19.573362	94.99832	48.80434	88.6768	46.69874	173.84235	12.6701	1000.0	1000.0	39999	22.534433	12.176712	70.43945	6.328428	-22.810268	0.045034975	393.37426948547363
11	82.47611	44.21318	150.13406	26.649364	68.18178	47.248226	188.2482	8.157908	1000.0	1000.0	43999	25.143667	13.707616	79.033585	9.020372	-25.46064	0.055593543	434.8981776237488
12	60.616245	40.468945	111.06664	6.930198	121.682106	165.3914	608.4382	16.440931	1000.0	1000.0	47999	31.641005	14.177094	85.781815	10.456734	-32.19498	0.07912887	473.9288375377655
13	93.927925	12.088746	111.776855	78.441414	61.9692	29.778862	122.08812	27.910814	1000.0	1000.0	51999	36.28324	14.32315	90.0713	13.453902	-36.72921	0.10811284	511.31480288505554
14	67.28346	48.63156	144.12753	15.713473	100.792336	130.53839	479.91498	5.53267	1000.0	1000.0	55999	39.886074	15.851921	100.06727	15.620226	-40.395077	0.11788688	547.413489818573
15	97.604965	73.17544	216.50427	28.04214	139.67603	189.96214	705.0371	16.580294	1000.0	1000.0	59999	43.912914	17.980053	109.399605	17.380733	-44.35649	0.12149234	585.1830570697784
16	70.21547	12.313412	85.81274	57.98124	177.7885	209.85194	633.6911	18.37068	1000.0	1000.0	63999	45.587444	18.046589	111.66123	18.263178	-46.097675	0.12691693	621.0386583805084
17	69.543915	21.673323	89.11127	34.639187	76.78396	35.781254	120.96839	2.810632	1000.0	1000.0	67999	49.13464	19.621078	121.69213	20.854149	-49.66453	0.109620094	658.7323017120361
18	27.903572	6.118446	34.414753	17.850365	75.33307	32.43619	119.49119	2.105825	1000.0	1000.0	71999	50.259396	19.348015	121.44677	21.041239	-50.693264	0.107344076	696.6369593143463
19	183.13281	135.82188	418.1164	94.7554	70.28723	34.39709	122.313255	15.297745	1000.0	1000.0	75999	50.701244	18.714172	119.32287	23.650887	-51.111916	0.11140007	733.1774575710297
20	68.3683	25.897625	88.88547	24.29009	45.240055	23.117857	77.20959	6.222889	1000.0	1000.0	79999	50.39807	17.713852	110.28055	23.336142	-50.826397	0.13847272	769.9977896213531
21	31.319973	18.34699	61.179607	12.789721	59.279884	30.43138	113.40393	20.81728	1000.0	1000.0	83999	50.25285	17.373234	109.939835	21.899616	-50.65413	0.14923862	807.353700876236
22	122.85773	138.89545	354.71725	6.0778246	117.18205	138.11488	498.74588	3.9879763	1000.0	1000.0	87999	50.20737	17.29166	108.29722	20.91162	-50.60582	0.13584268	845.2003581523895
23	76.533485	39.740875	110.30956	8.77267	60.817127	33.86833	112.13389	6.370944	1000.0	1000.0	91999	49.454304	16.316153	108.46159	18.639503	-49.822304	0.13987266	882.8228230476379
