Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	1.3832401	2.395842	5.5329604	0.0	0.2438157	0.52147704	1.6323212	0.0	1000.0	1000.0	3999	1.204914	1.1951201	8.800474	-1.6560882	-1.4188708	0.008423119	42.97581624984741
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	7999	10.781206	5.1599784	30.415552	1.1520499	-11.672262	0.06402668	89.6382486820221
3	9.180987	15.901936	36.72395	0.0	1.1200001	2.2683914	6.4	0.0	1000.0	1000.0	11999	31.241322	10.256587	81.28935	11.068262	-33.036392	0.5675974	139.08082914352417
4	1.2384683	2.14509	4.953873	0.0	0.40226513	1.2067955	4.022651	0.0	1000.0	1000.0	15999	56.272194	8.53645	124.01266	29.381489	-57.648056	0.72615683	186.06939482688904
5	0.0	0.0	0.0	0.0	0.8014151	2.4042451	8.014151	0.0	1000.0	1000.0	19999	74.5842	13.371468	217.04443	42.20576	-76.697655	2.8576164	233.16481161117554
6	1.8314718	3.1722023	7.325887	0.0	0.96373475	1.5166483	4.034254	0.0	1000.0	1000.0	23999	99.37909	18.705484	167.96971	64.01985	-101.0273	1.6442521	280.6120936870575
7	1.227325	2.1257892	4.9093	0.0	0.48023576	1.4407074	4.8023577	0.0	1000.0	1000.0	27999	102.67985	14.045552	155.46075	65.08246	-103.738525	0.6090363	326.7351861000061
8	0.0	0.0	0.0	0.0	0.40000004	1.2000002	4.0000005	0.0	1000.0	1000.0	31999	97.17382	12.656922	150.49352	67.99032	-97.59056	0.393869	373.3817763328552
9	0.0	0.0	0.0	0.0	3.6088557	4.923321	13.646332	0.0	1000.0	1000.0	35999	86.96072	12.98517	151.5154	60.17975	-87.346436	0.34214452	420.6129434108734
10	5.325739	5.3561006	11.456853	0.0	4.412979	7.3796196	23.27618	0.0	1000.0	1000.0	39999	77.99043	14.256153	150.44513	53.591236	-78.36869	0.32305995	467.5040383338928
11	11.531111	11.894272	27.187067	0.0	2.4884915	5.9695816	20.030052	0.0	1000.0	1000.0	43999	69.800224	13.426603	138.97713	47.320766	-70.04575	0.22700354	512.9691627025604
12	0.0	0.0	0.0	0.0	1.6037838	4.0730424	13.631932	0.0	1000.0	1000.0	47999	61.602585	12.646558	130.37946	43.80885	-61.827103	0.19120792	558.2229616641998
13	4.6930428	8.128589	18.772171	0.0	2.0067353	4.0489626	11.229821	0.0	1000.0	1000.0	51999	55.0513	12.502958	124.36773	36.582012	-55.33525	0.22696882	602.9624536037445
14	2.8456452	4.928802	11.382581	0.0	1.6057926	3.23266	8.853012	0.0	1000.0	1000.0	55999	50.26589	13.38183	114.075096	32.279594	-50.523773	0.23943771	647.6234393119812
15	6.5415764	11.330342	26.166306	0.0	2.0880718	6.2642155	20.880718	0.0	1000.0	1000.0	59999	46.017334	12.680555	106.153755	26.737328	-46.270157	0.20583771	692.5776474475861
16	0.0	0.0	0.0	0.0	6.4953423	14.135579	47.235268	0.0	1000.0	1000.0	63999	42.19141	12.9087925	111.59282	21.636517	-42.44605	0.315622	737.2802443504333
17	1.0154651	1.7588372	4.0618606	0.0	3.4662716	7.31989	22.585234	0.0	1000.0	1000.0	67999	39.104874	13.311449	100.32876	18.225811	-39.43715	0.22508802	781.9872539043427
18	10.21723	12.035257	29.42953	0.0	30.920279	36.62442	99.29145	0.0	1000.0	1000.0	71999	35.723186	11.609651	78.66881	14.819518	-35.82567	0.103689484	826.6969041824341
19	13.487536	10.243794	25.347616	0.0	9.209066	10.992389	32.068882	0.0	1000.0	1000.0	75999	31.332352	9.602989	63.775227	10.206284	-31.431702	0.08301546	871.7148742675781
20	6.135112	10.626325	24.540447	0.0	42.807686	34.031746	96.57029	0.0	1000.0	1000.0	79999	27.188826	8.148891	63.079487	6.250591	-27.27724	0.09906799	916.7830808162689
21	25.549814	27.872334	66.85234	0.0	14.265619	21.301323	49.632942	0.0	1000.0	1000.0	83999	23.717253	6.4743495	64.596535	6.1470523	-23.806622	0.10412138	961.7101547718048
22	4.721459	8.177807	18.885836	0.0	5.3688574	12.439534	40.887703	0.0	1000.0	1000.0	87999	21.708618	5.1189623	52.149723	0.7658272	-21.857569	0.12934259	1006.6649224758148
23	24.543318	14.280196	35.25946	0.0	19.28632	32.860275	103.66044	0.0	1000.0	1000.0	91999	20.97858	4.516534	46.40976	0.086241126	-21.157532	0.101569355	1051.623347043991
24	14.89789	15.872098	40.77202	0.0	22.859755	31.534071	74.52208	0.0	1000.0	1000.0	95999	19.936926	3.7168672	44.15204	1.8504568	-20.055296	0.07421311	1096.5016286373138
25	8.79636	15.2357435	35.18544	0.0	6.8050737	12.595968	42.418983	0.0	1000.0	1000.0	99999	18.03402	3.456035	46.286095	4.1607494	-18.11283	0.06509309	1141.2841300964355
26	7.7592263	9.669222	23.677896	0.0	32.539467	36.789093	109.01442	0.0	1000.0	1000.0	103999	16.09749	3.104893	41.011143	8.569564	-16.175678	0.05585294	1186.0779793262482
27	8.771711	5.977656	16.32838	0.0	7.4633417	12.683861	36.932705	0.0	1000.0	1000.0	107999	14.713862	3.5096612	46.215084	8.639426	-14.804928	0.058547173	1230.696658372879
28	34.72845	26.767628	67.790565	0.0	6.1765833	9.882689	28.123228	0.0	1000.0	1000.0	111999	13.651845	4.113146	40.76746	8.779966	-13.746064	0.057497222	1275.1901144981384
29	0.0	0.0	0.0	0.0	10.099065	14.179765	42.49068	0.0	1000.0	1000.0	115999	13.085775	4.620424	38.490532	6.595463	-13.196217	0.06983438	1319.9700610637665
30	40.554054	38.11328	106.00777	13.89631	46.594658	63.921352	167.44908	0.0	1000.0	1000.0	119999	12.804549	5.266575	42.10496	4.500281	-12.927056	0.0628701	1364.4288647174835
31	100.41008	69.83862	178.97609	19.491224	59.43387	89.483665	215.41113	0.0	1000.0	1000.0	123999	12.518163	5.932289	49.181553	3.5965316	-12.608019	0.079368815	1408.95077252388
32	17.549934	17.888615	39.999336	0.0	35.080196	41.95807	119.36257	0.0	1000.0	1000.0	127999	12.053	6.506113	52.5638	4.3225026	-12.175176	0.09536351	1453.5421090126038
33	38.35829	40.606705	95.56046	0.0	32.015903	40.1299	118.40081	0.0	1000.0	1000.0	131999	12.701374	7.073404	61.13859	4.8233957	-12.863078	0.11522744	1498.426772594452
34	0.0	0.0	0.0	0.0	4.640247	6.566262	18.400723	0.0	1000.0	1000.0	135999	13.006945	7.252216	55.85607	4.457773	-13.121885	0.10175685	1543.2600705623627
35	5.9199657	7.7059536	18.816423	0.0	53.096046	40.362633	144.20566	0.0	1000.0	1000.0	139999	12.597438	6.8685536	67.70818	5.448446	-12.698164	0.10454509	1588.2119188308716
36	82.02049	74.75394	208.9021	17.10789	8.176692	12.754732	33.682076	0.0	1000.0	1000.0	143999	12.252705	7.0494	58.420856	3.4069738	-12.364496	0.1022428	1632.887992143631
37	5.505321	9.535496	22.021284	0.0	24.28835	21.814695	67.38615	0.0	1000.0	1000.0	147999	12.157106	7.7094045	71.338806	0.85286725	-12.254475	0.13740708	1677.7625722885132
38	23.896849	23.944126	49.92057	0.0	14.6760435	19.930511	55.318653	0.0	1000.0	1000.0	151999	11.731485	8.099881	88.5767	3.6107779	-11.830719	0.1729946	1722.679706811905
39	42.83675	74.19543	171.347	0.0	9.129035	13.43917	32.0578	0.0	1000.0	1000.0	155999	11.581715	9.203552	74.8481	0.43541336	-11.708642	0.23335244	1767.5137264728546
40	5.3075943	9.193023	21.230377	0.0	28.91774	45.096497	140.10066	0.0	1000.0	1000.0	159999	12.331985	11.227662	68.676094	-6.530518	-12.509703	0.28656092	1812.2864167690277
41	31.407019	40.13907	100.33683	0.0	16.910635	14.735897	38.566563	0.0	1000.0	1000.0	163999	13.41951	12.858439	67.61263	1.6589829	-13.5714245	0.2323157	1856.7751309871674
42	45.5595	72.06749	170.08804	0.0	90.60799	46.997284	134.54846	0.0	1000.0	1000.0	167999	13.220637	12.876944	64.14945	1.4164133	-13.306578	0.19185214	1901.6267201900482
