Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.5667465	0.17323902	0.83706474	0.3595803	0.7800828	0.27707478	1.1266481	0.2542001	1000.0	1000.0	3999	3.27855	2.2756515	9.357856	-7.8245473	-3.9397638	0.101318866	49.1329026222229
2	1.2116787	0.50422	1.7474902	0.42220366	0.736064	0.42040396	1.6146761	0.24796608	1000.0	1000.0	7999	17.164114	7.1239023	38.83424	4.5258865	-18.641829	0.19351055	105.11773204803467
3	1.0480084	0.2779481	1.4174932	0.6566697	0.8350876	0.48043492	1.4347402	0.153667	1000.0	1000.0	11999	62.21721	19.349396	111.55208	24.148672	-66.044754	1.7184399	163.56267476081848
4	0.8774754	0.50457495	1.5733031	0.1538157	0.51745486	0.48920625	1.5234756	0.032753803	1000.0	1000.0	15999	102.25382	16.92014	143.44968	42.684822	-104.37134	3.6150131	223.60842633247375
5	0.7966099	0.12672032	1.0012386	0.67117524	0.76565826	0.33456343	1.3630353	0.25798252	1000.0	1000.0	19999	108.11087	18.30425	153.59846	62.521553	-109.37792	3.688326	283.67332339286804
6	0.518705	0.41221738	1.2287347	0.2236034	0.8491169	0.43240884	1.6601105	0.07444647	1000.0	1000.0	23999	110.31313	17.614717	161.4757	69.69682	-111.82968	3.8564584	343.82552194595337
7	1.0491982	0.26342645	1.4841583	0.7928084	0.42577606	0.3729807	1.2832016	0.021059062	1000.0	1000.0	27999	111.39047	15.967212	166.08195	78.03637	-112.46707	3.0448546	403.9240815639496
8	0.8223977	0.49314344	1.4983174	0.3148718	0.68798655	0.47140104	1.7199969	0.17930578	1000.0	1000.0	31999	105.93169	14.371041	175.71994	78.576965	-106.824	2.7430034	464.09331464767456
9	0.8567866	0.4577243	1.2385085	0.11273244	0.8090137	0.556518	1.6519849	0.07855143	1000.0	1000.0	35999	101.7093	15.037726	188.68112	78.52925	-102.54847	2.2704477	523.9770972728729
10	1.0314057	0.45084167	1.613304	0.44592935	0.86089534	0.46713328	1.4775997	0.0362626	1000.0	1000.0	39999	100.47919	13.534604	165.36794	65.27831	-102.12027	2.5457492	583.9142563343048
11	0.82412446	0.161277	0.9587441	0.55362624	0.6519246	0.41471708	1.4369588	0.014414391	1000.0	1000.0	43999	110.52286	11.146501	171.98601	66.34815	-111.772896	2.0116715	644.6539521217346
12	0.5168624	0.4136797	1.0194594	0.029658567	0.66245633	0.35555902	1.3106633	0.15151238	1000.0	1000.0	47999	111.34877	13.727528	213.71881	83.94507	-112.553856	2.473024	704.7158126831055
13	0.7744332	0.2710454	1.1702554	0.46172592	0.9732748	0.40178388	1.4566607	0.3160772	1000.0	1000.0	51999	112.99168	14.553216	206.08731	89.46691	-114.285065	2.5212393	764.0662496089935
