Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.8638692	0.7150562	2.0386028	0.24080907	0.72521555	0.32115918	1.302585	0.32501376	1000.0	1000.0	3999	5.2314806	3.8587272	18.314167	-8.935055	-6.391315	0.17575698	36.541139125823975
2	0.64457947	0.17654037	0.8187219	0.38961586	0.6795079	0.3342344	1.3070359	0.3225874	1000.0	1000.0	7999	83.52777	61.309307	283.7856	6.934729	-95.94071	7.5782676	79.54103708267212
3	1.120484	0.5171841	1.7399834	0.5286022	0.8213884	0.5618219	1.8121074	0.034622975	1000.0	1000.0	11999	858.8244	419.37033	1877.8997	164.31026	-936.76074	430.5427	123.97882199287415
4	0.6202072	0.4915776	1.4616127	0.21698926	0.5475754	0.37574685	1.0279732	0.025796764	1000.0	1000.0	15999	1796.6256	225.63768	2597.056	1192.1698	-1836.952	1027.975	170.92562222480774
5	1.162669	0.35749844	1.6862514	0.67773485	0.88823426	0.44367725	1.5991546	0.047116064	1000.0	1000.0	19999	1946.8024	188.87418	2729.1633	1468.962	-1971.5481	870.44415	217.85013437271118
6	0.35937884	0.2045195	0.7055807	0.1747755	0.5746731	0.38608614	1.1886482	0.034404866	1000.0	1000.0	23999	2059.4988	189.77922	2817.9683	1567.2434	-2090.334	949.3072	264.552410364151
7	1.013692	0.264322	1.2197899	0.5607353	0.7560295	0.40343753	1.3885506	0.029991688	1000.0	1000.0	27999	2101.705	182.29263	2861.138	1594.5184	-2120.382	797.54364	310.8254544734955
8	0.74884564	0.43361735	1.4547123	0.3211119	0.71524936	0.47359082	1.6447812	0.19550219	1000.0	1000.0	31999	1997.5431	191.08478	2811.208	1541.8599	-2016.3468	609.2495	356.15930104255676
9	0.8366086	0.4875268	1.477962	0.1190336	0.5158036	0.2532481	1.0416495	0.14717966	1000.0	1000.0	35999	1981.6973	192.90349	2712.032	1341.2329	-1998.1742	493.1241	401.48930835723877
10	0.9160812	0.5437786	1.6805677	0.32092866	0.49288636	0.4479749	1.499273	0.055848897	1000.0	1000.0	39999	1801.6469	164.01668	2411.393	1291.6287	-1810.8055	317.36395	446.4912462234497
11	0.95212436	0.44652268	1.3544303	0.20138787	0.8219838	0.6248674	1.8724177	0.06866407	1000.0	1000.0	43999	1612.879	132.1509	2136.4583	1212.5677	-1619.6538	195.24013	492.49224877357483
12	0.9400943	0.6525711	2.0005677	0.26944426	0.82939833	0.43756753	1.7223428	0.17523938	1000.0	1000.0	47999	1459.653	116.91199	1841.6926	1173.0203	-1467.6412	171.79518	540.2159154415131
13	0.51370263	0.22274649	0.7753833	0.27375367	0.64352167	0.3824158	1.1998498	0.12253348	1000.0	1000.0	51999	1289.8969	109.00733	1746.2894	1027.0784	-1294.3866	110.09386	587.7318384647369
14	0.76199526	0.3300334	1.1304768	0.38718295	0.7523905	0.4544581	1.6543115	0.086540245	1000.0	1000.0	55999	1123.287	94.31128	1499.6542	894.05664	-1126.9778	71.79741	633.7331683635712
15	0.60443735	0.06142466	0.6931887	0.53696954	0.9623534	0.44133824	1.587686	0.3201925	1000.0	1000.0	59999	1015.47815	73.11728	1418.488	857.22205	-1025.7548	83.51009	679.1223573684692
16	0.60514617	0.12466134	0.6987684	0.3931696	0.9209418	0.7563611	2.3914616	0.01567045	1000.0	1000.0	63999	1066.8584	62.440933	1435.2802	904.17444	-1077.8481	86.1366	723.6241254806519
17	0.9977657	0.30674592	1.296253	0.51127905	0.83558005	0.5646551	1.7694982	0.16694263	1000.0	1000.0	67999	970.572	62.584698	1294.9497	786.2627	-973.0081	42.27932	768.8566238880157
