Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	7.704047	1.2811648	9.655681	6.137735	3.7137349	2.2725215	7.3675075	0.6295988	1000.0	1000.0	3999	7.550806	5.0684085	25.342234	-6.995931	-8.819114	0.2018844	51.58138179779053
2	5.9155183	3.466526	10.890117	1.2627816	2.7464607	1.7762417	7.8447437	1.4248397	1000.0	1000.0	7999	36.4751	15.715144	90.73865	11.819747	-39.597374	0.7466581	107.80464053153992
3	3.602612	3.05345	8.681481	0.6652278	3.855191	1.9914107	6.5301166	1.1807538	1000.0	1000.0	11999	123.24616	33.57889	207.33401	42.717136	-129.96011	6.014754	166.82846784591675
4	2.5948672	1.7565049	5.154073	0.4731315	3.2378745	1.5997535	5.989054	0.8961607	1000.0	1000.0	15999	166.03369	18.29296	215.7635	118.79717	-167.5788	6.4621096	227.6584415435791
5	4.7694197	2.6358848	8.6855135	1.311189	4.646212	2.3267992	8.202601	0.8200902	1000.0	1000.0	19999	165.60155	18.629406	235.02696	121.80559	-167.7811	6.6326838	288.66613364219666
6	5.676342	2.4389253	9.416312	2.728624	5.848491	2.855801	9.7148	0.44557425	1000.0	1000.0	23999	167.32669	16.476627	231.2561	125.83909	-168.84227	5.5779214	349.6612696647644
7	4.455346	0.95435536	5.6925535	3.1287386	4.0630703	2.2489386	8.858902	1.4718148	1000.0	1000.0	27999	158.94644	12.356664	209.76308	131.14703	-160.09026	3.8085718	410.78384137153625
8	2.596586	2.5625834	6.1494584	0.102554485	3.9200006	2.3488638	7.2551365	0.78364867	1000.0	1000.0	31999	142.8933	11.947674	194.09918	115.82455	-143.50832	2.555179	472.0997884273529
9	5.106068	3.0816193	8.625466	1.1687272	4.02787	1.8125358	7.1955724	2.2327998	1000.0	1000.0	35999	127.44082	9.968406	173.48259	99.3502	-128.07964	1.8057894	533.4149420261383
10	3.2230015	2.6375113	6.186214	0.5449135	3.2938714	1.9468681	6.8345075	0.54294145	1000.0	1000.0	39999	113.40901	9.262533	148.97313	89.9167	-113.78316	1.279343	594.0434522628784
11	5.520117	2.8341134	9.542916	1.6977049	4.8878183	2.112794	7.7175164	1.8680978	1000.0	1000.0	43999	98.79478	6.840357	127.35558	78.9836	-99.21614	0.8617302	654.7311320304871
12	5.3791504	1.2760731	7.2232366	3.6694126	2.8984394	1.5738047	5.5765843	0.078189105	1000.0	1000.0	47999	86.62776	5.7951717	112.91237	65.62634	-86.8203	0.6193833	715.3895916938782
13	2.3045282	1.6202759	4.1015463	0.36645296	2.9409504	2.3872104	9.199566	0.26381132	1000.0	1000.0	51999	73.14732	4.868346	99.484665	57.18051	-73.29186	0.3604368	776.0465664863586
14	4.4888606	2.6829374	8.955207	2.0013452	2.3712	1.7426666	4.9677663	0.050415233	1000.0	1000.0	55999	62.59648	4.0366387	81.07695	48.20793	-62.770412	0.25071275	836.7774970531464
15	2.5409772	1.0593096	3.7446742	1.1619666	3.2856338	2.7219584	9.259413	0.3009462	1000.0	1000.0	59999	54.192795	3.4147236	74.04161	41.764297	-54.374916	0.18068738	898.135452747345
16	5.708814	1.8177701	6.8912764	2.5638719	3.326058	2.205489	8.18972	0.68632424	1000.0	1000.0	63999	47.78418	2.9164932	60.08715	36.944386	-47.94954	0.136975	958.7944054603577
17	3.9088726	1.4260111	6.2132854	2.5854108	3.478292	2.0857797	6.55882	0.18668704	1000.0	1000.0	67999	41.431976	2.4056194	55.078808	31.463003	-41.57795	0.11878376	1019.3636245727539
18	3.4591534	2.7867143	8.080567	0.7577649	4.4659543	1.6692337	7.618734	2.2219088	1000.0	1000.0	71999	36.96383	3.5693562	63.00081	26.242386	-37.17153	0.17735296	1079.9642550945282
19	2.5136526	1.4766362	4.7265296	1.0116651	3.867319	2.087261	7.9213347	0.52860165	1000.0	1000.0	75999	32.43296	4.4434853	65.36026	22.888964	-32.491215	0.17837861	1140.6695532798767
20	3.7004995	2.271257	6.948662	1.0126994	2.9973104	1.8307683	6.943685	0.23173514	1000.0	1000.0	79999	27.458202	2.7969706	51.680763	20.549887	-27.541395	0.074487135	1201.3261744976044
21	4.6960797	3.1721506	8.598431	0.87843144	3.874984	2.4895346	8.078674	0.71058494	1000.0	1000.0	83999	24.08073	1.8496442	37.767513	18.351141	-24.176594	0.038906775	1262.2795329093933
22	1.6809092	1.1831765	3.4658294	0.2309213	3.7662132	2.5319388	9.118804	0.7479726	1000.0	1000.0	87999	20.876371	1.7391804	32.00291	15.218211	-20.925442	0.02874213	1322.2955150604248
23	5.5908604	1.7892923	7.3325305	2.6020846	5.908107	2.4034321	9.189004	1.2044005	1000.0	1000.0	91999	17.811153	1.5663233	27.269375	12.606525	-17.851433	0.022708908	1382.34889793396
24	4.3058043	2.3147547	8.300133	2.669219	2.9756966	2.2065432	7.367187	0.52168787	1000.0	1000.0	95999	15.190621	1.2758682	24.410702	11.475443	-15.226735	0.014998963	1443.0475227832794
25	3.3458521	1.1542698	5.0782404	1.9441609	4.285748	2.4088671	8.995965	1.2877717	1000.0	1000.0	99999	13.014115	0.9865968	21.238346	9.990911	-13.047134	0.0109337615	1503.5783243179321
26	3.5124795	1.9710891	6.787055	1.6881391	3.8683026	2.020403	6.3916273	0.688399	1000.0	1000.0	103999	11.0713215	0.9272313	19.225807	8.445911	-11.090831	0.00859685	1563.6933970451355
27	5.373741	2.7985394	8.374803	0.99897176	5.9106326	1.9609145	9.350355	2.4738543	1000.0	1000.0	107999	9.290011	0.8083629	18.221386	7.400484	-9.306005	0.006933476	1624.226624250412
28	5.3240066	2.7538435	9.395222	1.8559906	4.5331807	2.157061	7.31393	1.3263764	1000.0	1000.0	111999	7.867252	0.8322959	18.57554	6.0969486	-7.8818755	0.008803801	1684.4132947921753
29	4.3225956	3.2096925	9.256348	0.87410057	3.8285484	2.0160556	6.6105747	0.20256765	1000.0	1000.0	115999	6.5573783	0.6504816	15.739005	5.1226325	-6.5660596	0.005324997	1745.073183298111
30	4.9462676	2.2418258	7.483046	1.4036814	3.8276196	2.157538	6.8627834	0.076547325	1000.0	1000.0	119999	5.511169	0.5973967	15.010784	4.387581	-5.5206885	0.006306679	1805.3651940822601
31	4.872371	3.3150954	9.771017	1.0230287	1.7339224	1.3702527	4.764875	0.12729047	1000.0	1000.0	123999	4.6620193	0.55169564	14.924091	3.7803633	-4.677234	0.006400442	1865.8216042518616
32	5.085434	5.309542	14.194327	1.1836125	3.41936	2.6042774	8.855662	0.25629404	1000.0	1000.0	127999	4.021631	0.54453343	15.439211	3.124821	-4.0359077	0.0060876636	1925.539629459381
33	3.7410588	2.0342274	6.025956	1.265219	4.0249677	2.0743399	7.6527843	1.5985413	1000.0	1000.0	131999	3.5229063	0.57634836	14.02173	2.5180748	-3.539246	0.0064584375	1984.9496791362762
34	3.800099	1.5388297	5.733671	1.6105357	3.525565	1.9240332	6.841686	1.6591414	1000.0	1000.0	135999	3.1725044	0.59120846	13.43664	1.7845335	-3.1902087	0.0066633243	2044.9654397964478
35	4.602009	2.7126074	9.031662	2.351708	2.2163749	1.6701872	5.670182	0.2845973	1000.0	1000.0	139999	2.8593612	0.5417902	12.552569	1.5302794	-2.874063	0.0046898755	2104.6878340244293
36	2.8048806	2.0123718	5.4581738	0.6513163	4.088098	3.6451554	13.673952	1.0843399	1000.0	1000.0	143999	2.6188753	0.51076305	12.446819	1.3982369	-2.6336944	0.0049831267	2164.3281655311584
37	4.1897507	2.4295394	7.967065	1.2004585	4.854305	1.8367618	7.8142395	1.4658277	1000.0	1000.0	147999	2.47358	0.64124316	13.598062	1.3244246	-2.5235453	0.0069143395	2224.5404970645905
38	4.4090543	1.3429624	5.816158	2.9327075	3.5983467	2.6070516	8.682223	0.4371113	1000.0	1000.0	151999	4.1346135	1.0770484	12.774609	1.8167922	-4.281566	0.011304504	2284.6710374355316
39	4.1165633	1.6780933	6.984799	2.7250748	3.0983872	2.2668457	8.855026	0.49953753	1000.0	1000.0	155999	4.7859144	0.80262285	15.138136	3.253542	-4.816567	0.0074678534	2345.2743887901306
