Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	7.4	22.199997	74.0	0.0	1000.0	1000.0	3999	-0.045939278	0.06359578	0.36493072	-0.6681573	0.04455445	5.6909932e-05	32.19600582122803
2	4.25	7.361216	17.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	7999	-0.012635956	0.20444153	9.272646	-0.339148	0.013265705	0.00034795486	68.26961851119995
3	0.0	0.0	0.0	0.0	6.4	19.199999	64.0	0.0	1000.0	1000.0	11999	-0.026394246	0.21376571	9.127484	-0.30546305	0.028034637	0.00028530636	105.91714930534363
4	0.0	0.0	0.0	0.0	18.6	28.688675	72.0	0.0	1000.0	1000.0	15999	-0.026447294	0.20666626	9.622908	-0.13966212	0.027087394	0.00020338113	146.2060809135437
5	15.0	25.980762	60.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	-0.0181777	0.17473271	9.778031	-0.15165742	0.018611334	0.00030934715	187.78500843048096
6	0.0	0.0	0.0	0.0	16.8	25.67411	57.0	0.0	1000.0	1000.0	23999	0.032611076	0.35516155	20.710531	-0.20714258	-0.03346773	0.0012309044	229.88432097434998
7	29.25	29.507414	64.0	0.0	39.2	20.488045	55.0	0.0	1000.0	1000.0	27999	0.09784775	0.6530376	36.215244	-0.12056884	-0.09945948	0.0035124607	272.14781856536865
8	24.0	24.505102	55.0	0.0	16.7	25.651707	62.0	0.0	1000.0	1000.0	31999	0.2506136	0.8040413	28.367647	-0.13085434	-0.25252825	0.0054863035	314.3586800098419
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	35999	0.43013152	1.108104	17.706833	-0.37059194	-0.43346274	0.004274153	356.8804883956909
10	88.0	97.61404	253.0	0.0	50.8	6.5238023	62.0	42.0	1000.0	1000.0	39999	0.6707579	2.198649	35.162987	-0.43016702	-0.67597127	0.0077322847	398.8567626476288
11	45.75	16.39169	61.0	19.0	651.6	249.17911	1000.0	49.0	1000.0	1000.0	43999	1.1816695	3.5296633	50.488678	-0.66803956	-1.1931294	0.013768597	440.9760766029358
12	109.25	125.591354	323.0	0.0	16.2	24.822569	57.0	0.0	1000.0	1000.0	47999	1.9829576	6.1060934	64.75138	-0.695783	-2.0027547	0.028216489	483.38917231559753
13	425.25	404.8749	894.0	0.0	514.3	407.0408	1000.0	0.0	1000.0	1000.0	51999	3.0927355	9.823625	78.05075	-0.39576766	-3.131026	0.09452173	525.6391456127167
14	456.75	410.00876	887.0	45.0	442.9	409.03946	995.0	0.0	1000.0	1000.0	55999	7.08338	18.23793	87.70053	-1.3474803	-7.169419	0.25128412	567.968487739563
15	50.5	37.61981	106.0	0.0	600.4	401.28973	937.0	0.0	1000.0	1000.0	59999	10.318433	22.730215	96.71762	-3.5199974	-10.421368	0.3193938	610.2190027236938
16	623.5	379.87137	1000.0	0.0	529.0	434.26605	941.0	0.0	1000.0	1000.0	63999	14.322683	28.411434	103.29459	-4.5343695	-14.45975	0.3518728	653.3136792182922
17	892.25	57.58201	941.0	798.0	438.9	443.3264	1000.0	0.0	1000.0	1000.0	67999	19.500862	34.5948	108.4288	-5.031236	-19.639378	0.5718165	695.9133422374725
18	669.0	387.237	937.0	0.0	689.9	418.5476	1000.0	0.0	1000.0	1000.0	71999	24.46638	38.650425	113.5916	-5.0362144	-24.596762	0.61597055	738.2631711959839
19	842.0	78.137695	936.0	731.0	636.6	417.80502	935.0	0.0	1000.0	1000.0	75999	29.79536	42.75439	122.57734	-4.322066	-29.95742	0.7625322	780.9002335071564
20	461.25	464.49402	1000.0	0.0	579.4	385.03278	934.0	0.0	1000.0	1000.0	79999	34.72061	46.678383	128.57039	-4.73972	-34.977024	0.9823056	823.1833214759827
21	696.5	197.6316	921.0	386.0	759.7	106.05475	882.0	571.0	1000.0	1000.0	83999	39.587055	50.191914	135.84685	-3.1813667	-39.876865	1.1237582	865.5063073635101
22	800.75	99.35888	941.0	688.0	780.6	175.2057	1000.0	558.0	1000.0	1000.0	87999	45.692574	53.509567	143.60092	-3.0757415	-45.996056	1.1991516	907.9994814395905
23	848.25	123.09016	1000.0	659.0	863.5	113.810585	1000.0	656.0	1000.0	1000.0	91999	51.432186	55.991886	145.056	-2.3468533	-51.771343	1.2713661	950.323077917099
24	859.25	136.41183	940.0	623.0	719.9	257.1643	940.0	0.0	1000.0	1000.0	95999	57.75	57.556267	144.99255	-3.9160151	-58.090218	1.3687556	992.7030334472656
25	808.75	81.28153	940.0	722.0	725.2	274.15866	941.0	0.0	1000.0	1000.0	99999	61.414925	56.91077	145.03458	-1.769198	-61.63759	1.2012758	1034.9627611637115
26	792.0	115.08041	925.0	660.0	881.1	86.43546	1000.0	742.0	1000.0	1000.0	103999	64.35738	56.159584	150.57124	-1.6509428	-64.703064	1.2126889	1077.5343906879425
27	865.25	69.2509	935.0	796.0	847.3	86.87123	936.0	695.0	1000.0	1000.0	107999	68.87193	56.83182	147.63213	-0.47427595	-69.22506	1.1288711	1120.1270017623901
