Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.43329144	0.7504828	1.7331657	0.0	0.99085486	2.9725645	9.908548	0.0	1000.0	1000.0	3999	0.014532803	0.037229117	0.567497	-0.10424096	-0.016854146	2.7764152e-05	36.336341381073
2	0.0	0.0	0.0	0.0	2.1647515	4.790451	15.408417	0.0	1000.0	1000.0	7999	0.5353934	1.21919	6.996163	-0.053537108	-0.54665416	3.7307334e-05	77.90543484687805
3	2.0908755e-33	0.0	8.363502e-33	0.0	2.1556273e-13	6.466444e-13	2.1554958e-12	0.0	1000.0	1000.0	11999	1.7323887	2.0231254	7.6657634	-0.03104842	-1.7440004	9.9114615e-05	121.23753023147583
4	1.5581595e-09	2.6988114e-09	6.232638e-09	0.0	1.2577779	3.7732866	12.577639	0.0	1000.0	1000.0	15999	2.0509694	2.038669	7.4692254	-0.033992045	-2.0597804	0.00011891691	166.9677836894989
5	7.588229	13.142927	30.352448	0.0	0.0038760665	0.01161296	0.038714923	0.0	1000.0	1000.0	19999	1.93116	1.7139996	6.176199	-0.07113877	-1.9418256	0.0006514968	212.4722716808319
6	0.07025308	0.121681914	0.28101233	0.0	0.62695354	1.8808607	6.2695355	0.0	1000.0	1000.0	23999	1.9391229	1.7858334	12.192253	-0.05510173	-1.9730597	0.0014965305	257.77116680145264
7	8.211364e-22	1.422489e-21	3.2845456e-21	0.0	7.8211393	12.478985	32.877037	0.0	1000.0	1000.0	27999	2.2069585	2.2464092	20.11611	-0.020401165	-2.2299366	0.003008647	303.19509840011597
8	0.055398356	0.09595277	0.22159342	0.0	4.138287e-13	1.2414861e-12	4.138287e-12	0.0	1000.0	1000.0	31999	2.4416332	2.279918	27.055273	0.045190334	-2.472542	0.00463476	348.3299264907837
9	0.33786887	0.58520603	1.3514755	0.0	1.0800681	3.2402046	10.800681	0.0	1000.0	1000.0	35999	2.970978	2.8875177	30.764742	-0.033398986	-3.0173402	0.007451065	393.8851103782654
10	12.180871	17.093214	41.32077	0.0	3.1764994e-06	9.525113e-06	3.1751835e-05	0.0	1000.0	1000.0	39999	3.6417696	3.516599	32.57404	0.2783926	-3.6944754	0.0104757035	439.50798082351685
11	0.031161075	0.053972565	0.1246443	0.0	2.632546	7.8927603	26.310822	0.0	1000.0	1000.0	43999	4.3927455	4.2785535	36.14027	0.332029	-4.479986	0.014242655	484.654935836792
12	7.470224e-36	0.0	2.9880897e-35	0.0	0.020700792	0.062102374	0.20700791	0.0	1000.0	1000.0	47999	5.4035993	5.1358056	38.81775	0.18495332	-5.496117	0.019169196	530.360107421875
13	4.6561484	8.064686	18.624594	0.0	0.011883944	0.035651837	0.11883944	0.0	1000.0	1000.0	51999	6.1837945	5.9833536	40.34272	-0.18214485	-6.275659	0.024388203	575.5281324386597
14	19.017979	32.940098	76.0719	0.0	5.939744	17.819233	59.39744	0.0	1000.0	1000.0	55999	7.2610507	7.0853114	41.199177	-1.1178327	-7.3740983	0.029421376	621.3451883792877
15	0.0	0.0	0.0	0.0	6.462948	18.907017	63.168953	0.0	1000.0	1000.0	59999	8.4436035	8.197706	40.75516	-1.5510838	-8.587708	0.04770845	667.0667488574982
16	7.388732	12.797659	29.554928	0.0	0.25964707	0.48440263	1.4959955	0.0	1000.0	1000.0	63999	9.538486	9.060344	46.51722	-0.75647604	-9.68126	0.06361105	712.9192268848419
17	25.489914	43.966175	101.64123	0.0	0.9608919	2.88264	9.60881	0.0	1000.0	1000.0	67999	10.252134	9.361835	45.107388	-0.93253285	-10.361754	0.06121601	758.5156762599945
18	0.09078801	0.15724944	0.36315203	0.0	1.991304	5.9739122	19.91304	0.0	1000.0	1000.0	71999	10.614597	9.485382	42.604046	-0.8016162	-10.724591	0.06539435	803.8364269733429
19	8.961953e-05	0.00015522557	0.0003584781	3.899952e-39	19.08988	38.47879	106.15535	0.0	1000.0	1000.0	75999	10.77866	9.257801	43.562317	-1.1534846	-10.900033	0.0724073	849.4479839801788
20	0.015000385	0.025092382	0.05845278	0.0	0.00014059566	0.00042178622	0.0014059544	0.0	1000.0	1000.0	79999	11.342471	9.154888	44.949352	-0.88747025	-11.479047	0.08191179	895.064035654068
21	10.115939	17.52132	40.463757	0.0	10.11645	25.956015	86.937775	0.0	1000.0	1000.0	83999	12.035092	8.9527235	47.85836	-0.62965214	-12.185092	0.095598	940.4505145549774
22	2.237192e-11	3.8749302e-11	8.948768e-11	0.0	17.508883	52.526646	175.08882	0.0	1000.0	1000.0	87999	12.719585	8.127269	48.596058	-0.5291167	-12.885821	0.095743574	985.9741666316986
23	1.08205654e-07	1.8741768e-07	4.3282262e-07	0.0	1.145429e-19	3.4362874e-19	1.145429e-18	0.0	1000.0	1000.0	91999	13.476551	7.0418363	46.982456	0.3213434	-13.630827	0.08846191	1031.380399942398
24	92.778114	160.69641	371.11246	0.0	34.643238	103.92971	346.43237	0.0	1000.0	1000.0	95999	13.72675	6.356733	47.90136	-0.13026014	-13.863481	0.081808716	1076.6735363006592
25	6.656445	11.529302	26.62578	0.0	2.660572	7.9817157	26.60572	0.0	1000.0	1000.0	99999	13.729168	6.2086005	50.919594	-0.11520648	-13.850911	0.08009425	1122.1339061260223
26	0.0	0.0	0.0	0.0	4.349446	12.248116	41.027477	0.0	1000.0	1000.0	103999	13.707023	6.4054213	54.80237	0.41669783	-13.824	0.07895062	1167.62535405159
27	6.221574e-14	1.07760826e-13	2.4886297e-13	0.0	8.46686e-09	1.8827006e-08	6.0733385e-08	0.0	1000.0	1000.0	107999	13.521053	6.75645	59.48232	1.5150803	-13.636446	0.08379488	1212.999891281128
28	5.0998523e-30	0.0	2.039941e-29	0.0	1.08605895e-14	3.258177e-14	1.08605894e-13	0.0	1000.0	1000.0	111999	13.149599	7.2119107	64.238144	2.0916011	-13.253326	0.08771556	1258.3365397453308
29	61.23126	106.052704	244.91994	0.0	0.0016089765	0.0048269294	0.016089765	0.0	1000.0	1000.0	115999	12.67414	8.011927	70.06274	1.2150127	-12.7689495	0.0880272	1303.7539777755737
30	0.34860614	0.5978544	1.3841035	0.00018062396	71.72669	199.49309	669.77185	0.0	1000.0	1000.0	119999	12.536996	9.173693	75.90789	0.98753273	-12.638035	0.10233377	1349.2566244602203
31	99.09559	171.62471	396.3583	0.0	6.103803	17.073074	57.269672	0.0	1000.0	1000.0	123999	12.534042	10.305599	79.94171	1.0990934	-12.638568	0.117304884	1394.8665792942047
32	6.297363e-17	1.09073524e-16	2.5189452e-16	0.0	3.1284986	9.319025	31.085003	0.0	1000.0	1000.0	127999	12.596543	11.181921	83.312355	0.88204014	-12.710111	0.1380556	1440.5442202091217
33	37.25113	43.51624	106.31473	0.0	1.0499942e-07	3.0960243e-07	1.0336922e-06	0.0	1000.0	1000.0	131999	12.722725	11.78492	87.82739	0.3230638	-12.85182	0.15830146	1486.2336881160736
34	1.0223308	1.7707288	4.089323	0.0	37.4502	112.35003	374.50027	0.0	1000.0	1000.0	135999	13.121588	12.408115	92.43745	-0.12057868	-13.264582	0.19791651	1531.7674384117126
35	0.0024697424	0.004277719	0.00987897	0.0	44.44727	133.34164	444.47217	0.0	1000.0	1000.0	139999	13.760911	13.090858	95.63285	-0.39591658	-13.914448	0.23284991	1577.546079158783
36	0.0	0.0	0.0	0.0	49.164497	98.34959	270.71692	0.0	1000.0	1000.0	143999	14.281215	13.8448715	96.76284	0.36392385	-14.436255	0.25626537	1622.892463684082
37	27.800344	48.151608	111.20138	0.0	1.0142296e-18	3.042652e-18	1.01421856e-17	0.0	1000.0	1000.0	147999	14.853965	14.766556	97.417496	1.1546946	-15.013188	0.2780669	1668.7463965415955
38	46.61858	80.74575	186.47432	0.0	1.868166e-06	5.6044505e-06	1.8681518e-05	0.0	1000.0	1000.0	151999	15.477338	15.045314	97.77596	0.9473629	-15.659109	0.28161833	1714.8161482810974
39	40.65773	70.42125	162.63092	0.0	1.8557688	5.567279	18.557604	0.0	1000.0	1000.0	155999	16.296846	15.667613	99.25417	1.1394304	-16.48355	0.28960186	1760.3135304450989
40	0.0005948231	0.0010209917	0.002363196	0.0	0.29666764	0.89000297	2.9666765	0.0	1000.0	1000.0	159999	17.159328	16.086115	99.66106	0.86915267	-17.357878	0.31125548	1806.1872291564941
41	0.0	0.0	0.0	0.0	2.8439558e-08	8.5315335e-08	2.8438558e-07	0.0	1000.0	1000.0	163999	17.745258	16.5896	108.36979	0.07999107	-17.958704	0.34824762	1851.9182937145233
42	0.01997938	0.034605302	0.07991752	0.0	10.706672	32.120014	107.06671	0.0	1000.0	1000.0	167999	18.602728	17.479378	114.89274	0.40566665	-18.81599	0.37548366	1897.4678854942322
43	21.659807	37.51589	86.63923	0.0	14.654097	43.753983	145.91486	0.0	1000.0	1000.0	171999	19.10691	17.893799	119.9029	0.21948868	-19.29315	0.38913235	1943.4044287204742
