Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	58.719536	54.865326	143.34146	0.0	158.126	211.04607	773.80853	2.0395164	1000.0	1000.0	3999	2.0553906	1.7979234	17.16166	-4.828937	-2.3628955	0.04096047	52.46910119056702
2	84.53041	45.620422	136.28932	11.186843	184.10817	165.0563	508.4643	0.0	1000.0	1000.0	7999	9.360568	5.356412	46.802654	0.28813958	-9.949535	0.054351106	109.04655885696411
3	181.27112	274.72955	656.3018	7.172095	227.89136	166.29482	563.1906	0.0	1000.0	1000.0	11999	21.237946	8.120798	66.48414	-0.8324932	-21.94131	0.18784864	167.71427941322327
4	45.27308	20.692858	65.72258	19.392351	151.67203	148.64806	508.62082	13.020715	1000.0	1000.0	15999	34.50806	10.008441	103.90938	6.6131954	-35.5472	0.4627908	227.22380661964417
5	38.44726	45.103115	114.70312	0.26607984	28.155823	33.439926	121.33876	8.487415	1000.0	1000.0	19999	48.408905	14.763885	130.95827	10.400816	-49.607594	0.6034695	286.536386013031
6	40.25242	19.888447	66.702	21.010923	58.40445	30.192467	124.081764	5.9682474	1000.0	1000.0	23999	63.477257	19.205566	173.0069	20.723793	-64.670784	0.84120893	346.109192609787
7	65.91374	29.52951	99.299034	32.421757	59.792152	62.369102	204.436	0.0077380235	1000.0	1000.0	27999	72.81985	21.758377	223.2657	27.922735	-73.96017	0.9709618	405.6134765148163
8	80.73143	49.816467	140.85744	29.766365	71.67567	88.82256	325.68466	2.5610795	1000.0	1000.0	31999	77.67559	24.167002	246.12231	24.01806	-78.70074	1.0468386	464.93376421928406
9	84.15054	34.781906	140.2458	47.654778	91.76681	103.75349	324.72165	1.0138603	1000.0	1000.0	35999	79.95275	24.972155	279.62463	22.857023	-80.94051	1.2895583	524.8293793201447
10	47.57905	34.389603	87.1571	0.40182638	66.3758	90.92159	303.00952	0.0	1000.0	1000.0	39999	84.68455	24.857801	257.34622	27.279728	-85.71586	1.1978028	584.620968580246
11	212.31485	246.49416	631.89624	15.045349	78.61958	129.48894	459.7043	0.0	1000.0	1000.0	43999	90.36402	26.972729	265.68463	23.086224	-91.66855	1.6677663	644.6336164474487
12	55.03534	34.256435	105.62665	16.72861	152.97153	190.64302	536.82227	19.619282	1000.0	1000.0	47999	100.01965	31.591785	451.93567	28.623522	-101.68445	2.5952177	704.0877513885498
