Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	126.684906	213.18713	495.91925	1.5398407	57.60956	139.03072	474.20184	4.33742	1000.0	1000.0	3999	1.9180485	1.7353164	10.388923	-9.192894	-2.2081738	0.03591248	37.75597882270813
2	125.20875	213.19827	494.47824	1.5434365	104.14756	101.94481	260.29385	29.041878	1000.0	1000.0	7999	22.337042	15.937467	108.01574	1.4909341	-25.290201	1.3582664	78.75503730773926
3	124.587105	195.81856	463.218	1.5870563	248.82333	213.07536	465.36975	28.213282	1000.0	1000.0	11999	179.12135	84.38568	465.7551	24.911177	-194.89284	36.878376	123.77569603919983
4	188.15398	98.1444	260.19037	19.060108	19.288462	5.8169513	28.421398	11.439951	1000.0	1000.0	15999	436.3582	86.71819	985.3804	12.918118	-453.22076	148.33218	172.5484483242035
5	9.617559	3.2634127	13.268934	5.7436395	22.08105	5.4678884	33.941692	16.196203	1000.0	1000.0	19999	627.6037	112.0049	1107.7585	103.60871	-641.8903	236.91856	220.76953983306885
6	20.119268	8.98515	34.803253	10.45232	21.711445	19.402376	76.495026	7.0580006	1000.0	1000.0	23999	706.42285	114.35922	1527.395	-279.36035	-716.13025	254.75435	267.4490761756897
7	99.02494	101.70654	260.61252	9.9626255	104.24308	148.59106	340.83914	2.028624	1000.0	1000.0	27999	721.61694	104.58975	1650.1587	-308.22684	-729.8351	202.0255	315.37596583366394
8	20.593918	11.4005165	35.67984	3.6102083	62.27871	96.54944	255.32492	3.5415037	1000.0	1000.0	31999	700.6421	88.50834	1863.1888	102.952446	-705.1538	162.11284	358.20059967041016
9	16.736917	8.53995	30.72439	9.205867	81.80961	147.27121	466.75165	7.620783	1000.0	1000.0	35999	693.3675	80.89243	1605.8198	303.16037	-704.18085	154.8322	401.77869987487793
10	44.915012	31.561773	97.39391	13.985548	27.315826	4.3800955	35.744095	22.206266	1000.0	1000.0	39999	758.8231	66.70109	1124.2949	410.69003	-770.4834	151.28752	445.39672327041626
11	15.368269	7.3476515	26.858131	6.7888465	75.49046	126.71368	450.2278	12.746452	1000.0	1000.0	43999	1029.9952	182.18886	1962.5819	498.14154	-1063.276	297.602	489.5982737541199
12	74.5074	104.88107	256.0118	9.338204	105.325424	112.181274	262.58493	8.167763	1000.0	1000.0	47999	1285.9255	165.81401	2255.5444	513.3668	-1300.5995	367.37167	532.5687844753265
13	34.10148	11.614737	52.155594	21.544207	93.91043	58.591183	228.5368	36.737366	1000.0	1000.0	51999	1395.6886	219.5374	2584.506	932.56116	-1414.5466	425.08118	574.9552159309387
14	32.611374	28.004646	79.49024	9.675163	13.570584	10.896764	40.987003	4.0378075	1000.0	1000.0	55999	1442.0073	253.37291	2883.1477	782.9272	-1462.6488	401.91156	612.805645942688
15	134.13823	126.467575	275.5799	6.491134	43.40107	59.00958	177.89316	7.0949283	1000.0	1000.0	59999	1632.484	294.14322	3011.475	1155.0934	-1659.0695	437.9322	652.4181959629059
