Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	2.7691543	0.91402113	3.990022	1.6810089	58.032215	93.716125	247.53816	5.41559	1000.0	1000.0	3999	1.8188223	0.6644448	27.7332	-29.207697	-2.0668368	0.07867451	45.861114263534546
2	4.70048	2.2971864	8.035541	2.247147	86.735466	63.703777	267.63693	7.602036	1000.0	1000.0	7999	135.41634	157.70917	947.7648	-2.3666108	-168.96658	53.932533	95.76319408416748
3	132.51778	206.70251	489.63516	0.35558748	170.83723	217.04254	486.4693	0.08916168	1000.0	1000.0	11999	2615.8186	1342.9164	6554.7144	87.93298	-2850.5105	3933.758	147.6800606250763
4	238.79305	237.53032	486.8342	0.44696733	95.39454	108.21418	235.76645	0.2034335	1000.0	1000.0	15999	4909.269	599.88025	8699.784	2075.8296	-4963.1826	6429.6343	201.80837321281433
5	67.12406	92.44368	226.34985	1.4402511	89.58706	141.39255	451.25806	15.914577	1000.0	1000.0	19999	4484.328	533.10645	10734.081	-1646.825	-4533.004	7158.052	255.53743505477905
6	41.257324	37.777668	106.473526	15.402339	158.21848	172.2406	434.863	13.431265	1000.0	1000.0	23999	5003.8984	726.00226	18641.564	-5155.493	-5059.695	12886.047	309.54496145248413
7	20.080267	4.992647	23.934969	11.641652	167.25839	174.34575	443.02454	1.0291322	1000.0	1000.0	27999	4399.655	683.67755	8760.393	-1499.9862	-4427.319	7910.789	363.53227496147156
8	86.78332	138.58937	326.72833	3.1919847	51.92379	81.00936	264.3334	5.209197	1000.0	1000.0	31999	4414.4814	697.0136	11524.332	-867.8337	-4443.244	7353.2114	417.5439715385437
9	144.75883	132.35655	311.9268	11.352752	134.81717	110.9508	256.66858	14.593106	1000.0	1000.0	35999	4521.6084	556.63513	9205.327	2288.418	-4582.475	6539.1504	472.3519675731659
10	71.960625	99.01676	243.26697	10.727469	123.67948	110.135185	252.688	12.002019	1000.0	1000.0	39999	4282.26	505.66403	10641.122	291.79248	-4301.6577	5616.1494	526.3819839954376
11	71.34178	103.71751	250.83286	5.781816	154.83624	146.86122	313.04034	5.1201477	1000.0	1000.0	43999	3936.2249	503.57788	6399.2466	436.2693	-3981.8345	4964.2617	580.4005575180054
12	146.92682	133.29315	280.2113	11.452959	77.56718	112.29712	303.04538	10.003678	1000.0	1000.0	47999	4816.168	952.9855	11243.227	1958.1749	-4908.7183	9031.527	634.7190134525299
13	15.368013	4.5965495	21.527151	9.870604	126.11311	160.5966	493.9245	19.051373	1000.0	1000.0	51999	4640.266	805.0226	7550.875	2108.2588	-4649.546	6999.582	688.1905324459076
14	55.76568	65.653366	168.98438	8.081289	111.204346	147.8242	463.10812	10.795266	1000.0	1000.0	55999	4438.928	539.36615	9902.878	2141.0425	-4507.618	5963.991	742.0939838886261
15	78.83725	100.585	252.6412	10.518713	64.39778	54.994408	167.92351	24.416445	1000.0	1000.0	59999	4628.4927	684.52	8093.9385	2839.2263	-4669.586	8205.142	795.9186217784882
16	41.577374	46.25742	121.24902	9.099721	35.195915	46.320534	172.5388	9.576803	1000.0	1000.0	63999	4301.6274	850.5886	8271.251	1928.6029	-4313.39	7278.155	849.6261389255524
17	36.998226	9.309573	44.624645	21.073973	82.33156	76.2776	235.0987	32.783195	1000.0	1000.0	67999	4115.4136	736.41187	7824.9307	2342.3525	-4208.766	5720.017	903.3994808197021
