Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	8.854332	3.0917323	14.1876745	6.6855626	22.170055	33.07851	119.50609	4.9812975	1000.0	1000.0	3999	0.46157882	0.33778274	1.4375261	-0.6183899	-0.5332755	0.00030973318	43.23832321166992
2	20.818668	11.422795	35.304966	9.494546	31.952215	65.602516	228.17499	4.371969	1000.0	1000.0	7999	2.3869257	0.90726537	5.2053924	0.41381475	-2.558	0.0007383819	91.10393071174622
3	10.705717	4.671296	18.068897	6.2398634	146.06908	304.1911	999.87463	4.2540045	1000.0	1000.0	11999	4.8851643	0.7491992	7.924044	2.5158567	-5.022011	0.0011268654	142.2335660457611
4	189.84985	205.90817	537.5408	4.4766254	162.39226	241.02115	640.20044	4.8618174	1000.0	1000.0	15999	6.523091	0.82664186	14.468445	4.7248673	-6.6179028	0.0021073397	194.76682829856873
5	51.29239	42.466232	104.961784	9.09182	196.70354	304.79565	957.59033	6.351053	1000.0	1000.0	19999	8.631771	2.6527493	28.439047	4.440065	-8.78405	0.0073198224	247.28841614723206
6	255.87057	213.855	498.05075	8.764372	247.78523	381.65402	967.37616	4.3615394	1000.0	1000.0	23999	12.852253	4.6279626	40.172684	5.207955	-13.123501	0.016942633	299.5919394493103
7	12.79623	4.876404	19.9104	6.477156	34.780678	41.63286	138.319	7.025747	1000.0	1000.0	27999	17.714062	6.529496	50.05813	6.9814878	-17.998386	0.020406488	351.9356458187103
8	133.8622	208.63995	495.14536	6.260329	86.22411	142.30096	497.3761	7.525172	1000.0	1000.0	31999	22.138027	8.502728	55.4106	9.253157	-22.560091	0.032007277	404.18592500686646
9	11.601763	4.3742785	17.801199	6.16629	90.82105	240.84937	813.2604	5.954081	1000.0	1000.0	35999	29.255152	8.551269	56.690075	11.863905	-29.714472	0.037326273	456.7759120464325
10	8.407298	2.924094	11.256738	4.094772	252.73491	366.46045	999.72955	7.3076797	1000.0	1000.0	39999	32.937244	7.635048	56.95531	14.980523	-33.300606	0.029052095	508.8829550743103
11	19.548922	19.799646	53.490303	5.813395	25.010828	29.929136	105.3278	5.631283	1000.0	1000.0	43999	34.964317	6.311679	58.750412	15.840116	-35.321125	0.029036373	560.538134098053
12	319.0299	313.34683	643.7022	4.5176373	312.54437	330.4216	999.9436	5.497658	1000.0	1000.0	47999	35.831356	6.5981355	64.265236	20.126774	-36.145683	0.028926304	612.4065787792206
13	8.065412	2.1414871	10.800611	4.7917047	161.36679	239.76175	711.9165	4.180416	1000.0	1000.0	51999	38.19097	8.009596	68.02736	24.636677	-38.664455	0.0543878	663.882572889328
14	167.86783	269.7184	634.98505	7.6819444	94.302864	99.21434	268.8704	4.4281545	1000.0	1000.0	55999	41.9904	9.231632	73.099304	25.27419	-42.551563	0.065432124	715.3968594074249
15	219.90485	282.9904	707.5381	12.757473	164.84424	285.78085	915.26074	8.336135	1000.0	1000.0	59999	46.7271	9.495717	76.19522	26.39648	-47.263084	0.06699138	766.923229932785
16	90.16813	110.927414	277.201	3.9981728	97.8412	174.00089	601.9394	9.159682	1000.0	1000.0	63999	49.636734	9.465962	77.87123	27.7337	-50.10149	0.063660406	818.5473303794861
17	34.86998	17.902182	65.396935	21.735704	134.3815	207.07158	651.587	8.02146	1000.0	1000.0	67999	50.785027	10.119435	80.74702	26.682243	-51.20392	0.05573921	870.094345331192
18	13.6942425	2.573852	17.161173	10.378337	123.22548	222.50967	713.832	4.022225	1000.0	1000.0	71999	50.19228	10.993183	82.874115	27.38137	-50.53974	0.055393096	921.7349035739899
19	165.58229	255.57735	608.1365	8.416864	26.151709	31.88995	115.53915	5.846167	1000.0	1000.0	75999	49.830357	12.111587	84.06052	28.185455	-50.22129	0.053686574	973.4220373630524
20	102.100624	130.90385	327.9715	8.808254	148.31943	231.99799	671.5235	5.672889	1000.0	1000.0	79999	50.247036	13.367387	84.653786	28.817966	-50.624245	0.053346	1025.2426908016205
21	14.370466	7.064299	26.387022	8.266199	201.6787	365.91504	998.2369	4.3473763	1000.0	1000.0	83999	49.41156	13.6660185	86.417404	26.858503	-49.786705	0.049794067	1076.8057630062103
22	134.0393	216.51093	509.0441	7.599652	18.138767	15.506314	59.35756	4.5923467	1000.0	1000.0	87999	48.8542	14.103507	90.49453	27.228071	-49.21219	0.051669624	1128.182676076889
23	591.89465	382.27304	998.93146	26.726158	55.405357	109.713135	380.69232	4.2146134	1000.0	1000.0	91999	48.92197	14.889606	93.26079	27.195381	-49.308617	0.05792553	1179.3615982532501
24	31.120348	29.382534	80.85265	4.796794	74.99714	119.21679	405.57822	7.2070184	1000.0	1000.0	95999	49.908634	16.333315	95.99868	26.207922	-50.32336	0.06395	1230.851642370224
25	215.58287	352.93127	826.8418	7.987776	153.99504	281.26132	837.7546	5.309509	1000.0	1000.0	99999	50.576855	17.375301	96.88068	25.695694	-50.98395	0.064499564	1282.1634194850922
26	78.303894	105.300385	260.09058	6.271096	169.17908	244.23329	646.43384	5.681788	1000.0	1000.0	103999	50.661266	17.971983	100.27851	25.86848	-51.0355	0.059876014	1333.3823864459991
27	55.24122	79.404305	192.5535	5.4690857	118.70927	147.0923	483.35333	5.0347233	1000.0	1000.0	107999	49.957947	18.421082	100.25446	24.727198	-50.276905	0.056714065	1384.3272399902344
28	225.415	369.48398	865.3644	7.922614	142.91354	276.3185	896.49756	5.1079445	1000.0	1000.0	111999	48.571095	19.701689	99.939575	21.87057	-48.877632	0.05701491	1435.827073097229
29	8.006104	3.1347537	12.399537	4.4594793	113.68323	268.15784	914.6617	5.9481864	1000.0	1000.0	115999	47.015026	20.782305	101.71578	21.173637	-47.28705	0.053018127	1487.015531539917
30	54.25419	56.62537	152.00687	14.511847	189.67415	304.86813	998.30597	6.343532	1000.0	1000.0	119999	45.15233	21.467823	105.0175	19.792421	-45.387623	0.056529265	1537.9918830394745
31	46.13374	61.262436	151.72176	5.461757	20.41377	14.627418	52.48337	7.307166	1000.0	1000.0	123999	42.921886	21.800247	106.56008	18.049665	-43.13118	0.05570741	1589.2083451747894
32	9.417387	2.9036593	14.314333	6.712428	134.66048	293.79196	1000.0	5.6303906	1000.0	1000.0	127999	40.622227	22.494621	107.0374	16.128675	-40.827984	0.055816475	1640.2042362689972
33	249.4954	276.17624	702.3483	5.3382335	158.47397	297.38568	984.74365	5.922568	1000.0	1000.0	131999	39.294853	23.602932	106.73493	14.000379	-39.53644	0.06439385	1691.18412899971
34	87.87465	135.90588	323.26233	7.5605426	309.20868	390.18997	974.0605	5.9590335	1000.0	1000.0	135999	39.427795	24.8992	108.28839	13.331214	-39.69146	0.06405302	1742.2046630382538
35	144.87552	94.19388	244.61987	47.943874	38.820854	68.21692	240.11308	5.1948757	1000.0	1000.0	139999	38.84858	25.307522	108.318565	12.692154	-39.080658	0.063919574	1793.339757680893
36	11.602258	6.412044	18.686014	4.447633	82.45091	132.50871	409.83344	5.4618855	1000.0	1000.0	143999	37.91339	25.333097	109.57163	12.482908	-38.12168	0.06265562	1844.297952413559
37	19.634304	11.398694	38.24966	9.402891	11.438147	5.181537	23.320827	3.9678092	1000.0	1000.0	147999	36.248154	25.057297	109.56733	12.250771	-36.427593	0.06296456	1895.3737366199493
38	68.433426	82.43558	210.87837	13.112293	94.36986	171.05873	560.8027	5.587913	1000.0	1000.0	151999	34.774937	25.056202	108.582596	12.268934	-34.948677	0.062411796	1946.512467622757
39	284.68945	404.50638	978.10535	4.137115	79.28398	188.45758	642.57947	4.710738	1000.0	1000.0	155999	33.808754	25.311356	108.70854	11.774491	-33.999134	0.060784355	1997.598539352417
40	147.85637	148.35583	375.98004	10.690407	458.95663	452.25864	999.9619	4.717403	1000.0	1000.0	159999	33.29621	25.760307	109.65853	10.351458	-33.474712	0.067607805	2048.5730810165405
41	337.82928	339.72882	795.39905	5.4695373	126.931015	181.34077	458.4057	4.6200533	1000.0	1000.0	163999	32.901276	26.288784	111.738365	9.468721	-33.06554	0.06615144	2099.4138300418854
42	8.4025345	4.938721	16.851948	4.6556063	117.6674	243.96208	798.6811	4.184309	1000.0	1000.0	167999	32.0948	26.697046	112.26249	8.279949	-32.26454	0.07200806	2150.4220690727234
43	491.07867	478.7314	987.78235	9.301842	32.886402	35.0517	124.63974	7.0723987	1000.0	1000.0	171999	32.110554	27.39203	113.093605	8.803909	-32.317486	0.0727735	2201.8426644802094
44	17.025301	10.959009	34.50841	4.9163256	34.208256	26.67306	89.71443	4.630173	1000.0	1000.0	175999	32.29268	27.81721	114.5017	8.853266	-32.479652	0.070110105	2253.0283143520355
45	251.40578	399.8735	943.9981	17.32129	250.58945	384.81528	999.3117	4.19671	1000.0	1000.0	179999	31.790907	28.060516	114.9223	8.544166	-31.969704	0.071019635	2304.1918392181396
46	22.381622	14.256225	43.756897	4.5751624	290.94324	373.93652	967.199	4.9097896	1000.0	1000.0	183999	31.567072	28.52164	116.00017	8.640428	-31.740593	0.07196504	2355.332238674164
47	498.35394	475.62497	981.9875	8.509627	397.5253	336.70084	984.3104	15.440147	1000.0	1000.0	187999	31.764248	29.11738	117.88958	8.259272	-31.958805	0.073819384	2406.5723960399628
48	250.41258	402.57605	947.51984	10.44891	15.34994	8.277112	35.84199	8.294626	1000.0	1000.0	191999	32.45424	30.008112	119.95905	7.939335	-32.66292	0.08470659	2457.6920731067657
49	405.66425	415.1184	1000.0	7.6595764	383.85782	402.0396	965.2714	4.5816274	1000.0	1000.0	195999	32.659405	30.625309	121.34377	8.734385	-32.84155	0.084318854	2509.007348060608
50	8.969791	2.2103138	12.273313	6.056119	45.55142	71.17797	251.1954	7.8344774	1000.0	1000.0	199999	32.81655	31.939398	123.772865	8.476343	-33.012867	0.08861169	2560.262085199356
51	694.43604	395.97766	963.74835	12.793776	43.548775	104.620705	357.1391	4.535471	1000.0	1000.0	203999	33.2083	33.126247	124.872406	8.746204	-33.41014	0.08150023	2611.6274807453156
52	146.90569	230.29337	545.34454	4.91641	249.12619	366.42065	996.1513	4.5180793	1000.0	1000.0	207999	34.02572	34.733093	126.4023	8.807107	-34.210697	0.08643149	2662.6355969905853
53	279.29718	377.06018	922.19336	6.8457584	310.3573	347.9741	878.512	6.458772	1000.0	1000.0	211999	33.808525	35.25233	125.73267	7.7805037	-33.98025	0.08431413	2713.9808044433594
54	501.7801	325.39844	886.6811	19.62736	18.135838	14.391446	52.419147	3.7765596	1000.0	1000.0	215999	34.01822	35.782604	125.013	6.971717	-34.18436	0.0857615	2765.4071340560913
55	7.5875196	1.9451836	10.938076	6.2970467	158.0314	291.32062	999.98895	6.4667664	1000.0	1000.0	219999	34.03398	36.07063	124.33833	6.8753176	-34.21676	0.081052996	2816.778422832489
