Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	22.597973	1.3684934	24.35316	20.527924	24.63303	18.9989	60.95469	4.3392434	1000.0	1000.0	3999	2.0430276	0.82429785	4.031394	-4.0871415	-2.2209055	0.048619706	45.095412731170654
2	21.14362	1.7653307	24.132198	19.637693	19.465836	9.3353405	41.54168	9.717341	1000.0	1000.0	7999	1.8774375	0.87315077	7.255489	-0.28246957	-1.9029543	0.010767593	91.18818163871765
3	37.609554	14.198537	58.45785	22.23297	35.072063	16.018389	59.18807	17.094553	1000.0	1000.0	11999	3.3685067	1.2123559	9.457805	0.65971243	-3.4990413	0.011794256	139.98867964744568
4	39.96177	13.659285	54.71975	17.707594	31.42474	15.542056	57.982254	10.221171	1000.0	1000.0	15999	4.6535635	0.6131185	9.032961	0.4006377	-4.681282	0.011124436	191.0718891620636
5	36.11407	12.674613	52.10132	17.612852	35.990635	11.8363285	58.452103	17.687931	1000.0	1000.0	19999	4.6480093	0.5946071	7.395189	0.15381128	-4.675045	0.0056447135	241.4425506591797
6	36.743164	18.49532	58.76948	18.322779	30.36237	19.469131	60.155468	9.348305	1000.0	1000.0	23999	4.6725335	0.35710192	7.237228	2.9771712	-4.6877713	0.0030558647	291.1912808418274
7	47.827717	17.23789	58.593662	17.995848	41.61436	19.29039	58.7658	17.718302	1000.0	1000.0	27999	4.646848	0.55746764	7.052114	3.0603197	-4.6612687	0.0019297384	342.68020272254944
8	45.807823	13.055927	59.134296	31.29082	24.60722	8.500703	32.49594	13.62508	1000.0	1000.0	31999	4.8173437	0.78352416	7.6675024	3.0180113	-4.854164	0.0023278485	393.9276487827301
9	23.845078	6.4621816	34.58539	17.294785	22.356457	8.519206	33.83595	9.952421	1000.0	1000.0	35999	5.506224	0.9119279	9.725792	2.6480505	-5.562775	0.006071709	443.0719645023346
10	24.273212	2.783939	28.332804	20.516506	29.13852	9.640848	56.077557	22.213453	1000.0	1000.0	39999	6.595878	1.6156049	11.507418	3.5672631	-6.7311554	0.010607208	491.7491612434387
11	22.479902	0.9992888	23.802404	21.056356	23.840307	6.6254234	34.781155	16.994751	1000.0	1000.0	43999	8.111784	2.0883963	12.77458	4.445869	-8.215183	0.005701766	540.7094819545746
12	29.218182	15.5504875	55.970448	18.12398	32.34142	5.139175	44.231243	26.599752	1000.0	1000.0	47999	8.860623	1.7227978	14.302518	4.8209424	-8.954908	0.006430907	589.3916087150574
13	35.211044	12.219614	50.98717	20.422276	28.285028	15.219412	50.046932	9.3653	1000.0	1000.0	51999	9.589638	1.2608194	14.268678	5.417413	-9.706728	0.009296805	638.4177339076996
14	29.139473	8.602905	43.82705	22.93034	55.11686	7.5159717	64.90367	34.795723	1000.0	1000.0	55999	10.682214	0.6860284	14.856311	7.522703	-10.817908	0.008928582	687.5343255996704
15	50.382442	17.57565	66.74123	21.305513	56.224934	4.408881	62.95462	50.99764	1000.0	1000.0	59999	11.359477	0.72375464	15.774176	8.977107	-11.461436	0.0075232517	736.4588148593903
16	54.87131	20.57	86.13428	30.26125	31.736593	17.080606	60.04226	18.775126	1000.0	1000.0	63999	11.687949	0.89485013	15.903956	9.22168	-11.788709	0.009765528	785.2743673324585
17	61.824657	10.303353	75.910225	47.080547	25.149687	13.153246	56.682076	12.502636	1000.0	1000.0	67999	11.801723	1.0642399	15.339743	9.245779	-11.888583	0.009643117	834.2446024417877
18	53.981815	20.557388	74.16294	20.351833	68.24867	9.186226	85.06475	54.06079	1000.0	1000.0	71999	12.079565	1.0799767	16.500982	9.279032	-12.198936	0.013006748	882.7778816223145
19	58.306427	19.52591	72.017586	24.595367	60.713478	4.2054243	67.08816	54.887154	1000.0	1000.0	75999	12.811386	0.9335459	17.59368	10.000622	-12.931125	0.013730006	931.7312848567963
20	81.623055	13.227717	99.81399	68.855446	83.364494	6.9210286	93.144	73.89087	1000.0	1000.0	79999	13.110719	0.9041585	18.553293	10.1521435	-13.219119	0.014889291	980.700109243393
