Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	33.592735	47.18129	114.11317	0.12728615	1000.0	0.5488957	0.968626	1.6491488	-1.5910645	4000	2.4795533e-08	32.57441	-0.0012006855	-12.579409	0.9281429	0.0018798853	0.00225	1.0	9.205247640609741
1	55.55484	29.532854	85.47704	11.412921	1000.0	2.2550583	2.8652682	7.8323727	-6.0128636	8000	-2.193451e-08	38.57525	-0.006101265	-20.502018	0.90064186	0.0063989214	0.04725	79.0	17.54794430732727
2	18.48721	20.944298	54.016357	0.15917057	1000.0	3.9502413	2.6705744	10.960311	-2.3080015	12000	0.0	21.15546	-0.0066682873	-12.884915	0.9210008	0.004874605	0.046	79.0	26.03835153579712
3	31.268616	31.716015	77.99198	1.982692	1000.0	2.7318814	1.9130203	9.316569	-2.1877813	16000	-3.8146974e-09	16.97673	-0.004874334	-6.018612	0.8947007	0.0038215152	0.04075	79.0	34.36765909194946
4	15.92506	16.385912	39.861843	0.11603615	1000.0	1.4874212	2.3408055	9.1655655	-4.2171	20000	9.059906e-09	15.156483	-0.00779682	-3.9623976	0.8951306	0.0071079065	0.07525	79.0	42.57644009590149
5	25.869816	42.3152	99.13124	0.28398675	1000.0	1.7440716	1.8006518	9.162039	-3.6071725	24000	2.9087067e-08	19.870436	-0.0078370245	-9.453898	0.84973705	0.0051492117	0.0515	79.0	50.91785407066345
6	24.511002	32.166172	78.746864	0.25378808	1000.0	2.8778822	3.2407835	11.200087	-2.3416696	28000	2.861023e-09	10.415502	-0.008583543	-5.5336547	0.8487172	0.007709925	0.059	79.0	59.3631386756897
7	49.389038	18.865622	71.66771	26.163393	1000.0	3.236306	3.0379665	12.874687	-2.7229612	32000	-1.1444092e-08	15.1320715	-0.007379513	-8.0812645	0.8842211	0.0036445744	0.04675	79.0	67.71504211425781
8	8.030718	10.829658	26.780794	1.3068813	1000.0	4.2026186	2.188689	11.604865	-0.28386748	36000	-1.9073486e-08	14.651493	-0.010256687	-12.900057	0.8677919	0.0029513265	0.05625	79.0	76.07340860366821
9	15.438799	14.805111	33.709496	0.80007744	1000.0	0.8834816	1.3430493	7.373959	-2.0110936	40000	1.9073487e-09	12.3072605	-0.006277107	-5.8394046	0.8415647	0.010378838	0.08325	79.0	84.48018884658813
10	46.38446	38.83536	87.51438	0.051554486	1000.0	2.0583477	2.170335	11.02256	-1.9478488	44000	1.6570091e-08	17.079758	-0.0024882962	-11.659902	0.8271699	0.0040486236	0.00925	2.0	93.074458360672
11	18.205608	22.945745	57.584843	0.96744806	1000.0	3.2780156	2.461737	11.784929	-1.6576012	48000	5.722046e-09	13.947088	-0.008942506	-9.237553	0.8506375	0.0066067767	0.06675	79.0	101.48722839355469
12	58.582615	39.57483	108.33147	0.5920806	1000.0	3.0557163	2.7582464	13.755472	-2.628882	52000	1.525879e-08	28.364899	-0.0069567836	-15.871376	0.85080695	0.0071946336	0.06	79.0	109.6276159286499
13	29.48742	38.533035	94.107254	0.069866784	1000.0	5.3194833	3.1070375	13.932036	-2.8683825	56000	0.0	18.80293	-0.009145387	-13.423422	0.8486289	0.007642923	0.07875	79.0	117.82766246795654
