Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	1.9648082	0.5280566	2.6770868	1.1929241	1000.0	0.012792205	0.09724562	0.25487033	-0.24031183	4000	1.9073486e-08	0.07050542	-0.0032876492	-0.04928139	0.91959494	0.0027073992	0.01475	79.0	11.745626449584961
1	8.525182	5.5070906	17.766174	3.3361144	1000.0	0.16340278	0.06356996	0.30458394	-0.010195833	8000	5.9127807e-08	1.1903081	-0.0039627543	-0.58175147	0.89088887	0.0014186298	0.02925	79.0	21.352160692214966
2	14.093176	4.4056625	19.771734	7.9588227	1000.0	0.54897386	0.5265365	1.5307201	-0.86669046	12000	2.8610229e-08	2.3289487	-0.0060923574	-1.7354507	0.8960197	0.007224789	0.065	79.0	30.947940587997437
3	34.63248	7.5262265	45.421925	25.698166	1000.0	-0.0781733	0.68873614	1.4342679	-2.1809778	16000	7.05719e-08	16.76185	-0.0033281287	-12.917421	0.8947146	0.003686504	0.02475	79.0	40.70164608955383
4	28.487034	13.059124	47.508213	10.63686	1000.0	1.9799942	1.0145521	4.69637	-1.1777965	20000	2.2888184e-08	6.35925	-0.006201584	-3.2706704	0.8784288	0.0034370474	0.0325	79.0	50.22812628746033
5	12.108175	11.456684	31.781624	3.3507788	1000.0	4.347089	1.644967	8.15545	0.9439312	24000	-4.9591065e-08	8.69884	-0.006904045	-7.55577	0.8876117	0.0077056517	0.07375	79.0	59.719236612319946
6	89.0588	33.494423	138.32733	50.04501	1000.0	3.7100098	2.112418	6.597191	-0.014628381	28000	7.629395e-09	56.862877	-0.0052624224	-44.092506	0.8627238	0.0018574077	0.0345	79.0	69.18163585662842
7	149.69522	19.124474	173.3324	126.92648	1000.0	10.0711	4.8955364	17.279665	0.38837546	32000	9.059906e-09	70.0565	-0.006562918	-56.65413	0.86363566	0.008010968	0.062	79.0	78.86512327194214
8	152.96	73.91258	227.11264	43.574585	1000.0	14.877459	8.158641	27.413988	2.9438586	36000	-1.3351441e-08	71.794624	-0.004314101	-43.917686	0.86715406	0.0058541643	0.06375	79.0	88.38083553314209
9	173.89874	12.843953	191.78242	157.5616	1000.0	19.487108	11.991621	36.16987	2.6084504	40000	0.0	26.078876	-0.006460655	-12.617235	0.8444686	0.0032527929	0.049	79.0	97.97291946411133
10	225.45474	42.73071	272.88794	170.69923	1000.0	23.553225	14.5969715	39.81168	1.8928088	44000	-1.0490417e-08	53.581085	-0.003922098	-25.166752	0.81716686	0.00277558	0.0395	79.0	108.0803017616272
11	222.44232	16.226704	238.4128	201.10287	1000.0	26.726078	14.567087	46.31498	2.4004467	48000	1.9073487e-09	34.342422	-0.007072376	-21.342293	0.81676286	0.005230942	0.073	79.0	117.69284391403198
12	200.47252	18.760065	224.30724	174.94948	1000.0	23.047285	12.859767	47.23012	2.7894428	52000	0.0	8.086136	-0.009180637	-4.6311684	0.803698	0.0065139993	0.082	79.0	127.27068090438843
13	227.66655	11.637038	242.6259	212.36041	1000.0	25.055765	12.359318	48.003693	2.931008	56000	5.722046e-09	21.251364	-0.006406965	-15.726143	0.7801881	0.0055976356	0.0705	79.0	136.9487338066101
14	270.49576	14.435032	287.3744	252.65236	1000.0	27.608974	11.634292	48.222965	3.5119798	60000	1.525879e-08	11.584192	-0.007999885	-5.9921656	0.7832045	0.0061801607	0.08125	79.0	146.52231001853943
15	294.01367	9.488501	307.26666	280.68643	1000.0	31.697414	11.921164	50.5352	5.3348403	64000	-5.722046e-09	9.964441	-0.008184931	-4.9417744	0.75854915	0.0056440895	0.07275	79.0	156.11369347572327
16	286.16748	20.506947	314.07996	262.36444	1000.0	29.37243	10.764922	51.522327	5.9089684	68000	-1.9073486e-08	8.299035	-0.007848428	-3.92694	0.72773194	0.009170922	0.09525	79.0	165.7261607646942
17	308.78107	45.09799	386.14926	275.06747	1000.0	30.714176	11.322977	53.21014	6.61339	72000	-5.2452087e-09	19.525688	-0.010719412	-9.785348	0.7601071	0.009360956	0.0845	79.0	175.29381227493286
18	312.6509	20.758171	333.89844	287.99402	1000.0	33.281803	11.438326	55.473587	8.058469	76000	6.198883e-09	9.372885	-0.009326079	-4.968197	0.7143551	0.00988427	0.105	79.0	184.86192893981934
19	339.24847	34.703228	380.98282	285.6063	1000.0	34.186962	11.090204	57.15069	8.537284	80000	1.4305114e-08	15.8610525	-0.005416748	-8.156881	0.6885385	0.015695274	0.19125	7.0	194.30801367759705
20	392.29138	50.25522	477.03925	348.77597	1000.0	41.20483	12.142645	58.851627	10.198238	84000	-2.1457671e-09	51.28478	-0.0047421632	-28.93577	0.6942707	0.0031319426	0.0435	79.0	204.28772950172424
21	421.0638	23.46844	459.4863	396.53467	1000.0	44.90917	15.511408	66.75783	9.500318	88000	-5.722046e-09	26.238993	-0.006688144	-15.154944	0.6626606	0.0072984193	0.07725	79.0	213.81187534332275
22	427.4021	27.670507	475.12656	407.3521	1000.0	46.255657	13.86523	68.10661	10.51493	92000	-1.1444092e-08	29.133348	-0.0058928295	-21.955555	0.65736496	0.005108387	0.0545	79.0	223.41578578948975
23	406.38058	5.5554266	413.31485	398.08353	1000.0	46.349	13.392271	69.02619	12.285418	96000	-3.8146972e-08	17.0822	-0.0065894164	-10.946861	0.6499854	0.006028714	0.06525	79.0	233.05285668373108
24	445.68506	18.975357	470.96356	419.0753	1000.0	45.88198	13.280581	68.24314	11.305361	100000	5.3405763e-08	17.182487	-0.0076132813	-11.880943	0.617617	0.008546924	0.076	79.0	242.6047821044922
25	425.38464	17.774736	450.66943	406.6119	1000.0	47.558334	13.3999	69.8985	12.492278	104000	1.3351441e-08	6.9553947	-0.007908965	-3.103323	0.6555165	0.0063554295	0.07075	79.0	252.24259638786316
26	444.51984	46.87095	516.84644	395.61737	1000.0	48.77393	13.633924	69.20451	12.639901	108000	4.7683715e-09	27.866985	-0.007184892	-15.145853	0.6298319	0.003952744	0.06975	79.0	261.85987997055054
27	470.23737	3.1225708	473.58173	466.05002	1000.0	50.252808	13.203307	70.966194	13.849989	112000	1.1444092e-08	9.884486	-0.009911152	-5.1513987	0.6012421	0.010685287	0.08875	79.0	271.3676073551178
28	467.59854	57.82138	543.77026	394.68933	1000.0	51.120804	13.279546	72.59288	14.807563	116000	-1.0967255e-08	37.65571	-0.006832289	-25.23056	0.60222054	0.005501599	0.059	79.0	280.8459086418152
29	518.0092	54.286263	599.48126	467.36624	1000.0	53.67818	14.44904	74.60172	16.54653	120000	3.6239623e-08	23.40756	-0.008736636	-12.274748	0.6135255	0.010623695	0.09925	79.0	290.4659194946289
