Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	0.0	0.0	0.0	1000.0	0.017512074	0.61642927	1.0897659	-1.2094383	4000	-1.1444092e-08	0.35701382	-0.0047701625	-0.3308983	0.92647654	0.008819889	0.059	79.0	11.795622825622559
1	0.0	0.0	0.0	0.0	1000.0	0.08814929	0.099643186	0.3384035	-0.21784122	8000	7.629395e-09	0.016227232	-0.005240959	-0.014767087	0.91714144	0.004143018	0.041	79.0	22.457611322402954
2	0.0	0.0	0.0	0.0	1000.0	0.016188756	0.026956875	0.08604956	-0.072292924	12000	7.629395e-09	0.0008854596	-0.0043183058	-0.00059537945	0.9085734	0.0043057585	0.04125	79.0	33.04518723487854
3	1.0	1.7320508	4.0	0.0	1000.0	0.0036356864	0.015043422	0.044910263	-0.06621263	16000	1.1444092e-08	0.19991612	-0.0027182435	-0.0633744	0.88536066	0.011446667	0.082	79.0	43.281020641326904
4	0.0	0.0	0.0	0.0	1000.0	0.07308418	0.16645788	0.7590132	-0.22535284	20000	-9.536743e-09	0.032457028	-0.0031838263	-0.03163256	0.9014834	0.005337464	0.043	79.0	53.76040172576904
5	0.0	0.0	0.0	0.0	1000.0	-0.0181021	0.050250452	0.062115625	-0.22664993	24000	1.9073487e-09	0.002580017	-0.0055444106	-0.002210122	0.92613983	0.0054077925	0.051	79.0	64.48053979873657
6	6.5	8.616844	21.0	0.0	1000.0	0.012230183	0.03151327	0.1500383	-0.046178326	28000	3.8146974e-09	3.2335	-0.0044050883	-1.9310554	0.87441736	0.0049917083	0.0465	79.0	75.13061809539795
7	3.75	3.7666297	8.0	0.0	1000.0	1.0452985	1.2115954	4.4259577	-0.44810182	32000	0.0	1.7339505	-0.005473774	-1.2806854	0.8750433	0.0018373649	0.0335	79.0	85.84483766555786
8	7.5	8.9861	22.0	0.0	1000.0	0.39462623	0.6960731	3.0914664	-0.91665626	36000	-7.629395e-09	4.2869763	-0.002922226	-2.745637	0.8655547	0.005993208	0.04925	79.0	96.48236799240112
9	8.75	12.437343	30.0	0.0	1000.0	0.797396	1.4725544	9.330214	-0.85404813	40000	-3.8146974e-09	5.0163717	-0.0020051042	-3.53272	0.8944648	0.014533395	0.17275	13.0	106.39586782455444
