Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	117.84697	12.745843	130.87181	102.38976	1000.0	0.210055	1.0949787	2.2436326	-1.8803208	4000	-1.3160705e-07	153.93872	-0.015977658	-74.09428	0.9245632	0.005372466	0.0885	79.0	11.614069938659668
1	131.83104	19.455433	162.21806	110.21216	1000.0	3.5848925	5.5145955	11.709852	-8.672643	8000	-1.9073486e-08	189.2423	-0.016953945	-162.04677	0.9265878	0.0056078727	0.0955	79.0	21.17350435256958
2	106.61234	13.431351	117.74026	83.699425	1000.0	11.08847	4.176748	19.78076	-2.679061	12000	-7.629395e-09	29.444246	-0.013809124	-23.484138	0.9076279	0.005983774	0.06725	79.0	30.80996537208557
3	123.02088	15.39584	144.81616	103.228645	1000.0	11.730199	4.1800957	19.872784	3.0768197	16000	-8.5830685e-09	14.505427	-0.01946765	-9.478448	0.928647	0.006802438	0.1005	79.0	40.52338099479675
4	124.17418	3.6711764	127.65515	118.14253	1000.0	12.933978	4.256297	20.982399	3.4867017	20000	1.8119811e-08	10.993158	-0.01848534	-6.372031	0.87953216	0.0126126185	0.091	79.0	50.21490716934204
5	116.502884	8.807566	126.9398	107.176674	1000.0	13.074079	4.347022	21.3113	3.7168663	24000	-4.7683715e-09	7.867319	-0.019793052	-4.039172	0.8778873	0.007888251	0.10675	79.0	59.93199706077576
6	123.17664	21.60589	144.90004	89.09309	1000.0	13.325732	4.3096366	20.779564	2.6708782	28000	8.5830685e-09	8.467266	-0.019301945	-4.431549	0.86744756	0.006826811	0.09325	79.0	69.7743592262268
7	111.29453	10.110866	125.81933	98.46192	1000.0	13.665857	4.437398	21.48773	2.5989876	32000	1.3351441e-08	8.596135	-0.021574354	-5.771344	0.8511885	0.010154959	0.10625	79.0	79.40510106086731
8	105.51381	22.50734	133.77255	83.02626	1000.0	12.076731	4.2279778	21.187876	3.0220063	36000	0.0	8.189283	-0.015605943	-4.181075	0.83639795	0.011462345	0.10175	79.0	88.97488379478455
9	125.46495	9.62185	133.93843	110.33612	1000.0	12.73827	3.9736745	20.81778	2.0310173	40000	-1.3351441e-08	7.8808928	-0.020678194	-5.225209	0.80551976	0.009560484	0.1045	79.0	98.57806444168091
10	126.45429	13.187839	140.28546	107.67833	1000.0	13.735283	4.1312327	21.91773	3.912369	44000	7.152557e-09	5.916669	-0.018029934	-3.7372396	0.7718641	0.012497941	0.10675	79.0	108.61281323432922
11	139.87947	10.55094	151.10268	122.812386	1000.0	14.661388	4.198037	23.231836	3.0146635	48000	6.198883e-09	8.134497	-0.021801285	-4.6255465	0.7820802	0.012406444	0.10475	79.0	118.24617147445679
12	136.88425	9.991595	151.52806	125.956116	1000.0	14.911098	4.034199	23.659523	4.8312564	52000	-1.9073486e-08	5.9982104	-0.01998441	-3.8136013	0.76080364	0.0064994083	0.11025	79.0	127.75550031661987
13	117.0264	11.613331	131.31853	104.07995	1000.0	14.87169	3.973225	23.98088	4.7069893	56000	-6.198883e-09	10.726643	-0.023067867	-9.116377	0.76682115	0.011037615	0.11575	79.0	137.30059719085693
14	132.89743	18.184603	151.51392	104.04312	1000.0	12.678918	3.284421	22.173334	4.7721324	60000	1.1444092e-08	9.4982605	-0.024834149	-7.345937	0.780229	0.007507177	0.116	79.0	146.9009711742401
15	125.04321	15.637612	142.58218	108.19203	1000.0	14.64311	3.3601434	21.876787	4.341033	64000	5.722046e-09	9.17062	-0.021870663	-7.1394267	0.7505022	0.008649348	0.11275	79.0	156.63178658485413
16	139.53809	5.961541	147.70139	131.1418	1000.0	13.902359	3.360053	22.773901	5.757504	68000	7.629395e-09	5.2759557	-0.024927353	-3.5993152	0.7533415	0.014331089	0.12425	79.0	166.4617156982422
17	138.5672	14.102569	157.56384	119.00738	1000.0	14.592937	3.308397	21.788572	3.717655	72000	1.7166137e-08	4.7091	-0.025908018	-3.2640972	0.7195824	0.010871185	0.1225	79.0	176.09186840057373
18	139.9978	7.700013	147.74342	129.13258	1000.0	15.482236	3.6459532	23.696741	5.473146	76000	2.3841857e-09	4.6635685	-0.023562746	-3.4375248	0.71049136	0.014547359	0.13	79.0	185.64334297180176
19	124.88637	8.964862	139.05836	114.4629	1000.0	14.095988	3.22597	21.935698	5.106929	80000	5.722046e-09	6.393818	-0.021250503	-4.6474113	0.6986516	0.011604724	0.11525	79.0	195.25173664093018
20	131.75458	9.591878	142.3118	117.65188	1000.0	13.700268	2.8880563	19.92081	4.4074707	84000	-1.0490417e-08	6.090575	-0.025230058	-4.3422756	0.68718886	0.010037626	0.136	79.0	205.22318720817566
21	130.25609	8.421584	141.10472	117.99539	1000.0	13.560299	3.2241144	22.464622	5.2560935	88000	2.861023e-09	6.4291487	-0.023237016	-4.236222	0.6484494	0.010264069	0.12025	79.0	214.78518414497375
22	144.76413	13.6478	165.19293	127.78076	1000.0	14.375982	3.2351766	24.400103	5.546324	92000	-9.536743e-09	9.604104	-0.023867762	-6.892187	0.63668126	0.013709317	0.12125	79.0	224.31434392929077
23	132.70552	16.397337	152.07823	106.8735	1000.0	14.583337	3.231417	24.62093	5.562814	96000	-2.169609e-08	6.857112	-0.026511893	-5.2178087	0.62562716	0.014868868	0.14175	79.0	233.8978729248047
24	137.84155	18.41579	149.6584	105.9706	1000.0	14.726988	3.3634627	26.2992	5.2551017	100000	-1.9073487e-09	10.329834	-0.026117772	-7.4975724	0.6107818	0.010492301	0.12875	79.0	243.48045992851257
25	131.5932	13.880862	144.99701	113.01356	1000.0	14.685185	3.5878155	25.901972	4.9094987	104000	0.0	5.282755	-0.027903734	-3.781581	0.5952514	0.012766368	0.1575	79.0	253.07206344604492
26	140.65988	9.689215	157.09293	132.06927	1000.0	14.363717	2.958364	21.491116	6.050326	108000	-3.8146974e-09	5.731065	-0.025652044	-4.4121017	0.5645095	0.013989099	0.1275	79.0	262.5994973182678
27	135.34029	8.699971	145.20296	124.81182	1000.0	14.161688	2.998859	22.088253	5.4160185	112000	-2.2888184e-08	5.807619	-0.03020345	-4.67822	0.561975	0.014895159	0.13475	69.0	272.1148462295532
28	143.39236	9.038969	158.50398	134.61813	1000.0	14.539386	3.0754788	24.8688	6.1068296	116000	-7.629395e-09	4.768411	-0.027878797	-2.874593	0.5425789	0.013921995	0.16075	79.0	281.5959270000458
29	149.35797	9.215537	162.09709	138.27078	1000.0	15.735914	4.016217	26.787287	6.7327347	120000	-1.1444092e-08	4.564599	-0.025299514	-3.0257196	0.5264824	0.013879859	0.148	79.0	291.2233250141144
30	150.76266	7.7075105	160.72621	142.97743	1000.0	15.749422	3.6150846	26.592045	6.5716395	124000	9.536743e-09	8.265028	-0.023310449	-5.889182	0.5030947	0.007723075	0.14325	79.0	301.29516434669495
31	143.28009	8.838612	151.54384	129.81253	1000.0	15.27461	3.3664742	25.418726	6.3320737	128000	5.722046e-09	6.0244384	-0.02364153	-4.599844	0.48144963	0.014948134	0.12975	45.0	310.74893951416016
32	126.18721	5.8832035	132.9236	117.44499	1000.0	14.6525135	3.2805912	25.857872	6.2577314	132000	7.629395e-09	7.240318	-0.026793117	-6.043248	0.47206184	0.009021032	0.1395	79.0	320.2553725242615
33	148.2649	14.890063	170.84729	130.58907	1000.0	14.543775	3.4141662	25.035843	5.7318106	136000	2.8610229e-08	9.334832	-0.017874682	-6.994831	0.45463526	0.015851503	0.11025	39.0	329.73964285850525
34	149.43573	25.669348	185.95515	113.740395	1000.0	15.276055	3.6107364	25.788162	6.7494187	140000	-2.0980835e-08	10.686397	-0.026633762	-8.32009	0.45012248	0.011519825	0.133	79.0	339.3337473869324
